Battle ID,Kills,Fame
1364140993,8,1439260
1364141302,19,1016216
1364141457,11,296895
1364141484,9,2007742
1364141629,6,1118274
1364143091,6,1138093
1364143632,10,16502746
1364143983,17,1449232
1364144639,32,8132579
1364144697,12,3588138
1364145155,10,591142
1364145158,11,2680500
1364145765,10,71652
1364146509,38,1249405
1364147198,132,28242688
1364147407,23,5004351
1364147478,18,570208
1364147516,11,1528578
1364147951,6,534833
1364148901,20,3991080
1364149294,55,2354318
1364149570,10,2351780
1364149885,13,1018343
1364149996,76,26296888
1364150211,12,1638507
1364150845,36,19533465
1364151775,14,4382649
1364151789,89,49267712
1364153763,23,1171831
1364153830,15,2779138
1364154520,8,309747
1364156045,6,2300670
1364156374,27,4147877
1364157607,12,1416424
1364157726,13,2139286
1364157802,18,5383401
1364158027,13,3180426
1364158317,66,11857896
1364159266,15,2329357
1364159281,10,855090
1364159589,5,1957951
1364159693,18,1569007
1364160707,15,4971985
1364161450,29,8197124
1364161640,21,7768554
1364162020,13,718211
1364162302,18,1117242
1364162414,7,1374186
1364163887,28,3556810
1364164245,13,1485085
1364164648,43,17041004
1364165137,11,1722557
1364165522,13,1554065
1364165723,30,6854350
1364166267,20,6669537
1364166359,22,2729825
1364166571,36,926821
1364166933,30,3215285
1364167060,16,388359
1364167359,22,6885608
1364167828,12,2303511
1364168483,31,1719044
1364169069,12,3546922
1364169147,11,738372
1364169310,39,8626548
1364169629,14,5611922
1364169895,4,1656180
1364170669,3,154377
1364171236,33,27193716
1364171403,14,1640889
1364171560,100,8441622
1364171671,17,5039421
1364171878,29,5044659
1364172617,43,2937846
1364172794,23,11287265
1364173040,26,1449790
1364173481,39,3742195
1364175570,5,1535234
1364175665,81,7672855
1364175828,19,2587733
1364176610,10,3601859
1364176678,9,6387302
1364178604,15,7609001
1364179520,7,969734
1364180273,9,852332
1364181673,20,2277689
1364182254,19,1374874
1364183559,20,8944560
1364184206,23,1554363
1364188003,7,2937258
1364189094,40,3745159
1364189175,12,1744953
1364190903,6,499003
1364191869,17,6093005
1364192584,39,707702
1364193528,22,2405713
1364193697,34,3038061
1364193985,4,392715
1364194446,14,10162541
