Battle ID,Kills,Fame
1338631633,4,1067974
1338633340,13,8006890
1338635844,7,1955585
1338636540,8,2336835
1338637979,72,3307036
1338638679,23,1649963
1338639945,134,3113473
1338643175,11,6082585
1338646534,11,656827
1338647009,9,518115
1338647047,9,869918
1338649142,12,5522229
1338650623,14,3389065
1338650782,7,641014
1338651575,32,27026761
1338652774,16,1108142
1338653551,14,5812467
1338653819,4,149018
1338653976,18,4259772
1338654009,38,24515412
1338655872,15,7599499
1338655875,57,31843042
1338656430,8,2361314
1338656662,14,1579657
1338656776,129,105000169
1338657065,51,53161677
1338657150,39,17643686
1338657256,21,7040192
1338657303,3,1112679
1338657406,6,3979997
1338657436,31,6060950
1338657599,12,1795842
1338657761,33,4880271
1338658435,26,8418045
1338659072,96,74706747
1338659293,85,36233385
1338659305,129,81761027
1338659557,15,4020832
1338659813,11,2596251
1338660616,31,22302135
1338660826,7,1953164
1338661081,26,13959435
1338661180,32,9107967
1338661290,8,2180416
1338661361,12,1578680
1338661460,9,1874057
1338661942,6,4803446
1338662340,24,8716535
1338662421,43,15219113
1338662545,9,923970
1338662658,19,7011816
1338662964,7,1324134
1338663213,5,977290
1338663578,41,20728906
1338664381,10,2292934
1338664390,18,4811357
1338664777,6,1678060
1338664782,33,730682
1338664834,8,3958062
1338664881,11,1084442
1338664885,71,33826693
1338664945,55,26673454
1338665151,51,10192253
1338665376,106,84533436
1338665520,5,28476
1338665705,22,9317830
1338665999,4,1368783
1338666003,17,11867444
1338666283,138,72293185
1338666342,12,2573371
1338666524,183,54981701
1338666833,10,1650262
1338666856,13,1849646
1338666862,20,2116837
1338667958,49,20907406
1338668022,259,84579833
1338668067,5,1062170
1338668135,6,1775562
1338668712,5,1491761
1338668722,140,57103599
1338668750,40,39741632
1338668881,162,81201289
1338669030,51,19929908
1338669332,22,7157009
1338669405,12,4620074
1338669903,4,1128821
1338670218,31,6892328
1338670268,67,18709739
1338670754,92,34288409
1338670880,37,3679289
1338670907,122,74888020
1338671210,7,1510376
1338671293,4,767852
1338671330,20,5001774
1338671896,4,1723883
1338672203,13,6283236
1338673164,7,1911355
1338673745,57,11836632
1338673770,53,58389551
1338673887,59,29227462
1338674551,7,217690
1338674923,28,2444183
1338675159,3,126570
1338675313,89,39868246
1338675327,3,6310792
1338675385,7,1501377
1338675450,45,1674948
1338675472,7,1705448
1338675712,15,4188384
1338675729,9,1841156
1338676815,66,33355736
1338677414,34,666219
1338677916,12,2396767
1338678268,54,45680507
1338678994,11,828669
1338679603,21,15416272
1338679941,195,123984664
1338680200,43,9738798
1338680863,34,12624764
1338681094,32,14732472
1338681563,22,888592
1338681866,7,1798359
1338682407,32,44296
1338682467,13,2388677
1338682487,4,672179
1338683056,14,521074
1338684618,7,1581531
1338685233,52,14535436
1338685647,12,4305205
1338686156,29,836761
1338686653,20,3210025
1338688060,4,194335
1338690698,21,1134527
1338691626,8,161774
1338691803,18,855757
1338691934,8,1463309
1338692079,57,739286
1338692430,6,186534
1338693721,41,8047208
1338695925,22,634608
1338696688,11,351958
1338696739,90,40033845
1338697817,7,2118066
1338699300,31,520546
1338702196,48,4415409
1338702838,33,5125077
1338703858,9,992282
1338705089,14,8390875
1338706313,10,1936383
1338708926,23,924495
1338709428,18,1344045
1338709701,3,82763
1338710973,10,3469053
1338711748,19,16187622
1338712334,29,3699534
1338712500,20,1310191
1338713344,53,8097533
1338713500,7,1036680
1338713991,14,5696298
1338714768,9,2968737
1338715144,4,1627998
1338716286,76,4518364
1338717508,15,6622326
1338717656,4,137128
1338718008,42,13801199
1338718028,14,1548390
1338718787,34,3169533
1338718822,41,17946372
1338718889,9,4046802
1338718952,15,1089570
1338720021,28,16009718
1338721195,23,2227701
1338722441,9,524172
1338723157,59,14240270
1338724159,25,5389188
1338724525,15,1263957
1338725777,20,4068204
1338727865,12,1460122
1338728043,7,490938
1338728051,6,620591
1338729464,14,3443105
1338729721,22,2336157
1338730094,5,175425
1338730500,13,1118308
1338731560,45,1862336
1338731575,46,5819330
1338733023,17,1825157
1338736515,15,1078842
1338738590,19,1110327
1338739032,18,1154752
1338740540,9,700541
1338741972,59,1876619
1338742331,12,637006
1338742396,77,6717158
1338742778,26,3279631
1338744110,13,3027500
1338754232,14,4329366
1338755563,7,484928
1338756438,15,813817
1338756562,42,1116792
1338756873,12,3785682
1338760588,43,18044592
1338761766,5,349288
1338763834,9,1623427
1338765131,9,1109580
1338766499,69,27531686
1338766809,14,1880996
1338767160,11,4755287
1338767573,27,3277755
1338770687,33,655209
1338770708,13,12054080
1338771153,27,1946597
1338771270,9,838682
1338772376,5,271477
1338774220,25,1667689
1338775320,8,1099639
1338775828,30,6836663
1338775844,15,4746220
1338776044,5,2163197
1338777655,23,4681671
1338779077,13,6064697
1338780171,24,13049607
1338780181,52,5942104
1338780422,31,6435927
1338781381,9,3886153
1338783134,12,485545
1338783136,12,1708421
1338785490,26,15746966
1338785643,27,16181918
1338785924,112,4378212
1338786163,50,7547900
1338787627,25,1846968
1338788126,15,1686108
1338789133,19,914678
1338789764,9,3141939
1338794522,14,1480116
1338794602,31,8506572
1338799525,4,781011
1338799776,14,1682752
1338802618,5,1577267
1338804140,31,2099846
1338804905,16,964600
1338806541,8,683511
1338806721,7,1780232
1338806935,11,1361272
1338810471,6,1842373
1338811747,10,1906964
1338838572,20,670578
1338840404,21,1605140
1338840588,7,237284
1338840718,7,188035
1338843883,23,1793042
1338844840,18,4962059
1338852978,11,4773540
1338874606,4,218803
1338877936,12,1032753
1338879157,19,2113216
1338885868,12,864695
1338888936,18,1408415
1338891759,16,913308
1338905767,38,2324118
1338910352,12,2264115
1338916149,38,2228025
1338920427,16,1100761
1338921243,10,480666
1338923514,13,606969
1338928812,27,1996084
1338929221,6,587779
1338929458,23,1530696
1338934695,8,2410049
1338935081,13,3302649
1338939520,11,1789970
1338942029,16,2830091
1338944194,55,21790225
1338944286,31,9004585
1338945714,8,354115
1338947117,25,7657241
1338948959,21,5677354
1338952198,5,865487
1338956891,4,258295
1338957722,12,1011770
1338958243,8,3114968
1338958675,12,3927440
1338960721,26,9182312
1338963374,10,1016134
1338966941,8,368990
1338968343,30,225475
1338969744,12,3595507
1338971152,15,740788
1338974423,33,1150972
1338976211,4,1037778
1338977519,18,4455027
1338979248,10,775754
1338981820,39,2529433
1338981847,21,208311
1338985175,14,1243761
1338987744,33,10252401
1338991830,32,6062915
1338992007,18,16045868
1338992088,17,8552038
1338992418,7,3458630
1338992464,23,2024563
1338993890,18,815565
1339000922,16,4046264
1339001029,15,8070853
1339002168,12,3877449
1339004396,14,5632321
1339004657,17,1725461
1339005742,21,3303690
1339006958,24,2621495
1339008920,37,3273859
1339009599,59,24823425
1339010177,4,163798
1339012445,14,5850296
1339012913,25,2155117
1339013812,12,474948
1339016576,14,2228458
1339019130,58,293379
1339019268,27,1871079
1339019817,7,328078
1339022250,23,1856499
1339023891,21,1776923
1339023940,9,737470
1339027480,11,1437957
1339028190,104,13036006
1339028217,4,237520
1339029270,14,848682
1339029605,20,939337
1339030171,15,2197877
1339033201,14,1187257
1339033744,61,6471518
1339035792,6,662973
1339035900,35,4008856
1339036537,13,1473336
1339039377,29,2291339
1339041076,93,6529880
1339044839,5,662997
1339046051,4,999984
1339047085,18,8280731
1339047492,19,2708323
1339047666,32,12425052
1339048106,5,876936
1339051113,55,28773089
1339054775,23,7924606
1339055163,15,6930862
1339055424,8,6851704
1339055608,48,18787290
1339056014,8,698058
1339056303,23,8956493
1339057013,4,724387
1339057202,20,4830436
1339059296,18,5426430
1339059564,7,3467627
1339061862,21,6088230
1339062102,11,2470752
1339064037,13,551789
1339064688,32,1840014
1339065183,23,1971751
1339066652,9,547657
1339070293,17,1497648
1339071608,14,1042613
1339074746,4,138461
1339077912,7,1699796
1339079605,46,3466546
1339080051,18,1692337
