Battle ID,Kills,Fame
1325377720,6,152483
1325378963,22,12810145
1325379517,9,61585
1325379631,14,1508496
1325383084,9,1671028
1325386189,12,5214986
1325388060,10,5935252
1325389141,12,6360937
1325389981,19,2671701
1325403011,26,916157
1325410206,4,449040
1325412593,14,98473
1325414539,19,6419822
1325418135,7,243700
1325419560,5,244548
1325431517,10,1424881
1325432547,13,3000744
1325436209,16,1400341
1325437352,13,1410921
1325442446,22,2942052
1325494622,12,6197518
1325495530,3,209555
1325499777,6,366399
1325522529,13,637055
1325527159,6,694748
1325533228,14,3322569
1325538807,17,736480
1325539007,19,980443
1325544940,13,3379559
1325545767,8,620041
1325548845,15,6136035
1325548987,7,3444973
1325550846,24,6193740
1325554813,8,387582
1325555505,11,520783
1325556067,6,358536
1325556107,26,1631259
1325556797,13,3790801
1325559404,15,1217730
1325560837,50,4828554
1325562281,7,821861
1325562445,42,960642
1325566023,16,957067
1325568720,21,1064944
1325571399,11,1852042
1325572133,24,956670
1325574992,3,164611
1325577646,112,36008454
1325577718,18,1453454
1325577881,3,972274
1325578785,38,19586766
1325583582,15,3853592
1325587228,5,3758210
1325587572,16,3673104
1325587830,42,15136872
1325589230,24,1030489
1325590673,32,503222
1325591571,50,25788434
1325594777,10,1138387
1325594919,6,499947
1325598047,14,8246938
1325601095,9,5368354
1325609778,11,1401466
1325615754,36,1274015
1325621530,12,411176
1325621753,26,8718515
1325629037,15,4031582
1325632408,7,1622974
1325632861,29,2295170
1325634743,15,3544219
1325635631,13,5774566
1325637229,37,4145784
1325637316,14,4169177
1325637333,16,4829007
1325638622,33,1875695
1325638760,34,3590156
1325639097,21,10645946
1325639966,16,6303404
1325640124,21,12467992
1325643427,12,2778012
1325645031,38,12463815
1325645721,22,5445637
1325646247,13,2279261
1325648536,99,6374972
1325650253,16,1298413
1325652455,11,721227
1325655865,44,930148
1325657112,7,3325474
1325659081,17,216900
1325659681,15,4018445
1325661560,46,2790482
1325664473,12,2177072
1325668180,17,2481466
1325670389,76,42579147
1325672656,8,509287
1325676249,12,647432
1325677730,19,3891810
1325677958,10,777437
1325678600,5,857086
1325678901,11,3055806
1325681228,36,2350830
1325681745,5,1589450
1325682514,58,7255869
1325682651,19,1962514
1325682965,23,1698699
1325682987,29,2120162
1325683791,57,4935576
1325685058,5,568145
1325685795,7,316309
1325686065,12,4310620
1325687124,8,1521220
1325687360,145,63987647
1325687659,13,4816400
1325688569,8,1840464
1325689333,39,4233068
1325690169,13,1192873
1325690183,15,2045723
1325690467,5,452211
1325690472,11,2832201
1325690645,18,7247231
1325692805,5,199542
1325692956,9,3112791
1325693844,5,686828
1325697066,8,3652105
1325697102,19,1475029
1325697551,3,918633
1325697722,51,2814235
1325698655,25,314935
1325703071,21,6007700
1325704336,17,651696
1325709230,17,1406455
1325709368,10,221507
1325709826,17,5381941
1325712204,42,3002503
1325714661,45,935014
1325715129,11,1582098
1325720325,10,474396
1325722782,37,14354504
1325722975,74,50434205
1325723158,14,2254008
1325723850,40,2412370
1325724411,11,526599
1325725330,11,1092972
1325725534,47,16006935
1325726612,139,67129639
1325726620,3,667569
1325728282,24,9010170
1325728536,21,7103909
1325729129,15,4153649
1325730422,8,1289119
1325730643,30,962186
1325731289,21,557849
1325732279,64,23157017
1325733313,22,2933818
1325735300,10,548348
1325736374,19,5161049
1325736762,10,10159938
1325737424,48,24478181
1325739429,13,3608485
1325739625,43,19939931
