Battle ID,Kills,Fame
1350983581,27,1820299
1350993669,8,262378
1351000012,11,3048754
1351000477,7,319223
1351000533,175,187715112
1351000618,25,9616154
1351001823,13,6683458
1351003697,22,19040445
1351003893,11,754409
1351004381,10,2000967
1351004843,19,5656191
1351004994,31,15032886
1351005677,13,1777258
1351005777,70,42483140
1351006018,6,2462211
1351006069,42,1588653
1351006094,11,430451
1351006213,45,16977173
1351006280,13,4991690
1351006328,16,4965642
1351006445,16,6086631
1351006487,19,5255181
1351006609,6,1776917
1351006678,12,1633721
1351006757,5,1086983
1351006824,3,1324260
1351007042,9,23106033
1351007489,4,946725
1351007962,21,5018469
1351008649,19,2170015
1351008678,22,6925545
1351008977,127,61452024
1351009137,11,3263156
1351009725,53,30763206
1351009919,36,22305340
1351009939,39,2971034
1351009996,11,5686612
1351010009,5,1460776
1351010115,11,228605
1351010395,11,6236201
1351010605,25,7384294
1351010789,3,4139480
1351010949,15,2724089
1351010975,22,8989938
1351011039,23,1716648
1351011060,6,924378
1351011496,7,869737
1351011582,3,1046899
1351011949,22,12427105
1351012054,8,2165848
1351012074,160,61039108
1351012323,26,2072242
1351012815,47,45358008
1351012819,50,19480449
1351012986,17,4789855
1351013176,36,19058773
1351013398,20,4612345
1351014302,11,594202
1351014379,3,774518
1351014382,14,311859
1351014547,17,5207122
1351014737,13,3844757
1351015055,30,14126554
1351015286,15,2908558
1351015355,21,7612712
1351015632,189,108404116
1351015638,138,253315419
1351015955,6,1416533
1351016011,14,4120693
1351016213,40,16799172
1351016356,15,3547560
1351016416,6,1109215
1351016453,348,194301609
1351017053,13,3061471
1351017537,9,2439501
1351017722,13,3098198
1351017789,12,378786
1351018466,460,230981696
1351019187,99,65282751
1351019358,18,10493486
1351019838,58,21365463
1351019869,33,19730821
1351020147,81,73984281
1351020403,143,40643707
1351020576,11,998798
1351021663,6,3486784
1351021952,22,28893774
1351022225,23,4924878
1351023248,21,4039174
1351023784,5,2126189
1351023943,19,2511421
1351024404,27,6527380
1351024936,26,9790679
1351025508,7,2069601
1351026345,16,8858375
1351027099,26,6560457
1351027194,11,2781777
1351027225,28,4226527
1351027254,29,14958329
1351027454,93,41486942
1351027482,76,4378218
1351027511,41,23493066
1351028837,97,122020137
1351028925,73,32205285
1351030055,11,2595248
1351031584,22,14719624
1351031587,15,2021314
1351032194,10,738025
1351032234,40,12899141
1351034513,54,46513362
1351036209,18,21417211
1351040195,31,634131
1351040892,17,624378
1351044325,27,4082624
1351044577,6,4483618
1351045991,7,726022
1351046266,6,13413592
1351046516,73,14440758
1351049843,8,1224066
1351054353,12,2704807
1351056064,12,654777
1351059186,10,717058
1351061704,11,720059
1351061874,20,3660198
1351063142,17,4172750
1351063272,22,9784546
1351063359,8,3667402
1351064101,9,4108920
1351065412,26,1737071
1351067311,8,3840878
1351067344,17,4419131
1351069691,9,2969587
1351070307,352,35968902
1351070495,48,3634224
1351071370,29,1297206
1351071509,15,4802113
1351073434,4,455479
1351075780,7,1566423
1351077384,13,4567148
1351078217,14,7761909
1351079168,14,967651
1351081645,11,1917422
1351082530,12,373238
1351084860,12,6984028
