Battle ID,Kills,Fame
1378970438,224,102927605
1378974116,23,2466222
1378977397,224,78498896
1378977822,9,479158
1378978911,24,5536948
1378979139,6,485541
1378979562,16,3631562
1378980391,7,891885
1378981024,15,3622700
1378981612,20,7680519
1378982783,307,113083439
1378983233,12,4914739
1378983592,11,2764820
1378983683,21,1132879
1378983685,10,4538863
1378983912,10,2577312
1378984802,13,374415
1378987716,23,6559899
1378988638,6,1515811
1378989110,20,9230464
1378989223,49,3390503
1378990629,5,85720
1378991025,12,5084587
1378991073,24,678682
1378992825,5,2558719
1378993846,18,8587659
1378994047,11,4008432
1378995345,12,8899748
1378996395,30,7398501
1378996889,24,10559905
1378997270,12,3404523
1378997931,22,5226541
1378998094,22,10328958
1378998900,3,1189500
1379000215,14,4314907
1379002515,21,7024199
1379003126,22,12231397
1379003395,16,7882682
1379004074,38,27426778
1379005822,59,4473853
1379006952,33,2364483
1379008211,5,69864
1379008304,57,874898
1379009806,34,1449654
1379010159,16,2799834
1379010609,12,1371718
1379012306,44,5408468
1379014131,45,1250649
1379018796,9,770597
1379019040,22,2855988
1379020676,8,740516
1379021913,3,324705
1379023418,10,2215331
1379028185,6,1745117
1379028252,50,2884899
1379028544,22,1341257
1379028821,22,862553
1379029691,99,2987823
1379033461,31,3728819
1379034136,93,42140187
1379035091,7,2586132
1379036672,13,763267
1379038912,5,395704
1379039313,149,42984125
1379040517,5,277374
1379042899,13,1338120
1379043442,20,41132609
1379043671,145,66617499
1379044532,153,44740798
1379044542,42,3738630
1379047686,13,3359256
1379047815,13,1571460
1379048722,42,6029210
1379050742,16,4148253
1379051469,12,4010355
1379052255,13,868356
1379054040,33,2738363
1379056377,31,2906021
1379056782,7,1715486
1379057218,21,6871304
1379058175,21,3918332
1379059585,4,862809
1379061492,41,11376232
1379061710,42,3187931
1379061783,5,899740
1379061901,33,11294918
1379062434,16,1145113
1379062855,9,2793121
1379063065,16,9241994
1379063111,13,4106547
1379065401,14,798057
1379065890,44,11993781
1379066429,3,192240
1379066459,260,149655831
1379067090,16,6435204
1379068334,19,5441155
1379069985,17,3382354
1379070086,18,6853336
1379070190,10,1412397
1379070657,6,1430234
1379071307,9,2201363
1379071429,14,1198892
1379071799,10,2914504
1379071807,12,1035878
1379071855,27,3147246
1379072700,20,6908011
1379072745,19,7170830
1379073201,14,10131027
1379073602,47,10121737
1379073805,14,2911938
1379074711,89,35571751
1379074723,33,5917104
1379076301,9,1024100
1379076631,13,2612699
1379077128,13,782912
1379077324,8,1973500
1379079388,4,391501
1379079538,11,757097
1379080333,7,3193209
1379082189,18,4773699
1379082558,34,5562881
1379083595,4,861542
1379084317,17,9443482
1379084497,14,4039782
1379085058,82,7940270
1379085278,44,3539303
1379087723,41,3043755
1379089864,13,962620
1379090162,18,4137331
1379090649,8,4540216
1379090927,13,527687
1379091486,19,5162280
1379091672,14,1640278
1379091683,11,620624
1379093106,7,945865
1379093607,9,1205881
1379096149,51,3768768
1379096502,4,464297
1379098470,5,1017823
1379099936,29,2317410
1379100933,43,3625369
1379101934,8,579695
1379102322,16,743980
1379105102,26,2085660
1379106807,14,3774907
1379108902,13,2720225
1379111293,33,10688994
1379112920,228,75843458
1379114437,24,5069458
1379116088,7,1162345
1379117733,5,1461277
1379119351,196,59645074
1379119382,9,294725
1379119670,97,33965981
1379119998,22,647058
1379120515,3,625162
1379122696,28,8311528
1379123051,335,124270459
1379123788,13,5072065
1379124025,24,7376609
1379124897,6,154962
1379125645,34,10247602
1379127462,54,14293967
1379127710,9,289633
1379129157,10,1004852
1379129712,31,6404097
1379131234,18,4722948
1379131538,19,11852257
1379133301,39,2325094
1379133365,21,3947764
1379133507,7,247380
1379134986,11,589258
1379135973,4,1280636
1379138223,69,26760661
1379139039,15,4929468
1379140131,45,9737721
1379141618,46,24451585
1379141829,14,6444227
1379143242,14,6526372
1379145555,14,7937512
1379146064,14,7387967
1379147366,21,1933503
1379148118,20,5371603
1379148267,6,1442310
1379149736,6,1833911
1379149787,12,3117121
1379150525,17,11438833
1379150640,10,788511
1379151709,12,2756547
1379152170,5,390288
1379152294,26,7673465
1379155682,13,5427656
1379156350,5,1385360
1379156479,13,2160840
1379158140,15,3707142
1379158149,8,1822120
1379161640,19,13863810
1379162259,16,2376482
1379164623,25,1545550
1379165462,27,2616306
1379166561,12,1225398
1379166797,3,90804
1379169730,25,1013699
1379171325,17,4388503
1379175019,58,7702037
1379183048,14,596785
1379184908,10,4422058
1379186528,9,1896136
1379189522,13,2444829
1379194315,14,1033150
1379196706,20,1249314
1379200032,16,873840
1379206834,10,1666260
1379207155,5,1198936
1379210109,20,2585094
1379210559,10,2722133
1379230359,12,8221737
1379241578,21,841046
1379245979,15,1289133
1379246966,19,5383513
1379256365,29,9864829
1379258483,36,16132059
1379258866,34,3526262
1379259847,14,876972
1379282392,8,1102533
1379300790,17,5179800
1379321078,12,4180904
1379321562,11,4243870
1379332039,10,1682180
1379333836,34,14666490
1379335670,86,41322520
1379340097,20,4981085
1379340216,13,3110347
1379341388,13,4331448
1379350492,6,2001532
1379351322,135,62095071
1379352783,4,735213
1379354999,19,8031910
1379356860,14,681382
1379359328,34,6222605
1379359835,6,6134954
1379360494,31,7839401
1379362566,12,3116041
1379366385,15,4945396
1379367544,6,891799
1379367896,4,615621
1379369827,17,6765543
1379369860,7,801492
1379369952,26,11215692
1379371398,13,5495359
1379372476,50,10746886
1379373113,34,8124239
1379374210,39,17477738
1379374928,20,2790340
1379377889,11,3876999
1379379441,13,780648
1379379540,38,18295683
1379380049,13,1776261
1379380450,10,3518225
1379381527,6,454297
1379382314,160,60426235
1379382699,7,254837
1379382942,9,3469384
1379383400,39,12911902
1379383930,6,1940649
1379384078,62,2351959
1379385432,51,24172575
1379388962,12,4490355
1379390145,6,921222
1379391890,44,8080821
1379392160,6,1305069
1379392247,10,942583
1379393615,3,372547
1379393747,36,12866414
1379395199,172,69390931
1379396625,11,3457617
1379397211,13,3934835
1379397312,17,4789981
1379399589,37,994997
1379399838,6,1002388
1379399893,23,10528982
1379402937,29,1963340
1379404159,12,4175614
1379405091,16,1873754
1379407053,19,3408749
1379407321,13,760955
1379407930,49,20149322
1379411206,9,291974
1379411578,25,1476041
1379411864,7,1601560
1379413218,13,1067206
1379414630,5,4125304
1379415152,10,2283734
1379415978,15,6342293
1379416480,87,53628191
1379416522,29,3486338
1379418996,9,3975677
1379420787,5,1785860
1379420830,11,766639
1379420832,4,210069
1379421302,17,601296
1379423428,13,9367674
1379425669,7,4201130
1379426093,6,430408
1379426884,11,4249244
1379426992,71,34370677
1379427765,16,4530124
1379429641,10,4040528
1379430915,6,2045171
1379431899,56,19617471
1379432794,17,2816163
1379433192,10,3001984
1379433946,7,3170255
1379434037,10,1552578
1379435064,12,2278084
1379436142,29,10599486
1379436933,15,2004119
1379437090,127,75766508
1379437319,15,2950883
1379437781,30,7894581
1379438616,11,1763854
1379438692,119,43094376
1379439111,16,1655037
1379440313,12,2378589
1379441681,9,2228929
1379442548,104,54746513
1379443046,8,2257068
1379443327,8,857147
1379443492,14,2146670
1379443785,53,15026857
1379444353,4,245226
1379445897,23,8409734
1379446641,30,7983982
1379446932,14,2993733
1379447135,10,1306623
1379447609,10,3105043
1379448268,12,2288694
1379448336,6,1006632
1379450244,29,4491641
1379451697,121,15032035
1379452011,17,5680535
1379454749,17,5982949
