Battle ID,Kills,Fame
456494191,10,999992
456511928,28,2348156
456516820,10,718900
456545025,23,3066600
456545401,58,4778998
456545585,34,9314761
456546035,88,54770966
456547417,38,26653401
456548599,16,866688
456549211,32,2186722
456549449,6,889385
456549773,8,810355
456551082,17,1145620
456552172,11,965180
456552499,8,1946471
456553090,40,14428141
456553484,18,2463142
456554122,7,1054065
456558159,10,1452203
456561400,48,4725914
456562999,14,1281336
456566009,3,188745
456566255,29,3704292
456566944,3,180047
456567745,21,999343
456567938,14,2412917
456568555,24,5435839
456569633,18,1116194
456570752,143,41271262
456572322,91,7745181
456572793,3,35271
456573311,18,6711654
456576151,26,14433363
456579091,107,8094473
456579098,19,5216459
456580200,12,4815443
456580610,29,17058791
456580823,17,3697062
456584465,24,1112443
456585839,52,5302687
456585859,5,470026
456585977,14,1390567
456586081,12,330051
456587394,24,16627758
456587994,10,2663955
456592403,7,216786
456600901,17,1603715
456609700,13,1583587
456610251,64,6412566
456613611,28,1946903
456613660,52,3170200
456615282,31,1986956
456617821,12,2031140
456620653,11,1191287
456620718,38,11884807
456621582,40,11745533
456622233,16,4216602
456622571,51,21463381
456623612,25,1086520
456625324,18,5706977
456626469,33,7110626
456626675,14,3008806
456627352,121,48653642
456627709,170,9298556
456627715,28,1688827
456627944,15,1201790
456629265,14,2914717
456630561,15,847983
456630573,5,1272788
456632695,19,2374224
456635661,28,10634568
456635711,62,27458631
456636360,16,9794829
456636639,29,4760292
456636966,76,30195036
456637126,19,1159057
456637531,39,5864820
456638317,32,2558530
456638430,16,3956331
456638739,11,1126077
456639363,24,12287289
456640164,42,18766347
456641505,16,770291
456641719,48,2781791
456643211,3,942794
456643589,16,3930569
456644167,36,13381064
456644693,11,1211370
456645257,5,268877
456645540,26,3624292
456646015,4,1136035
456646172,19,894597
456646736,14,832209
456646808,45,18598812
456647688,27,2896874
456649320,21,567936
456649921,39,2479354
456650095,3,33904
456652075,36,16359747
456653865,15,899246
456654201,9,580556
456654223,5,1217988
456654718,10,928373
456655594,32,2678431
456655712,8,625296
456656678,169,11657907
456657204,23,7058561
456657439,9,1977353
456658590,5,337597
456659441,8,2223121
456660395,21,8765865
456661874,97,30936235
456664061,3,130657
456664501,26,2122358
456664991,4,900708
456665869,25,16299948
456665984,19,5190092
456666205,10,1897203
456666457,5,161716
456668569,38,12909766
456668846,16,2954113
456669203,16,6987618
456669450,20,3290392
456669501,12,687495
456669788,15,5668094
456670036,44,2962511
456670924,32,947781
456670977,12,486225
456670994,20,7619801
456671091,126,113887056
456671137,3,921688
456671523,20,4054104
456671653,28,1845523
456672066,21,1056392
456672080,46,15596149
456672667,189,84629142
456674253,19,1535698
456674431,23,6458678
456674903,10,420275
456675187,15,3447025
456675240,29,11131209
456675274,4,1319330
456675551,47,35825580
456676238,111,57215207
456676446,16,828268
456676501,16,4086616
456677093,6,859467
456677397,9,388717
456677401,37,28978895
456677901,17,878586
456677945,10,2643738
456677985,20,1249396
456678165,88,43894707
456678321,34,2064709
456678450,17,2962495
456678969,20,5019003
456679113,27,23766540
456679670,11,846367
456679794,16,4231732
456680278,34,15030782
456680330,20,7221123
456680804,13,4670401
456681027,11,1970192
456681223,14,1190319
456681483,29,9518868
456681943,447,364374597
456682599,4,1333668
456683715,244,130823719
456683845,97,58397677
456683857,51,12514485
456683890,59,5287115
456683960,11,2411339
456685374,32,14801888
456686184,9,2812937
456686891,21,1572164
456687398,26,9026305
456688355,23,1228802
456688825,56,3963488
456689033,9,3262523
456689059,27,11815249
456689313,18,2182052
456689349,12,3650484
456689678,11,862659
456690085,33,10739789
456690148,4,1350500
456690216,20,1197504
456691036,11,1357794
456691067,177,135076781
456691816,36,16003573
456692637,6,2912940
456692980,18,2292808
456693259,169,87232292
456693572,26,2562064
456693798,20,808708
456694274,15,1706423
456695836,103,45439857
456696334,10,883950
456696612,15,1860826
456697221,9,11676676
456697635,6,424829
456698256,15,638778
456699126,27,1672240
456699162,8,690698
456699243,17,1211102
456699247,36,1603868
456699355,14,6517448
456699581,38,15273198
456699820,26,14096388
456701280,15,1157423
456701333,77,4865570
456701653,12,1703185
456702311,17,859070
456702318,7,658751
456702708,14,628822
456703784,52,6072277
456703872,6,552322
456706922,26,2351314
456707160,124,32466858
456707681,35,1263451
456708142,12,592500
456711353,18,2034577
456713469,11,718476
456713760,6,1338816
456715067,15,1010803
456716251,37,2711806
456716654,16,1703506
456717846,3,2050026
456718203,7,3435640
456718513,28,19038528
456719205,18,839812
456721290,24,1246807
456721777,141,68719261
456723427,13,3564103
456725048,25,1119679
456725979,17,2852342
456728760,7,162994
456730971,21,2407270
456731538,20,1440719
456732923,11,336134
456733754,24,4568039
456734187,9,42352
456735816,26,1339217
456735933,27,1889708
456737537,261,155121203
456739159,11,476154
456739747,12,4282722
456742091,14,4941432
456742749,11,3610226
456793265,17,1084102
456797831,25,2245834
456797924,3,99812
456808606,7,970968
456819088,14,2233278
456822435,13,2731034
456823844,11,2050589
456824415,13,11147312
456829373,26,2837184
456829384,7,586801
456832509,9,341709
456833120,26,2761202
456833324,19,1229916
456834737,56,6474910
456836838,97,10538720
456836877,8,918673
456842337,32,5593242
456844526,15,3994087
456846480,21,4903938
456848458,22,1094219
456849321,5,224166
456850241,99,65603090
456851080,18,2066454
456853078,9,3098310
456856579,15,5514123
456857689,8,339615
456865793,5,1240584
456872413,12,575297
456872721,51,4242840
456873940,37,1620023
456882715,15,5745112
456888113,14,4692534
456890347,27,686180
456895202,102,22708130
456896445,11,2252726
456897041,14,3749248
456898179,12,2992209
456898283,12,2538159
456900032,9,2106642
456900039,26,5374262
456901000,15,1262214
456901895,22,6977138
456903203,3,307550
456903956,49,44472416
456904413,29,8550961
456906024,11,5752500
456907293,90,7956687
456907891,11,2861190
456908393,6,228032
456908820,50,30003607
456908920,17,10744340
456909062,14,5005761
