Battle ID,Kills,Fame
440579851,14,3392713
440584912,14,6869551
440589544,8,532108
440595761,28,11941137
440600061,48,27299613
440604402,80,41342865
440604724,10,1800784
440606247,8,2135184
440607454,11,6489408
440612856,14,896926
440613918,6,54604
440618639,63,4404887
440619036,5,285228
440620096,18,2671868
440620778,4,404145
440622535,7,606690
440625150,25,3078545
440627622,22,2448763
440627880,11,3518034
440628419,44,11498686
440631835,22,6257690
440632790,24,1908338
440634313,14,4525377
440634316,21,8776397
440635163,6,510690
440636737,16,7437231
440636895,3,851048
440637131,3,478935
440637497,14,3894360
440637568,24,8156799
440637976,25,11909812
440638036,15,4549702
440638132,29,7038345
440638224,25,6984659
440640315,17,2095424
440640782,5,1235957
440641279,35,1724479
440642443,15,1416306
440644373,59,6248376
440647195,20,6913449
440647780,7,2270966
440647987,16,5829063
440653027,13,4754146
440654145,11,969623
440655428,5,361435
440655937,16,6704176
440662095,12,2447091
440664652,13,3324870
440664879,24,2019501
440665026,12,3779066
440665276,10,2641035
440668938,13,7143399
440669423,51,24774049
440670131,18,9089823
440670475,8,3587280
440671323,27,8111455
440672210,15,6006592
440672389,21,9414799
440672596,5,1689244
440673754,22,6858910
440674736,11,6080587
440675069,11,6413251
440676488,12,3299887
440680962,13,2651623
440682405,15,5416196
440687106,9,655923
440694328,16,955556
440706663,23,1655071
440709491,21,422324
440711292,5,522991
440712889,10,860540
440714378,7,380211
440716119,30,2444677
440716143,12,688633
440716814,4,855886
440718162,12,1437978
440718861,15,984103
440718897,11,510464
440719038,13,4688085
440719785,17,1901035
440720135,18,1214116
440720923,24,1323413
440722585,33,1734270
440722859,104,67029990
440725557,40,2054962
440727073,84,48303668
440728110,9,845525
440728212,13,257384
440728248,37,2317062
440728768,28,12508128
440728906,8,243712
440730119,55,21328445
440730639,20,3023282
440731391,10,3195713
440731443,40,2072164
440732515,16,4588514
440733098,31,11928510
440733183,24,8652857
440734593,32,8297053
440734642,12,4744129
440734949,19,7132232
440735894,51,4629013
440736271,12,1881075
440736314,5,1054782
440736496,20,4850355
440736724,76,33357398
440736763,5,2233964
440736806,29,9184207
440736851,170,89683629
440737161,65,27295404
440737490,25,2773390
440737575,44,13529939
440738220,24,2823945
440738325,24,6552123
440739020,48,25996718
440740350,8,1827298
440740889,22,6083215
440740920,10,437599
440741538,43,8829741
440741989,6,2848743
440742315,11,664267
440742348,32,4070909
440742674,8,120236
440743158,13,5422961
440743282,6,1688652
440743411,10,2491640
440743688,10,2277818
440743757,12,2737032
440744109,19,2023565
440744386,12,1842762
440744505,16,3708211
440745047,16,904671
440746155,29,7527224
440746814,24,756403
440747120,15,1685255
440748156,11,2796157
440748330,11,503134
440748352,19,5646504
440748691,44,11219135
440749598,14,1080881
440750341,18,1282194
440750552,13,2345759
440750669,6,2423990
440750907,16,8960920
440751156,8,1301583
440751178,21,2212018
440752858,14,4843416
440753027,14,2941001
440753157,14,468878
440753765,32,8176833
440754035,6,511748
440754694,16,1642989
440755509,55,14961256
440756697,16,4398278
440758812,25,11002969
440759535,15,3734656
440760808,5,535827
440761529,13,1224157
440761900,11,2208709
440762292,6,344813
440763095,18,6784027
440763434,10,373230
440763789,18,2769038
440764036,33,13513879
440765104,24,8321456
440765524,116,71607019
440765540,10,5419104
440766051,36,13075074
440767198,80,36095065
440767273,79,22655139
440767586,93,64096753
440767953,18,6776045
440768049,6,701717
440769030,45,27560391
440769353,11,3845031
440769558,33,17598390
440769879,147,77040732
440770390,19,8824719
440770644,13,3887514
440771288,7,1618312
440771824,7,253072
440772112,80,35689057
440772489,5,370066
440772628,19,5203692
440772700,158,55969459
440773197,54,23955747
440773521,19,9091677
440773616,67,22178492
440774032,13,4351829
440774176,11,2952002
440774246,37,14751080
440774292,25,15399643
440774389,68,40152429
440774995,75,59041397
440775506,13,3445625
440775796,54,47467232
440776347,3,703412
440776658,11,2109758
440776838,12,4664482
440777025,4,969661
440777205,20,6359720
440777404,62,25899299
440777504,6,1331409
440777606,13,4576016
440777998,10,4000291
440778316,11,3114578
440778579,12,1035149
440778653,10,3488754
440778873,13,3220999
440778883,19,4355814
440779109,11,1383849
440779505,3,270731
440779711,34,14731467
440779882,13,5250136
440779994,19,4173247
440780978,10,2370209
440781491,20,6728721
440781552,10,5071512
440782958,21,7731712
440783068,24,10762860
440783134,42,18565000
440783253,79,56624762
440783793,6,174964
440783984,84,57872876
440784107,22,7281584
440784673,7,1816424
440785483,41,32070820
440785677,9,3317539
440785679,19,3741029
440786043,21,5490560
440786057,28,2186461
440786191,55,26428157
440786588,65,28818902
440786950,12,1731279
440787273,5,486768
440788546,88,67516711
440789277,28,17365739
440789362,5,7901899
440789714,6,948420
440789825,16,3382054
440791701,67,24161014
440792209,17,1386520
440792332,7,1248271
440794253,45,2791131
440794828,12,7585145
440795079,5,243252
440795567,68,6882925
440795734,13,1343832
440796781,27,1917884
440797595,6,650299
440797893,29,9724603
440798640,11,515032
440799947,26,6992850
440800622,12,766480
440801060,16,1470464
440802458,44,8039431
440802660,20,2057949
440802706,14,905848
440802808,20,2005146
440804098,7,3144945
