Battle ID,Kills,Fame
432448891,12,3451640
432450742,10,4069104
432451204,12,3661406
432452524,161,17416439
432456717,17,6465078
432463780,11,1025059
432465337,5,378432
432468765,19,2076078
432468782,31,2262196
432468891,24,5798318
432473167,8,4494276
432475704,21,7985549
432477020,13,1325571
432477846,13,7694296
432479320,34,6244134
432480218,9,2967481
432481360,11,3996906
432481541,8,1163746
432485106,9,339873
432485196,24,2824580
432487315,4,127666
432489568,22,3065372
432490930,16,2556601
432491555,14,2265945
432496397,7,2080568
432498330,27,5505556
432499273,11,601079
432499657,21,1732671
432500042,8,3324545
432501552,11,10571303
432502005,17,1338330
432502056,16,4849725
432502821,4,96884
432503740,19,6039421
432504267,5,998720
432504448,8,2734771
432505682,54,27603817
432506055,58,29354016
432506390,6,1827716
432507632,8,2049206
432508045,16,707526
432510520,6,680366
432512396,15,1120327
432515246,17,5924634
432520215,12,1199600
432523432,11,2348048
432527496,6,292615
432527537,24,1268531
432529036,10,607969
432529990,52,4191527
432530014,29,2051702
432530266,7,379573
432538847,15,982701
432540121,14,740426
432540236,23,14387897
432550457,83,8628854
432551427,15,4204326
432551873,9,3080844
432552193,12,1836187
432553569,14,5700434
432553671,16,6514949
432554593,16,1962641
432555093,17,347447
432555737,33,13947295
432558644,45,13662408
432558778,43,20928676
432559235,14,5775693
432559780,19,982375
432560195,18,1799260
432560400,14,3114180
432561197,14,4257781
432561352,13,3812344
432561497,18,851527
432561885,19,9740223
432562415,13,1292870
432562863,13,3389369
432563062,10,1717947
432563066,4,389236
432563237,13,4865597
432563786,16,2792765
432564029,28,16711571
432564551,10,5041984
432564761,12,1374836
432564833,19,4830988
432564867,12,1229587
432565189,35,15268001
432565337,12,3847239
432565364,15,6234110
432565466,22,3466760
432565490,18,5429218
432565767,17,5229031
432565995,14,4380362
432567045,20,1123423
432567085,16,7871884
432567241,31,22009372
432567595,20,4903001
432569938,15,5528059
432570113,32,2535344
432570876,39,15049398
432570968,4,967739
432571076,139,25465793
432571088,7,686618
432572831,15,4161530
432573344,10,2509024
432573546,27,2329682
432573878,10,509309
432575276,53,5694214
432575360,6,1328796
432576404,60,29479471
432577669,70,7568082
432580824,48,3020148
432581454,29,4016922
432581983,19,8587788
432583211,13,895659
432585248,25,3616912
432585520,4,298728
432585521,18,1859150
432585672,7,716068
432588500,16,6823825
432588976,32,4945297
432590796,35,11281061
432591107,6,2917721
432591894,7,2387975
432593075,10,2205573
432593155,119,56180803
432593712,16,3375222
432595510,10,428850
432596028,21,5994787
432596809,6,2393036
432597685,32,5695989
432599376,10,1779934
432600200,8,2953503
432600221,8,752019
432600487,8,845512
432600828,42,23860119
432601593,22,4182763
432601691,10,3323396
432601943,10,3613363
432601973,19,9911093
432602058,12,2642775
432602160,13,4729246
432602525,64,29683475
432603147,11,2684953
432604158,6,1103190
432604244,5,1060588
432604353,36,5936463
432605342,19,2501770
432605525,30,8134955
432605763,14,4502897
432605870,28,10440905
432606412,40,17666586
432606439,73,41973905
432606455,15,6437699
432607074,20,3375407
432607243,258,28159452
432607659,6,1865690
432607711,22,13255529
432607936,40,17605615
432608555,19,8027605
432608916,16,4867928
432609215,6,622693
432609822,100,48703539
432609882,15,1371318
432609884,79,4382414
432610971,67,29740231
432611158,16,8711390
432611174,81,36225204
432611638,17,2851140
432612489,15,6815198
432612783,7,1165445
432613401,10,3228083
432613540,53,24257944
432615169,15,3615539
432616136,27,7378520
432616194,10,1463417
432617457,18,5428644
432618071,53,12442575
432618125,16,2413704
432618336,15,3674431
432619852,22,3776329
432619919,13,4482394
432620739,83,31459756
432621462,39,10706955
432622846,16,4007035
432624703,11,1669529
432629096,15,1616319
432631150,14,17127001
432631175,4,463249
432632546,3,141327
432634157,3,273967
432635041,17,781366
432635856,21,4744981
432637421,14,1189082
432637927,31,10469868
432637958,13,4012476
432639080,7,2590442
432639301,78,45610996
432639465,16,3006094
432640198,15,4304251
432640310,16,6620344
432641700,6,2312863
432642074,19,4164912
432642099,23,5145024
432642571,29,9097156
432642909,6,1609532
432643910,39,13924533
432644476,18,2134490
432646187,5,2906949
432647649,6,2447340
432647740,18,6866395
432647851,31,8280936
432654352,13,5179912
432654640,60,23392555
432656140,27,6599312
432656200,4,1151631
432656565,5,1523140
432657040,27,2532100
432657134,7,3255809
432657575,18,13436316
432658102,25,11675281
432658468,7,5472318
432658570,19,12911286
432659064,54,45765401
432659797,39,23209085
432661878,21,10889772
432662154,79,42298726
432663698,25,9487027
432666722,12,3665527
432671350,13,1087875
432678777,7,669480
432680715,12,1294622
432707155,3,195208
432709527,7,411513
432727030,18,6542561
432727701,14,8408771
432728070,7,1364992
432728656,49,20858858
432730461,28,2111485
432731738,12,4054775
432733313,19,6023701
432736098,8,1770570
432737673,29,11287052
432740611,25,6909468
432742318,8,5575784
432744941,12,4062859
432745787,25,18083384
432748001,8,3040615
432748060,8,999311
432748876,33,13867969
432749096,3,873723
432749613,18,6457384
432750699,22,9128213
432752069,10,2865658
432752949,11,1746906
432753086,18,11559464
432754236,16,4469349
432755159,26,15675639
432756955,11,3721769
432758108,12,4599175
432764800,16,1727289
432773433,10,554648
432776126,11,2989995
432776332,20,1882301
432776443,24,1064318
432776834,5,337442
432777485,7,759312
432777488,16,1798637
432777692,5,1478081
432777818,34,16216927
432779567,13,2846813
432779779,5,612026
432779991,4,1063724
432781133,19,4772007
432782198,15,4234184
432782351,17,5741627
432782433,15,5329394
432782489,15,5128986
432783326,10,2822805
432783675,11,969951
432784034,15,3385719
432787431,124,14218701
432787557,14,1172735
432787827,9,2690923
432791596,5,1661946
432793454,46,3498974
432795551,45,26152221
432796409,40,2708640
432797500,3,483956
432798681,33,3384998
432798916,7,2213107
432802527,35,3305244
432804314,51,4732847
432804462,6,395109
432804950,15,2308974
432805193,13,967984
432806812,31,2305733
432808727,22,1314839
432808972,11,260137
432810924,7,408810
432813485,5,606947
432823771,20,1040167
432828969,31,1479098
432829970,94,27090779
432830182,17,8221921
432832153,28,2326454
432832897,28,1534033
432833171,13,3793779
432834163,4,1219985
432835403,21,6899795
432835430,20,5550456
432837199,8,822725
432837578,29,36342262
432837867,21,5297574
432837905,66,27492577
432838365,55,42460364
432838913,23,1247668
432840080,22,8476453
432841173,7,1195254
432841844,25,6918179
432842045,45,15761740
432842127,107,45494041
432842689,29,11767997
432844638,17,4623216
432844823,8,691921
432844880,20,7206564
432844959,32,12129562
432845255,19,7111279
432845962,10,1288313
432846245,32,1394165
432847279,11,3201905
432848477,55,11664625
432848979,13,6495217
432850338,7,359345
432850506,29,4226683
432850834,16,3299647
432850868,27,9196892
432851163,29,3005252
432851178,22,1307678
432852333,5,1865148
432852370,13,3952807
432852912,14,5699331
432854033,20,555729
432854837,25,7971063
432855253,14,5030209
432856502,17,700331
432856529,7,1970788
432857363,14,1228310
432857634,18,2072498
432858256,13,2827378
432859354,42,2199999
432860464,15,1413512
432860651,6,150985
432861231,17,4518877
432861921,15,4634201
432862575,12,1027404
432865600,12,566314
432867829,44,5650378
432867891,13,3047686
432868684,21,3021040
432869925,24,1843097
432870943,11,1403625
432871001,13,651772
432872828,5,128698
432873040,59,7749307
432873339,44,6581233
432873692,32,2697317
432873781,13,900769
432873866,12,938264
432873978,24,1716692
432874655,4,963533
432874705,149,73187527
432875521,12,2940025
432876903,7,221247
432877280,20,1444488
432877529,47,21410787
432877570,8,3102267
432877800,8,320701
432878091,65,13194618
432878114,350,218091771
432878570,11,925835
432880009,13,850821
432880213,22,810210
432881357,15,5939897
432881496,5,809328
432881825,26,8042803
432882342,28,11291241
432882537,5,755328
432882603,59,42010566
432882609,34,8005839
432882891,7,642851
432883331,17,3458935
432883581,71,22759079
432883601,11,4705699
432883943,35,10836994
432885036,16,485704
432885295,11,2912066
432885421,24,2189061
432886023,12,5498338
432886105,98,40979583
432886880,21,4813715
432887099,69,41932862
432887145,13,428784
432887335,16,5800133
432887909,19,4728583
432888348,9,1248715
432888410,3,376303
432888658,26,6735235
432888756,28,9522516
432888930,17,3946672
432889013,5,1248335
432889666,10,4684870
432890028,11,1173174
432890756,95,11036268
432890864,184,117659181
432891126,23,11759676
432891258,22,7589400
432891600,21,6456669
432891773,7,1690262
432893026,10,1718652
432893037,14,4758335
432893104,8,3885512
432893717,158,74188598
432894342,18,6363928
432895053,8,1148426
432895307,11,1095902
432895466,37,16428124
432895979,25,12184398
432896415,10,405812
432896805,51,5590855
432896980,33,12206976
432898274,36,4589411
432898295,17,2563262
432898704,32,4322515
432898838,21,4399145
432900259,17,5458687
432901280,19,5572477
432901634,18,4441446
432902308,8,756426
432903237,37,7164552
432904419,25,3268372
432904729,12,1936281
432904962,20,641117
432904986,29,7683969
432905260,26,815534
432905523,3,568263
432907110,24,3959155
432907687,4,432379
432907862,18,3050971
432908972,33,1431278
432909683,18,3851762
432911577,33,737136
432913036,8,1652112
432914292,24,771530
432914533,18,1680760
432916621,17,5896562
432917993,14,7364849
432919316,19,4461218
432919321,11,972167
432919788,27,5706151
432920489,19,12140107
432920952,13,4851257
432921424,17,6634723
432921855,4,82351
432923219,8,5489392
432923481,42,15928280
432924290,30,11094429
432925270,3,3227435
432925273,13,5311178
432925672,22,1128017
432925820,69,57878693
432925954,5,1474799
432926521,6,2486180
432928099,5,1789020
432928368,24,3268491
432929361,17,1551833
432929608,11,4330715
432929929,16,1067967
432929935,124,16046225
432931321,16,6133196
432931391,4,1501628
432939020,9,1114756
432941697,18,12814208
432947907,13,1421807
432948546,45,16570487
432956801,9,866946
432956833,14,3308372
432958877,16,3424787
432962785,12,1361434
432981302,5,399976
432990049,13,3908042
432990443,3,198658
432992728,3,313102
433011972,3,111608
433018350,21,10337260
433019099,24,5330680
433020372,32,5925471
433023870,35,3967949
433027324,21,2700198
433028612,9,1034958
433028811,6,395953
433030435,14,2899850
433035087,22,9057010
433037030,7,3919288
433037781,27,8012765
433042420,17,4617050
433043179,13,5198879
433044856,13,3473705
433044943,12,3462713
433045383,30,12427701
433045421,30,10071667
433046554,11,2615106
433048477,13,4689916
433048501,15,1597414
433051409,9,2298487
433052234,14,5698032
