Battle ID,Kills,Fame
465569918,12,4920129
465612810,40,5423004
465612835,24,1848433
465613025,3,140881
465616054,5,1595034
465616393,6,1436517
465616600,18,1401497
465623491,15,997650
465627449,7,636463
465630243,29,3015739
465632253,12,3495868
465634150,16,1172194
465639518,19,1677748
465641979,35,11022758
465642153,10,528626
465643190,5,878093
465645554,17,7250323
465646351,17,1167980
465646503,43,12911044
465649645,40,2953230
465650686,18,2967525
465652437,14,4943830
465654079,19,879032
465654507,4,43206
465655571,30,2347650
465660454,16,2189888
465660932,7,899826
465663348,56,8132374
465669425,6,513606
465670610,28,1566584
465670673,9,2180798
465670794,40,2592825
465672201,73,42177109
465674822,16,1461436
465675944,24,5755324
465676323,9,6404834
465677080,5,763326
465677176,40,11677402
465679127,17,5808809
465679176,21,5434057
465681140,38,25392981
465682038,13,546851
465682198,9,7182674
465682361,91,71800849
465683467,16,9101742
465683840,18,8062220
465684495,5,3149834
465686060,25,11780748
465688265,119,13223817
465689440,32,17784117
465693402,52,7495583
465693809,12,1035718
465697646,19,9221872
465697815,12,905377
465705054,8,488704
465706152,9,545870
465711020,16,1038754
465721711,41,3798546
465726216,9,659289
465732354,23,488223
465734568,13,1065927
465736230,156,70766980
465736251,16,3652072
465737308,16,3052702
465743454,7,1342713
465744169,33,15152399
465744434,64,47873037
465745160,12,3164694
465746324,47,21808607
465746544,15,4779117
465747513,32,15142101
465747519,79,8288540
465747786,186,164530252
465748702,5,1071108
465748751,46,37456182
465749142,9,2756248
465749293,36,15471684
465749641,27,3625086
465749986,38,18268520
465750728,27,8016069
465750819,7,1242420
465751187,46,24766136
465751366,15,7357912
465751571,18,1519130
465751733,16,19238905
465751779,68,39958655
465751785,88,42561418
465752195,28,6802654
465752211,166,106780200
465753696,19,9108100
465754729,12,1218639
465754969,11,852272
465756311,10,1038528
465757372,15,5116900
465757865,113,83537347
465757960,37,12963077
465758044,44,3165857
465758985,18,1804089
465758987,37,3468760
465759209,11,1589805
465759861,13,3307774
465760364,9,1222988
465761536,9,342959
465762945,13,1436272
465763436,18,3683846
465763507,15,2208410
465764306,14,1094354
465765314,11,392905
465765564,15,687692
465765746,32,5992113
465767359,40,5111951
465767375,19,16574483
465768342,9,2034099
465768578,8,1562425
465769709,22,6344336
465770005,26,2679026
465770933,13,5184813
465771122,13,3214833
465771525,6,1679596
465771957,21,2339797
465772275,5,475505
465772451,10,4260
465773167,5,1167557
465774083,9,2364628
465774709,132,116303930
465775243,16,744701
465775867,72,15730564
465776221,9,474771
465776312,8,2338459
465777063,9,2321474
465778307,13,2293527
465778690,60,39891508
465779203,9,572280
465779417,17,742267
465779873,6,167499
465780155,10,3179049
465780863,18,3188388
465781597,3,533026
465782339,29,1483825
465782534,32,5132640
465782659,8,480643
465782929,170,119579575
465783864,16,1437716
465785123,29,2794292
465785710,10,700740
465785722,265,98789576
465785977,66,36804016
465786115,3,992866
465787348,32,2077088
465787374,16,852915
465787541,13,3651666
465787549,12,3565569
465787684,44,21828359
465789485,41,2078286
465790049,33,8331377
465790234,19,1182816
465790435,8,1428268
465790670,119,77150568
465793060,18,14688059
465793690,6,225681
465794205,8,2702416
465794217,26,9148257
465794234,44,17056459
465794514,26,1248741
465794618,4,802132
465794754,44,3891320
465794776,5,186933
465795320,49,15790015
465795886,21,7507629
465796023,13,1195859
465796025,19,6608437
465796347,138,107532765
465797252,6,1246992
465797464,8,204542
465797725,13,4450441
465797953,38,15642486
465797997,20,1093535
465798554,46,21819100
465799091,97,66708411
465799283,10,4697040
465800309,14,3210440
465800865,10,1809225
465801449,9,1116498
465801524,35,9396883
465801750,25,6334995
465801955,10,609532
465803045,31,23811281
465803226,15,1169210
465803334,5,1085932
465803438,7,3558444
465803749,13,6332632
465804612,14,3236804
465805199,16,1998990
465805202,16,2210769
465805723,34,10832766
465806138,10,2840510
465807259,24,2490710
465807414,12,2968869
465807810,6,1826039
465807814,29,16820685
465807918,118,57518091
465808411,11,4910141
465808842,3,490620
465809686,90,42795083
465809844,27,1387036
465810041,17,6122130
465810190,6,1521136
465810260,4,281604
465810338,18,21331490
465811266,117,72941435
465811521,19,5785698
465811750,39,4271585
465813190,13,570386
465813569,6,1489570
465814075,14,3282247
465814918,5,1004316
465815404,28,5951551
465815499,93,42708072
465815964,49,2799842
465816056,4,941468
465816579,141,104849421
465816889,41,19385690
465818345,18,3615996
465820083,16,1313554
465821270,93,21988351
465821955,466,343047885
465822710,58,4147627
465826553,8,2086941
465827765,8,1148478
465829107,14,1496654
