Battle ID,Kills,Fame
345765408,11,1015709
345776672,20,674075
345796466,7,531816
345800428,15,510948
345805132,9,523839
345805996,9,1284487
345812249,19,919852
345813718,7,982822
345821080,7,755688
345823190,15,621377
345848999,15,1275868
345856302,9,2676376
345861793,5,161693
345862408,9,1321170
345865091,25,999835
345868823,22,12269550
345869278,21,487466
345872788,27,2133241
345872965,37,3724471
345874837,11,3772418
345880215,11,1045360
345880393,16,3544555
345883457,68,4316757
345883599,8,245004
345887776,11,4994624
345892164,9,1000538
345900746,62,7879532
345901626,49,6565914
345902824,6,2855278
345905850,24,1252178
345910774,19,1548030
345911158,8,289341
345912354,24,912300
345913157,11,817773
345915304,24,1134576
345917380,17,4655764
345918204,6,455113
345921636,17,7924876
345925344,13,1124972
345926912,5,360689
345927534,9,2199129
345929527,13,4114284
345930260,15,3637944
345931310,10,348102
345932620,7,1996284
345932843,4,1295050
345934171,32,1767305
345934526,32,3161404
345934629,20,1036908
345935566,14,4732887
345935699,6,1017947
345937486,13,5082429
345939955,13,1121046
345941329,18,1958490
345942051,24,1319933
345945820,9,873259
345950685,11,650976
345951247,18,1061370
345951494,12,1739748
345952033,25,1082881
345952635,22,1089822
345954852,17,1539705
345957968,16,1580451
345958520,18,1199518
345959571,53,1970596
345960065,5,239958
345961761,88,14470133
345962417,22,818868
345963201,8,1041908
345966069,23,20396853
345968727,12,594465
345969459,22,764042
345970537,12,2469171
345972072,26,2524172
345974646,16,738944
345976022,5,230554
345976355,6,489854
345977155,8,3031505
345977826,31,10800162
345977998,33,1153950
345978246,11,1070172
345978364,19,5379867
345978792,24,5974803
345979260,7,285903
345979795,41,14483748
345981508,27,13448097
345981635,4,1096972
345981850,37,12304234
345982440,16,3789616
345983263,53,4046661
345984025,8,2609867
345985078,46,13514176
345985141,39,877671
345986771,22,8327651
345987528,8,3712861
345988213,6,106340
345988363,4,3038852
345989050,20,5835584
345989497,31,8757937
345989838,12,4273685
345989881,10,3715311
345989918,13,7003487
345989968,18,4785969
345990539,49,3007151
345990836,5,205468
345993647,4,980227
345994653,20,10166901
345994852,17,6403571
345996638,45,1527922
345999199,9,349963
346000922,47,4719089
346001044,27,2462021
346001383,24,497804
346007774,10,2762705
346010215,40,2521493
346011404,7,314528
346015748,16,624794
346019043,10,295131
346019702,24,5457652
346020420,24,1362790
346021031,8,410279
346021075,21,2633108
346022204,18,1440938
346023217,97,44484787
346024034,20,4511937
346024611,10,2576083
346026442,16,3389420
346026788,10,2027835
346026947,14,1202890
346027120,7,320856
346027188,46,20368639
346027854,10,679396
346028189,24,4785465
346029641,15,909364
346029783,20,3374094
346030128,10,2550772
346030826,15,3496190
346030837,12,1103761
346031213,18,3798156
346031252,24,8789346
346031496,15,765757
346032888,23,1678966
346033225,20,1207372
346034400,9,3982475
346034425,12,4177470
346035142,7,4770940
346035412,23,1569869
346036878,3,496803
346037038,9,469664
346037485,5,1081193
346037578,191,94591481
346037760,18,1439577
346039044,23,6085108
346039752,28,9098119
346039883,12,4303521
346040099,39,2988565
346040678,11,602778
346040790,25,13165704
346041127,72,30082878
346041356,190,90568875
346041464,9,525684
346041590,28,10453367
346042371,19,8412748
346043082,11,930844
346043213,10,2616374
346043273,27,12411329
346045007,15,2837295
346045271,11,1233590
346045333,21,7616692
346046426,37,24833550
346046538,13,2466450
346047527,15,1652376
346047591,36,14508110
346048284,18,6802218
346048317,65,27132901
346049581,185,92761264
346049686,25,9540332
346051042,14,4286485
346051378,10,2665411
346051899,53,15896666
346052297,14,4054179
346052530,9,824792
346052599,13,1333574
346053421,6,2102422
346053515,99,39202949
346054602,17,3754348
346055794,17,582676
346058321,29,2696714
346060126,27,2976154
346060876,9,2185881
346061550,15,6821270
346061969,17,949576
346063314,10,2436333
346063838,15,558635
346064928,13,2241404
346064961,5,97265
346065517,13,2472011
346065601,9,1368653
346065865,5,142046
346070802,52,6413826
346071606,18,2297581
346071919,22,940054
346071995,7,1039618
346072764,11,1631091
346073797,4,78278
346073922,19,905879
346074485,5,372539
346076924,15,19118429
346077927,26,856495
346078404,10,245919
346080099,29,2575071
346082312,28,829249
346082392,11,214014
346083364,220,109910464
346084045,22,4972985
346085664,10,557366
346088275,286,145020482
346090396,8,2715721
346091947,238,101171880
346097723,31,8727827
346098756,18,1778842
346099154,50,3540591
346099417,20,769863
346099970,21,3369220
346100028,10,831742
346100305,27,7458813
346101632,19,1205445
346102839,20,10360851
346103276,8,930495
346104707,12,4540297
346106010,15,861235
346106421,10,2683608
346107067,13,3520802
346107103,13,3655465
346107231,3,42111
346108534,196,81858231
346108864,19,6284629
346110643,53,4165318
346111077,12,537185
346111176,9,2763150
346111419,8,1754346
346111812,20,10269205
346112243,16,1179114
346113797,26,9657649
