Battle ID,Kills,Fame
318504341,58,36722473
318505849,10,290737
318506911,51,20578440
318510224,4,1253318
318514723,23,1092273
318514863,21,1657197
318515209,7,549119
318523994,19,765852
318527561,24,7480263
318529101,12,864715
318531882,8,398697
318532100,3,587395
318537769,17,1300994
318561824,20,5927079
318576801,10,552796
318577401,17,1049070
318587524,17,654224
318589962,26,718252
318600188,17,6840341
318603843,4,1720212
318606430,9,2733784
318612857,28,10242361
318614037,13,748299
318620248,6,236255
318630472,3,126566
318631786,13,1197963
318636880,26,1453021
318637685,13,566687
318639802,20,3363664
318642062,30,2047776
318643746,24,7864874
318643855,21,2262135
318644405,19,2645096
318646495,36,14849828
318646797,118,51320781
318648606,21,6902814
318648937,30,1216739
318649344,21,847918
318658092,13,1996796
318661741,17,5154491
318663630,13,1297092
318665373,28,9688159
318668069,20,823706
318669584,62,4228562
318670959,17,1322698
318671050,16,5319170
318677271,15,6083299
318679474,78,27870728
318682430,12,6991518
318683577,21,1702778
318685408,11,1023867
318688808,17,6574800
318691054,16,7197691
318691087,13,517579
318691775,7,645506
318694845,14,838780
318696000,19,1300250
318696066,7,2591566
318698515,10,3586528
318699553,70,5903040
318703867,17,1032112
318704729,29,1322497
318705307,27,3150478
318709597,20,2660253
318711195,8,2176747
318718417,18,5709271
318719373,17,1068494
318719506,18,3290924
318719676,28,1647849
318723367,20,2737942
318724119,7,219531
318724511,8,9762537
318724777,11,537536
318726531,4,236766
318728604,456,34163604
318731718,21,2668017
318732689,11,831967
318733076,20,6725563
318739343,15,1180743
318740239,12,992043
318744153,5,149375
318744403,155,68323348
318746881,22,445789
318747580,10,4297687
318748814,23,1976197
318751293,20,7010535
318751468,52,37489853
318753275,17,4774227
318753794,11,3546811
318754176,13,1861143
318755503,3,849662
318755639,33,1591334
318756529,17,1703870
318757511,8,4682866
318757958,12,3653668
318758203,29,10226759
318758917,99,38698481
318759238,15,3659128
318760789,34,8402034
318761084,6,3129865
318761272,3,3573278
318765076,36,2158097
318765238,18,1897980
318765439,32,9443635
318766146,9,749876
318767957,9,506973
318773145,25,4013292
318775790,15,1464642
318775926,18,939784
318778834,28,1813956
318782853,5,1460062
318785743,19,809521
318786779,12,805814
318787057,26,4368637
318787761,4,548927
318788305,135,56925485
318789616,18,1665080
318790391,19,2974856
318796167,55,2327828
318801850,16,468420
318801916,19,1127384
318802023,41,7011987
318802240,91,31457708
318805443,9,925098
318806126,17,6353511
318806736,16,1395960
318807390,31,10458957
318808234,14,2464406
318810776,21,16933691
318812788,4,165690
318813264,14,1923123
318813451,41,11988553
318814583,4,262569
318814851,51,9248463
318816262,15,3421729
318816470,7,2081555
318816496,13,3957576
318818928,17,1627849
318819067,17,6841546
318820840,23,10450423
318822517,8,3242615
318822896,19,4640236
318823642,74,1948620
318824568,11,1480049
318824714,13,5327221
318824869,5,3786495
