Battle ID,Kills,Fame
305325179,17,690980
305364169,17,8440276
305396497,40,3449209
305406077,15,3701167
305406521,15,965475
305412901,6,604283
305428121,19,1960619
305429980,8,514777
305431782,30,1848056
305434183,51,10127111
305436041,61,17309373
305440959,49,11737441
305441683,56,2608532
305441850,5,477882
305442041,5,428988
305443233,23,7374380
305446843,9,1385820
305448068,10,7525775
305449588,8,1967636
305451069,26,7768309
305452064,13,2118024
305453593,15,2333877
305454519,5,1420920
305455527,11,4004474
305458023,6,1419448
305458025,13,4037034
305460963,35,7453681
305464276,55,3964734
305466476,16,1798990
305474526,22,2125756
305478828,3,31295
305479167,43,4656005
305480191,18,11073335
305484931,9,2889149
305485164,40,19209200
305487150,3,274759
305487208,8,2666358
305487712,14,737973
305487716,16,7286904
305488048,25,13244314
305491573,3,537545
305491608,6,786246
305491701,7,1639746
305491969,39,20741958
305492809,23,6080925
305493806,11,4363688
305493887,30,1861098
305494092,6,1090529
305494992,18,4241880
305496964,15,4322400
305497322,28,8087622
305497561,4,1779063
305498124,25,8720049
305500328,20,6983589
305500442,6,968248
305501695,9,2021052
305502974,38,2723539
305503681,12,755592
305503725,13,894658
305507765,13,869206
305507939,34,2729040
305508407,10,555882
305511781,38,2284776
305513470,18,741990
305515090,14,685032
305516360,7,1204557
305518044,14,1113437
305519338,21,2145051
305529929,4,617004
305531586,39,15348544
305532884,40,13294681
305533505,27,10942978
305534696,7,1537175
305535899,4,1151801
305537405,17,3647890
305537598,28,6182617
305538598,17,1984026
305538848,19,6915026
305539910,17,5900061
305541050,30,7665401
305541264,15,2691046
305541594,25,2028422
305543081,39,19088568
305544057,8,3473361
305544239,34,13523060
305545977,12,790712
305546385,5,656235
305548851,35,12341670
305548879,6,1848078
305549219,5,978053
305549406,10,272874
305550131,35,19726066
305551514,6,2092927
305552296,23,1024336
305552702,16,3727367
305556046,4,262634
305556530,11,6354968
305557093,27,1932639
305558087,13,2492248
305558299,7,456055
305559056,16,4292735
305559074,65,32622941
305560777,12,622214
305561788,9,799539
305564622,14,1631573
305564852,8,1468194
305566045,5,220545
305567716,4,73501
305570091,10,2139627
305571155,14,1999708
305571198,5,360332
305572777,20,1668743
305572790,21,647257
305573638,14,1314709
305573802,41,927354
305574105,33,5477625
305576394,3,429332
305578294,14,1959384
305579356,13,4385105
305583331,13,581206
305584993,26,8749180
305588638,41,17498861
305589442,24,2152146
305590277,5,1155576
305593561,6,1123019
305594757,81,44389245
305595035,13,1833464
305595103,16,492499
305595367,15,1915305
305595477,54,27381103
305598323,10,6795962
305598728,14,2079503
305599017,41,9335920
305599302,25,1399529
305601996,15,1627720
305602182,58,23420957
305602561,23,2694371
305603461,13,971250
305603600,18,3021648
305603704,24,5478561
305604724,21,4263425
305605755,12,4174121
305606532,13,2991793
305606597,17,2756898
305607106,8,2470004
305607176,80,25020198
305610223,8,1948969
305610804,31,1078723
305610824,9,3348344
305610856,6,391373
305611355,4,112596
305611645,10,890192
305611682,21,1647826
305611685,17,8957545
305612104,13,1166719
305612692,14,1880112
305613041,8,2650916
305613427,5,1493592
305613548,13,3143370
305613687,11,1567160
305614207,24,8627025
305614439,32,10936894
305614501,51,3322645
305614707,82,30101552
305614763,21,4420493
305614959,10,792398
305615690,8,3992057
305616111,16,4445242
305618323,25,1827928
305618620,8,327035
305619190,11,2428658
305620922,9,2012775
305621048,10,1451050
305622175,15,5683702
305622659,7,285190
305623012,132,14686876
305623016,11,800395
305626092,65,8536596
305633431,11,188430
305634457,41,2487153
305635645,20,3492176
305635919,15,1428871
305639106,14,1132273
305642055,13,5463426
305645850,13,3443350
305647569,16,4766021
305649123,10,14644951
305650531,80,31245948
305651806,6,876836
305653459,29,9485874
305654738,14,2116255
305655283,12,2059420
305656062,15,1869827
305657082,13,3397049
305657147,16,7356810
305658030,29,3719603
305658136,88,29533463
305658703,9,524599
305658999,8,1101232
305659963,117,37419324
305661402,18,5922050
305662769,32,2608724
305662930,14,5109200
305663187,3,670983
305663325,11,488394
305665065,34,8041660
305665316,9,281273
305666046,19,15993087
305666117,22,1327267
305666523,17,7666896
305668593,17,10299064
305668791,29,15730740
305669335,4,139515
305670209,15,2316160
305670654,17,6109800
305670907,14,5505098
305671209,59,28220086
305671538,81,35346455
305672116,12,2565004
305672340,17,956974
305674282,13,4508226
305674525,24,11628269
305675229,21,4136400
305675424,4,812547
305676518,23,9427672
305679026,9,997852
305679523,5,290971
305679930,4,203471
305680017,6,2526970
305680673,13,895137
305682234,75,6082532
305684214,11,889623
305685944,10,4681325
305687940,18,2116547
305688961,23,1414919
305689273,10,395147
305690905,11,1063101
305690947,13,4196003
305692503,23,3278761
305692979,7,1232052
305695427,9,623576
305697797,14,5885076
305698259,11,2627097
305700204,3,759183
305700501,30,1824442
305700854,10,802023
305701508,33,2625856
305701822,36,17194818
305703232,41,5796770
305707778,23,2543243
305711631,18,1464519
305712955,18,2816883
305713002,4,211662
305715738,7,1878196
305717349,20,2862097
305718479,17,599505
305719163,36,1944825
305719873,26,8763163
305721309,101,6349176
305723528,31,15110567
305727904,17,6824678
305728311,23,3647152
305730848,31,10006990
305731913,19,7460621
305732002,17,5547163
305732106,11,1726463
305737060,365,121393013
305737235,15,3334207
305737948,52,4875334
305739833,4,142249
305746705,7,479923
305746780,50,3130591
305747003,12,1803159
305747136,18,4326354
305751484,5,710588
305752834,8,732028
305753004,20,5548006
305753602,34,3615805
305756739,10,665808
305758162,14,1084444
305759989,4,282100
305767386,21,1396228
305776654,11,3267266
305866991,12,9168758
305869161,26,8360312
305871679,18,5074613
305874364,16,5570207
305881357,16,1279425
305885591,11,3111228
305888820,11,3057673
305892158,21,1152911
305894494,10,689151
305896571,7,1116483
305898642,237,81867202
305899009,3,396341
305901828,15,7708141
305901841,8,907347
305908187,14,972598
305908573,11,1572827
305908604,4,417851
305909250,19,42099682
305909605,17,23524933
305910951,26,3541275
305911503,10,1134216
305912356,68,27888760
305912951,14,6628650
305913426,22,947037
305913826,14,3367299
305914606,7,1802163
305914716,7,1162835
305916128,16,4576407
305918894,12,972684
305919944,12,3848220
305922127,34,4555687
305925615,29,1626801
305925726,18,1176482
305929350,7,414114
305929967,13,741295
305930019,57,4994268
305943529,57,17250587
305949638,39,9729519
305955077,11,9655609
305957734,17,1297977
305958434,4,1725570
305959401,16,12276503
305961169,9,2806640
305961197,15,2677352
305963493,25,11366429
305964843,28,11464186
305965983,29,7652789
305970938,104,12798342
305971091,26,2896733
305975170,14,2274640
305978738,15,1047509
305980303,15,11514497
305982975,25,1055964
305990357,50,3383790
305994026,3,646490
305994199,11,2309781
305996251,17,3795270
305997165,132,43755973
305997753,6,283931
305997829,10,3116026
305998710,51,3175682
305999429,17,1078248
306000012,11,2791488
306000205,36,2323261
306000757,13,1154465
306001025,9,3107167
306001038,39,1834924
306002915,147,45530335
306003072,9,2824216
306004499,5,1833612
306004651,41,10547154
306005698,9,1760054
306008092,21,4775889
306008406,6,1473598
306009562,62,4902471
306011584,20,4759416
306014909,28,11863236
306014956,52,3172657
306016008,10,255070
306016172,21,6657894
306018098,20,9182181
306018980,12,3284174
306019057,24,13818230
306029056,18,892137
306030847,39,2966411
306031304,19,260689
306032635,69,2521685
306034587,23,1217834
306035241,11,310058
306035377,129,7844711
306035705,24,1352932
306036388,24,1370527
306039234,11,2732328
306040146,34,1633597
306044360,14,1141009
306047120,21,1681712
306047348,23,307192
306047585,39,1847780
306050068,45,12884734
306052071,114,35337383
306052156,6,1753788
306052632,12,560221
306052820,21,3840014
306053422,9,301676
306053986,21,2050735
306054451,7,560756
306055150,4,514105
306055760,14,586560
306055915,26,9291518
306056326,21,3287987
306057770,17,1367977
306059104,44,12654643
306059741,72,31751283
306060039,35,1831116
306060132,22,1248818
306060175,24,1534299
306060178,23,6547281
306060557,47,16026476
306061055,4,123997
306061308,17,820863
306062234,12,4083177
306063072,18,4433416
306063321,20,4287043
306063766,16,2863011
306064990,20,7628033
306065358,11,3222587
306065600,16,3757825
306065781,20,6291164
306066725,13,1832555
306067048,16,755754
306067873,24,8361837
306067995,21,10109754
306068858,15,2467871
306069143,28,7892638
306069779,25,1223455
306070670,7,2169633
306070703,16,5181958
306071248,96,31099622
306071288,42,2367177
306071690,49,14057415
306071755,6,1872168
306072350,5,1486276
306073379,11,3920100
306073915,25,2446629
306075082,18,4170328
306075162,46,21392690
306075203,5,1511551
306075364,5,140920
306075581,9,454812
306075956,26,3968556
306076272,14,6475393
306076634,7,478837
306076876,42,20168990
306077111,8,2790370
306077917,8,1704549
306078178,4,189289
306079445,15,4642615
306080412,9,6447233
306080699,65,18569822
306080841,18,3368429
306080890,6,2020507
306081054,30,902758
306081492,25,1417248
306082162,14,908526
306082214,18,7625706
306083988,18,580866
306084398,28,1890851
306084734,10,972147
306084735,21,12043259
306086339,11,2811381
306086669,23,1250317
306088741,19,10881000
306091064,34,2442468
306094768,13,3631451
306095677,12,2004336
306096301,23,1795940
306099691,43,3545848
306101278,12,539434
306103041,68,2940394
306105704,26,2196857
306107248,3,149994
306108726,21,1660696
306109109,14,1236039
306109251,211,72990296
306111092,17,760937
306112957,27,8110347
306114395,3,990288
306114485,71,3459902
306114717,43,1547263
306118653,41,14285982
306120471,12,806880
306122073,36,16883640
