Battle ID,Kills,Fame
331667487,14,467706
331668563,41,3230042
331673042,12,469063
331677222,12,313503
331677362,17,8753226
331683129,11,919386
331686785,18,1020876
331699881,13,775015
331700334,22,833200
331702495,5,477293
331728379,17,1878501
331752644,130,39065962
331780177,24,15521185
331783291,6,700816
331789902,52,22919095
331791983,9,2227781
331796686,20,1190535
331804142,10,2825509
331804675,14,1739833
331805972,57,3580987
331806029,37,2224264
331807781,9,2045285
331808927,20,9532544
331811056,34,2104871
331811062,19,4016219
331812836,4,649872
331815906,177,17958888
331815941,23,6353390
331816123,30,2898172
331816153,15,1428404
331818393,7,1911282
331819335,26,10823328
331823335,7,477830
331823406,26,10256700
331823692,18,631108
331824669,86,6868093
331827249,11,3979782
331830753,21,971415
331832125,10,537784
331833258,13,591147
331833545,14,852406
331835498,18,893538
331836663,9,614616
331841293,21,1869618
331842029,16,2232323
331843115,16,7135989
331846036,14,3351352
331846962,10,1696795
331848541,17,8486634
331849959,5,306874
331850278,6,205496
331851558,23,2866919
331853232,10,3313672
331854502,16,7631450
331854772,24,1003496
331859249,9,1373306
331860245,20,893618
331860784,30,1898639
331860790,19,862759
331861986,12,495661
331862768,29,9363109
331866712,94,9126962
331867840,19,6268565
331872353,26,984007
331872804,97,10160268
331874793,8,643405
331877832,21,8146242
331882655,11,919845
331882828,4,569032
331884892,33,2932927
331885440,99,6383447
331885504,38,4636127
331890528,27,2366348
331891728,79,37657790
331892592,5,672178
331894498,7,785284
331899207,16,1520178
331900438,18,829975
331908157,11,521305
331911137,34,2198733
331914398,26,7878205
331915027,37,3426864
331920418,30,12442734
331921114,10,4138215
331922094,8,7038745
331937892,10,1808132
331940989,10,1191426
331941893,185,14066303
331955754,18,4824800
331956613,26,4378009
331956767,17,1582443
331957254,17,4510194
331958284,19,814067
331960273,17,10681807
331963273,42,18100845
331963803,11,916330
331965396,34,3549203
331967780,48,1216394
331968480,47,5309707
331969657,20,5644340
331970910,32,14407357
331971942,9,3156769
331971966,12,1411207
331974106,40,1405238
331975087,22,8864481
331976798,5,1201431
331977986,39,3217837
331978001,19,1617224
331978247,18,14737146
331978851,11,656611
331979176,11,1177532
331979592,13,3490998
331981688,11,1435395
331982159,15,12897731
331982335,12,2045990
331983470,38,1354508
331984056,7,254822
331986228,14,1549683
331986564,28,1649300
331988599,11,1789715
331988701,7,2301280
331989322,52,3899098
331990351,4,203440
331991017,16,3258254
331991264,26,4096885
331994734,11,797865
332001851,3,68330
332002340,13,3314730
332003386,13,767036
332004667,31,2336130
332006004,64,1757913
332009803,29,5373415
332011602,7,1319609
332015086,19,3008621
332019292,13,1606124
332019707,3,1278802
332021503,16,1130864
332024478,3,254326
332025346,10,1731037
332025453,30,1296095
332025876,5,1797820
332027877,48,18575975
332028498,106,40601127
332028961,4,717490
332029568,14,1682458
332029641,23,14471102
332029750,19,8624276
332029773,41,18543929
332032118,7,5544695
332032299,11,5694975
332032418,22,8091958
332032658,14,5521138
332032897,13,1276908
332033357,30,10751845
332033370,6,2403392
332033503,51,19188934
332035147,147,75610729
332035481,78,37490825
332035814,19,3021387
332037818,16,904761
332038421,33,10289940
332038454,16,5644334
332038991,6,1721277
332039016,8,2746364
332039031,18,6100234
332039617,141,50849659
332040133,15,3956889
332040218,44,14824761
332040879,37,22336956
332041214,41,20068391
332041383,15,7356679
332042161,13,1401802
332042659,37,16692464
332042887,110,55080202
332043034,20,5448267
