Battle ID,Kills,Fame
361650722,7,468172
361652572,35,16759853
361657505,28,2428118
361668447,15,1066173
361679770,18,1084665
361708941,5,334834
361713374,10,496658
361717509,30,4611530
361761312,5,150576
361763951,24,1496585
361764443,3,83310
361772025,5,969943
361776983,22,2276515
361785247,12,3606744
361786827,20,1459490
361804258,9,484406
361805882,30,11963874
361808300,13,3543001
361809238,27,2682376
361809538,24,6227248
361812210,11,3893054
361812259,18,1208191
361817866,30,5304312
361821608,5,269001
361828951,28,1931093
361831125,19,6328192
361834593,13,7305399
361834821,39,3307662
361835818,11,636930
361843563,35,2127913
361845318,11,3016005
361847392,13,1080385
361848187,28,4033537
361849472,25,1682900
361849918,18,5210125
361851002,34,3567505
361854487,11,3191816
361855641,15,1433817
361857227,9,311837
361862057,22,10745626
361864269,27,3474107
361866848,29,7554079
361868771,11,1062205
361873153,9,2917027
361875135,7,407564
361879540,4,891944
361881675,18,4889854
361883029,13,1056472
361891512,59,3462644
361894381,17,2770709
361895788,7,461924
361896437,27,2708796
361900335,18,705172
361904111,7,201757
361905436,13,611493
361907729,9,1225985
361910452,16,1569238
361913325,3,931680
361914844,59,11957566
361915485,20,2913210
361916060,5,840339
361916086,7,1180323
361916839,16,2395136
361921805,24,8589567
361923254,57,27733613
361923683,16,3075205
361925455,26,9575017
361927806,15,908650
361928220,6,1886448
361928804,5,188745
361931199,6,1112003
361931533,42,14191921
361931645,7,677475
361933580,69,38195726
361935777,9,2826121
361937478,25,12062854
361939104,13,5091225
361939384,27,677441
361941255,11,1961341
361942120,10,871490
361943882,24,8918495
361944315,13,3637649
361946912,17,7126555
361951083,10,4325012
361951865,10,1569076
361954901,3,129214
361955529,3,1105291
361956660,21,3346275
361957240,20,8266989
361957276,8,2627511
361958741,26,2030635
361959938,14,1230480
361961453,31,3716593
361962986,24,6846804
361964108,66,8763496
361964761,17,1267098
361964814,5,523757
361965075,20,1948356
361969881,78,3092141
361972045,16,1241335
361972142,12,884282
361976365,13,1056646
361978107,23,1264584
361983587,14,683164
361984254,17,1412089
361984424,49,25520511
361987574,26,1129046
361988789,27,1031680
361989711,11,518705
361991692,77,11006977
361995582,12,4327575
361995775,21,2643685
361996026,5,365700
361996683,35,1915940
361997952,19,5726314
362001161,89,36719667
362001763,16,1941778
362004150,7,1034484
362005393,27,2609633
362006392,39,3873481
362006740,48,5340086
362006818,61,27098139
362006986,8,669404
362008048,30,14524006
362008237,9,1766979
362009475,14,6126043
362012108,13,3033757
362012772,10,1070896
362013655,18,3300726
362014199,47,1305620
362014263,25,2172877
362014948,18,1293334
362015361,15,5987381
362016325,41,15894547
362017282,9,311676
362017595,15,2667793
362018778,104,57804709
362019219,10,1181056
362019584,9,4203105
362021562,12,1795852
362022246,29,2709192
362023752,19,9303227
362024859,5,1339113
362027582,26,8476203
362028002,14,1567430
362028117,9,1297448
362028594,24,6570032
362028709,15,3276623
362028784,10,2893197
362028971,41,5901871
362029556,53,1271365
362030167,3,280124
362031973,12,6061287
362033987,15,1952954
362033993,27,1106548
362036898,14,2593879
362038097,18,9448245
362041241,44,4658990
362041396,39,3713716
362043295,11,2629544
362046423,16,1378958
362047274,10,2230291
362047536,5,1512758
362051772,13,634557
362051836,6,744565
362056483,11,875107
362058838,29,1341560
362059174,16,1227992
362059209,35,2255661
362061109,60,15934446
362061173,7,1494197
362066279,41,23010802
362067952,12,1213079
362068042,134,47058976
362068783,29,6288552
362071907,10,608432
362073380,17,4982445
362073654,22,6404284
362075312,31,12441657
362076161,7,2838450
362076586,16,1569056
362077879,26,3473878
362079471,27,2240575
362080379,13,2586370
362080429,37,26554595
362080965,11,1974712
362081247,8,1067226
362082383,7,3517834
362082650,15,469103
362084102,158,47415976
362084141,18,6285599
362084435,282,117817844
362084634,41,14160525
362085186,43,1740598
362085750,3,1347564
362086574,10,5186697
362088054,62,30735402
362088114,59,12793907
362088155,15,3975946
362088249,6,1596410
362088319,11,4831145
362089328,29,12798343
362090178,13,5877591
362090938,120,45893004
362091497,15,3257351
362092711,45,18542712
362094321,24,2822097
362095648,12,3280632
362096420,21,8565030
362096560,14,2523937
362097001,19,1301091
362097259,85,24155776
362098267,141,55033913
362098515,26,11333589
362099810,12,3104612
362100306,11,3258461
362100390,22,9421297
362100595,29,12004205
362102003,3,1073824
362102927,10,7689619
362104046,15,17340817
