Time,Battle ID,Guild,Kills,Deaths,Fame
2026-05-9 1:36:08,1383528708,PllVAS,0,0,391692
2026-05-9 1:36:08,1383528708,-,0,1,0
2026-05-9 1:19:55,1383524315,Legacy Corporation,0,17,0
2026-05-9 1:19:55,1383524315,Outlimits,18,0,6015150
2026-05-9 1:12:25,1383522563,Mono Con Navaja,1,1,1796
2026-05-9 1:12:25,1383522563,Victory or Valhalla - NA,1,0,17084
2026-05-9 1:12:25,1383522563,Just Drop4,0,0,71482
2026-05-9 1:12:25,1383522563,Loyalty Matters,0,0,577380
2026-05-9 1:12:25,1383522563,-,0,1,470332
2026-05-9 1:12:25,1383522563,REC0NNECTING,0,0,35741
2026-05-9 1:12:25,1383522563,Von supremo,0,0,35741
2026-05-9 1:12:25,1383522563,Healer Tax,0,0,8542
2026-05-9 1:12:25,1383522563,Cavaleiros Avalonianos,1,0,192460
2026-05-9 1:12:25,1383522563,CaptainTroll,0,1,1796
2026-05-9 1:12:25,1383522563,Cyan,0,0,17084
2026-05-9 1:12:25,1383522563,GGNOOBS,0,1,1796
2026-05-9 1:12:25,1383522563,Furia Nocturnx,0,1,1796
2026-05-9 1:12:25,1383522563,Amigos do Blackjack,1,0,171963
2026-05-9 1:12:25,1383522563,INDOMITABLE LEGION,0,0,1796
2026-05-9 1:12:25,1383522563,House-Of-Dragons,0,1,0
2026-05-9 1:12:25,1383522563,Life is game,0,0,1796
2026-05-9 1:12:25,1383522563,MMerchante,0,0,192460
2026-05-9 1:12:25,1383522563,Faction Army,0,1,1796
2026-05-9 1:12:25,1383522563,Drakonty ligea,0,0,8542
2026-05-9 1:12:25,1383522563,TEEN SMOKERS,0,1,1796
2026-05-9 1:12:25,1383522563,FULL TIER 3,0,1,1796
2026-05-9 1:12:25,1383522563,Rogue Natives,2,0,183196
2026-05-9 1:12:25,1383522563,A R 1 S E,0,0,8542
2026-05-9 1:12:25,1383522563,NIGHT GU4RD,0,0,1796
2026-05-9 1:12:25,1383522563,Romanos Invasores,2,0,192460
2026-05-9 8:43:31,1383486032,V4TOS LOCOS,19,8,2706169
2026-05-9 8:43:31,1383486032,-,4,2,1572727
2026-05-9 8:43:31,1383486032,Evil Not Today,0,3,1631952
2026-05-9 8:43:31,1383486032,PlVAS,2,1,701195
2026-05-9 8:43:31,1383486032,The Lonely Men,0,6,1049207
2026-05-9 8:43:31,1383486032,Outllmits,1,1,871532
2026-05-9 8:43:31,1383486032,True Gentleman,1,0,842860
2026-05-9 8:43:31,1383486032,TEAM Of DEATH,0,0,296336
2026-05-9 8:43:31,1383486032,Evil Kool Aid,0,0,516058
2026-05-9 8:43:31,1383486032,light chaser,0,2,871532
2026-05-9 8:43:31,1383486032,Exiled KingDoms,0,1,701195
2026-05-9 8:43:31,1383486032,Outlimits,0,3,0
2026-05-9 8:28:31,1383483678,-,1,5,261193
2026-05-9 8:28:31,1383483678,LIFE AND HONOR,0,1,0
2026-05-9 8:28:31,1383483678,H0N0RABLES,0,0,4038
2026-05-9 8:28:31,1383483678,Furia nocturnx 2,1,0,34086
2026-05-9 8:28:31,1383483678,Aponia,0,0,13382
2026-05-9 8:28:31,1383483678,Wanted PKS,0,1,85689
2026-05-9 8:28:31,1383483678,Evil SpetnaZ,0,0,4038
2026-05-9 8:28:31,1383483678,Life is game,0,0,34086
2026-05-9 8:28:31,1383483678,Gankers LetaLes,0,0,35039
2026-05-9 8:28:31,1383483678,Explore The World,1,0,4038
2026-05-9 8:28:31,1383483678,OVER DISASTERS,1,0,100192
2026-05-9 8:28:31,1383483678,The vicious,0,0,4038
2026-05-9 8:28:31,1383483678,0 PVE,2,0,37487
2026-05-9 8:28:31,1383483678,Faction Army,3,0,83610
2026-05-9 8:28:31,1383483678,Sertralina,3,4,342756
2026-05-9 8:28:31,1383483678,A L O P E C I A,0,0,37487
2026-05-9 8:28:31,1383483678,AlterFirsted,0,0,29572
2026-05-9 8:28:31,1383483678,Complejo de Pocho,0,1,3729
2026-05-9 8:28:31,1383483678,YOU_ARE_DEAD,0,0,5366
2026-05-9 8:28:31,1383483678,DIAMOND SWORD,0,0,4038
2026-05-9 8:28:31,1383483678,M O S C A,0,0,4038
2026-05-9 8:28:31,1383483678,V1ctory or Death,0,1,0
2026-05-9 8:28:31,1383483678,Frontera Roja,1,0,13382
2026-05-9 8:28:31,1383483678,ArGentiNidad,0,0,5366
2026-05-9 8:28:31,1383483678,BlackSm0ke,1,0,35766
2026-05-9 8:28:31,1383483678,YUNc,0,0,4038
2026-05-9 8:28:31,1383483678,D A E M O N,0,1,0
2026-05-9 8:09:20,1383480240,Loyalty Matters,13,0,1281103
2026-05-9 8:09:20,1383480240,-,0,7,234071
2026-05-9 8:09:20,1383480240,Keybump,6,0,270897
2026-05-9 8:09:20,1383480240,Os Herois da Profecia,1,0,464
2026-05-9 8:09:20,1383480240,PllVAS,0,1,464
2026-05-9 8:09:20,1383480240,miaw2511,0,0,464
2026-05-9 8:09:20,1383480240,N A G A S A K l,0,1,464
2026-05-9 8:09:20,1383480240,Faction Army,0,1,1392
2026-05-9 8:09:20,1383480240,Divine Departure,0,0,464
2026-05-9 8:09:20,1383480240,LC- Nueva Guardia,0,1,0
2026-05-9 8:09:20,1383480240,The Tang Sect,0,1,0
2026-05-9 8:09:20,1383480240,Mystnigh,0,0,464
2026-05-9 8:09:20,1383480240,COBRAS YT,0,2,928
2026-05-9 8:09:20,1383480240,Road Of Ruins,0,1,0
2026-05-9 8:09:20,1383480240,VENENO T8,0,1,464
2026-05-9 8:09:20,1383480240,This-Promise,0,1,0
2026-05-9 8:09:20,1383480240,CALOTE CLT,0,1,0
2026-05-9 8:09:20,1383480240,Witless Mercenaries Tavern,0,1,0
2026-05-9 8:09:20,1383480240,OSOS DEL INVIERNO,0,1,0
2026-05-9 8:09:20,1383480240,Victory or Valhalla - NA,0,0,270897
2026-05-9 8:09:20,1383480240,Capy Crew,1,0,270897
2026-05-9 8:09:20,1383480240,Osos-de-elite,0,0,464
2026-05-9 8:09:20,1383480240,FURIA DIVIN4,0,1,464
2026-05-9 7:59:50,1383478377,-,1,0,162799
2026-05-9 7:59:50,1383478377,PatitasMagicas,0,0,5919
2026-05-9 7:59:50,1383478377,Os Herois da Profecia,0,0,5919
2026-05-9 7:59:50,1383478377,Wanted PKS,2,0,79793
2026-05-9 7:59:50,1383478377,PllVAS,0,1,5919
2026-05-9 7:59:50,1383478377,miaw2511,0,1,11838
2026-05-9 7:59:50,1383478377,Faction Army,0,0,11838
2026-05-9 7:59:50,1383478377,ShonioKami,0,0,21214
2026-05-9 7:59:50,1383478377,Divine Departure,0,0,5919
2026-05-9 7:59:50,1383478377,LC- Nueva Guardia,0,0,21214
2026-05-9 7:59:50,1383478377,Sertralina,3,3,239379
2026-05-9 7:59:50,1383478377,The Legion Of Asgard,0,0,4846
2026-05-9 7:59:50,1383478377,The Tang Sect,0,0,2062
2026-05-9 7:59:50,1383478377,Mystnigh,0,0,5919
2026-05-9 7:59:50,1383478377,VENENO T8,0,0,5919
2026-05-9 7:59:50,1383478377,CmDTeam,0,0,2062
2026-05-9 7:59:50,1383478377,Cerberus-Alpha,0,0,2062
2026-05-9 7:59:50,1383478377,CALOTE CLT,0,0,2062
2026-05-9 7:59:50,1383478377,Sussuros da Alvorada,0,0,2062
2026-05-9 7:59:50,1383478377,The Slim Army,0,1,5919
2026-05-9 7:59:50,1383478377,independencia ou morte BRASIL,0,1,2062
2026-05-9 7:59:50,1383478377,IslandBoiz,1,0,2062
2026-05-9 7:59:50,1383478377,Witless Mercenaries Tavern,0,0,2062
2026-05-9 7:59:50,1383478377,OSOS DEL INVIERNO,0,0,2062
2026-05-9 7:59:50,1383478377,X Y R I S,1,0,21214
2026-05-9 7:59:50,1383478377,EVERIST,1,0,5919
2026-05-9 7:59:50,1383478377,Anti Sex Gang,0,0,5919
2026-05-9 7:59:50,1383478377,YOU_ARE_DEAD,0,1,0
2026-05-9 7:59:50,1383478377,Treasure Tales,0,1,2062
2026-05-9 7:59:50,1383478377,Osos-de-elite,0,0,5919
2026-05-9 7:46:51,1383475676,Rogue Natives,0,1,0
2026-05-9 7:46:51,1383475676,Roses-Academy,0,4,0
2026-05-9 7:46:51,1383475676,Frogwide,1,0,70788
2026-05-9 7:46:51,1383475676,C I R C U S,0,0,11798
2026-05-9 7:46:51,1383475676,Eikonic,0,0,11798
2026-05-9 7:46:51,1383475676,Eevolution,4,1,58803
2026-05-9 7:46:51,1383475676,shadow f1ends,1,0,11988
2026-05-9 7:46:51,1383475676,I Paradise I,0,0,11798
2026-05-9 7:46:51,1383475676,LOS HIJOS DE MORGANA,0,1,0
2026-05-9 7:46:51,1383475676,ArLand,0,0,11798
2026-05-9 7:46:51,1383475676,IT s ShoW TimE,1,0,1533
2026-05-9 7:46:51,1383475676,-,0,0,11798
2026-05-9 7:46:51,1383475676,Evil Kool Aid,0,0,11798
2026-05-9 7:40:01,1383474138,Guardia-Nocturna,3,0,206383
2026-05-9 7:40:01,1383474138,Witless Mercenaries Tavern,2,2,181254
2026-05-9 7:40:01,1383474138,True Gentleman,0,3,21221
2026-05-9 7:40:01,1383474138,Core Cats,1,0,102860
2026-05-9 7:40:01,1383474138,Mind gap,1,8,655988
2026-05-9 7:40:01,1383474138,Ministry Of Bandits,6,1,1170639
2026-05-9 7:40:01,1383474138,OBRSF,1,1,60418
2026-05-9 7:40:01,1383474138,ABU-DHABI,2,2,47554
2026-05-9 7:40:01,1383474138,ArLand,0,1,0
2026-05-9 7:40:01,1383474138,-,0,1,0
2026-05-9 7:40:01,1383474138,The Kings Codex,4,1,207300
2026-05-9 6:38:49,1383457469,L4 SECTA,4,2,94347
2026-05-9 6:38:49,1383457469,Roses-Academy,16,3,533265
