Time,Battle ID,Guild,Kills,Deaths,Fame
2026-04-26 9:28:22,464317212,Eternal Catastrophe,0,0,8502
2026-04-26 9:28:22,464317212,P R O U D,2,0,28081
2026-04-26 9:28:22,464317212,TakusaVegas,0,2,25424
2026-04-26 9:28:22,464317212,Aetherium,0,1,28081
2026-04-26 9:28:22,464317212,Game Of Throness,0,0,28081
2026-04-26 9:28:22,464317212,Frontline Battlefield,0,0,28081
2026-04-26 9:28:22,464317212,ENDANGERED,0,0,4518
2026-04-26 9:28:22,464317212,PPV,1,0,9036
2026-04-26 9:28:22,464317212,All Rise,0,0,4518
2026-04-26 9:28:22,464317212,Sapling-MIU00,0,0,28081
2026-04-26 9:28:22,464317212,Congregation,0,0,2834
2026-04-26 9:28:22,464317212,Pink Paws,0,0,2834
2026-04-26 9:28:22,464317212,One More Times,0,1,6356
2026-04-26 9:28:22,464317212,The Valley of ErdTree,0,0,2834
2026-04-26 9:28:22,464317212,THE WARRI0RS,0,0,6356
2026-04-26 9:28:22,464317212,GARUDA LEGION,0,0,4518
2026-04-26 9:28:22,464317212,Forest Cat,0,0,4518
2026-04-26 9:28:22,464317212,RABBIT RAIDERS,1,0,2834
2026-04-26 9:28:22,464317212,Epstein island,1,1,6356
2026-04-26 8:47:01,464313517,PL4B,1,0,87012
2026-04-26 8:47:01,464313517,P R O U D,0,0,11116
2026-04-26 8:47:01,464313517,Chosen Few,0,0,11116
2026-04-26 8:47:01,464313517,Fighting Nerds,2,0,80751
2026-04-26 8:47:01,464313517,TakusaVegas,3,4,149042
2026-04-26 8:47:01,464313517,Government Program,1,0,34380
2026-04-26 8:47:01,464313517,Aetherium,0,1,12856
2026-04-26 8:47:01,464313517,-,2,1,22232
2026-04-26 8:47:01,464313517,Meerkat Assemble,2,1,40030
2026-04-26 8:47:01,464313517,ScarletValkyries,0,0,11116
2026-04-26 8:47:01,464313517,MoneyHunter,0,0,11116
2026-04-26 8:47:01,464313517,itinerary,0,1,0
2026-04-26 8:47:01,464313517,Holy Black Knights,0,2,0
2026-04-26 8:47:01,464313517,ONG BUT,0,1,0
2026-04-26 8:47:01,464313517,Game Of Throness,1,0,11116
2026-04-26 8:47:01,464313517,Idochine,0,0,11116
2026-04-26 8:47:01,464313517,Sapling-MIU00,0,0,11116
2026-04-26 8:47:01,464313517,DKPJ,0,0,37273
2026-04-26 8:47:01,464313517,WARRIORS INITIATES,0,0,11116
2026-04-26 8:47:01,464313517,One More Times,0,1,40030
2026-04-26 8:47:01,464313517,strange thief,1,0,37273
2026-04-26 8:47:01,464313517,THE WARRI0RS,0,1,31555
2026-04-26 8:47:01,464313517,Epstein island,1,1,33115
2026-04-26 8:02:33,464308727,snow forest,14,0,5862925
2026-04-26 8:02:33,464308727,CHILIZ,0,9,0
2026-04-26 8:02:33,464308727,PSC,1,2,562827
2026-04-26 8:02:33,464308727,Rescue Station,1,4,209545
2026-04-26 8:02:33,464308727,V A G A B O N D,1,0,317800
2026-04-26 8:02:33,464308727,CHILIS,0,2,0
2026-04-26 6:39:15,464296362,Rescue Station,1,16,65680
2026-04-26 6:39:15,464296362,Peony Flower,0,0,27552
2026-04-26 6:39:15,464296362,PLAC,19,0,228271
2026-04-26 6:39:15,464296362,GuGu GaGa,0,1,0
2026-04-26 6:39:15,464296362,ar lone ka nyi ko twy,0,1,0
2026-04-26 6:39:15,464296362,I The Flying Dutchman I,0,2,0
2026-04-26 6:30:12,464294843,Peony Flower,0,0,11054
2026-04-26 6:30:12,464294843,Rescue Station,5,16,454358
2026-04-26 6:30:12,464294843,PLAC,17,5,463214
2026-04-26 6:30:12,464294843,I The Flying Dutchman I,0,1,34457
2026-04-26 6:04:55,464290173,Peony Flower,8,0,219495
2026-04-26 6:04:55,464290173,Rescue Station,1,81,429736
2026-04-26 6:04:55,464290173,Gungn1r,11,0,211163
2026-04-26 6:04:55,464290173,PLAC,58,0,1066712
2026-04-26 6:04:55,464290173,I The Flying Dutchman I,1,16,15080
2026-04-26 6:04:55,464290173,GuGu GaGa,20,2,344709
2026-04-26 5:52:19,464287679,Of East Server,0,1,0
2026-04-26 5:52:19,464287679,-,0,5,0
2026-04-26 5:52:19,464287679,Albion Newbie Union,0,2,0
2026-04-26 5:52:19,464287679,PLAY IN KINGDOOM,0,1,0
2026-04-26 5:52:19,464287679,MoFuMoFu HEAVEN,0,1,0
2026-04-26 5:52:19,464287679,Speed Check,16,0,561829
2026-04-26 5:52:19,464287679,Invade,0,0,40206
2026-04-26 5:52:19,464287679,the Warrior,0,1,0
2026-04-26 5:52:19,464287679,Titan Blaze,0,1,0
2026-04-26 5:52:19,464287679,Alone in The Mist,0,0,40206
2026-04-26 5:52:19,464287679,Elsilva,0,1,0
2026-04-26 5:52:19,464287679,The REVENGERS,0,1,0
2026-04-26 5:52:19,464287679,DNS,0,1,0
2026-04-26 5:52:19,464287679,Mythical Knight,0,1,0
2026-04-26 5:52:19,464287679,Dark Looters,1,0,23599
2026-04-26 5:52:19,464287679,Cops Sterling,0,1,0
2026-04-26 5:30:04,464282472,The Boyz,3,12,386334
2026-04-26 5:30:04,464282472,BLOB,10,2,3033187
2026-04-26 5:30:04,464282472,-,0,0,820205
2026-04-26 5:30:04,464282472,Meerkat Assemble,1,0,349593
2026-04-26 5:30:04,464282472,Heaven Drive,1,1,820205
2026-04-26 5:28:17,464282005,Rescue Station,9,1,769630
2026-04-26 5:28:17,464282005,I The Flying Dutchman I,0,0,31799
2026-04-26 5:28:17,464282005,PEENOISEEE,0,1,0
2026-04-26 5:28:17,464282005,Griffin Empire,1,8,9168
2026-04-26 5:21:37,464280340,Rescue Station,4,6,102331
2026-04-26 5:21:37,464280340,Griffin Empire,7,4,1447393
2026-04-26 5:21:37,464280340,I The Flying Dutchman I,0,1,31899
2026-04-26 5:16:49,464278880,Chien Than Academia,0,3,0
2026-04-26 5:16:49,464278880,F A M I L Y,7,0,5018923
2026-04-26 5:16:49,464278880,Baschu Lymhurst,0,1,0
2026-04-26 5:16:49,464278880,Dragon-Mi,0,1,0
2026-04-26 5:16:49,464278880,-,0,1,0
2026-04-26 5:16:49,464278880,Coup de grace,0,1,0
2026-04-26 5:13:21,464277948,Karmic,1,11,73280
2026-04-26 5:13:21,464277948,xCUTIESx,5,1,1509787
2026-04-26 5:13:21,464277948,CoCa1nE,7,0,1226311
2026-04-26 5:13:21,464277948,Z GEN,0,1,4580
2026-04-26 5:12:18,464277684,V A G A B O N D,4,0,1140949
2026-04-26 5:12:18,464277684,UnifyVN - 304,1,7,536721
2026-04-26 5:12:18,464277684,ACM,0,0,37176
2026-04-26 5:12:18,464277684,H U P,1,2,461924
2026-04-26 5:12:18,464277684,NO FEAR NO TEAR,1,0,51599
2026-04-26 5:12:18,464277684,Rescue Station,2,0,107416
2026-04-26 5:11:09,464277363,Isekai46,0,0,10296
2026-04-26 5:11:09,464277363,Aetherion Order,0,0,67820
2026-04-26 5:11:09,464277363,Ruthless,0,0,16955
2026-04-26 5:11:09,464277363,-,1,1,184825
2026-04-26 5:11:09,464277363,Sentinels Arc,2,3,235269
2026-04-26 5:11:09,464277363,COALITION,0,1,78423
2026-04-26 5:11:09,464277363,Wavei,1,0,16955
2026-04-26 5:11:09,464277363,eRa Empire,0,0,16955
2026-04-26 5:11:09,464277363,Metal Eater,0,0,16955
2026-04-26 5:11:09,464277363,ALBION AFTER S3X,0,3,23536
2026-04-26 5:11:09,464277363,D Not So Ordinary,0,0,23536
2026-04-26 5:11:09,464277363,Mochi Kingdom,0,0,23536
2026-04-26 5:11:09,464277363,Marlotck In Heart,0,1,0
2026-04-26 5:11:09,464277363,Universitas Perkocokan,1,0,79073
2026-04-26 5:11:09,464277363,No Gathering No Life,0,0,6659
2026-04-26 5:11:09,464277363,Astra Crux,0,0,8465
2026-04-26 5:11:09,464277363,House Highwarden,0,0,23536
2026-04-26 5:11:09,464277363,PLAN G,1,0,157536
2026-04-26 5:11:09,464277363,DOKDO,0,0,23536
2026-04-26 5:11:09,464277363,Deathwatch,2,1,78423
2026-04-26 5:11:09,464277363,ALL MY LIFE,0,0,16955
2026-04-26 5:11:09,464277363,Free Butterfly,0,0,40491
2026-04-26 5:11:09,464277363,LOOKOUTS,0,0,16955
2026-04-26 5:11:09,464277363,Dark Looters,1,0,16955
2026-04-26 4:57:36,464273680,CHILIZ,3,11,1142904
2026-04-26 4:57:36,464273680,ACM,7,1,3123200
2026-04-26 4:57:36,464273680,V A G A B O N D,10,3,5448667
2026-04-26 4:57:36,464273680,CHILIS,0,3,391415
2026-04-26 4:57:36,464273680,Alchemi5T,0,2,0
2026-04-26 4:57:36,464273680,China,1,0,162202
2026-04-26 4:57:36,464273680,snow forest,0,2,0
2026-04-26 4:57:36,464273680,UnifyVN - 304,1,0,354190
2026-04-26 4:57:36,464273680,VIET NAM ssm,1,0,22560
2026-04-26 4:57:36,464273680,Belial,0,0,81101
2026-04-26 4:57:36,464273680,Heaven Drive,0,1,81101
2026-04-26 4:57:36,464273680,NO FEAR NO TEAR,0,0,35419
2026-04-26 4:56:37,464273371,Dark syndicate Legion,0,1,0
2026-04-26 4:56:37,464273371,-,0,10,559153
2026-04-26 4:56:37,464273371,WARDEN-SLAYER,0,1,0
2026-04-26 4:56:37,464273371,Holy Black Knights,0,1,0
2026-04-26 4:56:37,464273371,Wavei,0,1,0
2026-04-26 4:56:37,464273371,Lunagon Island,0,0,136603
2026-04-26 4:56:37,464273371,PSC,0,1,0
2026-04-26 4:56:37,464273371,KATANA,10,0,136603
2026-04-26 4:56:37,464273371,HIDUP INDAH,8,0,149344
2026-04-26 4:56:37,464273371,A X E,0,2,0
2026-04-26 4:56:37,464273371,nekomi_home,0,1,0
2026-04-26 4:56:37,464273371,VOYAGER CORPS,0,2,0
2026-04-26 4:56:37,464273371,CREED INTERNATIONAL,0,2,0
2026-04-26 4:56:37,464273371,ScarletValkyries,0,1,0
2026-04-26 4:56:37,464273371,F I K A,8,0,136603
2026-04-26 4:56:37,464273371,BeasTDaK,0,1,0
2026-04-26 4:56:37,464273371,why you bully me,3,0,136603
2026-04-26 4:56:37,464273371,THEMERCENARY,0,2,0
2026-04-26 4:56:37,464273371,Nine Lives Legion,0,2,0
2026-04-26 4:56:37,464273371,QUARTZ,0,1,0
2026-04-26 4:56:37,464273371,Helmet Bahini,0,2,0
2026-04-26 4:56:37,464273371,DIVINE LUST,0,1,0
2026-04-26 4:56:37,464273371,S1LVER,0,2,0
2026-04-26 4:56:37,464273371,NEXUS FAMILIA,0,1,0
2026-04-26 4:56:37,464273371,KAKI TIGA,0,1,0
2026-04-26 4:56:37,464273371,VIET NAM ssm,0,4,0
2026-04-26 4:56:37,464273371,LEVELING,0,0,136603
2026-04-26 4:56:37,464273371,ALBION AFTER S3X,7,0,136603
2026-04-26 4:56:37,464273371,outsidersneet,0,1,0
2026-04-26 4:56:37,464273371,Arcadian,0,2,0
2026-04-26 4:56:37,464273371,Sanity Eclipse,0,1,0
2026-04-26 4:56:37,464273371,GG969,0,0,136603
2026-04-26 4:56:37,464273371,Prana,0,1,0
2026-04-26 4:56:37,464273371,MoneyHunter,0,1,0
2026-04-26 4:56:37,464273371,BLOB,0,1,0
2026-04-26 4:56:37,464273371,CHILIS,0,0,136603
2026-04-26 4:56:37,464273371,Shadows of the Erdtree,0,1,0
