Time,Battle ID,Guild,Kills,Deaths,Fame
2026-03-26 11:25:10,454901357,FABULOUS,2,0,22792
2026-03-26 11:25:10,454901357,Creation Ph,1,0,9123
2026-03-26 11:25:10,454901357,Global Unity,0,1,0
2026-03-26 11:25:10,454901357,eRa Empire,3,0,11396
2026-03-26 11:25:10,454901357,B L A C K P E A R L,1,0,19472
2026-03-26 11:25:10,454901357,G A I J I N,0,0,17479
2026-03-26 11:25:10,454901357,-,1,1,46150
2026-03-26 11:25:10,454901357,Meerkat Assemble,0,0,2556
2026-03-26 11:25:10,454901357,QUILL,0,0,8441
2026-03-26 11:25:10,454901357,War of Shawdows,0,0,11396
2026-03-26 11:25:10,454901357,Government Program,0,0,9123
2026-03-26 11:25:10,454901357,Warrior Exile,0,0,9123
2026-03-26 11:25:10,454901357,MO GU,1,0,17479
2026-03-26 11:25:10,454901357,SAKABA,0,1,0
2026-03-26 11:25:10,454901357,Jia Nan,0,0,9123
2026-03-26 11:25:10,454901357,Welangbumi Gronggongan,0,1,0
2026-03-26 11:25:10,454901357,Empyreus,1,0,16109
2026-03-26 11:25:10,454901357,GOD EATER,0,0,5112
2026-03-26 11:25:10,454901357,Absolute Dragon,0,1,0
2026-03-26 11:25:10,454901357,HER MES,0,1,0
2026-03-26 11:25:10,454901357,PLAC,0,0,8441
2026-03-26 11:25:10,454901357,Thugging Central,0,0,17479
2026-03-26 11:25:10,454901357,BGC,0,0,2556
2026-03-26 11:25:10,454901357,R E V O L U T I O N,0,0,9123
2026-03-26 11:25:10,454901357,Wysteria,0,0,11396
2026-03-26 11:25:10,454901357,Pierce,0,0,11396
2026-03-26 11:25:10,454901357,MABAR,0,1,0
2026-03-26 11:25:10,454901357,Tokugawa,0,0,8441
2026-03-26 11:25:10,454901357,High Cards,0,1,0
2026-03-26 11:25:10,454901357,Laughing Coffn,0,1,0
2026-03-26 11:25:10,454901357,G U I L D,0,0,9123
2026-03-26 11:25:10,454901357,THE TROUBLE MAKER,0,1,0
2026-03-26 11:25:10,454901357,CTRL ALT DEL,0,0,8076
2026-03-26 11:21:19,454900521,F R E E S I A,0,0,2218
2026-03-26 11:21:19,454900521,7SinsX,1,0,7294
2026-03-26 11:21:19,454900521,HAMSHTER,0,1,0
2026-03-26 11:21:19,454900521,COALITION,0,0,1183
2026-03-26 11:21:19,454900521,-,1,2,18550
2026-03-26 11:21:19,454900521,Nomadz,0,1,5388
2026-03-26 11:21:19,454900521,NO_OC,0,1,83075
2026-03-26 11:21:19,454900521,B L A C K P E A R L,1,0,6508
2026-03-26 11:21:19,454900521,Arena Ghost,0,1,0
2026-03-26 11:21:19,454900521,Chola Empire,1,0,6214
2026-03-26 11:21:19,454900521,LOHJNAWE,0,0,3107
2026-03-26 11:21:19,454900521,THE-MERCENARIES,0,1,0
2026-03-26 11:21:19,454900521,SlowLife,0,0,1906
2026-03-26 11:21:19,454900521,Karmic,11,4,332300
2026-03-26 11:21:19,454900521,tSHORVA,0,0,1906
2026-03-26 11:21:19,454900521,Chaser of The Wind,0,0,3107
2026-03-26 11:21:19,454900521,longyuanxianzong,0,0,3107
2026-03-26 11:21:19,454900521,ALBION AFTER S3X,0,0,3107
2026-03-26 11:21:19,454900521,O U T L A W,0,0,3107
2026-03-26 11:21:19,454900521,The Neighborhood,0,0,5388
2026-03-26 11:21:19,454900521,hua,0,0,3482
2026-03-26 11:21:19,454900521,PSYKOPATH,0,0,3482
2026-03-26 11:21:19,454900521,MoneyHunter,0,0,5619
2026-03-26 11:21:19,454900521,The Last Generation,1,0,1906
2026-03-26 11:21:19,454900521,The Question,0,0,2218
2026-03-26 11:21:19,454900521,Hell Fire Club,0,0,3482
2026-03-26 11:21:19,454900521,Whitefang Battalion,0,0,1906
2026-03-26 11:21:19,454900521,Auroras,0,0,2218
2026-03-26 11:21:19,454900521,Wicked Croc,0,0,2218
2026-03-26 11:21:19,454900521,5784,0,1,1183
2026-03-26 11:21:19,454900521,Shadow Army 001,0,1,0
2026-03-26 11:21:19,454900521,I Slytherin I,0,0,2218
2026-03-26 11:21:19,454900521,votre,0,0,1183
2026-03-26 11:21:19,454900521,TW-Club,0,0,5388
2026-03-26 11:21:19,454900521,Whispering Deer,0,0,2218
2026-03-26 11:21:19,454900521,Cempaka,0,0,1906
2026-03-26 11:21:19,454900521,Chosen Few,0,1,0
2026-03-26 11:21:19,454900521,Tengkorak,0,0,1183
2026-03-26 11:21:19,454900521,THE-IMMORTALS,0,0,2218
2026-03-26 11:21:19,454900521,Aetherium,0,0,5388
2026-03-26 11:21:19,454900521,Government Program,0,0,3107
2026-03-26 11:21:19,454900521,HighHeaven,0,0,3482
2026-03-26 11:21:19,454900521,Midnight Rose,0,1,0
2026-03-26 11:21:19,454900521,NewFalconComunitas,0,1,0
2026-03-26 9:57:30,454883157,-,0,5,3390
2026-03-26 9:57:30,454883157,Tengkorak,0,1,0
2026-03-26 9:57:30,454883157,VietNam TheFord,0,0,1130
2026-03-26 9:57:30,454883157,Shangri-La Frontier,0,1,1130
2026-03-26 9:57:30,454883157,GARUDA LEGION,0,1,0
2026-03-26 9:57:30,454883157,Midnight Rose,0,0,1130
2026-03-26 9:57:30,454883157,Borrow,0,0,2260
2026-03-26 9:57:30,454883157,tamago X gohan,0,0,1130
2026-03-26 9:57:30,454883157,Blue Phoenix,0,0,3390
2026-03-26 9:57:30,454883157,Singosari,0,0,1130
2026-03-26 9:57:30,454883157,Verdant Ring,0,1,0
2026-03-26 9:57:30,454883157,MO GU,0,0,1130
2026-03-26 9:57:30,454883157,AFTERMATH,1,1,1130
2026-03-26 9:57:30,454883157,Karmic,0,1,0
2026-03-26 9:57:30,454883157,Rest home,0,1,1130
2026-03-26 9:57:30,454883157,Cempaka,0,0,1130
2026-03-26 9:57:30,454883157,Packet Loss,0,1,0
2026-03-26 9:57:30,454883157,FORTUNAtE,0,0,1130
2026-03-26 9:57:30,454883157,Everwind,0,1,0
2026-03-26 9:57:30,454883157,Ocean Waves,0,0,1130
2026-03-26 9:57:30,454883157,Heaven Drive,14,1,1107448
2026-03-26 9:32:45,454878291,Rescue Station,0,1,378116
2026-03-26 9:32:45,454878291,Laughing Boulevard,8,3,4915508
2026-03-26 9:32:45,454878291,All The Villains,1,9,1628518
2026-03-26 9:32:45,454878291,Chikipi,6,4,2675850
2026-03-26 9:32:45,454878291,PVP With Me,0,0,565217
2026-03-26 9:32:45,454878291,Olorun,1,1,146447
2026-03-26 9:32:45,454878291,666GG,1,0,565217
2026-03-26 9:32:45,454878291,P U R G E,1,0,157140
2026-03-26 9:32:45,454878291,Wild Ape,0,0,565217
2026-03-26 9:19:56,454875258,Rescue Station,0,1,207444
2026-03-26 9:19:56,454875258,Laughing Boulevard,3,7,2074440
2026-03-26 9:19:56,454875258,All The Villains,6,10,6833198
2026-03-26 9:19:56,454875258,Chikipi,8,1,9198965
2026-03-26 9:19:56,454875258,Olorun,3,1,638489
2026-03-26 9:17:47,454874744,Speed Check,0,0,19865
2026-03-26 9:17:47,454874744,bosaBOSS,0,1,149266
2026-03-26 9:17:47,454874744,Lunagon Island,0,0,19865
2026-03-26 9:17:47,454874744,LunSol,0,0,19865
2026-03-26 9:17:47,454874744,Maharlika,0,0,19865
2026-03-26 9:17:47,454874744,DEATH PARADE,0,1,123538
2026-03-26 9:17:47,454874744,Switching To Heals,0,0,43491
2026-03-26 9:17:47,454874744,Argent Imperium,0,0,19865
2026-03-26 9:17:47,454874744,Singosari,1,0,19865
2026-03-26 9:17:47,454874744,TEMPLARS_ORDER,0,0,11813
2026-03-26 9:17:47,454874744,-,1,1,31678
2026-03-26 9:17:47,454874744,Freaky Fools,0,0,19865
2026-03-26 9:17:47,454874744,Gold Bless,0,0,19865
2026-03-26 9:17:47,454874744,Kunfayakun,0,0,169131
2026-03-26 9:17:47,454874744,HYBRIDS,0,0,11813
2026-03-26 9:17:47,454874744,F R O Z E N,2,0,149266
2026-03-26 9:17:47,454874744,top pvp,0,1,0
2026-03-26 9:17:47,454874744,LEVELING,0,0,19865
2026-03-26 9:17:47,454874744,Faction Academy,0,0,23626
2026-03-26 9:17:47,454874744,ALBION AFTER S3X,0,0,19865
2026-03-26 9:17:47,454874744,Children Of The Dragon,0,0,19865
2026-03-26 9:17:47,454874744,BangCuopLuongSon,0,0,19865
2026-03-26 9:16:09,454874386,I The Flying Dutchman I,0,0,74618
2026-03-26 9:16:09,454874386,Ox_Shepherd,0,1,0
2026-03-26 9:16:09,454874386,MAX VERSTAPPEN,2,0,110050
2026-03-26 9:16:09,454874386,-,2,0,139590
2026-03-26 9:16:09,454874386,ENT1TY,0,0,35432
2026-03-26 9:16:09,454874386,HYBRIDS,0,0,23986
2026-03-26 9:16:09,454874386,CapybarAAAA,0,0,78372
2026-03-26 9:16:09,454874386,TEMPLARS_ORDER,0,0,8970
2026-03-26 9:16:09,454874386,Ocean Waves,0,0,8970
2026-03-26 9:16:09,454874386,Griffin Empire,0,1,0
2026-03-26 9:16:09,454874386,LastStando,1,3,77517
2026-03-26 9:16:09,454874386,GIGAN VIII,2,0,39186
2026-03-26 9:16:09,454874386,Faction Academy,1,1,26910
2026-03-26 9:16:09,454874386,Pierce,1,0,35432
2026-03-26 9:16:09,454874386,Dreamweavers,1,1,39186
2026-03-26 9:16:09,454874386,why you bully me,0,1,0
2026-03-26 9:16:09,454874386,Sea Lion Victims,0,0,18978
2026-03-26 9:16:09,454874386,Battleborn,2,0,35432
2026-03-26 9:16:09,454874386,MO GU,0,1,0
2026-03-26 9:16:09,454874386,ALBION AFTER S3X,0,2,0
2026-03-26 9:16:09,454874386,Endernations,0,0,3754
2026-03-26 9:16:09,454874386,KNIGHT_OF_BLOOD,0,0,35432
2026-03-26 9:16:09,454874386,THE RELATION,0,0,35432
2026-03-26 9:16:09,454874386,Thril,1,0,60858
