Time,Battle ID,Guild,Kills,Deaths,Fame
2026-04-26 11:58:38,359454082,GAGARAGOGO,0,1,0
2026-04-26 11:58:38,359454082,Les impots,0,0,17196
2026-04-26 11:58:38,359454082,The Highlanders Tavern,1,0,17196
2026-04-26 11:58:38,359454082,Alpagut TR,2,0,127544
2026-04-26 11:58:38,359454082,BLADE2FACE,0,0,27626
2026-04-26 11:58:38,359454082,GuildaPentruRMT,0,0,30520
2026-04-26 11:58:38,359454082,JOBLIFE,1,0,44609
2026-04-26 11:58:38,359454082,Ludzie wyzyn,1,0,29349
2026-04-26 11:58:38,359454082,Royal Clowns,0,0,15260
2026-04-26 11:58:38,359454082,Russian fighters,0,0,15260
2026-04-26 11:58:38,359454082,White Beard,0,1,0
2026-04-26 11:54:24,359452923,-,0,2,130704
2026-04-26 11:54:24,359452923,AWHAM,0,2,0
2026-04-26 11:54:24,359452923,Damnificatia,1,0,20459
2026-04-26 11:54:24,359452923,KillJoys,0,1,0
2026-04-26 11:54:24,359452923,A-T-L-A-S,3,0,23495
2026-04-26 11:54:24,359452923,TURK ACADEMY,0,1,0
2026-04-26 11:54:24,359452923,S W A M P,1,0,40891
2026-04-26 11:54:24,359452923,EQMS,2,0,31381
2026-04-26 11:54:24,359452923,Dark Hours,0,1,0
2026-04-26 11:54:24,359452923,Die Content Blocker,0,1,0
2026-04-26 11:54:24,359452923,Gods Alike,0,0,19916
2026-04-26 11:54:24,359452923,The-Workers,0,1,0
2026-04-26 11:54:24,359452923,Alpagut TR,2,0,23495
2026-04-26 11:54:24,359452923,Cow field,0,0,16880
2026-04-26 11:54:24,359452923,Treasure Hunt,0,0,23495
2026-04-26 11:54:24,359452923,Al-andaluz oris,0,1,0
2026-04-26 11:54:24,359452923,z o o t r o p o l i s,1,0,33894
2026-04-26 11:54:24,359452923,Never Mind,1,0,18434
2026-04-26 11:54:24,359452923,WOLVES OF ANATOLIA,0,1,0
2026-04-26 11:54:00,359452800,Road to Exile,14,2,12671529
2026-04-26 11:54:00,359452800,Squirtle Squad,2,14,290889
2026-04-26 11:48:24,359451177,Road to Exile,6,25,3138573
2026-04-26 11:48:24,359451177,Ascension,1,0,1427580
2026-04-26 11:48:24,359451177,Squirtle Squad,24,6,11353924
2026-04-26 11:48:24,359451177,Akari,0,0,15892
2026-04-26 11:36:59,359447880,Satis Faction,0,0,35580
2026-04-26 11:36:59,359447880,Samsara Dynasty,1,0,15579
2026-04-26 11:36:59,359447880,Blaming You,0,0,22287
2026-04-26 11:36:59,359447880,THE OLYMPUS,4,7,195153
2026-04-26 11:36:59,359447880,Storm Reign,0,0,22287
2026-04-26 11:36:59,359447880,-,0,3,127014
2026-04-26 11:36:59,359447880,GAGARAGOGO,1,0,15579
2026-04-26 11:36:59,359447880,Vuranlar,1,0,90909
2026-04-26 11:36:59,359447880,Papaoutai,0,0,8895
2026-04-26 11:36:59,359447880,Ne me kite pas,1,0,8895
2026-04-26 11:36:59,359447880,NoTag,0,0,8895
2026-04-26 11:36:59,359447880,StarGateX,0,0,37545
2026-04-26 11:36:59,359447880,Services Apres-Wipe,0,0,8895
2026-04-26 11:36:59,359447880,Masters of Albion,0,1,14367
2026-04-26 11:36:59,359447880,I M M I N E N T,1,0,46440
2026-04-26 11:36:59,359447880,Monkey Buisness,1,0,86838
2026-04-26 11:36:59,359447880,The Hexenzirkel,0,0,8895
2026-04-26 11:36:59,359447880,ShinySun,0,0,8895
2026-04-26 11:36:59,359447880,D E E P,0,0,8895
2026-04-26 11:36:59,359447880,BIRTENGRII,1,0,14367
2026-04-26 11:36:59,359447880,Anatolian Rebels,0,0,14367
2026-04-26 11:36:59,359447880,Jhereg,0,0,37545
2026-04-26 11:36:59,359447880,SHIV,0,0,8895
2026-04-26 11:23:21,359443938,-,1,2,58423
2026-04-26 11:23:21,359443938,TeuTeu Land,0,0,2421
