Guild,Kills,Deaths,Fame
Linhir,0,5,73529
The Riders of Avalon,0,1,0
GATITOS TERRORISTAS,0,2,7591
IRMANDADE DOS RENEGADOS,0,2,28460
C O N F L I C T I V O S,0,1,0
DIABL0S,5,8,1500624
Contingent,6,3,1130360
De4d End,31,26,10091534
Fire And Ashes,0,1,205524
Rise And Gain Authority,0,2,231303
1AVANGARD,0,1,0
A N T A R E S,15,10,960619
1AVANGARD,8,0,232703
Reqquiescat In Pace,1,6,80979
WARTIDE,0,1,0
KraftDinner,0,1,133854
Treasure Tales,0,3,0
DARK HORSES 1,0,1,0
Los orcos,0,1,0
S L I C E D,0,2,777069
Rise of Stark,12,13,2049369
zxvx,1,1,173857
-,0,1,0
Ministry Of Bandits,0,1,0
R 4 V E N,0,0,77594
S w i f t i e s,0,1,0
B U R N I N,5,10,5178345
R E Q U 1 E M,2,5,9444231
-,0,0,793601
Huff n Puff,3,0,521993
Life is game,11,7,3522841
sPLUSPLUSGANKA,4,0,77235
IM NOT RETIRED IM FISHING,0,4,435157
-,3,0,61310
-,0,1,0
RONINS_BR,1,7,32735
VENENO BLACK,0,2,8932
LycorisRadiataa,1,2,268848
ELITE MONKEYS,4,3,155668
Legio Fulminis,4,3,240859
-,0,1,0
CHEEKZ,0,1,42646
Diddy Did,1,2,293932
Life is game,0,6,1719595
-,0,1,0
Life is game,19,12,2809234
T O R O S,6,5,694887
Taiko,0,3,162266
Rents Due,1,6,1432605
YOU ARE LOOT,0,2,11124
Core Cats,1,3,82751
xX The Jokers Xx,3,6,462596
Spetsnaz Grail,0,11,560253
-,4,0,59481
Insanos Express,0,1,0
R E H A B,7,4,2547152
xX The Jokers Xx,30,21,13560982
Quasar League,0,1,48240
xX Los Tiranos Xx,1,4,32646
CAIFANES,4,1,186845
-,2,2,53432
La Federacion Y,0,0,82017
BLOODY-WARRIORS,1,0,235737
miaw2511,0,3,3147
Spetsnaz Grail,4,13,3591409
HustlinHitmans is back,2,0,366601
-,0,3,318386
GO INSIDE,4,2,65740
LordsBog,7,2,274685
-,1,0,120663
Brain not Found,9,6,279712
Espadachines Negros,2,11,214775
VORAXIS,0,1,0
II E X I L I U M II,9,7,821853
Casual Core,2,1,111680
Casual Core,3,2,355503
Los Monkys Locos,16,2,939753
Assassins of Valhalla,9,10,1138532
-,5,1,338405
-,1,1,3192
The Rugrats,2,2,440257
-,0,1,0
Mono Con Navaja,147,23,40894970
Gankers LetaLes,2,0,742470
C R 0 W S,2,3,314359
PERROS CRIOLLOS,2,3,29809
M O N A S T E R I O,3,5,1246643
SALMOS144,0,7,144370
-,0,1,7159
sonari dragons,2,1,15462
Inspeccion de Billeteras,8,2,686255
Caidos_Del_Alba,1,4,35516
BLACK TAPE,9,21,5252082
TU MAMMA,5,4,1691011
les fr valoir,11,13,1568295
Blue LabeI,4,8,1426302
D A E M O N,2,7,305562
Toxicity_Faction,6,3,371737
R E Q U 1 E M,2,7,408115
Darkness INC,11,7,3451180
Mute Zone,24,28,9593176
-,0,0,8391
ThE AlQuiMisTa,0,0,2644
Sea-Sky Fraternity,0,0,336268
Explocion de Sabor,0,2,0
3NDLESS,0,2,90962
BLOODY-WARRIORS,0,1,17453
WARTIDE,0,1,0
Upside,68,10,14741036
THE ALQUIMISTAS,0,1,0
Ale limon,0,0,30724
SAGRA2,0,1,10038
Pura - Sangre,0,2,35065
Blue LabeI,18,10,4086608
MYSTICc,0,1,28220
-,0,1,0
M A N I A C,0,1,96916
Bryllanos,11,9,1331819
DEATH FEARS ME,0,0,5852
Los Hermanos Pollos,2,6,28689
-,5,11,871684
Banddle City,26,31,4536757
CAZA GANKER,0,1,143101
MushroomOverdose,0,1,0
Legio Fulminis,0,1,0
tigres Brancos,0,6,0
H-E-L-H-E-I-M,1,2,1910641
VK Army,0,1,0
PlVAS,23,9,5438536
LA ORDEN DEL SAGRADO ROSTRO,1,3,105111
Zipple,0,3,0
This-Promise,0,0,45953
Hamburg Kid,0,3,130454
Mause forces,4,6,873536
-,0,0,28018
P R I M E R G O L P E,9,4,620625
Bryllanos,0,1,47166
PROUD LIONS1,0,1,30715
L 0 B O S,0,1,31889
I Dont-Know,0,4,28970
IDEMASIADOSI,1,1,1368
-,0,0,18468
Last Bober Dance,3,3,1077905
PRIMATA MOD,0,0,42012
Furia Nocturnx,3,9,2523076
N A M 3 L E S S,12,9,1588434
braybarr25,0,1,0
Velaris Eternal,0,4,7573
desavence,0,0,102648
We Profit,1,3,2865822
I Colmillo Sangriento I,0,1,0
L E G E N D A R I O S,4,6,1001398
Jardim Do Sol,0,3,41626
K4M1K4Z1,5,0,256203
CALOTE CLT,3,19,511234
B U R N I N,0,5,1419813
F U R O R E,1,0,203729
DECADENSE,0,2,0
Pay_For_It,0,3,67273
Bomb Down,2,2,160802
-,2,1,785288
R E Q U 1 E M,153,63,42493015
Ecos da Ruina,0,0,56887
-,0,0,6665
osoblanco,0,1,4872
LOST-BRASIL,0,1,0
Legacy Corporation,13,15,3227549
Overprice,13,16,5391069
M A N D A T O R Y,0,4,96662
Commotion,1,8,10381002
RUSH-B,2,10,184417
Outllmits,7,11,3333561
Outlimits,26,16,4210712
xNova ImperiuMx,0,3,29112
Outlimits,14,28,11311825
Drakonty ligea,4,5,448051
Upside,2,3,2575991
-,0,1,0
YOU_ARE_DEAD,0,2,0
Black Dragon Aeon,2,10,374086
Alt Fn4,0,2,0
Kong-Army,7,7,1408717
Road Of Ruins,13,6,1979414
Los Perilleros,0,1,0
Rings of War,0,1,0
XPENTAGONOX,0,1,0
KULDAUN,1,0,176665
BRZK,0,3,65982
V4TOS LOCOS,3,1,725058
LEGADO INMORTAL,1,4,21371
3 THE_LIONS,0,2,430895
Last Bober Dance,0,3,448774
The Rugrats,0,4,98682
ROYALCROWN,0,1,0
Ministry Of Bandits,31,27,3594725
LEGION--LATINA,0,1,0
YOU ARE LOOT,16,45,3036381
INTEPLOS,0,1,21627
Reinantes,0,2,0
Nexus,14,8,1037017
T R A S H T A L K,0,1,0
P R I M O R I A,0,1,0
-,1,0,11195
-,1,0,19285
LOS ROMPEDISCOTEK,0,1,0
IRMANDADE DOS RENEGADOS,1,0,136471
-,0,1,0
Fanaticos Por PvE,0,0,12532
zGameZ,0,0,108250
PRIME MODE,5,12,1409962
Explore The World,0,2,3498
Skyrise,15,7,850914
UNOS,1,12,496179
Knights Falls,1,2,36618
-,0,1,93838
-,0,0,51306
I N D O M I N U S,0,0,4400
ShonioKami,0,4,31566
KR Sangre x Sangre,0,3,39465
THE ARCHIMAGOS,0,6,484473
-,0,1,0
Error 404 Not Found,0,1,279540
Outlimits,61,25,14714049
N_O_R_D_S,1,1,64111
L1FE OVER,1,0,394886
MejorenMalosDMrda,0,1,0
IRMANDADE DOS RENEGADOS,0,0,28460
ShonioKami,11,9,1467753
Outlimits,9,3,2342385
IFures,1,3,680437
K A I R O S,0,3,13455
-,0,1,30551
Morgana Outlanders,0,1,0
LOS_Yakuzas,0,1,4296
Outlimits,9,6,2765584
Always Noob,23,1,1388051
Alpha Rats,2,2,46171
Outllmits,1,7,1138944
Outlimits,0,6,468742
I Nothing I,1,0,117234
los cuervos negros,0,0,2608
Shall We,40,25,4934882
Ghost de Sparta,0,1,0
Taiko,0,1,0
Project Vanguard,0,2,1499
-,0,2,0
Black Dragon Aeon,1,3,76841
-,0,1,0
H3rois da Tret4,0,1,0
Los Caballeros Del Oni-Chan,2,11,655355
TribouIet,0,1,0
Caballeros Del Pasado,0,4,847522
Quinta Ordem,0,3,200533
ALQUIMISTASyt,0,2,23409
the_immortals,0,1,0
-,0,1,0
EL CENIT,0,1,12411
-,0,1,0
Da Black Lotus,1,5,71982
Culto del Kraken,0,1,190542
Faction Army,2,2,52244
ZZZ Y ASOCIADOS,1,0,19491
Absolute Boundary,1,3,339587
NoManoNoWin,0,3,28534
-,0,7,13330
Velaris Eternal,0,3,22339
-,1,0,46217
Cavaleiros Avalonianos,0,0,146893
pan con mortadelas,1,1,85086
Ill Be In Your Mom,0,1,0
-,0,0,49849
Upsida,13,9,2791247
Curriculum Vitae,9,1,7809743
-,0,1,0
Legacy Corporation,29,14,3918070
-,9,4,1121672
F0rwardUnt0Dawn,0,1,0
Reino Nomada Erizal,3,2,84686
Legacy Corporation,2,1,1422172
Prophets of Death,0,2,7531
PlVAS,5,15,11853733
-,0,1,0
U D S,6,1,102945
B L I N K,1,0,48616
Black Dragon Aeon,0,1,0
Make Fame Great Again,0,1,30814
Loucos Por PVE,2,0,40119
-,0,1,0
-,0,2,47134
LOYAL TO LYMHURST UNTIL DEATH,0,2,0
Eroth,2,2,735933
A R 1 S E,8,7,448544
NIFFLHEIM,3,15,2736074
D I N O C O,0,1,130100
LatinWarriors,27,46,7474639
Life is game,1,5,347299
OUTSET,0,1,0
Wrecking-Crew,6,0,1667875
Bryllanos,4,0,830193
PRIME MODE,6,10,2753454
Atrasa Lado,0,1,352973
SWORDX,1,0,30492
-,0,4,0
KARABURMA,7,6,598003
PRED4DOR,8,5,685572
DEDO NO OLHO,2,7,346771
PDG COMPANY,1,2,8016
Arroz Clan,0,2,40597
Crazy Club,4,2,4342481
SOMBRA-DA-MORTE,0,0,27344
-,1,2,63191
