Guild,Kills,Deaths,Fame
Neko no Ikari,38,2,355005
VK Army Freeman Reborn,15,1,1277510
MAMA DEL MATI LOVERS,14,1,118858
Me Agaln,24,2,5280589
SoloPl4ya,104,9,7034503
Pin Pals,11,1,484317
Kronos Ascendens Judex,52,5,2515832
C E R B 3 R U S,10,1,835854
No-Fucking-Mercy,9,1,761906
BLOOMS,69,8,11530843
Albion Lone Wolf,16,2,2484802
ZMZZL,8,1,353625
Industrias Sougad SA,24,3,2417445
Baby Family,167,21,10421975
86-Eighty six,47,6,2548115
testguild1365,15,2,793269
WITH THE LEGENDS,22,3,941287
OIIA OIIA,109,15,11337256
Heer,7,1,1690596
ELDERYN,7,1,654608
Nightmare of reapers,13,2,822433
HiperactivosUMSS,19,3,2063228
M A V E R 1 C K,24,4,2210349
White Lodge,12,2,1875101
Chuchu Noturno,6,1,1029804
AURA ROADS,6,1,1418400
DacH,6,1,254044
GoriIas,6,1,374143
S A F E Z O N E,6,1,1800389
ChillinClan,6,1,357319
Lone Shadows,47,8,1718734
Antartida,52,9,2960758
GoodGrief,28,5,1849966
ILONELY,28,5,1077381
Dramatics,11,2,279209
Giga M1lkers,22,4,5932348
Brothers Of Lost Hope,22,4,944856
Terror Of Solo Players,133,25,13027342
LAPLUZAM,21,4,1839327
Trulicity,10,2,917175
YZ main,5,1,105805
Cursed Pumpkins,5,1,795967
DARKLOL,5,1,117308
Encarnados,15,3,504872
ARCTIC GUARDIANS,25,5,997337
Skibbidi toilet,5,1,1036518
Rising Crows,10,2,436154
Amigos do sol,5,1,26771
Lazamgutsmile,5,1,1104366
Tudo Magnata,5,1,125019
MAJIN-BU,20,4,2311322
Morrendo na MIst,10,2,352116
RAAMPAAGE,15,3,2004259
hongchenggongren001,5,1,505419
P R O,5,1,751944
Dont Time,5,1,17852
Crimson Gank,5,1,59058
BANANAS EN PIJAM4S,5,1,1139376
king Criynsom,5,1,515285
DIVINAS,94,19,22886272
Red is dead S2,118,24,8102389
Mortem Imperium,147,30,8316923
