Guild,Kills,Deaths,Fame
INLUX,29,1,2447225
Hatedd,23,1,234221
Egirls Enjoyers,28,2,4344343
Bandit Kill,69,5,16099072
86-Eighty six,27,2,1198407
Fanatic,12,1,515516
R U I N S,22,2,1493575
Risen Scourge,11,1,508900
White Mizzou,10,1,278940
Raawrrr,10,1,389415
the cum dungeon,20,2,695174
Umbral Carmesi,58,6,4818917
FakeParty Reborn,9,1,930297
Industrias Sougad SA,27,3,3339018
M E G A D E T H,18,2,2490799
NETWORK MANIPULATION,27,3,3457678
O-U-T-L-A-N-D-E-R-S,18,2,1211696
Reino De La Luz,9,1,163199
LierAndSnake,9,1,1689555
heitrium,9,1,1579691
SoloPl4ya,115,13,7321151
Roads Nerds,84,10,19009996
T e G,8,1,168584
GR64 MI RELIGION,16,2,1088046
PERRO CON PISTOLA,8,1,177544
Jorge REBORN,8,1,698401
R-A,8,1,1456473
Blind Old Man,30,4,1103963
Red is dead S2,22,3,1992154
H U A N C A Y O,22,3,611976
Peb hmoob os,14,2,928824
QUIERO DORMIR,7,1,472682
AAAAAAAAAAAAAAAAAAAAAAAAAAAhAh,7,1,875428
M D R,7,1,1425573
DARK RA1DERS,90,13,5639980
Warriors of the AEsir,1049,153,81400036
ESCALETION,20,3,1916316
KnightNight,19,3,1052298
Terror Of Solo Players,6,1,806105
INICIATYVE,6,1,52460
LitUn,6,1,579122
Colgate,18,3,1867535
NoEnemies,6,1,13187107
Los Elegidos Por Jesus,88,15,2660367
DOUX,114,20,4950356
Lone Shadows,50,9,1587330
Split Second,500,92,143040042
Trolleando en Negra,177,33,18899542
Outie,16,3,1345095
Six God,21,4,1164415
B L 0 0 D R A G E,5,1,868508
UK Familia,5,1,78462
ZDivers,5,1,586242
Femboys in your back,5,1,574857
GUCCISTATIC,5,1,113221
Black Fire Wolf,5,1,186577
Wingardium Fuqulosa,5,1,260537
fort-Luan,5,1,214229
Heer,10,2,4467201
Rohan kingdom,10,2,586190
La Vallee Du Nord,30,6,892149
Arka Jezusa,5,1,966707
TUTANMANCON,5,1,691930
YellowZone Warrior,10,2,445096
L A N C E R,14,3,1231597
Dab Neeg,14,3,498766
Evil D I N O C O,87,19,34956201
Bridgewatch letales,268,59,17435113
lBlack Handl,1244,275,110785027
Carry 0n,9,2,1902367
ALL REDS,108,24,3825175
Drogas Putas y Albion,9,2,177440
Los Sapitos del Chispero,9,2,182954
Just Drop4,155,35,10656023
kING IN THE MIST,31,7,2387358
ASP3RA,149,34,7415561
Knights Of Monkey,13,3,310545
E F N E S,55,13,5644915
PLAN 3K -GENTE POSI,21,5,942872
Albion Bet,8,2,260830
Branlo17,12,3,257759
GANK3D,4,1,264822
FULL-PUSH,4,1,154788
tumtumtumsahur,12,3,1923691
UKHU,4,1,455598
Epic Hobots,4,1,154770
Legion De Mundos,8,2,1369783
The Oficial Deadly Alliance,4,1,63256
Los Corazoncitos,24,6,1229336
Escuadron Anti-Gordas,12,3,596225
Okuyama,8,2,1623995
K1M0N0,4,1,131544
Champ Squad,4,1,87815
Pandemon1um,4,1,104661
SYNA WORLD,8,2,730903
Savage,4,1,71072
S T R A T E G U S,4,1,24953
Killer knights,8,2,1456859
MinerosDeLaUk4En3,4,1,52218
EastCoastGhosts,4,1,192657
Macaco do Coco,4,1,117934
BattleToadz,223,56,4842992
V 0 1 D,27,7,3325742
Veni Vici,148,39,35557090
Dires Bane,443,117,38631368
Flank,34,9,2289941
C R U Z S A N T A,15,4,1474611
BrawlCore,15,4,372697
CloverKnights,22,6,943667
Knigths_BroTherHood,11,3,1268500
C4 Gang For Life,22,6,1918067
F4RIA DIVINA,824,225,328668048
Tlacoyos Asesinos,25,7,1681716
AtunReal,25,7,1434208
Covil Do Wolf,7,2,372834
LE SSERAF1M,14,4,2990963
Los Pandita Op,7,2,438456
BLOCO SE7E,7,2,91438
Sponsor Me PLease,28,8,1880232
Cavaleiros do Sono,7,2,150655
Cachimbo da Paz,7,2,811572
Banco Real,14,4,1423352
l VNZL Gang l,226,65,13244424
DARKM1GHT,4520,1303,2004640851
serodartenep,31,9,2943273
PilitromR,221,65,16820339
M0NKEY PUSH,17,5,294293
Elite Nostra,101,30,4099266
LEGION MIGAJAS,10,3,603884
Angeles 0scuros,10,3,192878
Silent Partners,90,27,8544827
Sword and Fist,40,12,1333553
HEILPVP,253,76,17819939
Rias,13,4,485257
S-I-E-N-T-E-M-I-T-R-O-Z-O-N,29,9,3845968
