Guild,Kills,Deaths,Fame
Thranduils Halls,40,1,4250305
Merce 1,39,1,3747070
Evil Cartel,28,1,394441
Bandit Kill,110,6,14216356
Terror Of Solo Players,133,8,15192248
Panic Legion,16,1,1730108
0wls,14,1,607963
Nyiajhmoob,13,1,1919235
S N O W F A L L,36,3,1649024
Tal da PANELA,23,2,1707251
86-Eighty six,85,8,2972635
SoloPl4ya,170,16,7819074
Dabs,10,1,1889981
Madeeira,10,1,462693
MKRss,9,1,701154
S E N R Y U,9,1,1081850
M l L F G A A R D,9,1,1247715
P R O S P E R I D A D,9,1,88441
FreezingHell,134,15,29934409
MODO FAKA,95,11,10698496
Mad-Brothers,17,2,1411071
ONLYON,17,2,927794
kako21,42,5,2397843
Albion Lone Wolf,8,1,1402969
Kronos Ascendens Judex,189,24,4697082
American Mini Pig Association,29,4,1567208
Red is dead S2,122,17,9052046
WHINTERFELL,7,1,145312
C E R B 3 R U S,14,2,1626203
sPLUSPLUSGANKA,7,1,765851
DOUX,46,7,1498013
NAGA VILLAGE,91,14,7935266
LaGuarderiaDeHerculons,13,2,4775050
OLD CANNON,31,5,690684
OIIA OIIA,37,6,3155473
Sliver maker,401,66,21955398
PRIMACY,6,1,692236
within the light,6,1,537827
HeterosDeDerecha,6,1,636086
viva la libertad carajo arg,6,1,427681
SILDUR-WORL,12,2,562759
LumosMaxima,6,1,308499
Upholder,12,2,1023513
BEN_10,6,1,1334058
C H E R O S,6,1,199449
Erome,23,4,8666288
Knights And Chivalry,11,2,421682
INDOM4BLE,16,3,919881
Check Him PC,47,9,5478251
DIVINAS,5,1,190116
RK Ragnarok,10,2,609378
QUE PAZA PERKINAZO,5,1,1491615
ElFachinaArmy,5,1,519589
Gloria Prusiana,5,1,612248
Therian,70,14,22342950
HiperactivosUMSS,5,1,365243
RAISE A TOMB,5,1,146657
BattleToadz,5,1,156039
RMT Business,10,2,661808
Manchmal,88,18,3567167
Rias,52,11,1561163
Ryomen SuKuna,28,6,1635602
KIND-VARNOKT,9,2,176371
Eromita,18,4,2366501
E F N E S,9,2,495811
V 0 1 D,27,6,2572438
Split Second,451,102,157754744
l FALSO POSITIVO l,13,3,1319196
Wyze,231,54,88507751
Daddy8801,42,10,2777803
Hates It Here,25,6,2056486
I DIOSES I,57,14,9441598
Fuera venekos,114,28,43699292
Lusb Lym,4,1,968958
S u r u b i n h a,4,1,180685
Rats Loot,4,1,96018
Formosa Overlord,12,3,410613
Crimson _Core,8,2,245288
Albion Depths,12,3,238109
Dog Down,8,2,796357
Gang dos corno manso,4,1,456325
Solo Legacy,4,1,110308
RETDELAYS,4,1,127403
AlbionChan,4,1,515366
Portadores DeI Caos,32,8,2400856
AlphaBM,4,1,336933
SMOKE EM,4,1,463214
J A B A R I,20,5,2802594
Huff n Puff,8,2,1497039
xxXCLOVER-TOP-WORLDXxx,12,3,274236
testguild1365,4,1,138335
SWAT RELOAD,12,3,2159033
Pijus Magnificus,4,1,859625
WeAreTheWarriors,4,1,227249
Dires Bane,299,78,40154718
B_L_A_C_K,95,25,7771234
JFures,15,4,8532810
K I G A,22,6,3971566
GOBLlNS,131,36,10694426
Doble OC,2218,616,189513992
Slammed,1363,383,512456144
Contratistas,7,2,172061
Papuclan,7,2,876064
La Pl3bada,7,2,212367
HULAJ,7,2,92331
U N K I N D,7,2,2180024
Bl4ck End,14,4,561375
EZCARCHA FTS,7,2,400170
GangBang Theory,7,2,583609
PlataLey,7,2,818696
vivax,7,2,1045350
Pick Up The Phone,38,11,1446169
Sexy Piglets,17,5,791713
Sword and Fist,17,5,269604
H-E-L-H-E-I-M,34,10,4807859
Heroes Del Silencio,20,6,4347181
Unlucky Cats,50,15,15735732
Eternity Fame,10,3,302185
N0 FUTURE,10,3,581796
DARKM1GHT,3813,1167,1591317454
Los Mamiferos Invertebrados,13,4,613171
Granjeros_Cie,13,4,1448139
UltraViolenc3,16,5,3318163
Albion bandits,22,7,2406364
ENDANGERED,2483,794,961914125
Heaven-Doors,28,9,954265
The North Order,28,9,1626221
sharmutas company,3,1,1329466
Space Wolfs 99,3,1,131750
Floral,3,1,805429
BACR1M,3,1,180041
In The Zone,3,1,416071
Los Thetforsitos,3,1,123601
Big Rooster,3,1,216438
Birds and Feathers,6,2,1100695
ZlOuBaaa,3,1,16948
IsMyCastle,3,1,1441948
