Guild,Kills,Deaths,Fame
-,0,2,203569
Red banditss,1,5,170429
DIABL0S,1,1,147243
Treasure Tales,1,3,64174
De4d End,39,28,9993104
Rise And Gain Authority,1,1,461454
USIL,4,1,97759
Life is game,1,3,96239
-,0,0,28881
A N T A R E S,0,1,32192
TAQUIKARDIA,3,5,542214
doomday,1,1,23949
Reqquiescat In Pace,1,1,106918
WARTIDE,0,0,1995
IT s ShoW TimE,2,3,842949
Of Predator,0,0,1913
Hydra Corporations,0,11,2008934
S L I C E D,3,1,294070
Rise of Stark,2,3,516831
zxvx,2,6,214136
Ministry Of Bandits,1,0,5712
DEDO NO OLHO,3,3,791806
S w i f t i e s,0,1,0
R E Q U 1 E M,0,2,6258389
B U R N I N,1,5,2297408
Huff n Puff,2,0,64398
Life is game,43,21,12479670
Free Beer,18,6,4055428
-,0,2,0
VENENO BLACK,0,3,7134
Legio Fulminis,19,22,3390984
OppenHammer,0,1,0
AlpaKnights,0,1,0
-,0,1,0
Falta Envido,0,1,0
Life is game,0,2,217958
Life is game,18,18,3225118
T O R O S,9,12,1163402
Rents Due,1,7,1482473
LA CRUZ DE ADAMANTIUM NEGRO,0,1,7040
Death Clowns Society,1,0,74168
Core Cats,3,2,385271
-,0,0,17142
Veil of Ash Collectors,0,1,29299
Sea-Sky Fraternity,0,1,0
The Vrotherhood,0,1,14251
THE ENJAMBRE,0,1,0
I Nothing I,0,2,813593
xX The Jokers Xx,1,11,2746239
Rage of Camelot,2,3,149602
Spetsnaz Grail,4,11,3074320
Overprice,1,1,269789
M0RS,0,1,0
Insanos Express,0,1,86065
M O N A S T E R I O,2,5,2270764
xX The Jokers Xx,38,30,17684080
Explore The World,1,6,106113
GOTHAM C1TY,0,1,0
-,9,9,1067624
xX Los Tiranos Xx,5,8,652705
CAIFANES,4,3,78032
L E G E N D A R I O S,4,11,1329492
R E I V A N,0,1,37237
T O R O S,2,3,906482
miaw2511,0,2,6383
Spetsnaz Grail,12,7,3260720
Life is game,11,34,1769962
X EL ULTIMO REINO X,0,8,84998
Relicario del Purgatorio,0,2,62603
Segadores de Ceniza,4,2,1406929
Brain not Found,5,0,139509
Espadachines Negros,3,5,211214
Mafia Sindical,1,0,741849
F Pal Que Lee,0,1,21704
II E X I L I U M II,1,1,76428
La Madrigayra,14,7,4227803
Corte caniche,0,2,24251
Sangre de Mercenarios,1,8,741209
Casual Core,1,1,287377
Sangre de Mercenarios,1,5,523941
Casual Core,3,4,457852
Roses-Academy,6,7,784234
Baofengyu,0,1,0
IMPERIATUS,3,5,177246
PlVAS,2,5,1014458
MOTORHOME,6,14,12210652
Mono Con Navaja,35,10,11877606
NoFreeThinkers,47,16,14940859
R E X,0,1,128391
WHITE-MOON,0,3,288851
PERROS CRIOLLOS,0,1,10416
Hispanica,0,4,121404
Profanation,0,2,260849
M O N A S T E R I O,0,4,336832
Overprice,0,3,127650
Ecatepec CDMX,2,3,58941
-,3,2,106081
sonari dragons,0,1,0
Inspeccion de Billeteras,0,3,637973
Sea-Sky Fraternity,0,0,48457
TU MAMMA,9,25,10908094
espada cruzadas,0,1,0
les fr valoir,12,20,4597285
Blue LabeI,4,1,2095617
N A M 3 L E S S,4,5,554129
GREMITIUS,0,2,0
D A E M O N,17,12,3057513
Darkness INC,3,5,712131
Royal Ratpack,37,42,14896167
Mute Zone,1,3,525097
The Shadows Inmortal,0,1,46740
YOU_ARE_DEAD,7,1,876634
-,0,0,4836
Upside,91,15,18588626
Ale limon,1,0,15320
pan con mortadelas,7,10,427445
OnlyFame1,1,0,81459
The Rugrats,0,0,159029
Pura - Sangre,1,6,81056
Blue LabeI,11,10,4017019
LAC0MUNIDAD,0,0,9645
M A N I A C,1,0,41374
GamerSRevengers,1,1,100349
MonosRacistas,0,1,0
Bryllanos,19,23,3924495
Banddle City,43,32,5044481
ETERNOS DRAUGR,0,1,66219
CAZA GANKER,1,0,466485
SunOfGods,0,0,36319
-,1,2,4008
xX Cruz Templaria Xx,0,3,34051
