Guild,Kills,Deaths,Fame
1Mmortal,53,15,10295054
snow forest,12,2,1949678
oo0oo,6,4,2670914
-,1,0,135789
SpartanS 300,0,0,19275
NO-RE,0,3,136801
Jagdgeschwader 52,0,2,252502
Fenr,0,0,303555
conquer,2,1,317488
Rescue Station,0,0,2637
ACM,28,32,8924848
Shu Shan,0,8,1540947
Nemo Nemo,2,3,984620
Kingdom,0,0,0
Finish,5,5,1272966
-,0,2,770624
The Salty Chefs,4,6,520636
MO GU,2,7,1168702
Real ONE,7,13,3798738
-,1,7,170625
After Cleric,2,7,1670208
Real ONE,19,7,9171241
Reworld,14,7,3681914
Meeting Stone,0,9,1069811
Bretonnia,0,1,0
-,0,1,0
Anar chy,0,1,269974
Chicken Nuggets,13,10,2229061
THE WARRI0RS,2,1,436700
Mika,7,13,4344653
All In Fighting,0,7,3458382
Free Butterfly,0,4,36503
Farm Or Die,5,3,612695
Bretonnia,10,3,541143
WARDEN-SLAYER,0,1,5059
The Wardens,1,1,19708
PSC,1,1,486044
Gold Pigs,0,1,0
-,0,1,0
Hunter In The Dark,0,1,147466
-,1,1,99387
-,1,0,44988
-,0,1,0
Real Man,13,8,9972332
SO EZ,0,1,16969
R E V O L U T I O N,0,0,10530
BeasTDaK,36,11,7593811
Meerkat Assemble,20,12,4392218
Mamboo,0,1,0
-,0,1,0
-,0,2,0
F R O Z E N,10,13,675421
Bretonnia,23,9,3972378
SO EZ,3,0,135483
KuromiO3O,33,10,4579808
Gold Pigs,4,4,3121943
Boar Army,0,2,901402
Tohou Project,0,2,2639
MALIGNANT,8,15,2198525
Buccaneer,1,6,211669
-,0,1,50252
GOD EATER,2,0,230578
Filibusteros,1,0,177680
All Rise,2,2,283898
Raining,0,3,133429
V1OLET,0,3,282303
V1OLET,0,9,571542
Tarumanagara,0,1,0
Stellar Alliance,0,5,1355416
PLAC,0,1,117552
-,6,1,898615
Azurel,0,3,858729
S K Y,0,2,32389
Boar Army,3,10,3328228
Suger Babies,1,8,233097
The swallow,10,9,3079697
snow forest,29,15,4186348
NAGA PEOPLES FRONT,0,0,1163
Spear and Sword,0,1,0
New_World_Order,1,7,275362
zote3,0,0,49170
Meerkat Assemble,0,10,4991354
Meerkat Assemble,0,5,3734972
Master Siomai,2,9,468509
MoneyMoneyComeOn,0,1,0
AK-47,4,6,763945
Space Wolves,0,1,0
NULL,10,16,2462463
Wysteria,23,7,3808283
The Lonely Moan,1,7,665918
Enterprises,0,5,678840
Kagenon cid,0,0,4007
-,0,5,0
Dragone Slayers,0,1,0
Blue coral,7,16,508718
INFERNAL,0,1,0
PalaceGUARD,0,0,1037603
V1OLET,1,15,3575387
THEFool,0,1,0
Meerkat Assemble,75,21,28196953
-,4,9,401313
Forever Night,0,1,0
Nemo Nemo,0,1,77408
Noctis,6,3,1375461
DOKDO,1,3,260238
MCS-P,22,19,7354031
Griffin Empire,0,18,2968814
AK-74,0,2,63842
KuromiO3O,0,11,3787258
Dragon-Mi,4,1,1702895
China Daoism,0,1,2736
Wavei,0,4,43714
Around Thirty,0,1,15201
999999,13,18,4531750
snow forest,40,43,11446730
China Daoism,0,1,1365
Dragon Blade,37,17,1199402
Noob Family,1,0,172117
PSC,13,16,2964911
NO-RE,0,15,1933528
SPIDER GanG 4 gay,0,4,152932
qui trans mare,0,1,0
Matcha Ore,1,6,45709
UnifyVN - 304,5,5,3042121
oo0oo,0,3,245401
Rescue Station,0,0,57887
SpaceWolves,16,2,468251
-,0,3,0
-,0,1,0
ScarletValkyries,1,0,3955
GIGAN VIII,0,1,0
Free Butterfly,0,5,138464
KongFu PanDa,5,8,2055700
Forever Night,1,12,2605087
-,0,0,72424
Sunset,11,17,4005125
CCTV,0,11,9994332
Belial,0,4,62804
CAIJI FAMILY,0,0,3842
Pink 7,1,2,111113
CCTV,19,15,4427323
Forever Bound,0,1,39271
-,0,0,47018
Meeting Stone,1,2,100195
-,0,0,69173
Wind Cloud,0,0,4035
The swallow,0,3,6298
AAAAA,1,1,299564
LaiFaNongDer,0,1,0
Gold Pigs,0,1,0
LaiFaNongDer,0,1,0
LaiFaNongDer,0,1,0
MCS-P,42,8,2923371
DragonWorld,1,5,53538
PLAC,0,7,3767099
Boar Army,2,4,2043847
All Rise,0,1,776309
Boar Army,29,33,6357129
Stellar Alliance,0,3,1051645
Free Butterfly,31,7,3574757
liken,1,3,42963
Forever Night,0,0,42860
Healing Cannot Save,1,1,264589
-,0,1,0
Jagdgeschwader 52,1,0,93544
Verdant Ring,0,1,0
F R O Z E N,6,6,1261702
Meeting Stone,24,37,16110664
Forever Night,4,6,598417
CCTV,18,30,7976587
GFN-GFN,0,1,0
Future Party,0,5,4427872
AK-47,1,3,15674
NULL,15,6,1775801
Z GEN,1,1,90176
Earn money,9,4,5631781
CCTV,13,5,2367296
Dragon Blade,2,3,605553
pig bank,0,1,0
Meeting Stone,0,1,450643
S D G,4,19,1016490
Wing of Liberty,1,2,233663
-,0,0,134121
Reiver,1,1,41031
-,0,4,0
Tree Viper,0,4,897777
-,0,1,0
conquer,1,13,474791
Abstract elderly home,0,1,0
Sapling-MIU00,0,1,0
Earn money,1,0,536101
baihechou,1,0,51848
AK-47,16,11,996477
All Rise,4,4,1789368
Next Miracle,0,1,0
Crazybabys,1,0,23550
CCTV,2,13,3807746
Gold Pigs,0,1,0
-,0,1,0
Farm Or Die,1,2,95701
Free Butterfly,1,2,354917
Mika,8,3,2180841
All Rise,2,7,1280185
SAOdeyapi,3,9,1124454
The swallow,18,4,2424991
Chaser of The Wind,0,1,0
All The Villains,6,9,3105588
JSCL,20,16,356064
Minerva-X,0,2,27507
F I K A,1,6,969349
Red Circle,3,10,2411589
Forever Night,0,1,211969
NGGang,1,4,1018716
Tarumanagara,2,2,157094
V1OLET,5,14,2110170
The Blaze,0,1,0
Another,69,19,10561968
Kamusari,2,1,365691
Crusader Kings,0,19,4627354
9INE,2,38,9764780
Little_Carabii,0,1,0
-,0,2,0
AK-74,0,1,7208
KAI RUY,0,3,3977
MatunoKingdam,0,1,37374
All In Fighting,10,6,2288469
Mika,17,4,1905583
-,0,0,8252
L122844033,0,3,0
Wayfinder Knights,0,1,69267
The_APEX,1,2,633146
-,0,4,0
E U N O I A,2,1,27909
Matcha Ore,0,0,2457
SubuTai,0,0,322550
MINlONS,23,37,13954499
-,0,1,0
GRAND VOYAGE,1,3,205674
-,1,1,27379
-,1,3,37233
HIRAYAH,4,5,341355
Chosen Few,0,1,0
High Cards,1,0,934661
Belial,6,2,142705
B o S,0,1,24957
SANDBOUND,0,1,0
Peek a Bomb,0,2,34066
Iron Dominion,0,3,23441
ALL VICTORY,1,2,1834724
New heliansheng,0,0,47861
RABBIT RAIDERS,2,2,491926
AFTERMATH,1,0,197253
Rescue Station,0,8,6605345
CHILIS,43,17,13127009
The_APEX,0,1,105721
FATE-Excalibur,0,1,0
Sneakypotatoes,0,4,11675
Filibusteros,0,0,2013557
GOD EATER,6,3,386243
Crusader Kings,7,8,2572281
9INE,76,43,14890526
UnifyVN - 304,16,5,1211072
Buzztard,0,0,0
NO_OC,135,19,4084093
F R O Z E N,8,16,1223531
S D G,3,10,306082
-,1,4,190218
MCS-P,2,1,308755
All In Fighting,1,2,487086
Mika,0,3,1457815
I The Flying Dutchman I,0,0,1928200
Dragon Crazy DxD,1,2,51930
-,2,2,159139
S1LVER,4,1,132193
Meerkat Assemble,0,1,0
Dread,0,0,32274
Midnight Rose,4,5,258475
Heart of Thetford,3,9,125916
Blue coral,0,1,490730
The Neighborhood,0,6,639948
Boar Army,8,1,708713
Mammoth King,21,3,3309623
Mika,65,21,8309628
Light House,0,0,4720
Fightin fool,14,5,1962783
snow forest,0,1,2500052
Realest,4,7,878810
Deadly Fisher,0,0,3923
B L A C K P E A R L,0,1,416354
DeSaiko,60,24,3863951
Buccaneer,0,0,94460
GIGAN VIII,4,3,1183541
Lucky Fools,5,6,2625855
SO EZ,0,4,173936
ONG BUT,0,6,92761
-,0,0,23220
China Daoism,0,0,20744
AK-74,0,0,36250
ORANG JAWA,0,1,5059
JOLLY,0,0,77182
Warhammer Defense Core,0,1,0
Dawn Seeker,1,2,318362
R O O K I E S,0,1,33876
Laughing Boulevard,50,13,16818107
BLACK BLOOD BROTHERS,0,1,0
Tarot Academy,0,3,0
R E V E R I E,0,1,410208
The Castle Knights,5,4,88864
ALIVE,0,3,47365
V A G A B O N D,7,24,11064277
T O K Y O,2,3,746325
-,0,2,0
CHILIS,3,12,3911767
Call to Heaven,1,1,150514
Wing of Liberty,0,1,0
PLAC,1,17,10751724
Invade,0,0,459335
BLOOD OMEN,0,0,5489
SO EZ,6,10,3578421
Jia Nan,0,4,65146
F R O Z E N,0,1,178052
Wing of Liberty,0,5,326541
KongFu PanDa,23,9,3024812
-,0,1,0
TGIF,4,12,6989061
GOBLINS,23,7,18729313
Forever Night,1,14,7108486
Black Sails,3,2,443079
Jagdgeschwader 52,1,1,127700
Arena Ghost,0,0,6310
PalaceGUARD,0,0,4610
Farm Or Die,4,3,1381374
Save Me,3,1,116067
Tarumanagara,0,5,14525
Calbee,1,6,37716
S E A,4,3,92727
PPV,0,0,15517
Future Party,0,3,333842
Boar Army,0,1,0
Boar Army,0,1,0
-,0,2,249949
Forever Night,1,8,227231
Wing of Liberty,14,6,208051
NO-RE,13,24,5181873
MCS-P,26,11,4821498
Meeting Stone,1,28,290708
Friendly Fire Friendly,0,1,0
South PH,0,1,55727
I The Flying Dutchman I,33,10,14595987
-,1,2,228175
CHILIZ,0,18,20866144
-,0,0,6653
RAKUTAI,1,4,322363
Dotorii,0,1,0
VIET NAM ssm,0,2,0
Garden babys,3,1,308106
Emergency,0,2,249218
Albions Ark,0,4,361690
GOD EATER,5,3,1622126
-,0,2,3637
INTERGALACTIC BAGANG,2,0,32108
Astartes,0,3,224445
pnq,0,4,161299
Mamboo,7,5,242333
Sunset,1,12,450884
Another,60,22,12719115
YangPaiXiaKiller,2,1,888120
Jia Nan,1,1,20608
Kamusari,0,0,1774405
PLAC,35,24,21270022
CNTC,11,18,579301
ACM,0,3,55808
Once Upon a Time,7,6,3251016
Crazybabys,0,1,77047
xCUTIESx,0,2,166858
Forever Night,6,3,1630134
SEMPERX,1,2,25473
Yumembers,1,1,14376
QuQnnTATnnOvO,2,11,4045089
Farm Or Die,6,6,1823245
beggar castle,2,1,26185
Blue coral,0,4,907084
Stellar Alliance,10,9,1935087
KUMA,2,13,1902403
good bomb,0,9,4107821
CHILIS,0,11,5469885
new boombap,0,4,817208
HelIo Kitty,5,13,10855968
HeIIo Kitty,27,14,32283433
HidE0ut,0,5,77711
All The Villains,33,26,6586880
Matcha Ore,0,1,0
VVIP Grup,2,0,138228
MoneyHunter,2,10,241458
HappyDay,15,9,2594436
A you ok,4,5,270037
Bretonnia,2,6,550638
The Fide Blood,0,1,38748
CCTV,0,1,0
A Brave Man,21,7,7330621
snow forest,0,0,373294
All The Villains,3,4,520990
Farm Or Die,8,4,688072
KongFu PanDa,8,14,5376081
SPCL Brotherhood,6,9,239595
HuaDaBin,21,6,4561768
Invade,3,5,296971
MAKAN BERGIZI GRATIS,2,10,62364
ZONE BACK,2,1,62224
Griffin Empire,16,23,6601550
ROYAL CARTEL,0,2,1526
Tree Viper,48,42,15222839
NB FOREVER,3,3,1462458
nanjingdapaidang,0,4,292394
RIP N DIP,1,2,85706
Crazybabys,4,1,637121
GuGu GaGa,1,4,2120658
Boar Army,21,18,10934835
Minerva-X,9,9,1131113
PLANET,0,1,34363
cat and rat,0,6,35184
Free Butterfly,0,1,0
The Savior,0,2,15926
PLAC,3,6,4953759
cat and rat,0,0,29215
Solo-King,0,0,763116
-,0,1,0
All The Villains,18,23,10712040
TGIF,32,38,13553379
PSC,2,27,5388683
Meow Immortal,0,1,0
Never Regret,1,4,55793
DRYGOON,0,2,115435
Hong Xing,0,4,106264
nanjingdapaidang,2,3,51521
The Wardens,0,3,0
321 Demass,0,3,8789
-,0,1,22124
The Wardens,0,1,11487
Pierce,69,41,16828601
NULL,3,2,112033
Jagdgeschwader 52,2,6,389848
Packet Loss,0,4,141936
Mamboo,0,0,51848
GOD EATER,0,1,10487
via,3,1,623385
Shu Shan,5,11,1756632
QuQnnTATnnOvO,9,6,1282868
Tree Viper,4,1,379236
DEATH PARADE,0,1,0
DEATH PARADE,1,0,48789
The Fide Blood,27,8,5483788
Topspire,7,7,2848950
-,0,2,0
China Daoism,0,1,0
Shu Shan,7,7,1638829
1Mmortal,30,30,21722107
HappyDay,0,2,1876118
-,0,1,0
WoErHuo,6,4,447070
The Loot Goblins,0,1,61314
Conscripted,1,2,352837
Sentinels Arc,0,3,137983
Adventurerz Guild,0,1,0
-,0,4,8143
Family Type,0,14,1004215
Lunagon Island,0,1,0
Call to Heaven,0,3,29351
M O G A,10,11,2835802
First love,11,10,1037139
SINGAMAS XI,0,0,11860
KongFu PanDa,16,24,9696062
busibuxiu,0,1,0
PLAC,1,7,668381
Peony Flower,23,9,2418150
GuGu GaGa,16,16,6807996
Nemo Nemo,2,9,8000424
Helios Phoenix,1,6,252754
First love,3,1,480114
Circus,6,1,736726
First love,21,29,13950342
-,0,2,0
Noob Family,0,0,433536
MINlONS,31,21,11379425
Karmic,0,2,605909
Korean Knights,0,4,24516
-,0,1,0
Harmonia Eternity,1,5,20757
RABBIT RAIDERS,7,6,583616
YangPaiXiaKiller,0,1,844871
Eternal Catastrophe,0,1,0
CBCB,0,1,122559
Earn money,41,19,24994963
CoCa1nE,0,1,583413
PSC,10,17,3241038
Dragon Blade,0,11,796767
SO EZ,4,0,42359
1Mmortal,36,6,8841551
THE WARRI0RS,33,26,11986729
YJ Refinery,12,5,1974314
-,0,1,0
PoopooDancers,1,4,261622
Mamboo,0,0,6716
Mamboo,0,1,20358
AK-47,0,2,10037
AK-47,0,3,86527
Wing of Liberty,0,7,107714
AK-74,0,1,0
Wind Cloud,0,0,4035
PSC,12,15,4759014
PSC,2,4,1795
Lai tsai Project,0,3,1000370
Boar Army,1,2,3909
Pink 7,1,4,370646
GOBLINS,1,4,429830
Tree Viper,1,0,470214
The swallow,21,20,4484128
C O V Y,0,5,163029
PLAC,39,27,14371978
Earn money,31,8,5856131
AAAAA,0,1,0
Gungn1r,4,2,453521
Space Wolves,0,1,0
-,1,1,34095
You Shall N0T Pass,5,13,2417797
Reworld,7,10,3987832
9INE,29,12,3615427
Crusader Kings,42,25,5942125
koryen,0,1,63182
NULL,0,2,136401
B o S,0,2,191531
Raining,1,0,512875
AVA,4,0,343003
Reworld,5,7,1408391
You Shall N0T Pass,12,12,2570854
-,0,1,0
NO-RE,9,28,10892975
Avenger Regroup,6,7,858542
Red Circle,0,2,32896
AK-47,2,1,145969
Solo-King,0,1,955280
All The Villains,2,26,4567856
9INE,0,0,1543195
Crusader Kings,2,2,268489
CRIMSON CONCLAVE,5,5,75505
hehaheha,3,2,101994
Solo-King,2,1,2139912
REZIM JOKOWI,0,0,24302
DNS,0,1,56421
QuQnnTATnnOvO,7,4,771781
-,1,1,131440
hua,0,1,37655
-,0,0,21509
DragonWorld,0,4,52740
MO GU,0,2,1070541
Kunlun Jade QingJing,0,3,44864
Future Party,25,10,7395820
AAAAA,1,7,406127
KuromiO3O,34,21,12708589
Raining,15,22,1187153
The Northern Lands,1,3,253764
Freaky Fools,9,23,4983308
Gungn1r,0,1,0
Forever Night,0,1,97030
-,0,2,0
PLAC,0,2,325335
Old Singularity,0,2,0
PSC,1,5,1259006
G T R,0,1,0
