Guild,Kills,Deaths,Fame
-,3573,6340,549005517
Maharlika,5494,6347,3101895237
Summers,4389,2913,2479767985
Meerkat Assemble,3358,3040,1575955825
All Rise,5255,3237,2520311711
MO GU,3612,3928,1415830749
PLAC,4375,2079,2244247027
AFTERMATH,2324,2626,773050672
Topspire,2172,1937,751048633
Western Paradise,2052,2621,635639951
Chikipi,2897,1909,1415056460
Griffin Empire,2148,2239,1043394612
SubuTai,2073,1978,987768739
Initial Engage,1576,1291,539408307
Forever Night,1267,1940,417374956
Earn money,1433,1706,608116389
HeIIo Kitty,3229,834,1318542871
Rescue Station,1780,1287,825170932
F A M I L Y,1587,1483,770454478
BeasTDaK,1561,1078,467408835
REGROUP,1818,1272,811142936
chill here,1600,1246,772293023
S A B O N G,1224,1606,657435194
Speed Check,1991,822,154368832
Artery,2433,1061,381104552
PAPAYA POKPOK,1044,1052,258540043
Conscripted,1195,676,473578565
HappyDay,1198,1708,416960333
xCUTIESx,1555,1299,550738753
MAX VERSTAPPEN,1681,577,169384530
Snake Snake Fish Fish,1320,1123,521128837
COALITION,940,826,376874115
Springs,1592,728,693501886
Singosari,1226,1215,287161532
Meow Immortal,671,1495,296620928
Nemo Nemo,719,1191,253986288
ACM,1108,881,498841972
CHANG,864,1273,286494719
CCTV,1251,1064,460622482
not cute anymore,989,907,260584924
Minerva-X,1418,813,593447496
Boar Army,717,1770,162499959
snow forest,1077,675,452634221
All The Villains,1158,556,452887694
Coup de grace,545,885,149204558
PSC,788,817,223699711
SO EZ,662,697,232551996
CTA,771,605,274736205
TRlUMPH,600,769,197818201
CapybarAAAA,716,597,94992058
Reworld,549,674,176552627
MANIFEST,461,927,73818214
Solo-King,878,711,243001617
Crusader Kings,699,739,276063102
Dreamweavers,747,552,60173993
Raze,786,632,180022691
I The Flying Dutchman I,567,333,224490582
B L A C K P E A R L,520,724,149313103
Kingdom,722,762,109451777
Laughing Boulevard,1071,474,382470047
Malevolent,821,432,275342636
R E V O L U T I O N,525,563,225294131
CoCa1nE,502,742,162344645
The Neighborhood,621,567,159874869
Real Man,636,470,163360776
The Myth,461,385,141143791
Wild Cards,593,759,172931134
P U R G E,648,344,249958859
Shining Star,504,566,96275246
Meeting Stone,626,629,162685209
Good Times,690,367,342284171
Fenr,559,373,184450886
KUMA,363,393,123813277
Spero Spera,467,742,99311005
Never Say Never,608,409,240879287
HuaDaBin,513,435,172358411
Freaky Fools,496,402,182799694
Helios Phoenix,366,548,58879438
Circus,408,499,102949179
Masked Bandits,518,496,175915941
Farm Or Die,806,426,161444985
PalaceGUARD,832,333,367500996
Once Upon a Time,555,425,320590217
CRACKER,735,486,148682373
V1OLET,347,382,50865872
Behavior,284,575,56118874
Karmic,274,573,76571042
Beavers,632,345,161457182
Pink 7,379,472,74902887
R O O K I E S,520,334,150400880
7FALL,331,435,142993856
S Y N D I C A T E S,498,399,94842134
Demitasse,383,469,81073096
SPCL Brotherhood,233,417,103178949
2077,431,559,61904840
MoneyHunter,309,587,30691587
Children Of The Dragon,352,409,110490941
KATANA,295,368,58475821
Stellar Alliance,395,373,97595423
NO_OC,394,397,134549121
Dotorii,369,377,61838492
Tiandao Pirates,379,725,56244673
GOD EATER,292,349,59328210
ALBION AFTER S3X,309,299,32917952
Dragon Blade,346,411,42574338
WhiteSuits,198,360,21112397
THE WARRI0RS,234,459,28321779
Cut Throat,464,328,188065214
Mammoth King,329,291,118468041
Journey Uncharted,589,338,213514405
High Cards,240,447,35282101
Invade,241,276,95411101
9INE,520,349,188122223
One More Times,183,418,63199378
KongFu PanDa,382,366,147261155
ETIQUETTE,288,391,106421330
Eternal Edge,471,249,240510516
Frostbite Reapers,254,157,37611328
QuQnnTATnnOvO,406,248,46317377
F I K A,342,286,122504167
R O S E,309,258,94119560
D R A W I N G,349,254,95518603
THE RELATION,338,226,25296329
Crimson Radiance,310,195,36767868
The Lonely Moan,223,332,28986579
VlRUS,578,228,365144659
Big mom,210,316,93434270
Pierce,317,275,48144845
V A G A B O N D,260,211,98523941
Pink Memory,397,184,141760435
eRa Empire,225,325,40054758
F R O Z E N,244,349,35992638
South PH,308,286,89722628
Midnight Rose,122,317,13382531
RABBIT RAIDERS,130,357,17687151
321 Demass,128,373,17885528
Chosen Few,114,342,23058597
Ping300,266,340,84263418
Secr1T,285,269,114721864
AK-47,248,281,33688355
BENG_BANG_PH,190,243,35760717
L O C U S T,320,386,30821867
Seven Hill,195,465,23566563
Sentinels Arc,327,238,18703788
RYLs,153,337,37968291
NVDHi,280,155,45826895
C O V Y,146,216,23512037
H B J,413,263,126887999
Allvg,128,289,72523147
Old Singularity,145,299,73594749
Kunfayakun,131,182,14488504
Ga LinBei Low Cha,259,230,64091523
NULL,191,365,46157330
UnifyVN - 304,180,215,44151201
DieVirgins,209,320,14929439
PLANET,298,247,70764548
