Guild,Kills,Deaths,Fame
Bowscale,70,3,5297416
Pristine,44,2,20518916
Cuayo,21,1,2592858
KNIGHT_OF_BLOOD,244,18,24192769
BARDS ALE,13,1,603021
SAY GEX INTERNATION,11,1,759881
Outside the building,9,1,1224969
ImPorTanT,8,1,252810
YEW WOOD,15,2,1653201
Comatozze,71,10,4511726
Kamasylvia,7,1,160128
Dropsite Massacre,182,26,8316883
RAPTOR TH,7,1,625604
Tanuki,39,6,4288741
Drum Teacher,6,1,182277
Sun-Walker,6,1,164841
Tour du Avalon,12,2,1207583
Abu Sayyaf,12,2,1129364
WaI WaI,6,1,3460238
KFC 7,18,3,1859445
ok sit down pls,6,1,227475
Sentients,6,1,152909
Eat More Pukikay,11,2,270983
IndianGanG,48,9,31341000
PRIMAL KINGS,5,1,3639686
Redips Society,10,2,792844
Craftsmen Collective,5,1,97720
CAIB,10,2,281393
Fiora,5,1,541293
Phantom Monarch,10,2,346309
CBC,9,2,191661
Bienvenido,22,5,12927396
YixiaoBo,26,6,3078009
ORDER-X,72,17,4977790
The Lio,4,1,193230
GAY BUILD,4,1,237633
Sanrio Girls,68,17,15607423
SLTH,4,1,173023
StealDou,4,1,821462
S i L V E R T A i L,4,1,239482
White Jak Jhun,4,1,229073
PLAY IN PEACE,4,1,391099
Taylor Swift,32,8,4024426
YunShen,4,1,89309
WaGanGaNianDiDi,4,1,123448
srdz,15,4,366155
Go to Game,11,3,375592
ICRC,22,6,2398395
P O L A R I S,57,16,3356469
66_66,14,4,1298453
Dwargon,24,7,5503409
I FORSAKEN I,82,24,5106023
R E A D Y TO D I E,44,13,3612263
1V1,118,35,9619578
Seaborn,10,3,850668
reDot,10,3,626107
Squammy Players,10,3,520631
MAX VERSTAPPEN,1029,316,104595472
HeIIo Kitty,2277,700,983579756
ACT1ON,13,4,647681
Netorare,13,4,978826
OPM,16,5,2104392
TomTom Where You Go Last Night,34,11,9839131
Kiss Of Death,3,1,575529
Chien Than Academia,39,13,7327777
Ethereal Darkness,12,4,760539
Rolling Rogues,3,1,64841
Eternal Blue,3,1,276201
BerkOC,6,2,334783
Boom l1i,33,11,2003390
TIMNAS Garuda,3,1,281193
nagalulu,3,1,70544
Dputa,3,1,662222
No Kill,3,1,1225753
L M A O,3,1,359221
Misty Rain in Jiangnan,3,1,189246
GENG ANAK RASHIDAH,3,1,260812
Guardian Gentleman,3,1,128848
V E S T A,3,1,369736
Hateful Oni,3,1,103152
