Guild,Kills,Deaths,Fame
-,4513,8152,772184141
MO GU,5718,5126,2306868936
I The Flying Dutchman I,4622,3190,2089416292
Summers,6188,3600,3281583464
All Rise,5755,4691,3123112125
Meerkat Assemble,4121,4080,1976556095
PLAC,4861,2798,2434461928
AFTERMATH,2433,2646,828310448
9INE,4050,2449,1058478732
Griffin Empire,3241,3106,1554335679
Chikipi,3982,2405,1940536489
CHILIZ,2532,3588,1669714042
Western Paradise,2131,3375,795299148
B L A C K P E A R L,1987,3576,688061831
Rescue Station,2495,2067,1081155289
F A M I L Y,2333,2001,1038893081
SubuTai,2116,1592,990274675
MINlONS,1763,1512,829383168
Topspire,1706,1791,595315615
Forever Night,1862,1507,314902530
HeIIo Kitty,3279,1143,1455665702
Solo-King,1849,1440,607856576
Earn money,1473,1118,534543579
Future Party,1336,1127,541933153
BeasTDaK,1422,1167,558785589
not cute anymore,1531,1275,516342948
PAPAYA POKPOK,1486,1083,467950327
Laughing Boulevard,2042,1244,873541851
PSC,966,1663,324260966
Meow Immortal,1413,1677,523019680
CCTV,1306,1218,447964830
Singosari,1210,1452,233082260
ACM,1217,1286,534564934
Conscripted,1254,728,612278308
COALITION,866,1262,378374452
Nemo Nemo,874,1275,277614667
Pierce,853,1289,205079901
HappyDay,1193,1288,349125132
Springs,1570,889,720022579
P U R G E,1398,724,477191357
Kingdom,1115,1070,248087755
Speed Check,1274,609,101375272
All The Villains,1473,662,613273036
MAX VERSTAPPEN,1373,425,132900581
Mammoth King,1277,695,449348374
V A G A B O N D,1285,595,453053164
Boar Army,929,1685,315861952
Raze,1205,941,377810240
SO EZ,844,983,310563413
REGROUP,968,868,490207960
Reworld,707,933,278969974
CapybarAAAA,931,750,121893184
R E V O L U T I O N,824,852,317075355
Snake Snake Fish Fish,870,637,410155408
snow forest,1056,703,362790261
R O S E,761,935,266589886
Minerva-X,1016,824,483443172
QuQnnTATnnOvO,1293,882,160861739
Karmic,586,1174,169126668
A Brave Man,659,878,135309514
Farm Or Die,943,631,301580643
V1OLET,453,704,120737968
chill here,749,555,470996784
UnifyVN - 304,784,778,250080105
Raining,937,787,300186647
Pink Memory,862,559,311853433
Freaky Fools,614,667,153362431
Maharlika,779,693,274353606
HuaDaBin,568,594,265706116
PalaceGUARD,871,842,473218521
Real Man,586,535,178467114
Children Of The Dragon,758,537,163679490
eRa Empire,488,667,103331211
F I G U R E,535,714,182768995
Red Circle,352,837,51851085
Tree Viper,790,523,207223968
Once Upon a Time,643,343,321263799
South PH,744,552,147724586
TRlUMPH,598,568,160660265
GIGAN VIII,673,715,157102674
Fenr,835,534,235693889
KongFu PanDa,622,600,241744199
Big mom,608,616,314912880
Stellar Alliance,598,517,167862908
Dreamweavers,397,529,41828684
The Neighborhood,518,483,145480473
Coup de grace,362,717,95016484
The Lonely Moan,458,440,63540553
THE RELATION,505,424,38182552
Shining Star,569,624,52992737
Meeting Stone,450,726,125061378
Free Butterfly,341,620,41479509
xCUTIESx,521,645,128862988
H Y P E R T E N S I O N,482,570,74982804
ALBION AFTER S3X,436,388,44863842
Dragon Blade,339,536,47700592
The swallow,603,635,79317089
KUMA,282,385,73485762
S Y N D I C A T E S,646,500,81133135
Meowfia,306,444,96148913
R O O K I E S,487,313,182595049
Chosen Few,424,575,73326682
AAAAA,483,584,53200398
CTA,527,393,145421248
Masked Bandits,408,585,119630846
F I K A,422,487,98351955
RABBIT RAIDERS,265,565,45616581
CoCa1nE,433,302,100926629
Another,346,294,154693848
AK-47,368,525,72148995
The Myth,362,407,88266128
Pink 7,294,449,55726479
Shu Shan,363,346,73466636
Beavers,411,333,121606499
Demitasse,364,268,136330126
M O G A,500,283,105311884
WhiteSuits,211,351,21481894
Helios Phoenix,384,399,54163956
Wysteria,345,262,156596889
KaLaewKaLad,415,298,79212856
KATANA,296,388,45388973
ENDANGERED,385,225,32737147
HYBRIDS,393,135,41712935
Dark Looters,438,216,29046812
SideQuest,469,381,219820722
One More Times,198,383,67887098
Kunfayakun,298,271,29124436
THEMERCENARY,312,604,38697059
MoneyHunter,302,421,22523822
Frostbite Reapers,242,138,31003468
Circus,347,418,57770430
RYLs,288,362,59029870
Spero Spera,181,627,29130798
NVDHi,487,297,46957893
GOD EATER,194,347,38913884
MoFuMoFu HEAVEN,201,339,33778568
Switching To Heals,324,221,25422442
Midnight Rose,154,325,16362942
Dino Jelly,154,288,90725203
After Cleric,377,202,188463931
Tarumanagara,109,376,10627221
Emergency,331,156,45983008
PSYKOPATH,317,240,22224821
conquer,235,282,51226674
Blue coral,340,253,67354700
BangCuopLuongSon,302,242,94170282
Old Man,229,329,48542541
Seven Hill,314,357,47347674
Snowflakes,204,295,126254922
The Boyz,165,359,38410366
C O V Y,140,248,24957454
CRACKER,393,253,89745450
Blue Phoenix,330,357,52595009
CHANG,161,350,30278625
Critical Impact,182,242,19759894
High Cards,193,298,19998068
Government Program,167,352,14207071
THE WARRI0RS,198,272,17099025
Astartes,162,390,25328862
TEAM_MEMOL,269,235,56698756
Gungn1r,121,259,15575788
Ping300,232,194,73298184
Invade,224,175,55160371
HIRAYAH,126,350,14919873
F R O Z E N,167,252,19633063
H B J,349,209,119599614
Sentinels Arc,218,286,19051819
red king,243,225,95225958
Buzztard,160,417,31879891
Jia Nan,181,342,22078241
The Northern Constellations,160,256,36874091
Noctis,163,239,68288987
321 Demass,129,318,19186474
Peng Lai Xian Jing,155,220,29454473
VIET NAM ssm,143,373,11533069
Cempaka,136,172,31231540
TGIF,242,197,123678042
Floralia,293,142,30027438
Crazybabys,184,224,19826515
Crimson Radiance,289,191,44550600
JSCL,227,204,20727038
SLAF,108,288,12737644
Albions Ark,110,268,17534018
Faction Academy,267,130,28897407
IndianGanG,283,153,177824438
itinerary,215,321,19578712
VINA HOUSE,161,239,33679433
MANIFEST,194,185,45521465
God_Of_War,179,260,26059313
SCAVENGERZ,190,150,73873472
Ga LinBei Low Cha,245,193,41061919
TONPA GANG,118,234,17293833
Battleborn,277,149,30816338
Noob Family,107,189,13258818
NB FOREVER,170,198,30601225
BENG_BANG_PH,104,159,14136908
Eternal Edge,296,152,139750827
The Scarlet Dawn,103,150,5542379
A p os t l e s,152,271,50475830
DDBS,298,128,151017284
7SinsX,167,98,18445467
Dotorii,265,162,37860967
DEATH PARADE,84,195,12918620
Sapling-MIU00,81,194,8537772
Demon Fang,109,164,17355963
Good Times,215,96,102906392
A X E,114,161,20655059
Initial Engage,147,146,28918715
Evangelion,178,155,22257730
six doors,182,143,65378653
MABAR,66,183,6517253
KNIGHT_OF_BLOOD,379,51,33258246
Orphic,138,64,14566548
LYM PORTAL,151,239,7738223
pig bank,96,211,12063940
LEVELING,123,105,13970055
Griffin Legion,95,159,47810959
SHOWTIME,126,158,26075092
Flash,202,161,46621480
First Company,75,205,20998982
An Guild,196,152,15387675
Black Sails,186,118,25484717
The_APEX,84,187,17227557
KAKI TIGA,79,95,10963165
P U R P,69,168,19999359
S D G,59,217,25221930
NULL,184,117,31662454
SPCL Brotherhood,81,111,26832946
Ayutthaya Warhost,106,110,75075270
Sunset,104,144,56531735
Old Singularity,384,166,226893657
Heartsteel,67,120,11046483
ERASE,173,111,37680886
KADAL,123,148,12330201
Endless Combat,29,170,28198731
CVLT,114,56,12189786
L O C U S T,105,174,18918297
Blackfang Covenant,79,52,11502582
B o S,107,185,10939160
Allvg,66,165,20987436
Empyreus,100,96,15103662
Driffter,109,131,9163485
ALL VICTORY,120,68,22460834
NO_OC,277,174,32565490
8Sp1Ders,146,117,90263337
OneDone,118,79,21326910
UNITED THETFORD,35,129,4238901
The Salty Chefs,291,211,39017982
Dystopian,81,143,23217951
PLANET,123,100,25347953
mechanical,86,130,9641911
Filibusteros,40,131,10418463
Take Care Your Ass,89,158,35324415
K R U N G S R I,77,139,9323008
Kids On The Move,75,82,19644105
Taylor Swift,222,34,13280774
2077,77,109,24793858
Pristine,165,76,98868333
RATS NESTT,131,86,96381492
Screamy,57,133,10322594
QUILL,58,101,13737387
Kendan,112,95,9188631
The Fide Blood,124,93,47230042
Crusader Kings,85,104,27195301
1Mmortal,165,33,49685370
TheGreyKnight,59,143,13564901
Sigma Man,78,85,16609109
Lymhurst Ranger,54,81,4843624
Wild Ape,238,64,92254090
BLACK BANDIT,81,139,5980500
KajiRingo,93,75,8481243
Lightborn Syndicate,67,90,5160533
NewNew Young,123,119,12401520
Matcha Ore,314,148,16137604
Clap Me Daddy,98,79,34205003
MCS-P,88,50,20915947
Jagdgeschwader 52,91,123,15812895
ETIQUETTE,115,95,44393535
Creation Camp,83,80,5565946
Echo of One,76,96,7187132
Lai tsai Project,156,136,18123470
SpartanS 300,46,84,4050430
cat and rat,43,124,9083233
Lumi,34,70,3684939
Alone in The Mist,48,84,3876005
Heaven Knight,167,133,54948221
Ocean Waves,67,70,5979718
THE TROUBLE MAKER,56,110,3733449
ONG BUT,26,78,4614884
Suger Babies,63,73,5428299
Easy come Easy go,83,91,22090290
Save Me,67,107,7134707
Auraka,41,132,3532398
Tengkorak,56,69,3831058
MAGTATAHO,81,53,16817430
nanjingdapaidang,53,83,8307327
Endernations,47,61,10702943
Chien Than Academia,117,113,56135294
Auroras,68,68,5050862
bosaBOSS,49,83,7704393
The Wardens,52,111,6546352
China,96,59,14876056
AK-74,69,91,7042938
Wing of Liberty,80,93,10054126
666GG,73,23,57064468
TEMPLARS_ORDER,90,65,8176515
PoopooDancers,68,66,29760498
MIKE TEA,89,69,17065010
EQMS,44,56,7116669
G A I J I N,31,88,4459271
7FALL,74,78,24491727
Noctera,108,77,12524915
First love,74,81,11319696
Hong Xing,60,91,7645910
Wavei,122,91,22139276
CNTC,39,142,2327650
Green Knights,43,78,4216036
Meow x Meow,106,91,19828809
Pussi Gang 69,29,45,5486290
WhiteDragons,23,96,1794118
The Question,74,55,14476009
POOPII,45,79,14506112
CTRL ALT DEL,36,84,4285827
Lunagon Island,16,41,5968727
Dark Soul,94,96,12749244
G U I L D,18,74,1694707
Heaven Drive,145,83,41534031
Ruthless,25,71,4806022
Judy no go Cindy no come,111,63,26489804
peace maker,11,75,1698356
I can be ur Superman,36,24,50523313
CREED INTERNATIONAL,47,59,4300341
Horcrux,51,29,5220172
GaoLaoZhuang,68,127,11878741
Faksi Kegelapan,27,68,2709917
Dragon-Mi,44,78,13667275
Anggota-DPR,18,67,2988928
VELARIS,44,32,7495155
Reaction,20,15,5717090
ISKRA,50,67,3920480
P O L A R I S,327,25,19099392
ALIVE,16,114,1720205
Speed Run,76,68,13199284
S Z P,46,93,3944473
KuromiO3O,40,48,11211110
Laughing Coffn,23,71,2639984
Reborn from Nirvana,89,96,6326065
Shadowborn Syndicate,38,51,3239928
VN-KANGAROO,37,67,24199885
Blue house,68,76,25100825
C A E S A R,68,31,8247351
Lazy Bear,38,58,5424419
GTO Nazarick,27,75,2887694
999999,111,88,46745236
anomali SILUMAN,36,68,2326448
Mathias,75,101,4902842
niubidian,132,86,11200876
Freedom_Castle,48,92,2966939
Absolute Dragon,43,74,3890271
10 My friend are coming Run,9,104,1188561
Fire Boys,49,43,5064805
Secr1T,93,34,32914262
GuGu GaGa,56,90,20169693
Lym World,37,63,2819490
Stray Socks,35,48,3913597
Mount Never-Old,48,76,3597639
HEGEMONY,12,44,3789753
JOLLY,50,59,5692799
FxxK,75,88,6908226
Snow Angels,30,77,2826946
HAMSHTER,9,53,1088459
RESPECTED FAMILY,9,71,2524448
KumaKuma,51,72,18685313
Earn To Win,25,98,7297376
China Daoism,25,59,4262787
War of Shawdows,22,66,2618533
REDEMPTION CODE,15,68,1694679
Viruz,7,76,901607
Shie Hassaikai,69,27,4936471
The Jellyjot,59,37,40395074
Packet Loss,79,37,5003413
BEHEAD,86,27,44531688
booz party,34,47,2861395
B L O O D L U S T,40,62,11207119
ETERNAL CRUSADE,10,75,1543637
Gondor,45,46,3627370
PL4B,34,42,4690414
NiTianGaiMing,14,72,1018582
FATE-Excalibur,50,176,3194325
House of No One,27,49,3125430
CHILIS,44,62,37647036
New_World_Order,10,57,1710259
GG969,78,39,4631795
Galthering,61,59,3710289
HOLIC,114,64,13115959
Kunlun Jade QingJing,77,67,5127554
TROLLS,53,49,4464135
NekoParadoxia,27,54,2467999
S A B O N G,38,47,19591277
Never Say Never,55,53,7809495
HER MES,23,63,2838159
Mahatma Suvarna,15,29,2319590
Tiandao Pirates,31,73,4115104
UNITED REPUBLIC MERCHANTS,44,35,3454910
Call to Heaven,29,56,4526838
FELIX INDUSTRIES,32,24,4137686
Wayfinder Knights,21,71,3450949
why you bully me,67,22,4568631
ArWang,55,46,6895074
JiangHu,70,46,2606071
DeSaiko,28,45,2663281
POLRES LYMHURST,24,57,2423030
Crusaders of the North,22,41,2550684
ABSURDVOH,41,23,3371050
Gather Anti Gather,41,60,12204997
VietNam TheFord,37,47,4201941
BATAVIA,12,25,2988997
CATHEDRAL OF RAT,39,44,8850452
Aetherion Order,9,30,1457619
VARTICAN,80,105,4721125
Whyme 2,78,70,11800322
Believers,43,41,2585918
KHAOS,156,23,14255352
Tohou Project,27,52,5851111
Raven Reaper,5,32,1800076
E U N O I A,30,45,2447377
Husky Empire,46,71,6062632
Biu BiuBiu,62,61,8971409
DOJO,53,37,9439515
Olorun,146,26,29115170
THE-IMMORTALS,12,76,2270970
The Savior,43,67,3569180
PDl PERJUANGAN,7,24,1487004
Global Unity,30,54,1611274
Master Siomai,15,58,2072387
Ban,33,69,4037886
One Shot,34,60,2915892
GRIEVING-SOUL,45,44,3921281
ROYAL,76,41,6150721
SDteam,38,63,5085141
I FORSAKEN I,42,51,3336861
Mochi Kingdom,28,50,2622092
asile,9,59,864412
Finish,20,46,3225068
1V1,32,26,3407432
Journey Uncharted,29,20,24841987
Wicked Croc,9,23,1209665
G STONE CREEPS,8,44,1305654
Frostborn Exiles,8,79,1079237
GOBLIN CAMP ID,20,30,1640963
Concordia,11,45,1124947
Fish Mercenary,14,33,880732
1994,60,32,15082449
D R E A D W A T C H,52,39,3181985
OneFame,48,48,5749891
Luminous PH,39,15,3913866
Gold Pigs,32,58,8769882
Mythical Knight,11,39,1210014
MoneyMoneyComeOn,4,37,978060
R E A D Y TO D I E,47,34,4033877
Family Type,20,43,2317452
FLOPIT,57,73,4657184
SlowLife,15,30,1428056
G U N N E R,90,38,23588309
hua,8,12,811414
NO-RE,42,46,6517806
Medieval Royal Guards,5,42,734164
Chaser of The Wind,19,40,2314234
M A R S,26,38,2477485
SINGAMAS XI,13,47,1597191
Ayaka,87,25,7982883
S K Y,20,43,1170166
HaChiu,29,65,1379551
Shut It,44,75,6332707
The Elders Pact,12,34,1020207
BlueOwl,9,40,1457435
Tree_Of_ Faith,25,28,1850991
Fightin fool,16,56,2305885
O U T L A W,12,46,1344893
Lord of Yasuke,11,38,973825
BanhMi-Gang,42,20,3165578
SSRR,3,39,635286
Heart of Thetford,7,36,1062592
YeoPo,38,29,10610141
Marlotck In Heart,13,41,1372397
disconection,12,10,1785926
DNS,14,46,1060636
Shark Chew Toast,53,27,3361645
Mam-moth,15,31,2214063
Harmonia Eternity,13,38,1462529
Baby_Paradise,8,46,823205
WINTERZ,17,39,1044605
R E Z,86,55,7063293
FlavaClouds,12,8,12609861
I Slytherin I,32,28,1851662
Swim Dragon,54,61,5837666
WowMayKay,33,38,6466968
KAI RUY,14,33,1379369
The Black List,24,49,4212651
CAOTAIBANZI,32,73,2601130
Cats Nest,31,40,7038212
Ordo Musaceae,24,25,2254217
NGGang,9,21,2153325
SOLAR BENEDICTION,4,51,280982
Realest,21,18,3580757
SyntaxErr,31,14,2590282
B-E-L-A-T-squad,33,35,5184566
S-A-K-U-R-A,40,9,2013874
ScarletValkyries,5,55,671997
FAKE INFO,20,24,5005491
From Zero,14,34,2629525
W BLOOD,24,26,1753262
Bonjour,34,17,13274935
FORTUNAtE,8,29,1329778
Titan Blaze,15,49,726494
Nemo Bomb,38,28,11737131
Phosphorescent Flame,48,6,3775927
Understand,49,28,16458299
Nomadz,4,28,751525
POLSEK ALBION TIMUR,32,10,1667419
WolvesDen,22,15,1726652
G A U T A M A,14,46,5578072
DIUKAMIE,33,56,3806590
NobleBloodline,27,28,2748286
Sanity Eclipse,11,27,14793324
Life or Death,15,33,3151495
KINGSLAND,3,22,999561
Second Fear,52,37,3926082
Arena Ghost,8,41,840676
Avalnom,19,29,9227349
The Undead Angels,21,61,1363124
Guerilla Warriors,11,34,1009748
octugram,18,56,1895086
Hudyat,16,15,1602240
Oh yes,1,39,542685
NATURE_Team,28,29,2316202
Scythes Area,9,39,530901
AVA,15,41,1662237
Cut Throat,36,33,7901145
Never Regret,13,53,1235865
VOYAGER CORPS,9,39,740646
War Bears,4,31,680757
Verdant Ring,34,41,7480017
Warhammer Defense Core,16,31,1173073
Red Paw Gang,5,44,485288
LOVUONG,16,37,3165745
Achaemenid,18,16,1368772
LunSol,37,27,1819026
0-Infinity,7,34,816661
via,14,13,7346982
The Eminence in SHADOW,26,19,2272347
veni vedi veci,39,39,18586921
The Castle Knights,19,23,3364119
ABOVE HEAVEN,8,32,749615
XHCN,20,12,2867555
The Rice of Asian,4,41,704978
Sylvan Gaia,2,29,559814
Sons of Naoero,11,42,1338767
N Y X,21,48,4674876
Reiver,9,27,994455
HollowCrown,19,27,1501182
NoobGaming_YT,14,13,1005917
HidE0ut,9,51,504049
GATHERER-INDO,19,19,1007593
Eternal Catastrophe,13,27,1069330
ONE-JING,21,20,1718561
Dropsite Massacre,62,8,3422202
Green Shadow,0,51,291420
OMNI SLASH,23,41,1201957
Fight Or Run,16,21,4380342
Petanii,11,26,787056
Calbee,35,20,2937006
BankAiolos,7,34,633967
The Rumble,44,37,3796929
BLACK STAR,5,32,815286
TrueMatch,10,25,646288
Strange Journey,25,12,1849355
ARMA,1,7,2003704
NeGalius,13,17,1544592
Voltron,7,11,2358211
BLACKSPIDER,28,53,2675224
Lao Qian Xue Yuan,20,21,3689991
Saverty,26,33,1902720
Hooman,8,41,1053958
Typhon,12,45,1233342
ChipsO Federation,4,35,2060749
puniceus,14,19,719789
netizen indo,9,17,747110
Frustration Crew,29,9,2238567
strange thief,4,35,392592
John Wick,133,32,8601144
DeRSimli62le,14,11,1355730
PUMPIM,8,30,911421
The REVENGERS,9,26,770373
Outlaws Crew,23,32,2535239
Guardians of Albion,7,34,2704029
HIGHT AND LOW,9,16,664373
Welangbumi Gronggongan,6,26,719030
GARUDA LEGION,3,34,484259
F R E E S I A,0,27,210058
SilentMemoirs,8,22,698021
OPFarmer,8,22,520866
Valar_Morghulis,25,14,1812698
CtrlAltDefeat,31,20,2159732
Onely,0,17,694799
DRAKORIA,8,15,871354
DragonWorld,26,31,2926803
L O N E,37,9,1964376
B L A C K H A W K S,18,23,1629783
OPC GGININDER,22,34,2443828
Baybayin,20,6,2829711
THE LEGENDARY,8,31,921358
Chihuahua Family,12,37,1727724
KnightfaII,40,9,3182962
LEGION OF THE UNDERWOLD,6,25,1122734
SHROUDED,13,14,21994514
Death Wish,30,14,15914876
Dragons Breath,3,25,350891
Variant,6,28,509968
E X l L E,28,33,12158049
00nemo002,6,30,1400401
NOXTURNAL,23,13,1637149
OutlandAussies,16,11,481152
TW-Club,11,19,2130131
FOREST REGIMENT,8,11,1988243
Gravity Legion,9,37,5563351
MAXs,7,47,420428
Visayan Express,17,24,1089211
TokyoBear,38,19,2320381
Enterprises,36,26,2312977
Ciel Bleu,9,9,1528308
CrossBlade,7,22,1938007
Snow Moon,15,24,3014496
Baschu Lymhurst,28,30,15465780
Judgementt1,22,20,14710023
takkasin club,5,15,604196
The Black Banner,26,14,1835953
NightCity,4,22,1167194
Hong lang man club,16,23,1289770
SAIYAN,3,35,1211137
mizo,18,20,1741956
AZKALZ,6,16,959789
VN1945,16,22,2642045
Silent Storm,7,21,1008885
Mistwood Fen,3,16,315677
INTERGALACTIC BAGANG,12,19,2299900
WARRIORS INITIATES,6,30,545567
Skyrim Equilibrium,13,11,1312557
Idochine,8,26,3154407
Gathering FARM,4,18,626108
Sterlingrad,16,22,1121436
Protos Agonistes,19,24,1241750
KPA,12,26,3778312
ReadyPlayer1,8,20,1682579
Technique,9,28,1649967
DEATH PIT,8,27,3771905
STRAYFANGS,18,6,1396735
The Lightbringers,16,17,1503865
ALAS KWATRO,7,21,800490
C H I,15,12,2508081
HIGH RISK HIGH REWARDS,12,27,1961613
PK MAX,7,29,606612
Elden Ashborn,15,20,1759447
Aegis of Fuji,4,23,2306901
Behavior,7,26,452388
Merchant Militia,10,33,564482
