Guild,Kills,Deaths,Fame
-,0,1,81603
Mika,112,47,34894271
-,0,0,17499
Lucis Trust,0,1,0
Snowflakes,0,1,0
CATHEDRAL OF RAT,1,1,4080
Pink 7,3,12,2516018
-,0,2,47422
WhiteSuits,0,2,33659
Peaceful Heaven,0,2,1683
-,0,0,9699
SpartanS 300,0,0,7900
Jagdgeschwader 52,0,1,0
red king,1,28,3173837
-,0,6,775730
conquer,4,2,504469
Nellie,0,1,0
Mika,17,1,3644666
PalaceGUARD,7,4,77697
Rescue Station,0,0,11697
fortuita viri,0,1,0
ACM,5,11,4425116
Shu Shan,5,19,2313154
Nemo Nemo,0,4,1045424
Finish,29,25,6215183
good bomb,48,31,6733558
-,0,0,88742
Real ONE,16,4,1058731
-,0,0,12697
The Scarlet Dawn,4,3,223763
HunterFrontier,0,1,5567
2026-07-06,2,2,1577675
Real ONE,0,3,112303
Summers,6,5,2279205
Reworld,0,1,571043
Anar chy,2,3,269579
Chicken Nuggets,0,1,422756
-,0,1,0
Singosari,7,17,525367
Mika,15,42,24559328
-,0,3,0
Farm Or Die,31,5,5265055
The Wardens,2,3,134040
PSC,1,1,325372
-,2,12,454111
Real Man,29,9,8171576
A Brave Man,0,4,354125
Peng Lai Xian Jing,0,1,154833
Jia Nan,0,1,53031
-,0,0,66466
SO EZ,0,0,286769
R O O K I E S,0,1,79702
Meerkat Assemble,31,13,6091347
AFTERMATH,4,2,134434
F R O Z E N,3,6,1074210
Bretonnia,3,5,1858967
Earn money,1,7,2702003
SO EZ,4,10,1944449
Boar Army,0,5,1022068
Gold Pigs,0,3,743442
sasuke lovers,1,1,147777
Tohou Project,0,0,116664
REGU MAWAR,3,17,353949
MALIGNANT,7,11,1671868
-,0,1,0
GOD EATER,4,8,1314946
Garden babys,0,1,4996
Earn money,0,3,142386
LEGION SOUL,0,1,31460
V1OLET,0,7,409647
Stellar Alliance,0,17,3022916
-,18,12,5703417
S K Y,0,0,51920
-,20,6,2624839
Boar Army,1,10,1736042
Suger Babies,0,3,3278
The swallow,22,26,6316506
snow forest,29,46,23053136
One Braincell Army,0,3,0
New_World_Order,1,6,49811
Meerkat Assemble,0,3,1225637
-,0,1,0
Fake engage,0,3,11656
Meerkat Assemble,6,33,9116922
Scythes Area,0,0,16338
Knights of Sterling,0,2,0
BLOB,1,7,191261
-,0,1,0
MafiaZone,0,10,220916
Master Siomai,0,3,135063
AK-47,3,2,1960440
MCS-P,0,2,0
-,0,0,21451
NULL,19,44,6627776
Wysteria,22,8,2006289
The Lonely Moan,13,12,1465123
National Basketball Associatio,2,6,2999917
-,0,0,9096
Kagenon cid,0,4,17979
House Highwarden,0,4,0
The Lonely Moan,5,3,334690
Mythical Knight,7,6,461168
-,9,7,882636
Blue coral,5,8,394923
MINlONS,1,1,735742
PalaceGUARD,0,10,3229428
Loyalist,0,0,200041
V1OLET,0,11,924874
AK-47,1,3,360548
Never Regret,0,8,615217
Griffin Empire,15,1,4000151
PLAC,11,5,17532117
-,0,1,0
AK-47,0,2,38833
LOOOC,0,0,60037
Garden babys,0,2,100829
-,6,5,415375
-,4,2,488194
Noctis,7,17,3320835
DORAJI,1,0,71313
MCS-P,25,24,10878394
Griffin Empire,6,10,2753814
Pink 7,0,0,9602
Dragon-Mi,11,28,17502204
-,0,1,3450
-,35,43,8003530
A Brave Man,3,5,2341123
snow forest,38,49,23469854
Meeting Stone,15,15,4548225
GOBLINS,0,0,3202680
ACM,1,8,2945696
HappyDay,0,0,5712
Dragon Blade,22,13,1705302
Noob Family,1,6,214556
PSC,0,2,14898
NO-RE,0,8,228722
-,0,0,190874
SPIDER GanG 4 gay,0,1,47963
qui trans mare,0,4,0
Matcha Ore,0,4,42465
-,0,1,0
-,0,1,0
UnifyVN - 304,12,6,6794470
Prodigyy,0,1,1684508
Rescue Station,10,2,2579518
HIGHWAY TO HELL,0,2,0
Calbee,1,0,82633
-,0,1,0
RABBIT RAIDERS,0,1,91201
Gungn1r,3,1,258795
-,0,2,12010
Free Butterfly,7,12,418346
KongFu PanDa,5,5,1596289
Forever Night,8,5,889618
Boar Army,0,3,249540
Sunset,3,6,2448094
CCTV,0,29,24349924
Boar Army,0,4,214234
CCTV,0,0,1391670
-,6,4,1388134
Peng Lai Xian Jing,8,10,375942
Wind Cloud,5,2,58961
AAAAA,0,3,0
Minerva-X,0,5,907994
Minerva-X,1,1,1044463
LaiFaNongDer,3,4,577071
MCS-P,41,17,5410209
DragonWorld,0,6,0
WhiteSuits,2,1,39508
PLAC,0,2,518007
Boar Army,8,16,3827816
NULL,0,3,507867
HappyDay,0,0,860914
Free Butterfly,38,19,3401481
Healing Cannot Save,0,1,0
niumaz,1,0,33435
F R O Z E N,13,22,2836253
Meeting Stone,14,37,8835837
Forever Night,1,3,322163
CCTV,7,7,4730563
Gondor,0,0,147909
Gold Pigs,2,1,144840
AK-47,0,2,78138
NULL,21,19,3990902
Liberty World,0,0,163242
-,0,0,28544
CCTV,5,2,1335077
Dragon Blade,3,8,823741
S D G,1,3,145567
-,0,1,0
Legacy From Hunters,0,2,17096
Tree Viper,14,11,2434174
conquer,39,29,3922220
Visayan Express,1,1,4971
Sapling-MIU00,0,1,12790
-,0,2,0
DeadlyMouse,0,1,112812
Crazybabys,0,2,116494
CCTV,5,32,10940279
Free Butterfly,0,2,0
China,0,1,492125
Hei Hitler,7,6,1146044
SAOdeyapi,25,20,1575866
MiMe,0,3,257301
The swallow,53,18,6349458
JSCL,3,5,73398
F I K A,1,5,100934
Red Circle,6,39,4065763
-,0,1,0
Tree Viper,0,1,0
GFN-GFN,2,2,49958
V U A,1,16,4323590
Dark Looters,0,2,78378
ALL VICTORY,0,1,14019
peony flowers,1,2,282878
Tarumanagara,0,5,135992
Xendal Jpitz,0,0,13509
Loyalist,0,0,466946
