Guild,Kills,Deaths,Fame
Lootiiiing,0,1,0
-,0,2,0
DraGonGods,0,0,20755
cocorrico,2,1,109932
Remember Me,1,6,42663
VASILISKI,2,2,7368
Top Squad,0,3,170592
Vongola-Family,38,28,7618785
giant panda,1,0,59586
-,0,2,0
IKUN,0,10,1043066
Revenant Requiem,1,8,1288109
Fluffy Panda,0,0,20978
Zero Dam,0,1,0
Arab Lions,0,0,9889
-,0,1,0
Burzyny,2,1,48132
-,3,2,93713
Prosektorium,4,2,214991
THE BEARS TAVERN,1,1,12315
Bloodthorn Blades,1,2,67181
Marauder s,0,0,408347
XXX,64,21,12948196
Press The Buttons,11,5,1461886
-,0,1,29553
1-st,0,0,33061
Cult of Hydra,0,1,75072
Sangreal,0,0,3141
ForceUp,0,0,98296
Heralds of Valhalla,6,14,9045443
Heralds of Kebab,4,10,5865542
Mists of Midgard,4,1,69790
Papaoutai,40,31,9250545
Elevat1on,3,5,705260
WAR BOX,1,1,39503
Superabo ex invictus,2,0,26761
Shadow Fiend,1,2,64941
Press The Buttons,56,17,3515258
-,1,2,164418
W - I - N - X,3,3,183626
GRUZ 200,92,9,3422015
The Immortal Angel,1,2,660
Eshfold,1,1,17378
Mure,0,1,150431
The Hypersonic,0,11,4202276
ForceUp,3,1,45225
SPERMA_228_1488,1,4,89674
Fakers,0,0,281736
FAMILY OF HEFAJSTOS,0,3,0
-,0,4,10434
-,1,5,173735
-,0,1,0
Graveyard Shift,0,3,2280
Win Order,6,10,2924527
Thetford Social Club,11,4,307530
-,0,2,0
Los Pepo Clown,0,1,0
Z For Zodiac,0,3,56510
Top Squad,14,14,2534179
-,0,1,0
Vikingr,4,4,48250
-,3,0,180341
Solea,0,2,901402
XXX,0,1,562496
E H O T,0,15,1762146
Savants,1,1,62809
I D I L L I Y A,0,0,24515
-,0,1,0
Zero Logic,3,8,554583
ACOLASIA,0,5,648
Purity,6,6,1029850
Verity,2,0,302731
Entity,0,1,20270
SPREAD AND BRAWL,1,1,234487
dragons guild,0,1,0
Dokodo,0,0,28070
Full Push,14,14,6689682
AzGuards,0,0,506
Z For Zodiac,0,0,11241
-,0,1,13930
bohong,0,1,21255
Solary,0,1,19893
Verity,0,0,87269
Heralds of Valhalla,0,4,2046448
Bloody Gold Hunter,0,0,9515
Qedmaglebi,1,1,18449
Squirtle Squad,0,1,15892
-,0,1,0
PORTAELVCIS,11,0,69911
WarLogs,0,1,0
B888OP 777,0,1,0
Morganas Knives,1,3,80005
Polska Gildia,0,2,408813
Wandererss,0,1,0
Alpagut TR,12,2,1103134
-,0,1,0
Arab Lions,0,0,11243
Solary,0,1,0
BDU,1,2,22388
BIRTENGRII,16,13,1874328
Straw Hat Pirates,9,12,470567
Del Teide,0,3,31642
-,0,0,2032
Arab Lions,0,1,0
Top Squad,41,18,3172316
NINE PERCENT,2,1,169688
Blood Monkey,0,2,200893
-,0,1,380
-,0,11,24642
Ma-MaraderZ,0,0,90173
VODKA SQUAD,0,1,0
Shadow Coalition,4,6,301876
HORROCRUX,0,0,17796
Frozen Bones,0,0,2083
feiwo,4,19,1152814
O N L I N E,1,2,78830
BanderShtat,0,1,310739
Dz Fighters,1,0,98495
BLADE2FACE,0,1,0
Clean Kill,2,3,966919
FAMILY OF HEFAJSTOS,20,21,6683329
TESKILAT-I MAHSUSAA,0,3,42086
DragonTears,0,0,23845
GODSMACK,2,6,56852
-,0,1,5104
over_guard,17,11,3817379
-,1,0,23604
Sever,1,4,40983
Skoggangr,37,41,17138497
-,0,2,17345
-,0,1,0
War beavers,0,1,0
-,0,1,0
Bandits,1,0,40155
Utopia,11,14,3738366
Vongola-Family,2,2,35086
giant panda,9,4,219322
sakura,0,1,0
Top Squad,0,1,3707
EU Federation,8,33,12661360
LUMING,0,3,38561
Erdtree,10,7,106217
GOTEI XIII,0,0,80148
Gayzer Pool,0,1,0
BeBeBus,0,2,31530
Top Squad,0,2,106509
Lootiiiing,0,1,98368
iMoYu,0,0,54164
2 v 2,3,0,13122
IKUN,6,11,940064
LiMing,1,1,46851
S E N G O K U,0,3,276091
BeBeBus,0,0,4740
Vongola-Family,11,10,3342755
Top Squad,3,7,140497
Pyramid Scheme,1,2,1170302
Vongola-Family,7,14,2701143
giant panda,3,3,907019
jiuxiao,5,0,29060
RAT ZONE,0,1,0
Spicy And Hammer,0,1,0
-,2,2,47647
Genesis Kompany,0,0,37491
HURRY UP,0,6,188530
Ashen Fall,0,1,0
Antler,0,1,26606
RAVENS,6,8,3459484
Klenovoe Derevo,0,1,0
Black Legion,1,0,224222
-,0,0,1661
EU Federation,43,21,8116094
CANDY SHOP,3,2,41877
-,3,0,80070
-,0,1,0
E X E R C I T U S,0,1,0
BTBF,0,3,11075
Deporte en Porte,14,16,2954781
Throwing,0,7,1479715
MAMMY HUNTERS,10,6,366448
Food OC,1,9,1534232
Pistawetya,0,2,0
THE VILLAGERS,0,0,2155
-,0,3,110540
Treasure Hunt,3,6,403265
Noxus,4,2,140440
Le Bus Magique,0,4,644239
Cyber Cats,1,14,4960170
FAMILIA ES TODO,0,0,3499
POURFENDEURS,0,1,0
L M N D O R,0,2,0
Squirtle Squad,1,6,5884736
PIETRUSZKI,1,2,138769
Burzyny,1,1,775547
Almas Agrias,0,0,59348
-,0,0,42262
ANY FIGHT,14,52,21050401
Suicid3 Squad,1,3,47958
Ancient Roots,0,1,0
kastoria,0,1,0
-,0,6,32741
Ex N1hilo,12,8,548891
WarTag UA,2,10,2966249
-,0,1,0
spoko,2,33,52733
Bandits,0,0,42825
Burzyny,0,2,484818
Burzyny,21,3,1827199
Last of the Ratts,14,30,9178150
S W A M P,0,4,137165
S E V E R,0,1,0
Scourge of GOD,0,1,50591
FBl,1,7,125763
S I X,11,28,14533600
Jungle Outlaws,1,22,7211532
Elevat1on,0,2,66571
ForceUp,0,0,203195
Bandits,0,1,0
DO NUT,0,1,41937
CRYHARDER,0,2,0
-,1,0,38583
meaw,1,1,54330
Ferrin,3,14,675669
Roux sacre,1,0,55203
-,1,2,94741
Rhaegal,2,1,317580
GooglyMoogly Festival,3,2,205215
-,4,23,527565
Lemon Girls,81,39,21879073
-,0,1,0
LES GOBRIATES,3,1,356316
Old School Army,0,2,303577
E R R O R,0,1,0
Spitfire,0,4,32695
-,0,1,652
BlooD SunrisE,1,0,27000
-,1,2,49521
Fox777,0,1,20865
Klenovoe Derevo,0,2,0
Y a g a,2,2,183327
EIROPART,1,1,12648
-,0,1,0
S I X,10,30,10094154
Anima Bellum,2,3,940896
-,8,15,808732
-,0,2,35803
-,0,1,0
Ascension,3,13,958493
-,0,1,0
-,0,1,2458
Bandits,15,19,4840606
Sever,1,15,420225
-,0,0,1264
NIGIDI NAGO,4,1,2155186
IRIS,0,1,0
ANWAR,2,3,654005
Pyramid Scheme,0,1,144462
TEMPLARIOS AVALONIANOS,0,1,0
FBl,1,7,588012
-,0,0,21918
-,0,1,315259
FAMILY OF HEFAJSTOS,0,0,17268
Y a g a,0,2,211771
Dangeon Masters,2,4,347831
Vongola-Family,17,46,12728696
Pyramid Scheme,49,37,27036736
Les Monts Gaulle,0,1,247862
Guinness Draught,0,0,171435
White Walkerz,1,5,103947
NAJSILNIEJSZA GILDIA,2,0,429401
FAMILY OF CWELFAJSTOS,1,5,469922
Y a g a,0,1,81263
Shershens Company,0,0,205781
Never Mind,1,3,66537
GAGARAGOGO,0,2,133208
Fuego,16,13,9874768
-,2,2,136420
Egoist,0,0,40959
GAGARAGOGO,0,6,114722
-,0,6,140679
AsturGalaicos,0,1,190501
Make balance great again,3,3,209467
BACKSTAB CO,9,8,618724
Pyramid Scheme,3,16,7371962
StarGateX,0,2,219314
Black Sentinels,0,1,132193
Way Of Kings,1,17,299912
BOMBERMAN,0,0,1035227
Damnificatia,1,2,92257
HURRY UP,0,3,11479
NoTag,0,1,0
MISS CLICK,1,1,177705
E L I T E,1,0,184489
Sincerity,4,5,2112630
Utopia,1,9,3754063
-,0,3,39664
One Hell,0,1,3189
Lemon Girls,6,4,1226582
Last Way,0,1,157405
-,0,1,0
The-Fallen,0,2,0
Hit and Run,0,2,327870
HURRY UP,1,1,197694
Azgard,0,2,163693
impact Reborn,1,0,142072
Pure Crimson,0,1,0
Revensong,11,6,1016717
Order of Eternal War,1,1,17272
Astra Ignis,0,1,18649
Destroyers of Destiny,0,8,51251
-,4,2,343783
Verity,0,1,29089
No Brain,2,4,257033
YUNKE,0,5,0
XXX,2,8,2482524
Dokodo,0,1,29993
DontNeedYou,2,11,975154
S I X,0,1,798667
J U S T I C E,2,0,10404
PEKA,0,4,282121
Legion Del Apocalipsis,2,3,34523
G2U,17,5,1631651
-,0,0,9425
-,0,2,8469
Wolves YT,0,3,7376
PICK ME pls,7,18,753439
-,0,0,5727
-,0,4,0
-,0,1,0
THE ABYSS,7,4,66660
-,0,2,0
Avoid_Me,1,5,2875430
Gayzer Pool,1,4,2075386
Papaoutai,3,13,344316
BattleStar Galactica,0,3,5579
Latitante,0,0,10395
Lemon Girls,21,12,6468707
LUMING,1,1,29142
StormCloaks,4,1,182085
A-T-L-A-S,11,3,736791
-,4,1,414882
Purity,12,3,2387664
Panic in the Game,5,1,287655
S A Y G I,0,1,0
