Guild,Kills,Deaths,Fame
-,8157,18645,1188445602
Skoggangr,9389,7614,3960766764
Clean Kill,5755,4808,2136032935
Woof Woof,5904,5483,2176290011
G2U,3607,4140,1371614599
EQMS,4359,3631,1662987054
EightFours,6562,3073,2231272610
Squirtle Squad,4260,3222,1841703265
Contingent,5127,3101,2079248892
Sevran,3308,3404,1199766766
Marauder s,2979,5241,1120458205
Heralds of Valhalla,3393,2477,1307192074
Panico,4234,1554,1457417542
Judge,2873,2177,1009690842
Papaoutai,2995,1509,958002142
S3XT1NG,2378,1649,840270646
Right Side,2927,1594,1060267560
M3R Company,2559,1792,730909373
Polska Gildia,2004,1981,679201141
WarTag UA,1006,2334,362072253
Ascension,1253,1760,385630589
Ridniy Kray,2807,1187,482217592
K F C,1532,1695,591893997
Inquisitors,1835,1416,667417140
A SKILL ISSUE,2175,785,744683458
JOURNEY TOGETHER,1582,1488,557228198
Skaggongr,1464,1364,590899605
Overpowering,1298,1439,356531890
Fuego,2151,1027,784209416
kfir,1463,830,427827052
Scourge of GOD,1732,1290,453186054
S A N I T Y,863,1309,305027688
Pink Monkeys,2052,747,705808183
cocorrico,1171,1430,263445015
IM O R D O RI,1637,1097,559865706
Utopia,1002,1435,256996838
Humble,1473,1112,580446588
Purified,1585,1523,237792454
The Unexpected,1275,1289,481655875
Une Tradi SVP,1515,684,568951196
KillJoys,1159,683,416027400
No Sex With Ex,1309,1078,146309606
Stoic,1670,820,243709724
Latitante,922,841,333202937
Treasure Hunt,1565,594,295721738
FAMILY OF HEFAJSTOS,743,1302,299012321
Quinto Imperio,1878,676,530034795
Moros,1158,931,443758712
ANY FIGHT,1548,850,386034178
VINICIIII,916,691,244035272
Unbound,953,848,308026354
NoClapNoCap,1032,818,216822637
Lemon Girls,777,1044,253706679
Take Care,1169,643,446755852
Tous Ensemble,1085,937,414278577
Holy Company,901,517,302915227
The Hope,644,1118,219457508
ELYSSIUM X,812,854,220072319
Azured,1190,615,410916093
R I V A L,1245,746,151105818
WhySpierdalasz,657,855,201053542
giant panda,756,810,184445173
S E N G O K U,961,988,90321429
Limit-Breakers Familia,498,627,140309849
star fire,667,719,254189763
StarGateX,486,574,127296855
TCHITCHI,743,587,228478328
ANNEXIA,745,641,159781234
Knaves,442,1095,87921014
GORILLAZ,472,761,169026750
GADDAR,685,557,208763924
Full Push,923,357,251536378
H O R I Z O N,646,502,202903385
Savants,550,626,137531050
Lootiiiing,485,727,140053734
Ebanfall,719,590,226327338
SURRENDER,756,416,271234074
Critical,621,517,236722079
Last of the Ratts,575,492,165493107
Kiss or Spank,363,684,109134908
Follow The Crown,463,728,34925150
Cape Dancers,951,600,91198815
Disconnect,649,287,234284647
Lacrima,677,463,84952850
Black Sentinels,298,859,75133339
uncrowned,379,471,100853033
Pleasure lair,1200,482,152448675
SIXTYNINE,614,394,193114386
V I P,549,410,57060966
