Guild,Kills,Deaths,Fame
-,8025,19987,1273137509
Skoggangr,6305,4630,2592539979
Y O I N K,5679,2333,2378203261
Contingent,6320,3348,2838744026
S I X,3927,3265,1226755994
Clean Kill,3621,3650,1540619777
G2U,3337,3007,918875611
Woof Woof,3467,3388,1420888089
Heralds of Valhalla,3818,2660,1414999820
Squirtle Squad,3895,3041,1538675423
Papaoutai,5553,2117,1414629856
EQMS,2720,2286,1023071513
Critical,3255,1800,1178104597
EightFours,2976,1237,980931396
Panico,3481,2044,1357032619
Marauder s,2042,3764,805128856
Ascension,2202,2502,543440260
Fuego,2350,1520,876409622
Right Side,2936,2226,941878450
JOURNEY TOGETHER,2199,1737,811674542
Polska Gildia,2763,1964,726535643
WarTag UA,1575,3043,624512986
Ridniy Kray,2506,1096,583904011
B A N G,1808,878,786521144
Utopia,2982,1482,323473085
Scourge of GOD,1644,1584,577264701
Judge,2264,1506,895110897
Inquisitors,1833,1381,640274880
Sanctuary,1589,1339,567194218
UNH0LY,1576,1236,646352491
K F C,1163,1552,410535089
Stoic,1585,1225,475658564
Pyramid Scheme,1464,1619,663161311
ANY FIGHT,1795,1123,445497856
Lemon Girls,1449,1354,484340582
S A N I T Y,975,982,312183862
Crescendo,1270,707,421791676
KillJoys,1469,865,426052840
cocorrico,1045,1224,175064400
E H O T,1285,870,408279448
kfir,1137,792,415911738
Bohem,943,729,327402454
BOMBERMAN,921,826,334946503
Latitante,925,885,293073722
VINICIIII,1194,581,381295533
Moros,1390,826,403421097
Last of the Ratts,923,905,258716127
R I V A L,1037,861,111110026
Quinto Imperio,968,837,275256274
giant panda,691,1089,198910138
Tous Ensemble,957,641,350960505
Cow field,1431,426,346517076
star fire,813,918,344111442
Blood Pact,868,752,166371596
WhySpierdalasz,862,683,287659606
Black Sentinels,670,873,132130998
IM O R D O RI,985,709,375325029
Savants,890,641,350869950
Noxus,525,943,99391902
AND FRlENDS,1137,767,374533193
Unbound,734,609,189255676
Full Push,1125,395,396003329
Anatolian Rebels,471,737,59628057
S3XT1NG,1013,595,306327242
GORILLAZ,686,788,180189566
S E N G O K U,846,934,118905857
0N A FAIM,948,513,228762027
Palegrin,670,843,145423872
E L I T E,785,645,177103598
Services Apres-Wipe,653,625,155288234
SHIV,832,624,249153223
Overpowering,594,807,192731192
Impalers,572,1028,95529887
Treasure Hunt,781,559,92308068
Mighty Goat,694,562,207747364
TheOrder,813,655,155236454
Alpagut TR,650,451,58835524
KnightsOfCamelot,825,420,143132809
Bandits,526,1009,52362294
Win Order,637,621,240931111
Limit-Breakers Familia,460,695,162197747
Follow The Crown,553,755,43145166
A SKILL ISSUE,874,407,304508616
BonSaissx,453,793,80804671
SURRENDER,611,483,247483311
BACKSTAB CO,634,845,54052380
The Unexpected,970,749,175287913
Humble,585,432,180889888
WarLogs,549,752,62636748
DO NUT,726,618,73122067
Simia,1118,476,240369375
LDK-ORDINAS,786,776,74908706
FAMILY OF HEFAJSTOS,741,680,124430105
StarGateX,428,598,125122396
ELYSSIUM X,507,416,117563856
Berserkion,316,718,35075753
The Way,395,626,110904927
BDU,428,569,68740875
Vendetta,328,476,53463870
Never Mind,417,527,52761415
Mure,450,467,143096846
Azured,441,324,172303227
ANNEXIA,519,490,89872457
Orden Hospitalaria,458,640,50424055
Food OC,483,584,90146945
GLOVO,316,422,116783995
COSMOTE,803,452,82219434
LET IT HAPP3N,524,562,35305190
S W A M P,716,162,70929406
Ebanfall,545,378,237799221
TeuTeu Land,391,430,27483228
V I P,424,260,36925452
Turquoise,300,402,50377548
Sever,189,439,19552326
Frostborne,302,420,45542139
Skaggongr,517,348,131743910
Anima Bellum,271,568,73608757
Ashbound,308,352,91368803
NO BB,353,451,122383972
Vikings,365,561,35764304
The-Fallen,366,303,96941529
Satis Faction,450,331,45273825
Moravian Eagles,584,483,49140632
Umbra Venti,353,350,74850075
Blood And Tears,495,324,100798671
Pentacle,274,390,38732303
Knaves,272,457,47084843
E U P H O R I A,350,204,35102736
Humanity,564,331,144508726
No Sex With Ex,492,451,36795445
Slappers,300,427,62030188
Gayzer Pool,166,448,27488889
The Surge,477,137,208574803
Top Squad,335,400,49087173
DontNeedYou,325,353,79360998
Purified,386,346,35249061
Pink Unicorns,299,268,48417860
Genesis Kompany,272,332,49193153
MAYHEM,288,308,95036479
Lock Down,286,297,75718386
HALUSINASYON,337,230,23697032
Azgard,180,470,36105683
Pipootam,369,111,74923358
The Jackals,269,320,68597634
Treasure Map,210,334,24758736
BiPoLar,248,313,45339319
URPAQ,235,291,37204496
Almas Agrias,425,397,34406767
SOCIEDADE,436,212,88524394
Newbee,200,275,68210643
BIRTENGRII,261,359,38104214
Shattered Grace,375,341,50742325
M 1 S F I T S,348,200,108696584
Cape Dancers,289,320,32018369
YANGE,229,304,46593227
WHY NOT,455,235,57670841
z o o t r o p o l i s,451,178,175417098
Arab Lions,106,406,10265847
CRISGUN,406,430,30046645
I-DEJAVU-I,266,254,34391187
BanderShtat,206,499,39262900
Panda Corp,216,384,56242822
OBW Przyjaciele,355,335,33025786
Cyber Cats,160,309,42333637
Pratele Hranateho Stolu,460,346,57572673
CHILL ROOM,314,179,108936950
The Highlanders Tavern,194,122,20880651
Pleasure lair,890,143,57120905
Archons,230,169,53597589
Jungle Outlaws,238,355,62520917
Fluffy Panda,209,409,25485119
WIPEEE,210,320,57323778
RUSSIAN BEER COMPANY,183,310,35795161
Masters of Albion,76,402,11700667
Disconnect,174,208,76033895
Black Sky,162,293,35605097
HURRY UP,189,294,34395139
Instinct,278,279,32556675
T R I D E N T,157,132,78630042
Fading Echo,130,299,40211661
Faction Guild,187,267,13897921
AsturGalaicos,145,272,15960696
Lacrima,303,265,27768574
Achieve Hunters,244,213,80522818
Mercenary Idman Yurdu,203,307,28924213
SPREAD,243,168,27263997
Dragoons,238,298,37044233
Lootiiiing,182,203,45962323
Les Monts Gaulle,581,289,31770219
C2H50H,225,145,64391938
Inglorious Bastrds,225,169,37641785
LoveForYoU,231,212,78311548
