Guild,Kills,Deaths,Fame
-,0,2,0
iMoYu,0,4,0
cocorrico,3,1,152408
Remember Me,0,4,0
-,2,2,79807
Top Squad,0,3,189889
Vongola-Family,28,12,5557563
-,0,1,0
FBl,0,1,1315
Rappelz,0,1,0
IKUN,1,2,617148
Revenant Requiem,0,6,376439
Fluffy Panda,1,2,202060
-,0,1,0
Enjoy every moment,0,2,15703
Newbee,1,2,181912
Lunar Wolf,0,2,0
Burzyny,0,1,0
Gatherers Tears,1,0,76965
-,0,0,3111
XXX,14,9,15353662
Press The Buttons,35,12,5689086
GANG RODRIGUEZA,0,2,0
-,0,2,77593
Cult of Hydra,0,1,26144
Heralds of Kebab,2,2,2259831
Heralds of Valhalla,16,23,13294754
Papaoutai,36,15,7888150
Elevat1on,3,5,1760918
-,0,1,0
Superabo ex invictus,2,4,298561
BDU,2,4,1329159
Press The Buttons,97,36,14288834
-,6,7,801490
GRUZ 200,13,1,5036678
ThePhantomTroupe,2,1,757427
S I X,30,14,5445817
The Immortal Angel,0,3,661
SPERMA_228_1488,0,1,0
-,0,1,17891
S I X,2,0,335791
URPAQ,0,1,0
-,1,2,13288
Win Order,5,15,5980796
Thetford Social Club,1,2,197255
Get Free,0,0,820910
Skellige,0,2,0
Vongola-Family,3,29,7698859
Top Squad,9,1,811112
Gaiety,0,2,0
Vongola-Family,3,14,1474137
Zobar,0,0,30915
E H O T,0,33,6270081
Critical,0,1,122634
Purity,2,2,70947
ACOLASIA,0,0,18000
DeliTurk,0,3,9431
Entity,6,3,410827
SHIV,9,26,6169053
Comedy,0,0,2697
Full Push,7,3,1913548
The Jackals,2,7,1227796
You Succ,0,1,0
AzGuards,0,10,25807
Z VAGNER Z,0,0,7430
The FreeAlbion,0,2,0
-,0,1,0
DARKSlDE,0,2,0
Squirtle Squad,0,0,33048
Morganas Knives,0,2,0
-,2,1,128770
Les copains de zonzz,0,1,0
puddle,0,2,30267
Argent Dawn,0,0,129581
S Y N D I C A T E,1,7,1248555
Palegrin,2,8,499139
Obsidians,1,3,343499
-,0,1,0
Solary,2,4,549397
-,0,1,0
-,0,1,110850
Take No Prisoners,0,1,0
BIRTENGRII,20,20,2532493
Straw Hat Pirates,3,2,1098385
-,0,1,20812
-,0,0,9815
7 R B,0,4,8279
AR_Danger,0,0,146892
Arab Lions,0,4,43895
Krugliki,0,3,8030
Top Squad,22,12,2527103
BeBeBus,1,1,2304
NINE PERCENT,0,0,58439
-,1,10,128936
Ma-MaraderZ,1,3,18178
-,0,2,25962
Mroczna Armia,7,1,102952
-,0,1,0
Berkut,0,1,0
-,0,1,0
one4all,3,0,94292
Al andalus,0,1,0
Cwaniacy,25,13,4104115
CHR KING,0,3,21325
-,0,2,89330
HORROCRUX,0,1,0
Frozen Bones,1,6,34584
feiwo,0,1,0
O N L I N E,8,14,296063
BanderShtat,1,1,33716
Mezopotamia,0,1,0
StarGateX,1,2,11897
-,0,1,0
Clean Kill,12,12,3756630
DeaI OR DIE,9,26,709666
Deal or Die,5,9,1581617
FAMILY OF HEFAJSTOS,11,8,5790058
Sanctuary,26,6,5373090
GODSMACK,0,6,70574
No Brain,5,3,357691
over_guard,6,1,1965629
Skoggangr,6,15,6765388
O N L I N E,0,0,395528
-,0,1,0
BLACK ORDER PL,1,1,45504
War beavers,0,1,109401
-,0,1,18597
Yellowzone Terrorists,0,0,120809
Utopia,0,4,1681002
for the sun,0,1,0
Vongola-Family,11,4,413259
sakura,0,5,56312
Top Squad,3,13,1019310
