Guild,Kills,Deaths,Fame
PlVAS,34666,21462,14671461597
Evil Kool Aid,29036,15025,11312054127
IFures,22221,19755,10029518749
DARKM1GHT,19829,6681,8914384986
Rogue Natives,19347,19181,8207732088
Upside,19172,12555,7366377016
YOU_ARE_DEAD,19070,12723,2233516622
Outlimits,16733,16545,7436970728
Curriculum Vitae,16052,7105,6781784663
R E Q U 1 E M,14408,10310,6048114207
Mono Con Navaja,13715,9871,4580852358
D I N O C O,13500,6818,5194101038
Keybump,11545,7343,4190256385
Unslave,11346,15533,5328112617
The Rugrats,11259,12110,3284499729
S L I C E D,11258,7476,4256849645
desavence,10601,7794,4231520103
Instic,10420,11257,3760522589
Commotion,10189,4350,4058066593
Sprint With Me,9931,6553,3031046989
ENDANGERED,9910,4199,4243952188
AO University,9883,11235,4148163338
I M O R T A I S,9831,12808,2989352720
We Profit,9086,5520,3468815238
B U R N I N,8863,7959,3599237349
Gankers LetaLes,8599,10704,2493154476
NoFreeThinkers,8597,7270,3599291125
Make Albion Great Again,8565,6598,3255802392
Contingent,8001,6293,3350862876
TU MAMMA,7989,5717,3229460969
Furia Nocturnx,7558,10415,1848208449
Doble OC,7278,2210,714341978
Lethal Warri0rs,6936,3438,908270985
The Lonely Men,6913,5319,3226667145
Overprice,6462,7130,1704869246
Victory or Valhalla - NA,6437,3789,1573323312
Mao de Elastico,6389,2864,2519699135
Wanted PKS,6375,2954,1722355494
xX The Jokers Xx,6217,5851,1990357957
Ministry Of Bandits,6191,4094,1041649125
MOTORHOME,6155,2848,2888582645
NO HOLDING,6024,4817,1950383586
Slammed,5731,2439,2474722113
Legacy Corporation,5645,7147,1774911713
Nirvana Calling,5638,3222,1761978688
Faction Army,5595,2061,428284653
N0T HUMAN,5402,2714,1817650326
Roses-Academy,5364,5806,1209718102
The Real Aggression,5326,4436,1870461838
Life is game,5295,5655,1329404951
R3conecting,5253,3420,1944064127
GGNOOBS,5023,2537,799009304
X EL ULTIMO REINO X,4885,9796,1063670241
Mythix,4879,3432,1690763850
BlackSm0ke,4855,2475,547293450
Maximum Effort,4804,2033,382172877
I Nothing I,4642,3148,1048546052
Hitsquad,4425,2922,1607006139
KR SEED,4379,4721,772653734
Wrecking-Crew,4343,1362,1400443151
N A G A S A K l,4321,5445,1203937490
TyrannT,4286,3849,1692879112
Evil AssassinsGreed,4286,2075,1229756532
Treasure Tales,4277,4757,263228510
Error 404 Not Found,4207,3570,1393080880
LatinWarriors,4186,5071,1361635507
Spetsnaz Grail,4092,3759,1061218511
Harvesters of the Hopeful,4073,7333,709131662
Eikonic,4039,4506,1023938804
The Lonely Skibidi,3988,4689,1382515510
Just Drop4,3924,1390,479705356
True Gentleman,3907,4412,801007891
Militant,3875,2892,1237173292
Free Beer,3867,3392,1474984659
V4TOS LOCOS,3840,3832,1360223571
FaIIen AngeIs,3758,2875,984937039
BLACK TAPE,3693,3267,706000959
M A N D A T O R Y,3623,4385,716685776
POTA POTA POTA,3617,1098,1451458624
GELO E TECO,3601,1361,1483530889
A P E I R O N,3543,3179,913839488
YOU ARE LOOT,3542,3320,415521597
XNoMercy,3462,3986,780806143
Ignum,3444,2643,1503591331
Cheer,3370,1862,586162617
IIFures,3326,3002,1694759063
Arcosanti,3280,3397,983526703
U Are My Profit,3146,3147,667686805
Los Narcisistas,3130,3698,871745204
Royal Ratpack,3099,3050,541742417
A N X X I E T Y,3047,2660,396037377
Gambito da Garrinha,3045,1431,1144315392
Cyan,3016,3686,348816233
Evil Gatitos,2974,1389,972067705
Orden Hospitalaria,2971,3224,643371778
INTERDITS,2969,2229,1172080314
Llamitas Su Su sum,2882,1783,758485656
Darkness INC,2844,2921,851305771
Sea-Sky Fraternity,2740,3272,658832654
Krozakov,2737,3847,785185785
Sono Ku,2722,1409,814589658
IMPERIO MAKUS,2702,1949,251524592
La Federacion Y,2685,4217,805430735
99F00D,2636,1667,798275547
Black Dragon Aeon,2619,3300,570693745
TDA,2613,1692,801882391
Cuys In The Clap,2564,1428,719963084
Who is Lobitos,2532,1050,979512377
Griffins Riders,2519,3301,761709094
Be Careful,2495,2696,898784804
Fuera venekos,2492,938,1067745373
I M M I N E N T,2486,967,918464069
I Paradise I,2461,1019,879755354
R E H A B,2454,3621,717514759
MANIAC BEARS,2422,2482,908858844
Rokosos,2418,2744,461428750
Veni Vici,2405,1366,765284418
Loyalty Matters,2402,1114,235858486
CompletelyStrange,2326,2279,146986921
P R I M O R I A,2316,1277,604560596
H3rois da Tret4,2314,2817,298236520
VK Army,2312,3005,462996246
Last Bober Dance,2222,2512,566330688
F U L L-C O U N T E R,2195,1985,674443311
16:00,2191,1708,821138678
Mafia Sindical,2172,2501,606734387
Inspeccion de Billeteras,2158,1577,283498146
RUSH-B,2113,2131,271377925
Last Bench,2071,2222,567460298
ANNlHILATION,2069,2062,475622476
PRIMATA MOD,2062,3436,323995065
ArLand,2059,2018,277501402
Fire With Fire,2033,2591,534625608
D A E M O N,2010,2347,603186039
Bryllanos,2007,1801,267684997
M O N A S T E R I O,1986,2459,523818197
Hold My Pocket,1979,1564,468936753
Banddle City,1959,2862,726973657
A N T A R E S,1959,1190,199916741
Velo Rojo,1942,2406,649339405
Crux Del Sur,1889,3907,444146201
Eternal Defiance,1864,1498,470441762
Blue LabeI,1860,1747,471055197
lB E R S E R K,1860,2752,402761744
Black Ursa,1853,1656,447482079
BROASTER CALL,1848,719,657512265
ABU-DHABI,1830,1635,627593799
Skyrise,1829,1921,384572239
I N S O L E N T,1825,2304,301003537
OathBreakerz,1821,1569,518054711
IT s ShoW TimE,1794,2397,333742903
MiIIennium,1775,1238,684424712
El indio solari,1771,1625,482558326
HELL KILLERS,1764,1300,679187155
VENENO T8,1754,4167,524326449
The Plaga,1742,1801,541403718
T R A S H T A L K,1740,894,491304140
Caballeros Del Pasado,1738,2370,291453863
Alpha Rats,1723,2105,342745388
Pressur3,1710,1287,726628009
I B E R I A N,1707,1288,775013508
Stay Close,1705,810,740463826
Split Second,1695,424,573723758
N A M 3 L E S S,1694,3298,295240318
INDECOPI,1679,462,161604835
Mighty Claws,1678,1229,340206550
C I R C U S,1676,831,647532094
I SURGE I,1668,860,795846019
De4d End,1657,1414,434254956
Dies-Irae,1624,1103,566809316
Dires Bane,1611,438,178640379
Los POCHOcloss,1609,2516,195475079
Mystic Tecolothy,1577,1294,556860884
One-Day,1558,1307,262300616
Battle Rush,1557,777,474524302
HUJING,1555,645,222495651
PRIME MODE,1541,1142,456683752
Bunch of Rats,1512,1517,175123736
Phoenix Rebels,1501,1608,265060506
1NFIN1TY,1483,855,541858870
Z E N T H,1470,1236,289814986
SIN PORCENTAJE,1463,777,560414420
Audere est facere,1463,920,261911048
WH4TS4PP,1460,807,554036400
P U R G 4 T O R Y,1460,1662,491474317
I Warriors Company I,1454,1914,179160666
Rents Due,1450,1776,358164349
Puchainas Gordas,1447,1031,200820752
KraftDinner,1442,1063,328039625
I REVENGE I,1440,1701,510262219
Honoris,1433,2594,170722988
F U R O R E,1413,1715,281544220
OnlyChads,1407,750,158774289
SIGTRYG,1389,1766,207711058
Post-Mortemm,1382,745,482156415
I L E V E L I N G I,1371,682,510972244
Taiko,1364,1801,172097861
SEX and PVE,1359,1167,409433354
Benevolent Kool Aid,1319,746,524487414
HEILPVP,1312,607,102297000
Nexus,1311,1444,332809386
MissCIick,1302,2015,438641445
Erome,1286,637,389762852
Leite Engage,1274,993,399513958
The Bells,1260,1509,193732464
B E A R P A W S,1253,632,147703610
MEVECH,1246,1336,455120127
GUARDIANES DEL ABISMO,1245,1339,298911689
lBlack Handl,1244,275,110794605
Arroz Clan,1244,1412,52492472
Outllmits,1241,1461,536379810
We Are Yakuza,1231,1738,128067686
Outland Anglers,1227,1415,100449968
minoris pretii,1226,527,368675510
Eroth,1225,1162,481449630
DATE A LIVE,1221,2173,241522343
Explore The World,1220,1866,228970171
Gatitos Mimoshos,1215,911,318226227
H U R S T,1202,1311,156936370
GO INSIDE,1199,679,218160184
N I G H T C A L L L,1193,944,393585929
Morwing,1182,583,499805652
BELEGHOST,1167,1671,185959836
DEATHR0W,1153,869,486270213
Warlord Syndicate,1153,832,108195516
IPaniC,1140,1177,349536190
Cavaleiros Avalonianos,1138,1461,218340929
Evil No Specs,1125,850,322977106
Shall We,1125,844,151140559
Aesirs,1122,1434,169748940
Von supremo,1118,1279,101289632
F E A R M E,1113,2010,285647896
Baofengyu,1113,1000,150551666
UN NUEVO AMANECER,1109,437,64390576
Un Monton de Gordas,1107,821,70136024
Grougaloragran,1106,796,70402535
Warriors of the AEsir,1105,175,86229644
THC Lovers,1098,749,425145946
PENllS BLACK,1098,468,284290607
Los 0cupas,1097,1442,278546950
CALOTE CLT,1088,1066,85163622
The Celestial Lions,1087,2295,272484527
Be Silenced,1084,988,304928992
xXBad IdeaXx,1081,1111,120141229
Los Caballeros Del Oni-Chan,1072,2298,319848314
KULDAUN,1072,914,261081011
PllVAS,1070,1072,546378470
Frogwide,1061,1068,208737547
THE ENJAMBRE,1056,1339,251690154
Rogue Natives II,1054,1366,534884839
NEW G3N,1029,938,404532931
Ephemerals,1026,987,214331743
Mythic Vanguard,1024,1441,97244031
SunOfGods,1022,1155,246208654
Punky Punki,1018,1125,321580874
les fr valoir,1018,838,215666212
OUTLAW5,1017,999,269884276
Pay_For_It,1012,1325,225244546
lnsanos por PVE,1009,386,428471224
THE ARCHIMAGOS,1007,1626,209300719
24 - 7,1006,1286,227760763
KON TAC TO,1003,728,154955530
PRED4DOR,996,1063,95831639
Drakebound,995,1419,106738505
TheSpartanSQUAD,989,959,87440069
1AZEROTH1,987,1437,212221281
This-Promise,986,830,127545197
Linhir,983,2193,234386220
Your Iast Breath,978,729,197876488
Road Of Ruins,971,726,149298151
0UTNUMB3R,969,508,295897187
Angry Apes,969,946,130272712
I Loniez I,966,1365,202284666
shadow f1ends,958,928,120240341
Loucos Por PVE,953,1535,85272008
B L I N K,950,1095,258436202
Blodfang,929,1739,280193270
Legio Fulminis,923,2345,221379424
N I G H T C A L L,914,864,343802798
Born To D1e,908,1484,181760059
R3MAST3RED,908,1020,140072962
Obsidian Blades,898,1031,197865866
300m,897,1036,237137612
R3ckless,896,819,208107995
Mute Zone,893,1164,157616365
ROKhan,889,653,193743141
FURIA DIVIN4,889,1340,99150138
PARACETAM0L,885,571,307526243
L A S T W O R D S,882,522,190910823
Keepers of the Quagmire,877,550,110748037
Antartida,876,862,208571410
The Destruction Company,870,1115,88268656
Outrange,867,892,195466583
zGameZ,864,896,119687180
L E G E N D A R I O S,861,1330,125685566
Make Albion Great Again II,854,905,366749693
Bomb and Brawl,848,985,261918288
Sweet Violence,844,1159,161811974
Air Fryer,843,542,125957857
Right Nowz,836,768,99534926
AIter Ego,827,745,278589286
F4RIA DIVINA,824,225,328668048
Corranlabola,822,1248,110535390
OriginPoint,816,906,161363437
W R E C K E D,814,998,144024231
PLAYB0YS,813,1269,189660930
Mind gap,812,1144,207502383
SECTUM PRIME,812,1480,173389444
D E C L I N E,811,536,184583796
De4th Punch,809,731,209865380
Via Nocturna,809,485,72270255
Aponia,798,1237,128231740
BLOOD HOLLOW KNIGHT,796,746,135766398
COMARCA HOBBITON,796,720,71781965
Flor Morada,793,538,317597271
K I G A,791,539,347544617
DarkChains,789,249,312687538
IS MY STATIC,777,1338,130885896
C A M B A D A,775,1507,186077647
Kronos Ascendens Judex,771,67,21238220
Black - Lotus,769,960,193008810
La Guarida del Joker,764,917,178355339
iBurn,764,910,88504880
PROYECTO-CORE,761,549,88840575
Velvett,756,469,273477358
OG BlackWater,756,372,203012991
Hello Cotto,753,663,233039784
ALQUIMISTASyt,752,1283,80000177
H E L L C O R E,748,531,114043878
CAZA GANKER,747,674,84390973
R A D I O,744,437,296242714
