Guild,Kills,Deaths,Fame
PLAC,26014,17521,14173237587
All Rise,20765,16239,10091998207
Meerkat Assemble,20544,19898,10117137135
CHILIZ,17375,16720,10290166489
Summers,17358,10197,9123563647
I The Flying Dutchman I,16788,10439,8264971305
HeIIo Kitty,14278,4872,6345615336
Chikipi,13819,10279,6788541189
MO GU,13386,13342,5196384360
Rescue Station,13381,10085,5776316322
snow forest,13127,8966,5294958066
Griffin Empire,12169,13839,5791184475
Western Paradise,11251,13902,4472051498
Maharlika,11099,13674,6103988671
SubuTai,10212,7451,4367298044
CCTV,10206,9367,4551221546
F A M I L Y,9769,7466,4447066706
Forever Night,8321,8841,2271905143
Laughing Boulevard,7823,4638,3275846905
BeasTDaK,7754,6066,2603803801
All The Villains,7056,5415,2844958028
Speed Check,6966,2906,550777571
Solo-King,6961,5954,2320441306
Crusader Kings,6847,6374,1798270568
9INE,6846,4363,1850586608
Invade,6774,6416,2080268656
Topspire,6616,6359,2344932785
CHILIS,6537,5914,3787461733
Earn money,6397,5589,2461701777
Mika,6327,5939,2893374468
MAX VERSTAPPEN,5907,1893,611533727
Conscripted,5900,3549,2530326125
KongFu PanDa,5799,5248,2233079789
Pierce,5755,6105,2153847695
AFTERMATH,5608,6147,1808742419
Minerva-X,5573,4984,2410934060
ACM,5505,4636,2475368788
Once Upon a Time,5398,3725,2551420110
Singosari,5332,7063,1186972778
QuQnnTATnnOvO,5286,4089,784677066
V A G A B O N D,5136,3961,2012614242
good bomb,5017,2818,2855998603
PSC,4999,6228,1367996646
Boar Army,4988,8169,1669172165
TRlUMPH,4830,5546,1765529646
Nemo Nemo,4764,6168,1765898042
Artery,4703,2104,644389267
CapybarAAAA,4654,3230,706159631
HappyDay,4620,5211,1428011639
Another,4618,3707,2115918354
Real Man,4592,3790,1298666473
MINlONS,4590,3651,2121455918
REGROUP,4589,3582,2263279881
GOBLINS,4554,4196,2178865444
1Mmortal,4551,2248,1944583259
Future Party,4333,3285,1956602902
chill here,4284,3491,2298814340
PAPAYA POKPOK,4227,3701,1171287686
xCUTIESx,4222,4808,1356950813
Snake Snake Fish Fish,4019,2894,1563111288
Springs,3959,1968,1767647799
COALITION,3957,4701,1530680555
The swallow,3951,4501,971931689
UnifyVN - 304,3816,3447,1063602792
Kingdom,3813,4098,843973881
Reworld,3774,4433,1403370580
Farm Or Die,3740,2548,854863028
Cut Throat,3739,2079,1460545373
Tree Viper,3710,2681,1057568130
P U R G E,3646,1941,1221334548
SO EZ,3558,3677,1168366228
Red Circle,3492,5420,467688616
F I G U R E,3486,3466,1391493470
Coup de grace,3377,5299,1135405651
Meeting Stone,3372,4803,1134112623
Meow Immortal,3333,5260,1211453124
China,3325,2357,1135291821
Freaky Fools,3240,3767,916592713
Real ONE,3236,2125,1758076840
ENDANGERED,3175,2531,548256401
Dragon-Mi,3173,2066,1092714039
not cute anymore,3162,2906,945001823
Malevolent,3096,1778,1302029319
PalaceGUARD,3087,2566,1545320187
Psz,3053,1881,1065694148
Pink 7,3048,3033,612991024
Stellar Alliance,3012,2738,954748952
NULL,2971,3597,853512577
B L A C K P E A R L,2907,4934,908736978
Shining Star,2899,2696,354624464
HuaDaBin,2884,2615,1222169340
R O S E,2725,2758,888433503
Beavers,2696,1672,779914194
Heaven Knight,2520,2252,1057964361
Children Of The Dragon,2513,2198,591724889
HeIlo Kitty,2510,912,1008620425
One More Times,2432,2657,760562709
The Neighborhood,2399,2344,642141898
M O G A,2396,1745,570092144
Wysteria,2351,2204,898299682
NO-RE,2349,3186,1196215455
R E V O L U T I O N,2324,2618,891929790
ALBION AFTER S3X,2321,2164,230714540
The Myth,2294,2668,625333620
Big mom,2210,2190,1126380003
CoCa1nE,2202,2533,601016509
Initial Engage,2152,1921,659665047
Dragon Blade,2129,3101,471951670
Raze,2117,1680,598282355
Fenr,2106,1548,655370251
S Y N D I C A T E S,2097,1905,319273401
VlRUS,2052,909,1130152562
RABBIT RAIDERS,2048,3581,370439605
Eternal Edge,2022,1093,1067673082
Helios Phoenix,1960,2450,373027978
Journey Uncharted,1948,974,749420147
Dreamweavers,1945,2001,210549041
R O O K I E S,1941,1165,562289904
KUMA,1938,2157,503453106
Mammoth King,1930,1126,702733727
