Guild,Kills,Deaths,Fame
Skoggangr,40385,32465,15854338025
Contingent,30794,20114,13005468384
Heralds of Valhalla,21587,16031,8731709358
Squirtle Squad,20763,16468,8621785476
Woof Woof,19418,20202,7505831515
Clean Kill,19156,16315,7323112208
EQMS,19055,16127,6770920547
Y O I N K,18737,9577,7141712530
Papaoutai,17742,9005,6264837356
S I X,14020,11218,4930121929
EightFours,13266,6439,4746795914
Polska Gildia,12393,10867,4011143947
Ridniy Kray,11470,5065,2721783530
Scourge of GOD,11367,8306,3495920327
Critical,11012,8586,4284386055
Panico,10807,5586,3916127953
Pyramid Scheme,10700,9852,4764863743
Right Side,9387,6051,3208750338
G2U,9342,9679,3075308416
ANY FIGHT,8575,5892,2594475033
JOURNEY TOGETHER,8506,6105,3183201301
Utopia,8167,7451,1535937548
Unbound,7833,7965,2787905824
Fuego,7639,5034,2934752144
Marauder s,7262,11244,2682968402
Quinto Imperio,7172,4586,2335532133
Judge,6865,4713,2506804120
Inquisitors,6733,5664,2398063304
Ascension,6687,8220,1882427937
Avoid_Me,6577,2375,2103693473
Lemon Girls,6572,6631,2356231032
KillJoys,6474,4001,2021555884
Purity,6308,4370,1985332725
S3XT1NG,6042,4364,2096506109
Treasure Hunt,6040,4179,1030042680
K F C,5942,6969,2252954306
WarTag UA,5929,9290,2161184014
Sanctuary,5833,4846,2072521165
Savants,5794,4108,2115287284
Sevran,5733,5298,2223273565
Expedition 60,5669,3231,640853086
Simia,5486,2333,1077530746
S A N I T Y,5239,5045,1768570905
Saggin,5159,4043,1731141241
Tous Ensemble,5040,3582,1813015575
E H O T,4905,4147,1614069100
cocorrico,4900,5042,911708503
M3R Company,4794,3579,1465907747
Take Care,4722,3370,1849355694
Latitante,4588,4463,1553562041
SHIV,4501,3545,1456373481
Moros,4378,3318,1502475779
DELETED,4305,480,231399750
VINICIIII,4146,2517,1125297902
Stoic,4143,2666,936694020
Vongola-Family,3995,5321,1444904330
Road to Exile,3951,3262,924487664
kfir,3940,2661,1197223457
R I V A L,3848,2959,486050216
WhySpierdalasz,3847,3844,1243175529
UNH0LY,3813,2830,1333712036
Cow field,3794,1274,1024488978
A SKILL ISSUE,3771,1434,1343615842
Shattered Grace,3713,2387,373694351
Humble,3712,2726,1374133536
Mure,3491,3224,967734015
Burzyny,3455,2560,872839033
XXX,3416,4062,1319311579
s t e p b a c k,3401,1977,641799976
Last of the Ratts,3383,3256,936182459
FAMILY OF HEFAJSTOS,3355,4146,1015648677
The Unexpected,3338,3031,978115389
DO NUT,3288,2583,406468805
Full Push,3275,1329,1071537784
Noxus,3255,4652,720511714
IM O R D O RI,3244,2249,1155887842
Grey Knights,3240,1766,559584504
0N A FAIM,3224,2026,909955778
Vikings,3169,4384,551333766
Pink Monkeys,3136,1176,1074058696
S E N G O K U,3119,4149,412107078
LDK-ORDINAS,3093,2224,264834402
No Sex With Ex,3059,2631,291732930
KnightsOfCamelot,3033,2186,528529146
Win Order,3025,3189,1064126609
The Trix,3003,1246,1053906277
Purified,2977,2589,363174124
Bandits,2955,4413,348452759
DUBAI EXPRESS,2921,1695,1111382548
Pratele Hranateho Stolu,2889,3088,475417185
BOMBERMAN,2868,1994,967803241
Skaggongr,2868,2283,958302301
B A N G,2863,1456,1236809103
Instinct,2863,2800,570500594
Heralds of Kebab,2844,2075,1111771299
Palegrin,2836,3563,516369856
NIGIDI NAGO,2767,1157,1108463316
Black Sentinels,2675,3924,549277353
