Player,Guild,Kills,Deaths,Fame
GodSlayerMuerte,PlVAS,2203,152,364803702
HalfGoldHeart,Rogue Natives,1670,171,247507315
vipers430,Romanos Invasores,1435,205,77741316
Daaarkness,Capy Crew,1344,265,44347568
iTzGamerHzxD,Faction Army,1186,187,65932243
Jaadezz,BlackSm0ke,1108,237,83148544
Velkanah,Curriculum Vitae,1101,94,147696793
RedTrainer,Commotion,1069,79,138083768
K1seo,GGNOOBS,1059,106,49590312
C1ndy,D I N O C O,1040,212,183292118
Hashz,We Profit,1040,230,151437372
Alansin123,-,1033,82,94869812
bastian548,Curriculum Vitae,1012,125,193347032
Tochm,Bloodletter Enjoyer,1005,201,53517414
PrimeX20,Maximum Effort,995,93,37982969
ToTinho420,B U R N I N,959,139,149625460
Belsey,ENDANGERED,946,140,150714764
W4sh3,Kronos Ascendens Judex,919,83,28791254
MiniBlackfire,Outlimits,903,156,86180722
Yam1zinhu,S L I C E D,879,250,135305109
VGlenn,NoFreeThinkers,865,19,232837616
Kytad,UN NUEVO AMANECER,863,81,36295263
lilross,Commotion,814,97,131541741
Noezera,POTA POTA POTA,810,258,188246811
JuegaMarcus,YOU_ARE_DEAD,806,263,45995579
Inn3r,Via Nocturna,802,466,71706192
Lxaks,Just_Chilling,799,81,55018934
jermancf,Upside,790,154,88952963
xXEJOD27Xx,Upside,789,159,78500099
NoFlamePain,Killer lnstict,785,151,65945110
ToniKrooss,NoFreeThinkers,783,149,149197310
TheAnya,DARKM1GHT,778,62,140673999
ZontZayZat,NoFreeThinkers,777,257,299194500
kXrolOnTop,Evil Kool Aid,773,135,144567504
Cronoz1999,YOU_ARE_DEAD,771,157,35306423
ZettaiXRyouiki,Evil Kool Aid,768,80,104764185
ARAGON777,-,768,35,46083794
PitufodeuS,Evil Kool Aid,756,170,125662204
KilleroICEo,Nirvana Calling,756,175,98849588
PancadaSeca,Outlimits,752,195,72031106
SCAREDZEUS,Rogue Natives,747,156,120446477
WexDior,Commotion,741,133,121373046
CharlesLombardi,Prophets of Death,735,204,24774957
KURHOXD,INDECOPI,733,67,31338386
ImNotReallySure,Wanted PKS,723,188,115649732
Durenfer,Grougaloragran,718,163,38811574
HannahSilva,NoFreeThinkers,715,144,118135558
MarkZuckerman,Evil Kool Aid,712,208,147284166
PJLDibas,desavence,709,158,200588017
xProPlayer,MOTORHOME,704,255,271726894
