Player,Guild,Kills,Deaths,Fame
ZLL,HeIIo Kitty,1764,153,285870321
Coffee,Meerkat Assemble,1465,149,148011190
Alibaba1688,Crusader Kings,1321,303,84012701
Jimmyso,good bomb,1310,232,286877059
Sant1dad,HeIIo Kitty,1223,194,257532600
idumhumgai,IndianGanG,1222,237,576641811
Olppaemi69,CHILIZ,1219,95,222454676
MBLI,good bomb,1085,174,203038253
xiaopeng9999,snow forest,1065,524,273571279
ElonMosque,P O L A R I S,1053,90,80643846
SoeYe,Speed Check,1009,77,19833695
COLDTRUE,HYBRIDS,932,155,49119617
ZiTai007,PLAC,924,161,160723194
BeyondDream,PLAC,916,152,125360710
DuBiDuBaB,CHILIZ,889,98,170367581
plsdropcarti,Cut Throat,869,139,134925250
0wo,CCTV,864,146,149127156
StiffBeard,Wild Ape,857,313,327834005
Fronesis,Real ONE,825,161,151765373
Pleiss,Singosari,819,179,68231794
SlLVER925,PLAC,796,47,164336577
Vipppp,good bomb,789,149,139910575
Mykfyrv,MAX VERSTAPPEN,785,128,77700210
513Tea,HeIIo Kitty,781,114,162699939
MKP9527,Crusader Kings,775,156,88765644
NCOUNT,Crusader Kings,758,246,130800579
ESENSesens,CHILIZ,754,178,185040073
RaigaStormflame,I The Flying Dutchman I,753,102,139793089
Allicrum,Technique,750,169,65935763
Sangnom,Meerkat Assemble,723,202,170486779
CrispyHotdog,Technique,718,171,79633274
MatureK,snow forest,713,250,154305957
BlackNoob,MELEE,702,48,29475950
Liuwuwu,HeIIo Kitty,701,106,139714246
Bamboohorse,-,679,335,112896329
Trever,CHILIS,674,97,152965768
AvaScanner,CHILIS,665,126,129840917
brendonkim,CHILIZ,665,161,106648490
Momoring,Speed Check,660,146,52881577
victorwinner,HeIIo Kitty,653,166,242547750
Cranberry,BAU BAU,650,164,57227358
Tony,Mika,648,145,95444149
MrDog91,Crusader Kings,633,267,116652191
xRagnarLothbrokx,MAX VERSTAPPEN,633,117,51882954
Vl4dd,CapybarAAAA,633,139,44433592
MWS852,CMCC,631,171,76072954
Klhs,HeIIo Kitty,627,59,86614714
Qonsv2,RATS NESTT,623,155,270630706
Moonlight0723,Dog Slayer,614,84,62445514
Tsukuhara,HYBRIDS,606,115,43008121
hacodocokr,CHILIS,596,98,121692488
SHREDDEDFRED,Speed Check,594,65,20444879
sandwsly,All Rise,591,244,56233401
stay455,CCTV,588,138,135535374
Shaggyyy,Psz,576,136,145952356
justen,Mika,574,35,133801628
LDSTcoco,Chikipi,573,80,51800088
kirihaki,THE RELATION,572,108,32021954
Moonwatch,HeIIo Kitty,564,77,169248639
9527Ikun,-,560,286,78515301
StevenSu,Chikipi,555,107,87767102
NIUNIYSSSS,ACM,548,102,170381522
OCPussay,Chikipi,547,144,96070161
xiaoshen,PLAC,539,99,115709429
Garvin,Emergency,535,72,56958954
TTingLonGG,Minerva-X,533,146,87202960
HaBamko,Meerkat Assemble,528,71,95154368
kouGT,ENDANGERED,528,148,51454510
Rusy00,Switching To Heals,526,104,26710991
DavidLaidJr,Technique,525,230,59131269
ManabiOuO,All The Villains,521,200,83801038
laxibaidai,9INE,521,147,72649181
gradgea,A R C,518,411,335830939
jordannnnn,Real ONE,517,188,143644815
ATMpiapia,snow forest,515,272,130611848
Player0ne,RATS NESTT,513,130,230022262
Robinhut05,Rescue Station,513,128,109395841
baolong369,Mika,513,112,84590863
DERMSIRIPAS,Psz,513,131,80688686
Makoiiii,HelIo Kitty,511,91,121161236
Ns11,good bomb,506,120,147270229
ChengliCL,9191,504,118,111915597
Chainsaw1Devil,-,502,67,30720598
beyondgod05,Shining Star,496,97,28152032
BanhTrangTroll,PLAC,494,129,144502507
Yashashree,CHILIZ,494,178,134311101
XXXKeason,HeIIo Kitty,494,161,128808906
chimtokinhkhung,F A M I L Y,492,125,110736197
TuongVy0106,Meerkat Assemble,486,214,144145060
2018344137,Crusader Kings,485,326,116102542
BLackBird71,Solo-King,485,278,100503537
iLyaa,Conscripted,484,93,60087978
Gotto,IndianGanG,483,248,253590532
MerMaidManX,Real ONE,481,145,67137401
