Player,Guild,Kills,Deaths,Fame
Spheracul,DELETED,4304,467,229630160
frag,-,3162,316,199827467
Marikuss,Ridniy Kray,3154,390,187533331
Carde123,Skoggangr,1908,138,383948995
Bettroot,ANY FIGHT,1537,299,138530007
Cerowsky,YAPAMAM,1457,189,76916096
ruz,s t e p b a c k,1342,106,62590230
Averon,Contingent,1318,293,200181856
Arnelas,Clean Kill,1238,106,60615443
ati361,Skoggangr,1232,193,150275754
Opti,Skoggangr,1193,279,162193055
Wiszi8,Contingent,1189,181,160869536
canapka,Papaoutai,1173,257,256190873
Hypex771,The Trix,1031,145,116525508
suzuya,Papaoutai,1026,214,172182103
Koffu,Panico,1000,137,123380905
AxlBlaze,Contingent,990,274,173120595
PabloTEscobar,Skoggangr,941,331,174733975
cUga,The Black Pact,931,92,32786057
Oskar,S I X,927,159,115165903
Hammilton,Ridniy Kray,903,120,95345359
7Goblin,ROCK STAR,882,124,45608670
VGlenn,Contingent,875,49,146884242
miniyoye,Squirtle Squad,875,246,141584998
WORLDOFTHEDREAMS,Blood Pact,871,51,24912634
F4rkin,Jambon et Dragons,846,89,73917924
Yunuz,Saggin,842,163,82403814
GeneralTron,Purity,842,122,42708565
Sladest,Squirtle Squad,839,285,117056262
RealKiwii,Y O I N K,833,89,150753995
Marjas,Contingent,814,114,158627788
Methxican,Cow field,799,95,109469656
6Mamadisimo9,Contingent,790,240,157243147
Shadowfax61,NIGIDI NAGO,780,136,79646472
HAHALOLXD,Unbound,773,160,127711096
MeiLanZhuJu,-,773,281,65433557
Symphony,Contingent,771,156,142660441
Szombat,-,754,194,44376712
YaVanNyam,Purity,753,81,44750751
DoubleVB,Squirtle Squad,743,235,148052485
S0ra,Papaoutai,738,138,71271586
peke1991,A K U M A,730,100,65045276
Harv,Pyramid Scheme,722,156,81221435
Zuckles,Y O I N K,720,170,121548059
JCTRADER,Skoggangr,720,168,71168933
Worst,S I X,717,124,83507267
Gazro,KillJoys,717,121,64724940
Mariwuano,Y O I N K,710,230,104573038
Fraby,C L A D E S,693,119,108027001
pvevper,Gen Alpha,687,95,49289128
Caamo,Eternal,683,46,17911838
MOooOG,Skoggangr,682,225,92573615
TonyGPS,ANY FIGHT,679,148,88334666
Imba3,Contingent,673,288,156017056
Wiitzy,Sanctuary,673,74,79283070
Ganker1786,SHIV,665,233,94928978
Hanifi,Only Gathering,665,169,38693707
TORNATORE,Vongola-Family,662,220,97574619
Attooo,Scourge of GOD,662,152,69280549
Radact,Humanity,662,118,68304538
Glaciers,Clean Kill,660,189,124781244
JOMA,Y O I N K,655,171,120803203
Yuuuki,Skoggangr,652,180,133692394
drito,NIGIDI NAGO,652,136,81095701
HayriX,Skoggangr,651,296,130481924
BebratoR,Utopia,637,158,37942123
Yix,Skoggangr,630,312,138143511
RichKiwi,Contingent,630,118,134959611
MaeKikas,Gankendos,630,161,80305379
Sarmas,Contingent,622,159,113394857
EsaLOL,Contingent,622,214,112854354
metemoti,Skoggangr,620,204,101236372
pepega3,Contingent,614,338,180206580
Phoenit,CHINAFIGHT,609,104,97092733
Goldenhexx,Y O I N K,601,85,83062043
Squdward,S I X,599,94,85436615
SweepX,Lusos,593,102,20659027
InParadise,Avoid_Me,591,99,101893155
lekss3,Pyramid Scheme,591,93,50347811
Veilwalker,EQMS,590,290,91373614
Honbal,Pratele Hranateho Stolu,590,120,33530322
v1mex,Papaoutai,589,139,116766621
PositiveMindset,Papaoutai,589,142,103229710
yaru3131,Heralds of Kebab,589,145,81610449
U1tramar,Verity,587,111,21756424
Snak,S I X,584,47,90314772
acxsdwx,S Y N D I C A T E,583,74,22881583
Jinyou,Clean Kill,581,172,98068531
P1x,Papaoutai,580,190,114076604
Golle,Y O I N K,580,65,94935881
Bepsi,Blood And Tears,571,127,62802183
LADV,Polska Gildia,570,216,109245733
KingOkar,Papaoutai,567,151,146817455
Dxkills,Y O I N K,565,90,83777913
Narc6,Squirtle Squad,561,111,46799068
Superman,Squirtle Squad,559,205,102760887
Palbo22,Heralds of Valhalla,559,204,84689721
Tchenirou,Cow field,558,97,83821740
FrioPico,Contingent,555,240,125763640
R0N1N,JOURNEY TOGETHER,555,73,62635871
Brunwild,Utopia,552,125,33535735
Zzombie,LDK-ORDINAS,550,186,31679922
Aeliin,Skoggangr,549,287,141775457
MelegimrlTTV,Critical,549,181,74246237
Hepe,Squirtle Squad,548,200,144222373
NoseCandy,Cow field,543,144,80766307
FlamedBono,We Craft,541,133,42277221
FERTEN,Polska Gildia,540,163,48256207
Mart,Y O I N K,538,137,89777683
Ertug,Y O I N K,537,128,101396732
s2sdelisi123,Domalingo,534,121,104121264
OnePunchMan,S I X,533,127,102804398
vecchia22cm,Panico,531,142,125122582
Veku,Pyramid Scheme,528,125,144083280
Gooobka,Squirtle Squad,527,172,113219367
reyvnx3,Y O I N K,527,176,70831612
BiaMnauwy,-,526,37,48014061
DetectivePavoh,The Hypersonic,524,173,54078817
4in4,Papaoutai,522,160,136242385
LOYACAN,YAPAMAM,522,93,30980419
Hoshido,S I X,519,45,17132275
Fenerbache,The Trix,517,200,100457273
CrueL312,Scourge of GOD,515,158,74709750
Necrotix,EQMS,514,125,125381655
SmokeCriminaI,Contingent,514,106,107995213
GunzzuF,Lemon Girls,514,96,45395577
Zoldrux,Skoggangr,511,301,120077001
Hinerman,Skoggangr,510,312,214723793
Bafiquuu,SHIV,509,135,75277416
AFIFONBLIHUT,Squirtle Squad,507,242,181480595
JadeOrLeSmegma,Y O I N K,507,236,92621932
Dqas,Polska Gildia,506,184,98983918
Phadex,WarLogs,505,55,58417630
HenryMagic,The Trix,503,114,84332961
Yandy,Avoid_Me,503,117,43549420
xtol,Pyramid Scheme,501,154,84195137
Taja,XXX,499,63,75619343
Sattori,Papaoutai,499,77,53053101
Satakiael,BattleStar Galactica,495,51,17148318
Wopax,Cwaniacy,494,198,87736460
Seb,Squirtle Squad,493,235,101528503
Alothar,S I X,492,142,91306456
Bl00dFather,Savants,491,137,85770408
SHAYANXDD,Polska Gildia,491,173,69827622
Hammercreator,JOURNEY TOGETHER,489,127,95964721
Za3im,Skoggangr,488,141,89257039
Kronroyal,EQMS,487,116,67289170
TonyeSousou,Y O I N K,484,178,110949010
xaannder,Skoggangr,483,145,150618592
ORDUSPOR,Skoggangr,483,180,97863866
Yule,Syntax,483,152,95076387
KreskoGOD,Heralds of Kebab,483,168,84861535
Destinyy,S I X,479,91,68530129
killbro999,Avoid_Me,479,112,66466084
Karel13,Heralds of Kebab,478,161,77933310
Arrogance,Heralds of Valhalla,478,101,74993583
NuniFTGR,Quinto Imperio,478,58,43078215
ELCHY,Heralds of Valhalla,477,135,94123243
Tride,Simia,477,174,60456724
