Player,Guild,Kills,Deaths,Fame
zzzbrayan,Linhir,0,5,73529
zzz0908,The Riders of Avalon,0,1,0
zzurgg,GATITOS TERRORISTAS,0,2,7591
zzuhnnn,IRMANDADE DOS RENEGADOS,0,2,28460
zzsniper,C O N F L I C T I V O S,0,1,0
zzotam,DIABL0S,5,8,1500624
zznk,Contingent,6,3,1130360
zznk,De4d End,31,26,10091534
zzkilss,Fire And Ashes,0,1,205524
zzkilss,Rise And Gain Authority,0,2,231303
zzeask,1AVANGARD,0,1,0
zzYAMATOzzz,A N T A R E S,15,10,960619
zyxtvrj,1AVANGARD,8,0,232703
zytelix0,Reqquiescat In Pace,1,6,80979
zyrguri,WARTIDE,0,1,0
zyng111,KraftDinner,0,1,133854
zyncontrol,Treasure Tales,0,3,0
zylifi,DARK HORSES 1,0,1,0
zyclongc,Los orcos,0,1,0
zxxRAFAELLxxz,S L I C E D,0,2,777069
zxxRAFAELLxxz,Rise of Stark,12,13,2049369
zxvx,zxvx,1,1,173857
zxlGhost,-,0,1,0
zxkauz,Ministry Of Bandits,0,1,0
zxkauz,R 4 V E N,0,0,77594
zxd2d2edsd,S w i f t i e s,0,1,0
zxculebrazx,B U R N I N,5,10,5178345
zxculebrazx,R E Q U 1 E M,2,5,9444231
zxculebrazx,-,0,0,793601
zxcslaveinside,Huff n Puff,3,0,521993
zxcsiroed,Life is game,11,7,3522841
zxcsana,sPLUSPLUSGANKA,4,0,77235
zxcsana,IM NOT RETIRED IM FISHING,0,4,435157
zxcsana,-,3,0,61310
zxLobaoxz,-,0,1,0
zxLobaoxz,RONINS_BR,1,7,32735
zxBRAYANxz,VENENO BLACK,0,2,8932
zxBRAYANxz,LycorisRadiataa,1,2,268848
zxAbyxz,ELITE MONKEYS,4,3,155668
zxAbyxz,Legio Fulminis,4,3,240859
zwMaurinho,-,0,1,0
zwMaurinho,CHEEKZ,0,1,42646
zwMaurinho,Diddy Did,1,2,293932
zverinaholidei,Life is game,0,6,1719595
zuzuzaza,-,0,1,0
zuzsVP,Life is game,19,12,2809234
zurka200,T O R O S,6,5,694887
zupreemo,Taiko,0,3,162266
zunit,Rents Due,1,6,1432605
zum9373727,YOU ARE LOOT,0,2,11124
zulivaan,Core Cats,1,3,82751
ztreyker,xX The Jokers Xx,3,6,462596
ztefi7w7,Spetsnaz Grail,0,11,560253
ztaspumba,-,4,0,59481
zredf0x,Insanos Express,0,1,0
zrage2,R E H A B,7,4,2547152
zrage2,xX The Jokers Xx,30,21,13560982
