Player,Guild,Kills,Deaths,Fame
JMC22,HEILPVP,75,1,1984138
EteRn4I,Instic,71,1,25764361
Ander20,DARKM1GHT,56,1,9826109
agn7,Mono Con Navaja,42,1,9699754
VGlenn,AO University,245,6,91186170
citrax,Dies-Irae,39,1,4816991
xllMRJOSE,True Gentleman,39,1,7585138
Oxyblue,The Rugrats,35,1,3880100
jhonerick,DarkChains,32,1,9028104
eswuardo,-,32,1,3420033
KurTtheCalangO2,zGameZ,29,1,1180491
LuKGOD,GELO E TECO,237,9,22493705
W4sh3,Doble OC,26,1,650059
iMSamuz,IFures,26,1,4037377
Cheth,Doble OC,25,1,1630098
BlackOnly0,Spazzin Out,25,1,564968
NoPain4TheDead,True Gentleman,49,2,5040613
ZettaiXRyouiki,Evil Kool Aid,291,12,35771950
pompompuriin,Sindicato dos Refinadores,24,1,846167
Chipuden,Mao de Elastico,24,1,6484109
tobrish,K1llZ0N3,24,1,288864
Ddaaasecond,A L O P E C I A,47,2,2070344
Vacarrosa,Tal da PANELA,22,1,451901
Durenfer,Treasure Tales,22,1,447736
GingVI,Just Drop4,170,8,10074316
TensxGod,-,21,1,2313584
WOOS10,SIN PORCENTAJE,21,1,4679570
DARCKXS,Just Drop4,21,1,1925492
Veprik,O-U-T-L-A-N-D-E-R-S,21,1,1274061
Recckless,Upside,21,1,3026214
ShowYouLooT,Bandit Kill,21,1,3501455
SigTheN,Evil Kool Aid,62,3,13037364
GrandpaRoshi,Bears and Maces,41,2,720664
xBrandxn,Evil Kool Aid,20,1,5887584
LordBlady,Black Dragon Aeon,20,1,1906467
FIRRRRRRRRRRRE,OIIA OIIA,79,4,10255778
W0LFERNAL,Doble OC,39,2,2049988
Mohanaa,Mao de Elastico,19,1,2250970
forzono,The Rugrats,19,1,3386589
Chema159753,-,19,1,1895394
xDarinka,Anyth1ng,19,1,786133
Slyncx,Victory or Valhalla - NA,19,1,2115986
Arazec,Lethal Warri0rs,38,2,1199615
Angelits1406,IFures,73,4,11721008
Cyyno,-,36,2,4354105
Zumo0,24 - 7,18,1,3068789
KnifeDay,Evil Kool Aid,18,1,16172513
Velkanah,Curriculum Vitae,233,13,31737745
PinedoWR,True Gentleman,35,2,2010852
Alansin123,Doble OC,104,6,7070046
GuizzaarD,GELO E TECO,69,4,14164667
Mafu,Gankers LetaLes,17,1,1044619
Diarhhea,AO University,17,1,1454971
xCatatau7,RUSH-B,17,1,527438
AnTharXilz2004,Faction Army,34,2,1556484
WarriorBlack,R A D I O,17,1,2291231
ARAGON777,Doble OC,169,10,13868228
ImSoKeL,DARKM1GHT,198,12,47660015
creanatie,Evil Kool Aid,33,2,9210252
Misteeera,Mao de Elastico,49,3,10136155
xKivek,-,146,9,11183626
Luft2Me,MEDIEVAL SHADOWS,16,1,1274500
AdephosAetos,IFireForceI,16,1,648026
dusioss,Upside,16,1,3294896
XxWALLBOBYxX,-,32,2,1821936
Shaloow,Rogue Natives,48,3,18299039
Khallifax,D I N O C O,16,1,2409146
DyLeR1,Instic,16,1,1882006
StraussKhan,D I N O C O,32,2,4495668
PLucas,Stay Close,32,2,9309412
W4sh3,Toy Soldier,64,4,2799951
diegomediaferrer,Mao de Elastico,16,1,2602293
GodSlayerMuerte,PlVAS,412,26,69533082
SolitomanED,BlackSm0ke,31,2,2763594
TioKayn,Instic,31,2,9489769
SonOfHermit,Rogue Natives,124,8,37014876
JustMeat,ROKhan,15,1,1417643
ValentianHD,D I N O C O,15,1,1708908
Tyr2315,GO INSIDE,15,1,1871522
NikolasFlamel,Los POCHOcloss,15,1,463297
Sebong97,IIFures,15,1,4026121
HeroidoFilme,GELO E TECO,15,1,2805641
rlchie,VK Army Freeman Reborn,15,1,1277510
LemmyKillmistar,Just Drop4,89,6,4229393
ThQzin,DARKM1GHT,162,11,21089983
PocaLife,Faction Army,72,5,1829744
xXEJOD27Xx,Instic,14,1,921684
Zyodic,MAMA DEL MATI LOVERS,14,1,118858
Tukchero3000,Stay Close,14,1,3643948
MoistOwlet,Contingent,14,1,896852
Guardiao212,Air Fryer,42,3,3395703
KPKIRITO,Evil Kool Aid,14,1,4894049
teolando,Arroz Clan,14,1,86915
ElraserXx,True Gentleman,14,1,719586
AleanGG,SAT1VA,14,1,156018
ZuhriTG,Hitsquad,28,2,6073262
Sumatrita,B U R N I N,14,1,2596133
FERALCACHOFA,-,14,1,923830
KissLand,Slammed,83,6,14114275
Mezic32,Maximum Effort,274,20,7297874
Maredivt,WIND BREAKERS Y-R-T,27,2,374472
mendelnn,Baby Family,135,10,7203413
SoupGroup,The Destruction Company,27,2,2133824
Knight2160,Evil Kool Aid,160,12,28533248
PrimeX20,Maximum Effort,383,29,12437486
Nattsui,D A E M O N,13,1,1954213
minero33z,D I N O C O,13,1,2845091
DarkRd01,N o m a d z,13,1,386514
SHENENN,Hitsquad,143,11,12205182
5wagger,WH4TS4PP,13,1,1492311
Alansin123,-,13,1,1343843
NEIRDA2990,NO HOLDING,13,1,4083386
Arthovale,Make Albion Great Again II,13,1,2479209
suuNY21,NoFreeThinkers,13,1,1951063
Kapitaznngod,-,13,1,3340473
Kiara25,Upside,13,1,1106158
PeneDoblado25cm,16:00,13,1,3438051
Arevirr,BLOOMS,13,1,4286388
NatsuDragneelxd,Faction Army,13,1,1199604
onslaught777,VK Army,26,2,605271
Nacheck,Rogue Natives,13,1,3375729
YuenDark,IIFures,13,1,1719647
paraSingapur,Spetsnaz Grail,13,1,1238816
BloodDrama,C4 Gang For Life,13,1,1103276
SenPaiis,Evil Kool Aid,13,1,929279
deambears,AO University,13,1,2216704
MrFlako,NoFreeThinkers,13,1,3285010
waifaii,S L I C E D,13,1,4007472
dafinha208,Reyes del Respawn,13,1,537865
NACHOSKY01,MeT4LCorp,13,1,187515
JSSV,DATE A LIVE,13,1,958804
ZTormuk,L A S T W O R D S,13,1,2541593
HannahSilva,ENDANGERED,90,7,5944544
YakiShiba,Antartida,51,4,2382587
JadenWeiler,Bandit Lords,25,2,1081133
SatoruCris2,R3conecting,25,2,3233587
Jali3,Split Second,50,4,10916230
DarkZeusRB,Black Ursa,25,2,1371799
AKAMataRata,El indio solari,25,2,2120899
7Reey,Stay Close,74,6,12537560
Alansin123,Outlimits,98,8,7891908
G2Lucin,Loucos Por PVE,12,1,717852
RomkaXaxaxa,NO HOLDING,24,2,3061746
k1ngABO22312,NO HOLDING,12,1,3849458
TackyBlacky,Slammed,12,1,2262394
Ltiy,Treasure Tales,12,1,421024
soykoy,I Nothing I,12,1,930193
ISleepingDeath,PENllS BLACK,36,3,3331675
INFRiver,True Gentleman,12,1,1826969
Digaok,Curriculum Vitae,12,1,1813412
Branleeoval,The Lonely Men,12,1,1161476
IErickAlvZ,Me Agaln,12,1,1286122
YYangGuo,Cheer,12,1,1135344
xSonyaBladex,Living Legend,12,1,758852
Dialv,Gankers LetaLes,12,1,1148796
PowerOfCreationZ,Make Albion Great Again II,12,1,4378902
VENOMXmlv,IIFures,12,1,1382424
Chrixx06,IIFures,12,1,2580458
Lordmisho,Serpens TakaTaka,12,1,1932399
BillySanders,Evil Kool Aid,12,1,8859743
Ryannd,I PARADIGM I,12,1,1562976
KngAngls,DARKM1GHT,12,1,3477593
Drachenarm,Loyalty Matters,24,2,927471
Gammyx,Arcosanti,12,1,1990767
Geracina,Arroz Clan,12,1,262275
twitchdarkmeatt,Battle Rush,178,15,17692019
MrDarkTitan,Evil Kool Aid,35,3,7140986
CpoMeister,IFures,70,6,9293558
koitter,SoloPl4ya,104,9,7034503
Yorshhh,Ministry Of Bandits,127,11,14407843
Spiritfoxxx,Keybump,150,13,23788748
GoreScale,Mythix,207,18,17798753
RUBIDIO507,YOU_ARE_DEAD,23,2,1278740
GaoLover,Dires Bane,92,8,7469943
YakiShiba,A N X X I E T Y,80,7,3054445
PKLA,Maximum Effort,125,11,12314054
1H0RUHE,GELO E TECO,102,9,17254408
agux001,16:00,34,3,1964389
UchihaManglax,Doble OC,158,14,9358918
Nightcore444,DARKM1GHT,101,9,16668426
TheGranny,Faction Army,56,5,1591140
iiinconvenient,ENDANGERED,144,13,29605381
MDARKINGM,W R E C K E D,11,1,227797
jose324,DARK PRICE,11,1,762378
HunterHD,GGNOOBS,11,1,1708811
HeraclesLA,-,11,1,999318
JGTR,Faction Army,11,1,487639
DhaneOmite,Free Beer,55,5,6031321
fainew,TU MAMMA,44,4,5159289
LeitoETH,Overprice,11,1,784441
RobertTX001,Dires Bane,11,1,416068
Zsara,Hollow Specs,11,1,171355
Snakejr213,Got Talent,11,1,141778
NJKOO,WH4TS4PP,11,1,1391602
Freakmoa,Mao de Elastico,55,5,7466200
PocoyoInsano2,EZG0TO,11,1,1452289
Dodgeme,Mythix,11,1,2828701
JESUSGMM,LOS MATROSOS,11,1,159533
Ekooo,Evil Kool Aid,44,4,7368494
W4sh3,-,22,2,948643
ARAGON777,-,77,7,7514478
Hipopotamo76,BlackSm0ke,11,1,325231
Kimoryz,Battle Rush,11,1,2051070
diouK,White Lodge,11,1,1269791
iDionisio,Air Fryer,11,1,1516364
lSoyBluel,DIVINAS,22,2,4520359
STIVEgg,PlVAS,87,8,7133205
PinedoWR,Doble OC,173,16,10203575
Volquete,YOU_ARE_DEAD,269,25,8143060
DaDongZed,This-Promise,43,4,1606264
ElTamaleroMagico,Gankers LetaLes,43,4,2171090
GOFISHMIKE,Evil Kool Aid,43,4,11104439
bastian548,Curriculum Vitae,290,27,47545827
HalfGoldHeart,Hitsquad,214,20,24850302
Zpihc,IFures,160,15,16774949
Revolted,Mao de Elastico,32,3,5248739
agux001,YaKcheYa,32,3,1024960
GTR342,Evil Kool Aid,74,7,11564749
HeyShoe,Contingent,190,18,30215141
BaldDilf,Sprint With Me,21,2,2485851
TheSuKe26,Got Talent,21,2,3068023
lalevantavergar,Gods Corp,21,2,3098405
outcastoutlaw,BLOOMS,42,4,2183031
Nikosucks,CompletelyStrange,42,4,956556
zNuBx,Roofroof,42,4,5868422
DoughMorigato,Battle Rush,42,4,5321713
W4sh3,Kronos Ascendens Judex,52,5,2515832
GODHisar,Spetsnaz Grail,52,5,5500536
SyCfe7,HEILPVP,31,3,1099838
W0LFERNAL,-,31,3,1776425
AssaneD1op,Evil Kool Aid,31,3,12990635
Belsey,D I N O C O,429,42,52728266
HalfGoldHeart,Rogue Natives,102,10,4597505
QuejoComPao,DarkChains,152,15,31352999
TheBooneless,Just Drop4,191,19,15388310
Cinnamonroll2710,Morrendo na MIst,10,1,178638
Signoner,C E R B 3 R U S,10,1,835854
InFasTion,Upside,50,5,8177418
NeronsxXx,Mono Con Navaja,10,1,363958
StyleZeRo,R 3 T I R E D,10,1,2144317
Ch0zen,Faction Army,30,3,1215491
Speedxfirex,TU MAMMA,30,3,9382413
VikirKhan,Sea-Sky Fraternity,10,1,5076364
luluvroumette,les fr valoir,10,1,1434635
DonWeta,True Gentleman,10,1,1426515
Turbosky,I Nothing I,10,1,547673
LeChatMaigre,Maximum Effort,100,10,4273109
Delfon123,ETERNAL NIGHTS,10,1,344601
shadowhunter466,IMPERIO MAKUS,10,1,508532
ChrisAngel,Mighty Claws,10,1,355223
cristiantkg,PROYECTO-CORE,10,1,694196
WaroxSs,L A S T W O R D S,10,1,1326512
Madara10,-,10,1,735500
ChuckTheValhalla,L A S T W O R D S,10,1,974938
LuffyAce1,Evil Kool Aid,30,3,19960130
Roms37,LatinWarriors,10,1,834260
GisusMK,Caballeros Del Pasado,10,1,622795
ViajeroC,Split Second,10,1,3388889
Atreuzkai,Black St0nes,10,1,462363
R1V3NC,Instic,10,1,4364743
NachoGuaca10,We Bare-Bears,30,3,2571287
Elizabeth0901,Inspeccion de Billeteras,50,5,1164780
zTironi,Just Drop4,10,1,4272817
TOKIO1324,S0LO-LEVELING,10,1,312169
LacosteV2,Slammed,10,1,729022
JayJay347,R A D I O,20,2,6149083
Txtsu,Upside,10,1,577084
iFred,The Kings Codex,10,1,348886
ObeyCommunism,Eternal Defiance,60,6,3430279
