Player,Guild,Kills,Deaths,Fame
Scompa,I B E R I A N,52,1,5938375
LUCKSvC,Rogue Natives,84,2,6985843
Buyakuia,R A D I O,79,2,7469843
lKenjil,F4RIA DIVINA,35,1,2617270
ARAGON777,Warriors of the AEsir,453,13,16809558
neuxer,Right Nowz,34,1,871349
ASOID,F U L L-C O U N T E R,33,1,4186843
DeathShadow666,Bridgewatch letales,30,1,1662214
darknight4819,INLUX,29,1,2447225
LuxXxzZ,LOTO NEGR0,29,1,871669
LuKGOD,F4RIA DIVINA,56,2,6663761
GingVI,Evil AssassinsGreed,55,2,2002130
Starfeish,I M M I N E N T,27,1,2402334
DISTRINK,Inglorium,27,1,1079481
SHADOWIIATOMIC,EL LAG DE LAS HCE,27,1,1920518
Cyyno,-,132,5,18949587
xxLAMARCKxx,-,26,1,1651854
solitario12,The Lonely Skibidi,26,1,916814
leafenix657,Llamitas Su Su sum,25,1,4155689
Blizshard,Aesirs,173,7,6637028
JMC22,HEILPVP,49,2,1889767
ZomBrainzz,Keybump,24,1,1188935
VICCKS,lnsanos por PVE,23,1,4349736
Kokkai,Krozakov,23,1,1845793
Zyodic,El indio solari,23,1,744706
elguss,Hatedd,23,1,234221
Yorshhh,Gankers LetaLes,22,1,2845953
Nattanzinho,R A D I O,22,1,7655914
aaawkward,Slammed,82,4,12897668
SindraTheXZ,Hitsquad,82,4,15096515
WoLaShi,Los Elegidos Por Jesus,61,3,1010789
4LD4,Post-Mortemm,20,1,3085682
Thanks4loot,Evil Kool Aid,20,1,3064989
K1tanox,Black - Lotus,40,2,6569222
TuPerrita96,-,20,1,1813436
GuerraSinFin,Road Of Ruins,19,1,836859
XxOMINOREJxX,Evil Gatitos,19,1,2518454
Deykrex,Honoris,19,1,433290
ameliaoo,This-Promise,19,1,876996
PresiMathi,Curriculum Vitae,19,1,3699533
GodSlayerMuerte,PlVAS,467,25,65921875
LuKGOD,GELO E TECO,56,3,6244610
4LD4,BlackPiink,18,1,2499083
DARWINALEX,M E G A D E T H,18,1,2225483
TioDanX,lBlack Handl,36,2,3209177
vipers430,Who is Lobitos,397,23,18083443
ZeusRecovery,DARKM1GHT,86,5,18995002
1H0RUHE,F4RIA DIVINA,120,7,21306614
GoreScale,Mythix,119,7,15531930
MissPoopy,LOkOO,17,1,706972
DRsona,-,17,1,1607209
Keyyye,I Paradise I,17,1,1648505
