Player,Guild,Kills,Deaths,Fame
InFasTion,Upside,91,1,3161132
OneshotBaBy,-,88,1,5938596
TheAnya,DARKM1GHT,124,2,16683257
GreedRK,BlackSm0ke,51,1,2094571
ShowYouLooT,Bandit Kill,47,1,6264661
ramithon,ENDANGERED,41,1,10448348
VGlenn,AO University,204,5,74748672
iiinconvenient,ENDANGERED,78,2,7352527
jose324,Merce 1,39,1,3747070
LuKGOD,GELO E TECO,144,4,20555374
NiMeBo97,GRAN_TUMBA_DE_NAZARICK,33,1,1421525
betcover,PDG COMPANY,32,1,1390125
DDONALDD,Blodfang,30,1,5153746
TANGOSAMA,ABYSSUS X,28,1,3202527
GummyBel,H-E-L-H-E-I-M,27,1,2281256
Kleber06,Evil Cartel,27,1,344394
sSuehtam,PlVAS,26,1,9806074
Elpadrino69,Hijos de la Anarquia,26,1,906762
jvniao,HELLS KITCHEEN,26,1,889948
OldManGX,C I R C U S,24,1,7301876
Nightcore444,DARKM1GHT,142,6,23587833
Kodska,LE SSERAF1M,45,2,4750146
NothingBaby,Terror Of Solo Players,132,6,15051077
XUEOS,Evil Kool Aid,22,1,4595609
xKivek,-,88,4,5938779
TioDanX,Doble OC,22,1,1195881
marim17,D3stroyers,22,1,551431
HotPipes,Slammed,22,1,931241
Fishcoup,Wyze,63,3,12059405
SigTheN,Evil Kool Aid,62,3,11738875
PocaLife,Faction Army,62,3,1918196
JSSV,Right Nowz,41,2,862101
Sinuglaw,Eternal Defiance,20,1,2558078
ZBL,ENDANGERED,20,1,2387562
Verdexte12,Faction Army,20,1,617417
GAMERDOG,ENDANGERED,260,13,23736804
Zenmai,Girei,20,1,686982
Maikelo,Lethal Warri0rs,39,2,2148937
AnacondaDorada,Curriculum Vitae,39,2,5911325
Shadyyyyy,Sprint With Me,19,1,1876445
Narkoticz,The Lonely Skibidi,19,1,2315073
Ander20,DARKM1GHT,131,7,16175346
BloodDrama,C4 Gang For Life,56,3,3301285
Flamerico,DARKM1GHT,73,4,10637219
UchihaManglax,Doble OC,109,6,2569300
JPPsecret,TyrannT,18,1,3730626
Sicamet,Evil Kool Aid,18,1,4467047
SNOWjc,Ministry Of Bandits,18,1,1931687
FaintSmitle,-,18,1,1860366
NightLordDrow,Darkness INC,18,1,1262654
Emmanuel2648,Evil Gatitos,36,2,12475380
TtvArcoviVT,IIFures,72,4,3502106
SenPaiis,Evil Kool Aid,175,10,25113274
Graime,Tal da PANELA,17,1,1030709
KIVITO3,NotFures,17,1,3379187
agn7,Curriculum Vitae,34,2,11073164
FeatureReplay,Evil Kool Aid,17,1,9268242
SilverBullet7,RedLine Empire,17,1,690641
Yetmyat,ENDANGERED,136,8,25485657
QuejoComPao,DarkChains,17,1,2959290
eliseeuwu,Unlucky Cats,17,1,2763837
Zekresht,-,17,1,1878153
Eliacka,ANNlHILATION,17,1,1475792
Shattereds,Eikonic,33,2,2520845
r1wo,Slammed,65,4,6576251
KyogeN,OBSERVA,32,2,3263884
CabbIV,-,16,1,90709
Chipedro,Ministry Of Bandits,16,1,821159
Garnuch69,Contingent,16,1,4138799
Lain3,Blue LabeI,16,1,282203
Enriq00,R E H A B,16,1,649826
HADDDESSS,M O N A S T E R I O,16,1,737836
K1seo,Evil Kool Aid,223,14,7943816
ZettaiXRyouiki,Evil Kool Aid,159,10,20728086
MagicBaby,OLD CANNON,31,2,674981
Er3U,Pay_For_It,46,3,2793548
DigMage,Cyan,46,3,2368099
Ayspik,The Rugrats,122,8,10452779
Knight2160,Evil Kool Aid,136,9,24292083
Habatch,Keybump,15,1,1933412
Vinni11,desavence,15,1,1386806
chipaxd,IFures,15,1,3626163
Ayspik,Upside,120,8,29390199
Usadd,N0T HUMAN,30,2,4661163
SoyMagik76,HEILPVP,15,1,729383
Daluane,NotFures,45,3,5477477
elrremacho,Sea-Sky Fraternity,15,1,578747
Carde123,Unslave,15,1,1001643
xR3venant,ENDANGERED,45,3,12300430
Murax,The House of Marajas,15,1,165541
ELFHIEND,A N T A R E S,15,1,1221545
Helmansik,Wrecking-Crew,15,1,1357524
PinedoWR,True Gentleman,60,4,2399246
Mezic32,Just Drop4,86,6,4161180
lilross,Wrecking-Crew,56,4,12454963
Ar4uta,0wls,14,1,607963
OniiChan69,Make Albion Great Again,14,1,3453634
Aellyzi,Lethal Warri0rs,28,2,1207328
JP3N3,GO INSIDE,56,4,5783747
CallMeOmni,Make Albion Great Again II,14,1,683790
Cidder,Loyalty Matters,28,2,1105203
Raqonii,Roses-Academy,14,1,673294
SIX777,Mighty Claws,14,1,1234784
Velkanah,Curriculum Vitae,28,2,2849544
Signoner,C E R B 3 R U S,14,1,1626203
iNicoH,Upside,14,1,2195826
Nickside,Mystic Tecolothy,14,1,4061096
Jeffrey705,Gatitos Mimoshos,14,1,948739
LuigyxD,OSIIRIS,14,1,346677
GingVI,Evil AssassinsGreed,97,7,7915403
Totty2Hotty,GGNOOBS,83,6,3309904
DShorty,Eikonic,69,5,3874189
nicechoribro,Hold My Pocket,41,3,3810026
Zyret,Rokosos,27,2,1800741
NastyBoaz,TU MAMMA,81,6,10321494
Slyncx,Victory or Valhalla - NA,13,1,2767522
LOFINOMASFINO,Core Roblox,13,1,1779597
TheSchawill,Eternal Defiance,39,3,6409538
vernadote,One-Day,13,1,1076416
