Player,Guild,Kills,Deaths,Fame
zzzzREYxxxx,-,0,2,203569
zzp211,Red banditss,1,5,170429
zzotam,DIABL0S,1,1,147243
zzotam,Treasure Tales,1,3,64174
zznk,De4d End,39,28,9993104
zzkilss,Rise And Gain Authority,1,1,461454
zzkilss,USIL,4,1,97759
zzeask,Life is game,1,3,96239
zzYAMATOzzz,-,0,0,28881
zzYAMATOzzz,A N T A R E S,0,1,32192
zzYAMATOzzz,TAQUIKARDIA,3,5,542214
zyxtvrj,doomday,1,1,23949
zytelix0,Reqquiescat In Pace,1,1,106918
zyrguri,WARTIDE,0,0,1995
zyperr2,IT s ShoW TimE,2,3,842949
zxxfxxz2,Of Predator,0,0,1913
zxxRAFAELLxxz,Hydra Corporations,0,11,2008934
zxxRAFAELLxxz,S L I C E D,3,1,294070
zxxRAFAELLxxz,Rise of Stark,2,3,516831
zxvx,zxvx,2,6,214136
zxkauz,Ministry Of Bandits,1,0,5712
zxghostbx,DEDO NO OLHO,3,3,791806
zxd2d2edsd,S w i f t i e s,0,1,0
zxculebrazx,R E Q U 1 E M,0,2,6258389
zxculebrazx,B U R N I N,1,5,2297408
zxcslaveinside,Huff n Puff,2,0,64398
zxcsiroed,Life is game,43,21,12479670
zxcsana,Free Beer,18,6,4055428
zxLobaoxz,-,0,2,0
zxBRAYANxz,VENENO BLACK,0,3,7134
zxAbyxz,Legio Fulminis,19,22,3390984
zx537,OppenHammer,0,1,0
zvz123,AlpaKnights,0,1,0
zvldimir,-,0,1,0
zvidel,Falta Envido,0,1,0
zverinaholidei,Life is game,0,2,217958
zuzsVP,Life is game,18,18,3225118
zurka200,T O R O S,9,12,1163402
zunit,Rents Due,1,7,1482473
zumon20,LA CRUZ DE ADAMANTIUM NEGRO,0,1,7040
zumbizb,Death Clowns Society,1,0,74168
zulivaan,Core Cats,3,2,385271
zuk8,-,0,0,17142
zuk8,Veil of Ash Collectors,0,1,29299
zuiqingfeng,Sea-Sky Fraternity,0,1,0
zuhfss,The Vrotherhood,0,1,14251
zudotokimoshi693,THE ENJAMBRE,0,1,0
zu4,I Nothing I,0,2,813593
ztreyker,xX The Jokers Xx,1,11,2746239
ztefin7n7,Rage of Camelot,2,3,149602
ztefi7w7,Spetsnaz Grail,4,11,3074320
ztaspumba,Overprice,1,1,269789
zsoladorfx,M0RS,0,1,0
zredf0x,Insanos Express,0,1,86065
zrage2,M O N A S T E R I O,2,5,2270764
zrage2,xX The Jokers Xx,38,30,17684080
zqn114514,Explore The World,1,6,106113
zprophet,GOTHAM C1TY,0,1,0
zpindejo,-,9,9,1067624
zpindejo,xX Los Tiranos Xx,5,8,652705
zpekenoking85,CAIFANES,4,3,78032
zotanegra,L E G E N D A R I O S,4,11,1329492
