Player,Guild,Kills,Deaths,Fame
zzzzzs,1Mmortal,53,15,10295054
zzzzzs,snow forest,12,2,1949678
zzzzzs,oo0oo,6,4,2670914
zzqsjdbis,-,1,0,135789
zzqsjdbis,SpartanS 300,0,0,19275
zzqiang,NO-RE,0,3,136801
zzmilk,Jagdgeschwader 52,0,2,252502
zziRhawk,Fenr,0,0,303555
zzhxAJ,conquer,2,1,317488
zzeta,Rescue Station,0,0,2637
zzeko,ACM,28,32,8924848
zzdman,Shu Shan,0,8,1540947
zzapzzap,Nemo Nemo,2,3,984620
zzapzzap,Kingdom,0,0,0
zzang99,Finish,5,5,1272966
zzThienzz,-,0,2,770624
zzThienzz,The Salty Chefs,4,6,520636
zzThienzz,MO GU,2,7,1168702
zzThienzz,Real ONE,7,13,3798738
zzKarasu,-,1,7,170625
zzBussuzz,After Cleric,2,7,1670208
zzBussuzz,Real ONE,19,7,9171241
zz29581741,Reworld,14,7,3681914
zz012,Meeting Stone,0,9,1069811
zyzb1,Bretonnia,0,1,0
zyzb1,-,0,1,0
zys0602Egg,Anar chy,0,1,269974
zylfo,Chicken Nuggets,13,10,2229061
zylfo,THE WARRI0RS,2,1,436700
zyksb,Mika,7,13,4344653
zyksb,All In Fighting,0,7,3458382
zyh789,Free Butterfly,0,4,36503
zycznsw,Farm Or Die,5,3,612695
zybverycute,Bretonnia,10,3,541143
zxweeww,WARDEN-SLAYER,0,1,5059
zxtx,The Wardens,1,1,19708
zxp1ng,PSC,1,1,486044
zxp1ng,Gold Pigs,0,1,0
zxlo,-,0,1,0
zxkitty,Hunter In The Dark,0,1,147466
zxctrueghoul2,-,1,1,99387
zxctrueghoul1,-,1,0,44988
zxckol,-,0,1,0
zxcbig9,Real Man,13,8,9972332
zwqjustin,SO EZ,0,1,16969
zwowkaraz,R E V O L U T I O N,0,0,10530
zweuiss,BeasTDaK,36,11,7593811
zvsz,Meerkat Assemble,20,12,4392218
zvcc,Mamboo,0,1,0
zvcc,-,0,1,0
zushu1,-,0,2,0
zuoyouyualiang,F R O Z E N,10,13,675421
zuoyeewe,Bretonnia,23,9,3972378
zuoyang,SO EZ,3,0,135483
zuoyang,KuromiO3O,33,10,4579808
zuoxiaozuo,Gold Pigs,4,4,3121943
zuoxiaozuo,Boar Army,0,2,901402
zun,Tohou Project,0,2,2639
zumvi,MALIGNANT,8,15,2198525
zumvi,Buccaneer,1,6,211669
zuma1,-,0,1,50252
zukmyas,GOD EATER,2,0,230578
zukmyas,Filibusteros,1,0,177680
zuishenwu,All Rise,2,2,283898
zuimQAQ,Raining,0,3,133429
zugkun,V1OLET,0,3,282303
zubZer0,V1OLET,0,9,571542
zuLiasAzaDecH,Tarumanagara,0,1,0
ztwMMM,Stellar Alliance,0,5,1355416
zsyjack,PLAC,0,1,117552
zskilmez,-,6,1,898615
zskilmez,Azurel,0,3,858729
zraxKing,S K Y,0,2,32389
zql777,Boar Army,3,10,3328228
zq66,Suger Babies,1,8,233097
zpt33,The swallow,10,9,3079697
zpoH,snow forest,29,15,4186348
zozosss,NAGA PEOPLES FRONT,0,0,1163
zote3,Spear and Sword,0,1,0
zote3,New_World_Order,1,7,275362
zote3,zote3,0,0,49170
zota,Meerkat Assemble,0,10,4991354
zos1,Meerkat Assemble,0,5,3734972
zoro05,Master Siomai,2,9,468509
zorina7741,MoneyMoneyComeOn,0,1,0
zongzong,AK-47,4,6,763945
zongjian,Space Wolves,0,1,0
zoneinmi,NULL,10,16,2462463
zonan,Wysteria,23,7,3808283
zomrock,The Lonely Moan,1,7,665918
zompoz,Enterprises,0,5,678840
zolyy,Kagenon cid,0,0,4007
zokash,-,0,5,0
zokash,Dragone Slayers,0,1,0
zofff,Blue coral,7,16,508718
zoerelesss,INFERNAL,0,1,0
zoe99,PalaceGUARD,0,0,1037603
zoche,V1OLET,1,15,3575387
zobd,THEFool,0,1,0
znlskcak,Meerkat Assemble,75,21,28196953
zmd123,-,4,9,401313
zljdyx,Forever Night,0,1,0
zlOrOlOh,Nemo Nemo,0,1,77408
zlOrOlOh,Noctis,6,3,1375461
zlOrOlOh,DOKDO,1,3,260238
zl991,MCS-P,22,19,7354031
zl7KajinX,Griffin Empire,0,18,2968814
zkzkm,AK-74,0,2,63842
zkcnb,KuromiO3O,0,11,3787258
zkcnb,Dragon-Mi,4,1,1702895
zjy520,China Daoism,0,1,2736
zjingchu,Wavei,0,4,43714
zizisean,Around Thirty,0,1,15201
zizic,999999,13,18,4531750
zizic,snow forest,40,43,11446730
ziyv,China Daoism,0,1,1365
zishiyangjing,Dragon Blade,37,17,1199402
ziro00,Noob Family,1,0,172117
ziqing123,PSC,13,16,2964911
ziqiang,NO-RE,0,15,1933528
zinpromax,SPIDER GanG 4 gay,0,4,152932
zinesan,qui trans mare,0,1,0
zinechan,Matcha Ore,1,6,45709
zilduel,UnifyVN - 304,5,5,3042121
zihangwang008,oo0oo,0,3,245401
zihangTnT,Rescue Station,0,0,57887
ziggroy,SpaceWolves,16,2,468251
ziffel,-,0,3,0
ziestar,-,0,1,0
ziee08,ScarletValkyries,1,0,3955
zidkrVN,GIGAN VIII,0,1,0
zhzhid,Free Butterfly,0,5,138464
zhzh9527,KongFu PanDa,5,8,2055700
zhzdhGDfjHGB,Forever Night,1,12,2605087
zhuzy,-,0,0,72424
zhuzy,Sunset,11,17,4005125
zhuzi,CCTV,0,11,9994332
zhuzhuzhuzhuzhu,Belial,0,4,62804
zhuzhubaba,CAIJI FAMILY,0,0,3842
zhuzhu614,Pink 7,1,2,111113
zhuzang,CCTV,19,15,4427323
zhuuLi,Forever Bound,0,1,39271
zhuuLi,-,0,0,47018
zhushenxiafan,Meeting Stone,1,2,100195
zhushenxiafan,-,0,0,69173
zhumimi,Wind Cloud,0,0,4035
zhujiaojiao,The swallow,0,3,6298
zhuhan66,AAAAA,1,1,299564
zhuge5iannu,LaiFaNongDer,0,1,0
zhuge4iannu,Gold Pigs,0,1,0
zhuge3iannu,LaiFaNongDer,0,1,0
zhuge2iannu,LaiFaNongDer,0,1,0
zhuIF,MCS-P,42,8,2923371
zhu308,DragonWorld,1,5,53538
zhouzian,PLAC,0,7,3767099
zhouzian,Boar Army,2,4,2043847
zhouzian,All Rise,0,1,776309
zhoumouren,Boar Army,29,33,6357129
zhouliu666,Stellar Alliance,0,3,1051645
zhouenlaiii,Free Butterfly,31,7,3574757
zhongzk,liken,1,3,42963
zhongyaohaonanhe,Forever Night,0,0,42860
zhongtianmishu,Healing Cannot Save,1,1,264589
zhongjiayou,-,0,1,0
zhongdiepingdeng,Jagdgeschwader 52,1,0,93544
zhong,Verdant Ring,0,1,0
zhoijielun,F R O Z E N,6,6,1261702
zhjjhenda,Meeting Stone,24,37,16110664
zhizhe12138,Forever Night,4,6,598417
zhizhan,CCTV,18,30,7976587
zhiyoui,GFN-GFN,0,1,0
zhiye777,Future Party,0,5,4427872
