Player,Guild,Kills,Deaths,Fame
Allicrum,MAX VERSTAPPEN,151,45,13659589
CrispyHotdog,MAX VERSTAPPEN,145,39,13206939
333777333,ACM,134,32,20010795
Gafx,MAX VERSTAPPEN,86,36,10695954
COLDTRUE,-,124,27,10021514
heybaragi,Meerkat Assemble,16,34,33960396
BeyondDream,PLAC,255,26,23747437
DavidLaidJr,MAX VERSTAPPEN,107,49,9867398
Africanblackstic,Artery,71,74,24332607
Ceriel,Dreamweavers,114,38,11523543
MrDog91,Artery,147,40,21706201
Momoring,Speed Check,134,38,10914429
JunShiZhang,Artery,49,50,18746764
titiy,Emergency,1,24,11348466
Ankansexy,SubuTai,46,38,11665373
NCOUNT,Artery,142,44,20398168
2018344137,Artery,154,54,20649273
gradgea,F I K A,98,69,56879804
kelembot,Topspire,60,33,24490942
Miyaiku,Topspire,11,38,23342069
Bamboohorse,Artery,211,62,20062888
Sangnom,Meerkat Assemble,176,29,29701345
Ida28,xCUTIESx,6,70,22170082
6oo,HeIIo Kitty,30,35,56094840
Erwan,Speed Check,71,32,8166047
BellaJJ,Meerkat Assemble,9,29,21506848
Piatos,Maharlika,114,27,24742560
Orowin,Reaction,27,18,7627521
babydino,xCUTIESx,4,59,22427639
Qonsv2,Eternal Edge,140,30,60705212
MKP9527,Artery,224,32,18498866
Negarino,Topspire,91,52,21204734
CONCUTOCHABA,MAX VERSTAPPEN,165,24,8656836
9527Ikun,Artery,114,73,16697051
DevilSkin,Meerkat Assemble,9,63,19542538
Mykfyrv,Topspire,126,27,16084099
jxxb,All Rise,72,38,41603503
Bebed,MAX VERSTAPPEN,65,15,8662992
Typpe,Speed Check,12,39,6669141
External,xCUTIESx,91,73,22910699
laxibaidai,Artery,156,33,17900771
Ppuppu,xCUTIESx,147,50,23803775
ZLL,HeIIo Kitty,340,16,51235759
kouGT,KajiRingo,208,41,15663032
HolyHEAL,Frostbite Reapers,23,24,7358396
baisimeimei,All Rise,5,71,28076679
kirihaki,THE RELATION,160,34,8856111
YukiHaruna,HappyDay,68,41,24484778
ohmyguy,xCUTIESx,161,49,22537404
idumhumgai,IndianGanG,185,25,86446373
darkchoco66,xCUTIESx,48,67,23012479
Grindas,Topspire,78,43,19844158
DuyEnd,Rescue Station,92,41,31021374
roger8877,Western Paradise,95,53,18820313
ScriptZe,Western Paradise,35,33,18625510
vennyJ,Speed Check,29,24,6647151
Archaim,Speed Check,104,34,7219006
SayurBasi,Speed Check,100,36,6055305
Jimmyso,All Rise,254,33,46916914
AnhQuan511,Rescue Station,81,35,24909420
pillowcake,Rescue Station,47,23,26516957
iceeeeeowo,Western Paradise,132,45,21318203
yllemon,Earn money,48,32,24474714
PotatoMassacre,Maharlika,76,62,12279032
supaaaaa,CCTV,80,81,20380478
CHALHATT,CapybarAAAA,34,25,6007610
Mrcyyy,Initial Engage,81,32,17425955
oreeeeeeo,Chikipi,101,37,31347218
Sunyoo,Chikipi,27,41,28683462
Tsukuhara,Taylor Swift,166,14,7968097
LaNagumo,Rescue Station,86,45,24549733
uu33107,All Rise,118,32,38768572
1stFunHunters,MO GU,115,34,9288847
DRALUS,Dreamweavers,99,22,6082014
LBJ778,Chikipi,25,51,26795498
0rangeee,HeIIo Kitty,5,22,37992707
PiPibeng,Western Paradise,1,33,16898646
ScarlettNat,HeIIo Kitty,1,19,39874777
AlbQueen,snow forest,16,45,23312360
Bigsize,Meerkat Assemble,11,21,24005641
Henrychan999,Western Paradise,53,58,17908746
MyBabyTootz,Topspire,82,27,17642986
FightD0g,Maharlika,6,19,33677181
wootak,Meerkat Assemble,19,47,16622226
Saninn,MAX VERSTAPPEN,39,32,5741533
forguild,Eternal Edge,28,30,31847538
F0lded,Speed Check,32,24,5804083
SoeYe,Speed Check,424,29,6902885
jannn26,Rescue Station,74,35,26952898
MWS852,Earn money,138,60,19872007
Ttorsion,Initial Engage,4,31,11993671
Chitom69,HappyDay,69,92,16661348
LittleCuteBread,Maharlika,9,57,16672616
ALPHA1,Meerkat Assemble,12,35,18452809
Glenledas,All Rise,40,47,27449969
OjSimpson,Artery,32,36,14696885
Tmona,Maharlika,30,25,27899087
JABONCHAN,REGROUP,85,31,21243808
dealr,Maharlika,90,32,27576692
FrostTheMuppet,MAX VERSTAPPEN,76,25,6756409
JordanBarrett,xCUTIESx,93,46,22696593
LOTTO31,Meerkat Assemble,9,25,21206897
1024Medic,Speed Check,5,25,6045007
Zhecall,MO GU,21,33,15324509
UgeeeePlsDontBan,xCUTIESx,106,34,18687116
doveegg,snow forest,31,35,27783300
zonan,Initial Engage,102,32,17271524
B1BOO,Western Paradise,1,47,12748355
TTkol,Initial Engage,17,24,17163552
Ceejayyyyyyyyy,Maharlika,12,65,18117099
a5a5aa555o,Blue house,86,38,23692033
KuchikiByakuya,Maharlika,69,40,29953619
nano1337,Chikipi,8,39,28681233
youkey,HappyDay,32,85,16623656
UNTaker2,Initial Engage,71,40,16003726
nillavaa,Western Paradise,74,46,13675659
EMBIII,MAX VERSTAPPEN,68,18,6810041
Marshall,PLAC,25,16,14635457
Yishajie,Artery,66,45,11643216
VickyKailash,CapybarAAAA,88,20,5203369
NYKD,Western Paradise,62,60,15426946
ADOLFFHITTER,GOD EATER,111,20,4906290
MaidinG,HeIIo Kitty,39,3,40283297
Wackyyy,HeIIo Kitty,103,12,43749616
Sylarwoz,Speed Check,38,21,5360829
Pon,Conscripted,26,15,20367904
ZTchoux,MAX VERSTAPPEN,62,14,5453912
dasnerth,Maharlika,130,40,30213627
duguqubai,All The Villains,75,44,23357067
lokee1337,Chikipi,4,40,21382259
Morbide,AFTERMATH,22,36,12610420
1ndosMom,Conscripted,29,22,18112876
aLakabOom,BeasTDaK,21,15,16332885
Fat2Cat,Meerkat Assemble,64,49,14117387
Lhoria,Dreamweavers,83,31,4133889
ReturnOfDooly,Meerkat Assemble,69,38,24106576
Deimonous,PAPAYA POKPOK,36,21,6425263
Galdorrr,Dwargon,78,13,4915702
goOdzChezZ,Horcrux,23,27,4489101
Ki7,HappyDay,43,72,15469781
MerMaidManX,Malevolent,150,31,16145043
xiaolll,All Rise,9,57,28739952
waterdrip,All Rise,57,20,44186974
Tabd,Earn money,111,45,19611887
kumiws,xCUTIESx,21,42,20284616
Sheeya,GOD EATER,21,19,4554014
Liftin,Conscripted,18,19,17651810
Dangherenmin,All Rise,19,29,27477780
