Player,Guild,Kills,Deaths,Fame
miyora,KNIGHT_OF_BLOOD,65,1,3908916
4204,KNIGHT_OF_BLOOD,104,3,5096460
5ine,SO EZ,34,1,3342287
Hahaxiao,Pierce,130,4,34396126
FonderBiuBiu,Summers,31,1,6958173
MaidinG,HeIIo Kitty,31,1,31004199
BlackNoob,CRACKER,31,1,3050238
udidntseeme,Chikipi,55,2,8412654
Arthermia,Summers,27,1,6324839
Siutau,KUMA,26,1,1993048
MissCyn,KongFu PanDa,26,1,10553880
Amingking,Pierce,99,4,25781978
Dxuanko,Western Paradise,24,1,13072714
kbl1000,Old Man,23,1,6137988
SlLVER925,PLAC,134,6,17836011
Yuii,Bowscale,22,1,957580
Haste,bandit,22,1,2965957
Moonwatch,HeIIo Kitty,63,3,11470930
Aydum,Crimson Radiance,20,1,901874
Asheleah,Tokhang,20,1,2762733
i9up,-,20,1,1288231
Pangzhu,Summers,189,10,21791381
Proxiima,PLAC,187,10,18435403
UQWQ,Minerva-X,18,1,1998761
EATDick,The Last Rise,18,1,7091353
mazubaoyou,Once Upon a Time,18,1,4646309
FelineKing,HeIIo Kitty,34,2,8226670
Ba1die,PLAC,17,1,4907874
LabaSam,KNIGHT_OF_BLOOD,17,1,3192726
VariaXanXus,Summers,17,1,8979888
Orez,Death Eaters,17,1,1400484
Zsura,Springs,17,1,4116820
EMBIII,MAX VERSTAPPEN,17,1,737436
Trever,Summers,33,2,5540991
jieyeager,-,49,3,5148281
Chiqq,HeIlo Kitty,65,4,14293258
NaiNai0620,All Rise,32,2,1407635
Ciras,Floralia,16,1,2255493
Bakawaka,-,48,3,8473222
player0820,Orphic,16,1,1435686
Forestaura,Kunfayakun,16,1,838859
Soyaucat,Journey Uncharted,31,2,4817780
ninety,Forever Night,15,1,5483896
Luii,P U R G E,15,1,520186
Respectthegods,slaves leader,15,1,2950205
mozizou,Old Man,15,1,9612914
justen,Springs,45,3,10475029
giacs,NULL,44,3,3650642
dashitou,Summers,44,3,6723003
salome06,Havox,88,6,13843009
IamGroot,CRACKER,29,2,1574372
Chiqq,HeIIo Kitty,29,2,8742859
ZLL,HeIIo Kitty,199,14,33527659
justen,All Rise,14,1,2419919
Zad3qeel,Summers,28,2,2707023
BlurryGreen,BeasTDaK,14,1,2865399
GuyGalaxy,Summers,14,1,3750844
zTan,Pierce,14,1,3864517
GavinLeeMM,Springs,14,1,797260
Sojuuy,-,14,1,286721
Galdorrr,REGROUP,14,1,1055684
FastandFurious,Real Man,56,4,8096051
Cauyungfat,MoFuMoFu HEAVEN,28,2,1399060
Cauyungfat,Singosari,14,1,1092952
Kyonay,Cuayo,14,1,2108668
IAMGGBOND,Old Man,14,1,3748136
DIXIETHETWINKIE,SCAVENGERZ,69,5,10160222
252525,Cut Throat,27,2,6621690
tammetmoi,One More Times,27,2,3206470
Fayjai1022,Journey Uncharted,53,4,9859753
ZiTai007,MO GU,104,8,11712582
Fjoskr,BARDS ALE,13,1,603021
CIDOOY,Singosari,13,1,911543
yknsdog,PLAC,13,1,3479807
ghfhdjh,gou8,13,1,1288086
9695,Bread and Berry,13,1,924552
2Beyonder2,PAPAYA POKPOK,13,1,939383
LordIneedu,ON MA HEAD,13,1,781592
QuaneshaLatonya,Battleborn,26,2,1685129
UthasadDhiya,SubuTai,103,8,20785877
Klhs,HeIIo Kitty,189,15,30756905
Olppaemi69,Maharlika,234,19,65126414
AvaScanner,Summers,182,15,22280175
DuBiDuBaB,SubuTai,218,18,37520408
Zvalter,Summers,12,1,3748074
ehdgus333,NVDHi,12,1,549934
Drakul,Quality Assurance,12,1,299863
AiIisi,Flash,12,1,456627
qaixx778,PLAC,71,6,11639359
Beml,Springs,35,3,10955015
liaodiao,AFTERMATH,23,2,1424492
Alibaba1688,Shin Chan,23,2,751124
NotAloneIife,PLAC,23,2,10441155
SuperSM,snow forest,56,5,16771830
V7V,HeIIo Kitty,78,7,19894842
LDSTcoco,Free Loot,100,9,6556301
loverskk,PLAC,22,2,5468751
BentoTheEternal,Summers,11,1,6172831
frankenss,ALBION AFTER S3X,22,2,1965886
suwewe,BeasTDaK,11,1,1211110
doyeon,bandit,11,1,2826418
MrHeee,One More Times,11,1,619775
MatchuZee,Switching To Heals,11,1,496348
npcc,All Rise,11,1,1700146
reallyenyul,Journey Uncharted,11,1,2851383
Kharinef,SAY GEX INTERNATION,11,1,759881
onlyletter,Noctis,11,1,905071
DulangGG,The Fide Blood,11,1,408769
FootManooJM,Jia Nan,11,1,211196
AjikBali,AFTERMATH,11,1,1436201
revanxx,Conscripted,11,1,725879
Cazzuuu,Good Times,11,1,1793292
HLLOVER,The swallow,54,5,1955036
Sweettaste,Cut Throat,54,5,3098820
baolong369,Old Man,54,5,9354731
LucidGentleman,MAX VERSTAPPEN,32,3,3493102
Nachhhh,Snake Snake Fish Fish,106,10,20780910
sirhcray,Summers,21,2,2927195
EZcomeEZgo,HeIIo Kitty,156,15,25992415
Kreverse,Tiandao Pirates,156,15,5874311
muxi520,Forever Night,154,15,29937776
nhutkhongngu,F A M I L Y,41,4,15383137
Klhs,HeIlo Kitty,203,20,26738507
0wo,CCTV,111,11,25199271
Alphonze,Summers,20,2,7477683
TheJohnWeak,Cut Throat,10,1,4125401
Gustella,M A N T R A,10,1,326207
KirisameShen,Ga LinBei Low Cha,10,1,3673531
kenmoil,Hog_Rider,10,1,1685149
KHangss,CRACKER,10,1,362273
LiahkiM,BeasTDaK,20,2,3993021
Northwind777,Team Heretics,30,3,2177482
Ladynorun,Real Man,20,2,3318747
butoireng,-,10,1,683785
akoakoakoakoako,PLAC,10,1,3776685
Aiyy,NULL,10,1,770754
XRelaXaTioN,Summers,10,1,1804858
Keitel,bandit,10,1,1608647
yellowshadow,Boom l1i,10,1,195585
JueVioIeGrace,Squammy Players,10,1,445983
ItsJackSparrow,Ga LinBei Low Cha,10,1,1083140
notgaybut2Ois2O,SCAVENGERZ,69,7,6043400
Dr1amer,Summers,69,7,16356691
kosoemoe,NO_OC,78,8,3683283
YKoo,Once Upon a Time,253,26,54440082
Sakana0528,All Rise,29,3,7580066
situnya,Snake Snake Fish Fish,29,3,6864828
chanmaki,SCAVENGERZ,29,3,1194793
Matseooo,F A M I L Y,19,2,7221203
yyyy1,Summers,19,2,13813421
Zentzyie,Conscripted,104,11,9268468
jangozz,SDteam,28,3,1032780
tithoang,DOVATSAMSET,9,1,617992
8010,snow forest,18,2,3870157
BillyGoat,MANIFEST,9,1,492695
Aboy,Free Butterfly,9,1,175657
Mhiriga,VlRUS,9,1,2366435
zaka,Dragon-Mi,99,11,11012516
noTplaythegame,Ga LinBei Low Cha,18,2,1315287
suica23,Strange Journey,9,1,289955
Xiaoo,Initial Engage,9,1,713668
Monsicha,PLAC,27,3,7581223
Nowl,Frostbite Reapers,18,2,2453793
salacat,Summers,9,1,3857169
Alaneven,Springs,9,1,3611259
ROKAwhoing,Noctis,18,2,1334813
notgaybut2Ois2O,Conscripted,18,2,1186488
Alusi,BeasTDaK,54,6,7073798
PiggyBigDick,Chien Than Academia,9,1,644300
BubiRev,TRlUMPH,18,2,2579600
Watchde11,CCTV,9,1,1530338
Stray,All Rise,36,4,4448425
DSYBDM,Outside the building,9,1,1224969
Jamango,Initial Engage,9,1,576965
BetaCheater,MO GU,9,1,946679
IISpicyWolfII,Mucksmen,9,1,379098
SUGOODSU,Raze,9,1,2021824
OPsmallMo,Havox,44,5,3417901
gagagaqq,SDteam,35,4,3004010
7koi,HeIIo Kitty,61,7,13820581
PickleBull,Summers,52,6,6337781
FiatFiat,Summers,69,8,21612136
Juu5,H B J,86,10,4846053
o4RoM,Cruciata,34,4,1671420
TeaBox,Pierce,17,2,4030628
Axileft,PLAC,17,2,2773694
butoireng,Insurgence,17,2,1015693
pussykillerrrrr,2077,17,2,865215
Haninasayangku,Snake Snake Fish Fish,101,12,14817591
Helenaaa,AFTERMATH,42,5,5809461
b1lll,SubuTai,42,5,5871448
AnhOiThaEm,Rescue Station,25,3,4676641
idumhumgai,Insurgence,58,7,25487201
513Tea,HeIlo Kitty,148,18,23138197
HollyWard,Summers,41,5,18345292
sixduck,Beavers,41,5,2568475
LDSTcoco,Chikipi,162,20,14049761
rong1688,OPC GGININDER,8,1,1363958
ZLL,HeIlo Kitty,232,29,35537648
Love,REGROUP,8,1,1513914
FonderBiuBiu,Springs,8,1,3593374
Hanni,Malevolent,8,1,2324729
MoanAna,Fall Off,8,1,160242
PenguinTheGoose,Ga LinBei Low Cha,8,1,2212567
idumhumgai,IndianGanG,48,6,31341000
COLDTRUE,-,8,1,329804
PonponT1,Ga LinBei Low Cha,16,2,1477249
Neko1230,Ga LinBei Low Cha,32,4,7865286
DawnsBlight,Summers,8,1,2806238
niuyeye123,-,8,1,358181
7ly,Dragon-Mi,8,1,694071
RATATAAA,S A B O N G,8,1,649064
tenghui1020,Western Paradise,16,2,2948043
AlbionJay,PalaceGUARD,8,1,209796
Impostory,Singosari,8,1,1189936
ClumZys,Once Upon a Time,8,1,1638714
ZHUZHUFATHER,The Savior,16,2,325242
Rivares,-,8,1,855436
BalbalTayak,octugram,8,1,68207
STARD0G,Topspire,48,6,5704404
kaybigangOSO,Cruciata,8,1,1170292
beartwo2333,Kunlun Jade QingJing,8,1,346247
Mumaka,Snow Moon,8,1,312729
TUKANGBEGALSMURF,R E A D Y TO D I E,24,3,1407825
RonyGostoso,CRACKER,8,1,410683
Daisho,-,8,1,593706
MiniFin01,AetosDios,8,1,1021022
VeCore,gou8,8,1,524101
ryotaropii,KUMA,8,1,3335678
yako004,Pierce,8,1,1045806
SCJR,All Rise,8,1,4777844
Puraiori,TRlUMPH,8,1,1641692
namlanem,UnifyVN - 304,8,1,247677
Kireilynn,ACT1ON,8,1,166789
YUWANOVO,Once Upon a Time,8,1,1058702
KirinMan,Floralia,8,1,1454684
Kakarott0,snow forest,8,1,3598237
Xyvenant,Malevolent,208,26,81112186
D0RAEM0N,DieVirgins,16,2,1012658
AlfredTsai,Journey Uncharted,143,18,19974750
ChaoticSardines,Comatozze,71,9,4257053
hacodocokr,Horn,94,12,18818500
linxuebb,HeIlo Kitty,39,5,7357900
Fiadone,R O O K I E S,109,14,9270434
zonan,Initial Engage,23,3,1493981
XIXj,HELIOS KNIGHTS,69,9,2814880
lookpla,PLAC,23,3,4866274
hama11,Summers,23,3,3949469
Zessss,Pink 7,23,3,610879
Alibaba1688,Artery,398,52,13141400
Ka1Ju2,chill here,76,10,13007788
HaBamko,Meerkat Assemble,265,35,32420152
Ns11,All Rise,151,20,32343743
BossTips,BeasTDaK,15,2,2873609
V50,SO EZ,15,2,1784212
Smanoks,Wild Cards,30,4,1542474
Kirags,Big mom,15,2,3754674
LatinaRavenCroft,CATHEDRAL OF RAT,15,2,1172029
Luckychann,-,15,2,2738005
Zokrem,AFTERMATH,15,2,1862662
KittyMow,-,15,2,2511272
justen,Solo-King,15,2,3607753
zpt33,Never Say Never,15,2,633231
killerfai,The swallow,15,2,481238
7zip,KFC 7,15,2,457032
BambiSaba,Malevolent,45,6,8467476
Sant1dad,HeIIo Kitty,127,17,27502553
GANKING,Dotorii,52,7,3600396
xrbnmsl,slaves leader,52,7,7694306
HandsomeBoy,HuaDaBin,37,5,5558290
Nescu,COALITION,74,10,9948845
xiaojia523,snow forest,44,6,3751933
superdeku,Eazy Company,22,3,3363459
dealr,Summers,44,6,9338354
MadAsPhuc,Conscripted,22,3,3765404
ZiTai007,HappyDay,88,12,9942717
midpush666,Forever Night,22,3,3426063
iceIy,Sunset,44,6,3078009
groggydogs,Noctis,22,3,1592206
D1monhunter,Summers,51,7,16129221
EZcomeEZgo,HeIlo Kitty,160,22,20571014
kezess,Future Party,29,4,1251515
RECTO,Horn,29,4,10841554
Sh4d05,SCAVENGERZ,29,4,3659216
danceinhell,Dragon Blade,58,8,5315355
KhaosZ,NULL,36,5,7813471
Coffee,Meerkat Assemble,72,10,6672971
UchihaHiroshi,Summers,36,5,23166142
BongKn,PLAC,36,5,6878203
HelenaMondragon,BeasTDaK,50,7,10284757
BeyondDream,PLAC,220,31,23177808
ThitBo,Chien Than,7,1,2566045
COLDTRUE,Dropsite Massacre,182,26,8316883
RevlonJames,Reich,7,1,373246
DragonLu,Frostborn Exiles,7,1,789555
KingArthas,FAKE INFO,7,1,571992
ManzZezy,Valmera,7,1,80825
FaFey,AFTERMATH,7,1,1324287
jHaPs,BeasTDaK,14,2,2358022
xiaohaoxq,Crusader Kings,7,1,267884
nogil,DOJO,7,1,985231
DeathLords,Laughing Boulevard,14,2,1337927
xXLonelyStarXx,ROYAL,42,6,2535984
YedToodMun,Whyme 2,7,1,431012
