Player,Guild,Kills,Deaths,Fame
Africanblackstic,9INE,71,113,42668123
dewwga,Ayutthaya Warhost,105,99,74172640
Wakahirume,CVLT,114,51,11694876
xRagnarLothbrokx,MAX VERSTAPPEN,187,41,15019557
CrispyHotdog,MAX VERSTAPPEN,155,32,13881792
NCOUNT,9INE,168,52,30527664
DavidLaidJr,MAX VERSTAPPEN,168,53,11911280
Scrizz,I The Flying Dutchman I,20,30,23924858
Tsukuhara,Taylor Swift,222,34,13280774
JunShiZhang,9INE,62,75,28472461
2018344137,9INE,86,76,30062745
Bamboohorse,9INE,147,72,28801152
StiffBeard,Wild Ape,238,64,92254090
Vl4dd,CapybarAAAA,216,36,9040084
Natee,KNIGHT_OF_BLOOD,121,20,13101393
MikoMizuki,MAX VERSTAPPEN,40,34,8499268
Zhecall,MO GU,17,47,26650019
Allicrum,HYBRIDS,102,29,9457852
kirihaki,THE RELATION,129,25,9018756
heybaragi,Meerkat Assemble,20,40,41846027
pillowcake,Rescue Station,70,37,37868222
Gafx,MAX VERSTAPPEN,40,25,9380959
Binladen,Solo-King,50,46,26586312
Jimmyso,All Rise,352,63,70210760
YNshijian,9INE,170,71,36074910
titiy,Emergency,2,23,9077141
tonghuaxiang,Solo-King,66,64,23190675
6oo,HeIIo Kitty,49,47,67105566
BLackBird71,Solo-King,137,58,26884084
Yishajie,9INE,76,60,20710535
CHALHATT,CapybarAAAA,23,28,8459347
DuyEnd,Rescue Station,50,56,29188049
QUYDA369,666GG,73,23,57064468
idumhumgai,IndianGanG,170,40,83522225
Fat2Cat,Meerkat Assemble,56,79,29818968
B1BOO,Western Paradise,4,83,17519127
utkarsh22,not cute anymore,41,35,15055602
Momoring,Speed Check,240,33,9160863
OjSimpson,9INE,17,44,18544024
Angeliiia,9INE,54,50,25010660
ScarlettNat,HeIIo Kitty,7,49,59115877
Alibaba1688,9INE,218,55,22116666
CaiTols,Dark Looters,82,39,6551140
RayPhan,Laughing Boulevard,93,68,34312973
typomai,Rescue Station,160,67,39269723
Waveeee,CapybarAAAA,108,40,7590011
YY9527,Solo-King,50,68,20372541
MEUUUUUUUUUUUUUU,V A G A B O N D,134,25,26959261
yuki7777,HeIIo Kitty,49,23,47860877
QiJiangYa,Mammoth King,56,39,28756464
beiyang,Pink Memory,139,41,37207196
Wackyyy,HeIIo Kitty,36,18,56224566
XIXj,-,93,19,7256704
jannn26,Rescue Station,78,40,27996832
BeyondDream,PLAC,148,26,22475070
LaNagumo,Rescue Station,54,45,29310904
M1L5,Solo-King,99,39,22997853
Kabyutee,Battleborn,105,23,6706467
Yandare,snow forest,36,51,22540010
KittyMow,I The Flying Dutchman I,78,39,16464257
oioar2,I can be ur Superman,36,24,50523313
Edwed,Laughing Boulevard,128,51,35087725
Heisenbergg,V A G A B O N D,33,34,25081756
Niebo510,Lunagon Island,4,31,5187195
Sant1dad,HeIIo Kitty,285,37,55885761
BerbD,PAPAYA POKPOK,73,27,17208930
RoMaViN,MO GU,29,76,18196547
roger8877,Western Paradise,80,76,24781847
gradgea,8Sp1Ders,92,62,55016624
doveegg,snow forest,41,44,24624483
yidefurenLLH,Solo-King,8,37,20496793
PiPibeng,Western Paradise,5,38,21535944
goOdzChezZ,Horcrux,51,26,5187578
9527Ikun,9INE,97,49,20233970
dilapidated,MO GU,56,56,17075249
Uneyy,Summers,24,46,44585424
chaofan,HeIIo Kitty,213,48,47727336
xXBaGeXx,MO GU,22,36,21343856
MuShu,Mammoth King,91,52,20953603
Morbide,AFTERMATH,36,41,15210036
LordCola,South PH,92,56,10541110
Aronsy,9INE,41,60,12337101
victorwinner,HeIIo Kitty,208,41,55232329
laxibaidai,9INE,102,34,21000815
WeiMei1,MO GU,39,35,19227027
