Player,Guild,Kills,Deaths,Fame
zzzzzzzzzzzzzzzx,-,0,1,81603
zzzzzs,Mika,112,47,34894271
zzzzhai,-,0,0,17499
zzzzhai,Lucis Trust,0,1,0
zzzzBABYzzzz,Snowflakes,0,1,0
zzzkreP,CATHEDRAL OF RAT,1,1,4080
zzzffm,Pink 7,3,12,2516018
zzxxzzxx,-,0,2,47422
zzqsjdbis,WhiteSuits,0,2,33659
zzqsjdbis,Peaceful Heaven,0,2,1683
zzqsjdbis,-,0,0,9699
zzqsjdbis,SpartanS 300,0,0,7900
zzmilk,Jagdgeschwader 52,0,1,0
zzjq147,red king,1,28,3173837
zzjq147,-,0,6,775730
zzhxAJ,conquer,4,2,504469
zzhouk,Nellie,0,1,0
zzhh,Mika,17,1,3644666
zzhbbbb,PalaceGUARD,7,4,77697
zzeta,Rescue Station,0,0,11697
zzenkiii,fortuita viri,0,1,0
zzeko,ACM,5,11,4425116
zzdman,Shu Shan,5,19,2313154
zzapzzap,Nemo Nemo,0,4,1045424
zzang99,Finish,29,25,6215183
zzThienzz,good bomb,48,31,6733558
zzThienzz,-,0,0,88742
zzThienzz,Real ONE,16,4,1058731
zzKarasu,-,0,0,12697
zzKarasu,The Scarlet Dawn,4,3,223763
zzKajin,HunterFrontier,0,1,5567
zzBussuzz,2026-07-06,2,2,1577675
zzBussuzz,Real ONE,0,3,112303
zzBussuzz,Summers,6,5,2279205
zz29581741,Reworld,0,1,571043
zys0602Egg,Anar chy,2,3,269579
zylfo,Chicken Nuggets,0,1,422756
zylfo,-,0,1,0
zylfo,Singosari,7,17,525367
zyksb,Mika,15,42,24559328
zyke1393,-,0,3,0
zycznsw,Farm Or Die,31,5,5265055
zxtx,The Wardens,2,3,134040
zxp1ng,PSC,1,1,325372
zxenn,-,2,12,454111
zxcbig9,Real Man,29,9,8171576
zx060,A Brave Man,0,4,354125
zx060,Peng Lai Xian Jing,0,1,154833
zx060,Jia Nan,0,1,53031
zwwwwww,-,0,0,66466
zwqjustin,SO EZ,0,0,286769
zweuiss,R O O K I E S,0,1,79702
zvsz,Meerkat Assemble,31,13,6091347
zuuy113,AFTERMATH,4,2,134434
zuoyouyualiang,F R O Z E N,3,6,1074210
zuoyeewe,Bretonnia,3,5,1858967
zuoyang,Earn money,1,7,2702003
zuoyang,SO EZ,4,10,1944449
zuoxiaozuo,Boar Army,0,5,1022068
zuoxiaozuo,Gold Pigs,0,3,743442
zunko23,sasuke lovers,1,1,147777
zun,Tohou Project,0,0,116664
zumzumboy,REGU MAWAR,3,17,353949
zumvi,MALIGNANT,7,11,1671868
zulbotakhitam,-,0,1,0
zukmyas,GOD EATER,4,8,1314946
zuixiaotian,Garden babys,0,1,4996
zuixiaotian,Earn money,0,3,142386
zueuz,LEGION SOUL,0,1,31460
zubZer0,V1OLET,0,7,409647
ztwMMM,Stellar Alliance,0,17,3022916
zskilmez,-,18,12,5703417
zraxKing,S K Y,0,0,51920
zql777,-,20,6,2624839
zql777,Boar Army,1,10,1736042
zq66,Suger Babies,0,3,3278
zpt33,The swallow,22,26,6316506
zpoH,snow forest,29,46,23053136
zoxerin,One Braincell Army,0,3,0
zote3,New_World_Order,1,6,49811
zota,Meerkat Assemble,0,3,1225637
zosel,-,0,1,0
zosel,Fake engage,0,3,11656
zos1,Meerkat Assemble,6,33,9116922
zoroza,Scythes Area,0,0,16338
zorokatar,Knights of Sterling,0,2,0
