Player,Guild,Kills,Deaths,Fame
zzzzboy,Lootiiiing,0,1,0
zzzKrampuzzz,-,0,2,0
zzzDumontzzz,DraGonGods,0,0,20755
zztexand,cocorrico,2,1,109932
zzqq,Remember Me,1,6,42663
zzonaVASA,VASILISKI,2,2,7368
zzjchen,Top Squad,0,3,170592
zzhh,Vongola-Family,38,28,7618785
zzZHOMmrI1n,giant panda,1,0,59586
zzBABAXzz,-,0,2,0
zyyyz,IKUN,0,10,1043066
zyroko,Revenant Requiem,1,8,1288109
zymdin,Fluffy Panda,0,0,20978
zxyhf,Zero Dam,0,1,0
zxx69,Arab Lions,0,0,9889
zxcvzxcv,-,0,1,0
zxcvbn05,Burzyny,2,1,48132
zxcvbn05,-,3,2,93713
zxcvbn05,Prosektorium,4,2,214991
zxcursedd,THE BEARS TAVERN,1,1,12315
zxcuki,Bloodthorn Blades,1,2,67181
zxcshanghai,Marauder s,0,0,408347
zxcshanghai,XXX,64,21,12948196
zxcsgr,Press The Buttons,11,5,1461886
zxcsgr,-,0,1,29553
zxcrtp0107,1-st,0,0,33061
zxcmonster2006,Cult of Hydra,0,1,75072
zxclexa,Sangreal,0,0,3141
zxcledol,ForceUp,0,0,98296
zxcksyusha228,Heralds of Valhalla,6,14,9045443
zxcksyusha228,Heralds of Kebab,4,10,5865542
zxckakunya,Mists of Midgard,4,1,69790
zxckakunya,Papaoutai,40,31,9250545
zxciblan,Elevat1on,3,5,705260
zxcenohao,WAR BOX,1,1,39503
zxcdemonswat,Superabo ex invictus,2,0,26761
zxcdemonswat,Shadow Fiend,1,2,64941
zxcd3,Press The Buttons,56,17,3515258
zxcbotiskaf,-,1,2,164418
zxcbotiskaf,W - I - N - X,3,3,183626
zxcbabushka,GRUZ 200,92,9,3422015
zxcRak,The Immortal Angel,1,2,660
zxcOkyrok,Eshfold,1,1,17378
zxcOkyrok,Mure,0,1,150431
zxcOkyrok,The Hypersonic,0,11,4202276
zxcOkyrok,ForceUp,3,1,45225
zxcKAPRAL4,SPERMA_228_1488,1,4,89674
zwwl,Fakers,0,0,281736
zwud1,FAMILY OF HEFAJSTOS,0,3,0
zvzrat1,-,0,4,10434
zvzgod,-,1,5,173735
zvzbz,-,0,1,0
zuzlik2,Graveyard Shift,0,3,2280
zuziaaa,Win Order,6,10,2924527
zuxcis,Thetford Social Club,11,4,307530
zurrnaa,-,0,2,0
zureth,Los Pepo Clown,0,1,0
zuoz,Z For Zodiac,0,3,56510
zuoyou,Top Squad,14,14,2534179
zuoanshiguang,-,0,1,0
zuik,Vikingr,4,4,48250
zuijiuge567,-,3,0,180341
zudebo,Solea,0,2,901402
zu0ne,XXX,0,1,562496
zu0ne,E H O T,0,15,1762146
zu0ne,Savants,1,1,62809
ztdthgm,I D I L L I Y A,0,0,24515
zsolter,-,0,1,0
zsolter,Zero Logic,3,8,554583
zsndxia,ACOLASIA,0,5,648
zsndxia,Purity,6,6,1029850
zsndxia,Verity,2,0,302731
zryati,Entity,0,1,20270
zrxg1334,SPREAD AND BRAWL,1,1,234487
zrwali,dragons guild,0,1,0
zqty,Dokodo,0,0,28070
zqtec,Full Push,14,14,6689682
zoza666,AzGuards,0,0,506
zoza666,Z For Zodiac,0,0,11241
zoza666,-,0,1,13930
zoyhi,bohong,0,1,21255
zouzoubri,Solary,0,1,19893
zots666,Verity,0,0,87269
zortion,Heralds of Valhalla,0,4,2046448
zorofoze,Bloody Gold Hunter,0,0,9515
zorbegi,Qedmaglebi,1,1,18449
zopre,Squirtle Squad,0,1,15892
zopali,-,0,1,0
zopali,PORTAELVCIS,11,0,69911
zopali,WarLogs,0,1,0
zoot13,B888OP 777,0,1,0
