Player,Guild,Kills,Deaths,Fame
PabloTEscobar,Skoggangr,168,70,38978779
LadyChucky,EQMS,5,18,24242150
Invader,-,195,27,13843287
Althalya,S W A M P,50,30,12903790
Cerowsky,-,265,36,15440161
S1lvaa,The Highlanders Tavern,177,34,14922848
Bettroot,ANY FIGHT,461,52,30650644
ELCHY,A SKILL ISSUE,254,48,35445715
Yix,Skoggangr,129,87,32898448
Zufi,EQMS,7,63,26695274
Insuron,Squirtle Squad,68,79,62463171
EntityFramework,No Sex With Ex,122,48,12100258
xTime4Revenge,V I P,74,34,12821905
ImTobby,Squirtle Squad,114,67,44425346
snckz,BRRRRRRR,61,23,7463027
frag,Evil All on Black,725,61,40043252
Wiszi8,Contingent,287,40,29585278
OstadPapa,Squirtle Squad,30,79,45770591
Hinerman,Skoggangr,108,66,49321290
kasreng,TONGKRONGAN,64,29,7268119
antiVac,Clean Kill,219,53,20982739
DeepLyric,Wet Beavers,90,24,7410933
Ai0ns,Darktechnoclub,144,31,8554749
Palbo22,S3XT1NG,116,43,19946340
Aeliin,Squirtle Squad,203,89,38048216
BRUTTACOMELAFAME,Skoggangr,9,54,40265310
Carde123,Skoggangr,482,44,112673308
PeakVoid,Purified,158,52,10533781
miniyoye,Squirtle Squad,301,75,48043281
FrasanaEU,EQMS,4,27,17842374
NICKPAN,Clean Kill,49,54,32953846
Favn1r,G2U,117,63,24149516
DoubleVB,Squirtle Squad,186,66,42882690
Gooobka,Squirtle Squad,201,41,42114808
HayriX,Skoggangr,175,73,35044681
DairyMilk,Squirtle Squad,209,67,37394685
Fanifox,Squirtle Squad,31,62,46126347
Nubifo,EQMS,119,46,12139514
luke,EightFours,52,44,46318492
Narc6,Unbound,199,25,13054858
F4rkin,A SKILL ISSUE,359,29,26370375
Lunariii,V I P,137,21,10024956
Sladest,Squirtle Squad,199,85,30672680
TheF8,Stoic,233,34,9992036
Support,Squirtle Squad,13,66,27986811
Zpenk,proud ducks,296,52,8212918
Lenuma,Squirtle Squad,91,62,37140125
Daydraco,Clean Kill,109,68,26519748
Vandam,kfir,44,49,18998665
Markrade,Panico,101,25,32380606
Eve,FIGHT KLUB,230,20,9638677
Niviah,-,33,20,10535959
SORA150,No Sex With Ex,68,49,8376278
Drazz,WarLogs,145,38,9773434
Stewar,Judge,66,40,20753098
xTheRealOwlx,Clean Kill,85,73,25071323
Silvestru,Skaggongr,81,28,11609496
Shaclista,Panico,103,32,30117332
Samir18eme,EightFours,83,40,38644699
OnePunchMan,Papaoutai,228,48,21793716
SonnyBee,Contingent,23,71,40090676
Sziahogyvagy,Skoggangr,63,36,48755110
KingTrixel,Woof Woof,46,94,26154931
EthiopianRuler,EightFours,34,48,31846891
Radahnn,Clean Kill,41,50,27707542
PopoScannapanze,NO META,27,25,7124708
Opti,Skoggangr,219,49,33993708
Zoldrux,Skoggangr,68,48,22749506
BubbaG,Squirtle Squad,7,74,22740707
suzuya,Papaoutai,214,38,27112964
Marikuss,Ridniy Kray,901,118,43589161
Fraby,Squirtle Squad,235,44,39265422
Danjala,Skoggangr,37,23,15541709
MaeKikas,Skoggangr,152,44,23478549
mizalit,Squirtle Squad,45,57,29284855
Zakiota,Skoggangr,62,54,15369449
5o5al,Woof Woof,80,36,22313556
Versik,Papaoutai,43,33,24378705
Daenara,Woof Woof,50,48,31272243
Tavici,Skoggangr,10,61,21045478
Returnplo,Squirtle Squad,63,48,35622250
AxlBlaze,Contingent,173,58,34331422
XaltoR,Clean Kill,10,43,24020217
Arcadiuus,Skoggangr,24,43,25802602
Ikarus,The-Fallen,35,20,10988179
Kaaya,Squirtle Squad,3,66,30524307
Szombat,Zero Logic,323,74,15687423
VOODPLegenda,G2U,44,42,21961511
rofia,EQMS,28,41,20105997
Evozor,Purified,152,36,8754930
Mleczv,-,41,7,6219288
LordGrimm0,Woof Woof,54,49,32244139
Yunuz,Stoic,294,37,17286338
AinzSama,Contingent,10,52,30602213
Me0,A SKILL ISSUE,55,26,31623159
GLadiusDiaboli,DaraVur,104,12,7473442
Dacius,EQMS,15,40,16955565
