Player,Guild,Kills,Deaths,Fame
AndenP,FIGHT KLUB,45,1,4740166
Xhantan,Pink Monkeys,41,1,4009149
Afazu23,HE DONE,40,1,2686458
BiaMnauwy,Woof Woof,67,2,2774106
Fluffy,R I V A L,32,1,1007617
xXBrimosaurusXx,A SKILL ISSUE,32,1,5563546
Sterbennn,Marauder s,31,1,3250074
Edgaras25,LDK-ORDINAS,30,1,791017
InParadise,DUBAI EXPRESS,29,1,5528181
RyanMefling,1Turn,29,1,4306735
Rufecio,The Theater,29,1,3536079
Fatator,The Ganklist,28,1,7732093
PascalGHG,Fearless,26,1,1078489
Zziplex,Deporte en Porte,51,2,2864550
rsz,ELYSSIUM X,25,1,4510104
Hypex771,EightFours,25,1,2121984
Biffel,K F C,48,2,3356904
slowReflex,GG2EZ,24,1,683710
Krae,S W A M P,48,2,1581631
BiaMnauwy,Bl1tzkrieg,48,2,541847
Benito,GLI STIRATI,24,1,2043310
BiaMnauwy,Marauder s,22,1,3321051
NOLO,Deporte en Porte,21,1,1102777
ShaShliking,Execute,42,2,4175178
JustSimon,AllYouCanIT,21,1,2151700
MagicMisseile,Contingent,21,1,8020350
bearfowl,Cow field,41,2,6831087
Swinox1265,H O R I Z O N,20,1,4065645
PlayBoyfarti69,Panico,20,1,3021696
TuQuesito,Deporte en Porte,20,1,558488
Arden4ik,G2U,20,1,4555460
NICKIC2,HOUNDS,19,1,980782
Artalon,M I N D L E S S,19,1,1155267
W3bber,Right Side,38,2,3988206
Devlet,Simia,149,8,16450379
SiQeria,Pink Monkeys,111,6,12625560
FAZYICHUJ,Scourge of GOD,91,5,3679205
Merely,G2U,18,1,5754176
DualDamage,Holy Company,36,2,4473329
Frontside,Never Mind,54,3,2025787
Dblmoval,Dragon Wing,18,1,411093
glock300,GLORY BOYZ,18,1,485457
pvevper,Gen Alpha,18,1,1284117
frag,Hepe gay,179,10,3311906
Kurwadzik,indrix,35,2,3521357
overrotten,R I V A L,35,2,1695524
AdrianaTenorio,Killer Trolls,69,4,2822933
Smail,DUBAI EXPRESS,17,1,1672352
JimmyCoacaza,Papaoutai,17,1,816266
DemonLordChaos,FBI,17,1,927678
Gimligod17,S A N I T Y,50,3,10029957
GeneralVaycanina,Make Turks Great Again,33,2,871801
JeyPex,DNA,33,2,4891467
Arnelas,M I N D L E S S,181,11,6950308
Kozurnuu,C K A M,82,5,8411132
ToshisZ,LDK-ORDINAS,97,6,2281830
illy,Catgdom,32,2,1671711
Yoyo6k,Swords Drawn,48,3,1079447
GeraltTheWarrior,Make Turks Great Again,32,2,537159
okej,Polskie_Gey_Party,64,4,6965763
iFayah,TeuTeu Land,16,1,547726
CatKiller,WIPEEE,16,1,948744
hei333,Invitation,16,1,2685082
Tadomekaari,Last of the Ratts,16,1,752863
KesfeteCikmadim,GOP,79,5,3545512
Uber,Inquisitors,47,3,11856852
OnePunchMan,DUBAI EXPRESS,78,5,13029145
Lydvig,DSQ,31,2,700618
r1wo2k,S3XT1NG,77,5,8181435
Carde123,Skoggangr,497,33,76147549
Andrix,Albions Finest,30,2,1441689
NoireSoeur,DO NUT,15,1,1428198
Cbumsito,JamonLover,15,1,1121769
ANARHIST22,S3XT1NG,60,4,1615466
dispoke,PEPE SHNEINE WOTAFA,15,1,2860415
Gaf,PEPE SHNEINE WOTAFA,30,2,5680546
ilikebeer,-,15,1,438769
Fooked,1Clap 1Dream,15,1,5661855
renechito,DRUG CARTEL,15,1,665313
Marshmall0w21,H O R I Z O N,15,1,1731322
SirLagsALott,Contingent,15,1,11384784
Arnelas,Crumbs,175,12,4761884
ZA05,m e r c a d o n a,29,2,7651332
Cerowsky,Mission,173,12,5777043
Taja,Marauder s,86,6,10941040
Koffu,Shattered Grace,43,3,2442794
TE0,Pink Monkeys,43,3,4945972
frag,Woof Woof,299,21,14851121
MarcoTraffico,AllYouCanIT,14,1,3632402
Swinox1265,Clean Kill,14,1,5078286
Leviooosa,Skorpiony Zniszczenia,14,1,251181
Yuarez,C A R T E L,28,2,454543
Vasenka,WATAFA,28,2,8749486
sangawy,Pink Monkeys,28,2,3671351
KaoXAngel,Die Content Blocker,14,1,108402
Eole22,Satis Faction,14,1,790396
Secowski,Rewind,14,1,572760
Soroz,Shattered Grace,14,1,335036
7ASHEESH,Skoggangr,28,2,8016236
NightRaidSS,NightRaidTR,27,2,489757
yasuz,S W A M P,27,2,994805
cJem,Almas Agrias,27,2,648143
skibidigyyat,EightFours,27,2,5273357
Zenyatto,THE CLOCK,53,4,9324725
newlove,Panico,13,1,4377176
Zunardx,HANGOVER TR,13,1,1027509
Djolle,Skoggangr,13,1,1740453
Graelish,Advance,13,1,6625708
pivozawr,KillJoys,13,1,3582475
Pockpicket,BARBARLAR,13,1,872980
SalDoxx,INDOPRET,13,1,206802
Panduki,Mutiny,39,3,2953653
HenryMagic,EightFours,39,3,5938408
Eve,FIGHT KLUB,78,6,5273122
iGOTHchu,INFERIUM,13,1,540540
VIVI,K F C,13,1,2508455
Mitsuki,Yandex,13,1,2065328
OnsuzUcurum,Dead Men Drop Better Loot,76,6,3281927
Vilsho,Tous Ensemble,76,6,10732807
KaptanOrtaKapi,Mortlak,38,3,540299
0LDEX,G2U,25,2,4119883
Mi3rzO,The Theater,25,2,3500298
Sandboxmmo,Skoggangr,25,2,3309770
Kryzie,Make Turks Great Again,25,2,1706132
MadManiak,EightFours,37,3,5746082
Z0dman,-,37,3,3219445
Shuji,Disconnect,169,14,13867604
Spenkii,proud ducks,12,1,135500
Skandynaw,StarGateX,12,1,1695136
Monerekk,G R O M,12,1,298203
TYRANT,Skoggangr,12,1,2995267
OTBLEX,Gamble,12,1,4548791
frag,-,48,4,2520267
BereliFaruq,Schoulzen,24,2,591902
yBAMBOLA,Legiony Talibanu,24,2,405918
WORLDOFTHEDREAMS,Blood Pact,36,3,3544154
Phadex,-,12,1,545268
CantStopMe,N I G L O O,24,2,1368195
OPENDOWN,Invitation,12,1,2628610
Serendar,Lock Down,12,1,917256
vetega93,FOR SOLO PLAYERS NO TAX,96,8,5021206
benzobag,Sevran,12,1,1349230
To1Tek,StarGateX,12,1,1579662
BOYOmaster007,RASTREATORS,12,1,113930
Snakeylee,Death Watch,12,1,402711
HerrOllie,Swords Drawn,12,1,635759
bobr822,Ready for Action,12,1,126398
Sn0w069,LDK-ORDINAS,12,1,456078
hakanthewhite,K0NSEY,12,1,186428
DonalDuck,Mure,12,1,1910967
Danishov222,Gamble,12,1,1303357
Tchupetta,MAYHEM,12,1,2912686
Skairo,Proebali,12,1,884717
newoctane,Ridniy Kray,12,1,1540187
Mowteng,La Chasse,24,2,1384720
Obsydian,WIPED,83,7,3202861
DiDaskos,Killer Trolls,71,6,6208546
Abed78,S W A M P,35,3,3201066
nutmoller,A SKILL ISSUE,58,5,10235699
baldrug,Khteam,23,2,581861
Marikuss,Last of the Ratts,69,6,4562122
Vajtek,Execute,23,2,3505253
B3DO,La Chasse,23,2,1379810
Paine,Yum Yum,46,4,1855078
effe7,Panico,79,7,14392129
AmenoD,TENSAY,56,5,4086243
KFCEnjoyer,StarGateX,22,2,1695531
fabiokoo,MAYHEM,44,4,6877135
LoloLabricot,Moros,11,1,1567050
S1AYERR,Sangreal,11,1,71819
Skorup,V I P,11,1,339206
CeraQQ,Treasure Hunt,22,2,1215191
Serzok,cocorrico,11,1,850717
Romperro,Legiony Talibanu,11,1,290807
GoPollo,Contingent,33,3,4392810
Comiiizz,BLYAT STORM,11,1,726333
frag,Marauder s,110,10,12917927
Marihuanka,Catgdom,11,1,868411
Tamak1,Heralds of Valhalla,11,1,824753
St4che,Treasury_Caerleon,33,3,2469134
doralarobadora,Billionaires,11,1,1299547
Gangeziara,Humble,11,1,2578681
LMGxSaratis,Les Monts Gaulle,11,1,288973
Kookye,-,11,1,2827328
HolyFckImRetard,EightFours,11,1,7753962
GARNETGRAVES,EQMS,11,1,2395924
MostW4nted,The Surge,11,1,2133596
Zhyar09,Moonlight Maniacs,11,1,388792
Kreskowy,Vikings,11,1,1204233
Gooobka,Take Care,54,5,7833929
JesusOrator,A SKILL ISSUE,54,5,10031545
Limoniak,SwinkiZuzi,43,4,1477545
StichPB,SantaMuerte,43,4,4719801
Caapo,S A N I T Y,43,4,10664824
peke1991,Crumbs,214,20,15912987
Stfudog,Gamble,32,3,4881247
SixSickSix,Darktechnoclub,137,13,5870200
SiscoTL,Ridniy Kray,21,2,1995972
BiaMnauwy,DNA,21,2,515193
GoPollo,1Clap 1Dream,21,2,6741206
Sphynxy,EightFours,21,2,3518439
Void1,Holy Company,21,2,7935074
NyKs54,Schoulzen,21,2,746333
Chispas,El Barril Borracho,21,2,1157686
GeneralTron,Rage ControI,230,22,6769514
MicroPene,Birbs and Kittens,52,5,1640490
SprozY,No Sex With Ex,52,5,1290019
Golle,Woof Woof,31,3,6628107
Zhmihnulo,The Pines,31,3,3379024
WARMIAK,Tous Ensemble,31,3,2586875
Makonagets,IM O R D O RI,31,3,4023653
LJXXXV,M I C R O B E,62,6,1246703
GOONYAHTA,Right Side,41,4,5721866
Methxican,Treasure Hunt,174,17,16876835
Less,SEND IT,61,6,1060807
Marikuss,Full Chill,361,36,15029072
Shadowfax61,S3XT1NG,10,1,1212344
Liryla,PEPA VATAFA ZZZ,10,1,306523
CzarnyAdam,FAMILY OF HEFAJSTOS,10,1,1894553
Tsst,ERASED,10,1,412860
BeqXiga,Contingent,10,1,1506020
Vodka42,CRASHBOYS,10,1,177879
G00R,Judge,10,1,1258159
dispoke,Sevran,10,1,1190094
xJANNAx,Moros,10,1,692626
zxcbabushka,GRUZ 200,40,4,1408748
ORDENN,PEPE SHNEINE WOTAFA,10,1,2968443
Ovichen,BLYAT STORM,10,1,777170
HushMash,Schoulzen,10,1,185573
suzuya,Sevran,30,3,4903149
SarveBhavantu,Lootiiiing,10,1,159379
YariBzH,-,20,2,1611902
Silvelius,D-I-S-B-A-N-D,10,1,205537
pvevper,-,10,1,2329372
Sonxx,Disconnect,20,2,1326670
kenka09,G2U,30,3,6145080
TeddyBlue,Deporte en Porte,10,1,840221
Delicious,Dark wolves,10,1,280272
JustSimon,NoRules,10,1,986000
Reon,Twitch Prime,10,1,122792
Oliwier,Dynastia Egiptu,10,1,167052
Grozdovaa,Holy Company,20,2,4494378
aublat,Black Heather,10,1,175548
Yex216,Deporte en Porte,10,1,237282
Havocato,La Chinoiserie,20,2,668043
ShkembeChurba,Dungeon Delvers Inc,10,1,342696
TripEnding,Njordheim,10,1,613968
DanDany00,GLI STIRATI,10,1,882747
Freggel05,ROH,50,5,4106462
nouggs,ANY FIGHT,10,1,1000155
Shararamosh,Insane,10,1,1013508
Wardden,Gallia Rebellis,10,1,378924
Kiyoo,Pink Monkeys,119,12,13200754
Xenou,Clean Kill,216,22,17073801
