Player,Guild,Kills,Deaths,Fame
PabloTEscobar,Skoggangr,170,52,29544568
LadyChucky,EQMS,3,17,25077562
Yix,Skoggangr,124,47,28745977
MOooOG,Ascension,110,41,11586845
Hepe,G2U,156,39,22561875
FERTEN,Mroczna Armia,131,43,8077047
Bettroot,ANY FIGHT,235,53,22732890
Noziro,-,30,9,8295891
xTime4Revenge,G2U,67,45,13175554
Create,Alpagut TR,78,18,8627409
Cerowsky,-,140,26,9188291
AFIFONBLIHUT,Panico,145,58,53028993
BrainLagg,G2U,114,19,12899659
Zvzratv2,Night-Reapers,57,54,19621637
S1lvaa,-,35,12,8318753
Zzombie,LDK-ORDINAS,246,58,9114619
suzuya,Papaoutai,215,40,37323572
Sladest,Squirtle Squad,416,71,35325705
1OIITiMicT1,Pleasure lair,157,36,18637714
S0ra,Papaoutai,442,46,22450321
KreskoGOD,Heralds of Valhalla,221,75,29286770
elChacha,S I X,131,55,17366107
JP2137,Contingent,231,6,19063428
Hinerman,Skoggangr,97,51,45791895
SarcaztikCow,E U P H O R I A,81,23,7155910
Superman,EightFours,82,24,12210117
Spheracul,DELETED,1496,158,81873251
BD4V1D,Zero Logic,48,18,6288338
Zoldrux,Skoggangr,139,37,22806564
kirtez,-,84,18,8650633
Kemelee,Genesis Kompany,11,10,6433121
Redwill,-,6,28,4201191
inferge,Y O I N K,55,46,38189401
NICKPAN,Clean Kill,33,65,32397594
I0WA,Y O I N K,13,20,27279163
luke,EightFours,46,18,30225696
Lunariii,V I P,71,11,8191137
cUga,Papaoutai,767,38,18296272
mekdi,TONGKRONGAN,47,23,5646329
WeedUA,Ridniy Kray,54,25,21449710
Matthias,Fuego,63,33,27458386
Ganker1786,SHIV,136,51,14159954
GeniusX8,Clean Kill,9,49,15668965
KingOkar,Papaoutai,140,42,31278878
Harv,Crescendo,183,32,19908748
Higone,T O Y,79,53,10195752
P1x,Papaoutai,151,43,33937596
LockYou,-,34,12,8562059
Trolloid,Panico,133,62,36958750
Drags,Utopia,114,53,11649413
Bepsi,Blood And Tears,147,40,18523661
pepega3,Contingent,185,96,46862213
Dqas,EQMS,106,37,16920879
antiVac,Clean Kill,78,62,22925010
hatepainsad,Polska Gildia,150,40,11792274
canapka,Papaoutai,430,83,64308281
f404,Clean Kill,160,50,44348927
Vasys,-,56,31,6503046
YourBuddy,Skoggangr,62,49,18399101
Hammercreator,JOURNEY TOGETHER,153,33,26596801
frag,Lemon Girls,300,31,21542492
Mailex,Zero Resistance,100,57,6400781
Wiszi8,Contingent,215,36,46277420
Opti,Skoggangr,270,48,40181416
IZafraI,Inquisitors,131,37,17520621
Zufi,EQMS,1,38,15734071
Markrade,Panico,73,33,30145488
EpicSK,B A N G,86,9,34133787
FUCKBIDEN,Right Side,81,62,21429705
Anky,Marauder s,18,49,20980160
Riotot,Critical,72,21,29024809
Mambavole,Moravian Eagles,114,96,7721124
LuisVifon,Polska Gildia,85,59,16730540
CSFOX,Contingent,121,60,43505279
EpicgamerLOL,E U P H O R I A,29,39,5274690
FrioPico,Contingent,192,65,47312200
AhmedGad,Skoggangr,82,72,23844064
Hammilton,Ridniy Kray,212,26,20805893
Marjas,Contingent,274,29,50875666
Versik,Papaoutai,37,34,31050746
MajinEu,ANY FIGHT,75,30,13699621
NoseCandy,Cow field,159,30,20349250
Niviah,-,17,20,13622900
LadyWaffIe,Squirtle Squad,5,39,26737986
Athena99,Woof Woof,49,50,19574963
Radahnn,Clean Kill,26,47,25818622
Herm1one,Y O I N K,140,25,35127343
Ecchi,JOURNEY TOGETHER,172,17,25566555
DragonHoarder,V I P,55,6,5119050
YaVanNyam,The Unexpected,455,31,15619021
Daydraco,Clean Kill,36,66,20493029
DIMIDAS,ANKLAW,55,27,13387590
Insuron,Squirtle Squad,40,48,42793315
AxlBlaze,Contingent,190,63,40176192
TrashTalk22,Squirtle Squad,36,66,32454775
yerbateist,Polska Gildia,156,42,16349867
BATU,BOMBERMAN,41,41,18450242
Piotrul0,Fuego,161,27,22612165
Silvestru,Skoggangr,118,35,10314630
Shirocco,-,27,16,4626486
HAHALOLXD,Moros,174,33,28463066
TereSeOisLeevi,Ascension,100,58,16304025
Moto0,Papaoutai,38,41,26729189
Nordico,Squirtle Squad,58,35,15916218
MajsterK,Fuego,8,35,20147617
Vornih,Gayzer Pool,9,62,1684567
Kratodot,Ridniy Kray,97,34,14859302
EticaDDvol2,I-DEJAVU-I,38,33,5300262
ImTobby,Squirtle Squad,29,61,33157389
PastelDream,EightFours,7,36,16310609
ShunsuiKyraku,Ascension,4,16,5346715
Attooo,Scourge of GOD,137,35,13947992
ZyebsQ,Contingent,47,37,51291900
shinigami696,Critical,26,33,20741674
AinzSama,Contingent,12,48,36841308
Favn1r,G2U,84,42,19337167
BrokenWorker,Papaoutai,182,45,18072915
Gorco,Y O I N K,28,24,26973482
Bukreake,-,33,7,5457225
GAAAAAAAAAAAA,Marauder s,67,87,16136022
Levv,Ascension,99,62,16875279
Methxican,Cow field,203,16,16945449
MadMandar1n,Ridniy Kray,7,21,14111837
di9yy,Right Side,90,42,16621533
benzobag,Papaoutai,62,35,27161008
milfhunter026,Skoggangr,20,20,22774483
Kolanii,Ridniy Kray,26,13,17092876
makazex,-,2,17,4088031
Jorik79,G2U,66,48,15401403
Hardy2k,EightFours,108,26,16939458
Claritia,Clean Kill,0,65,20221291
Tavici,Skoggangr,7,42,21579079
BRUTTACOMELAFAME,Skoggangr,32,35,35321391
1AliceQueen,Fuego,68,31,20163091
Oskar,Moros,198,33,24030863
Ikarus,Crescendo,23,19,12052781
Boyaswe,Woof Woof,103,15,33723229
Darkisitor,Contingent,9,65,32707273
TommyDrillfinger,Polska Gildia,33,44,16489284
IFIM,B A N G,200,34,23235943
GRYFF1N,-,11,28,3409267
MIZZZUKIII,Marauder s,2,77,14694291
Bajonix,EightFours,13,25,19370626
vecchia22cm,Panico,162,47,36298270
BUNAKMAN,Stoic,93,35,14293935
Lovesomemama,Papaoutai,66,40,26087992
Kutay,Bohem,45,22,17142525
Tetraim,Skoggangr,3,50,20199411
Shawadaa,Full Push,48,12,7687106
TettoTet,Stoic,2,40,16829389
Yule,JOURNEY TOGETHER,115,40,19436147
gutson997,Fuego,69,32,21947347
Yatiru,Utopia,291,44,8327940
KingTrixel,Woof Woof,16,64,20915974
Maekau,Critical,84,48,19791788
Aeliin,Squirtle Squad,141,68,31478523
Stewar,Judge,77,31,29617553
Harald1901,Ridniy Kray,15,32,14835241
SonnyBee,Contingent,9,51,39635760
Maff4444,Woof Woof,29,61,16420946
Suifeng,La Horde Sylvestre,58,66,4293663
Turbo1,Panico,50,72,16177036
JituhaPezdos,The Jackals,17,39,10297367
Duy,Contingent,109,33,51116678
bobel,Polska Gildia,46,26,15036685
LEYKAAA,-,27,14,5032205
Isselele,Y O I N K,37,13,34068329
Mamaliga,SHIV,19,37,12955806
Hiriato,Ascension,57,66,10854242
HugoSztos,Polska Gildia,138,47,14147557
FeroxTR,Y O I N K,61,27,28645665
Zapdos,Vendetta,48,29,6017470
ZHROLYK,G2U,4,47,13370486
Yuuuki,Skoggangr,141,26,28840588
LordGrimm0,Woof Woof,34,44,30553964
Witold22,Polska Gildia,13,40,10633288
GeraltVonKaese,Legion der Verdammten,18,29,4507043
Tohmeo,ANY FIGHT,40,48,15099024
SinkShifter,Right Side,63,59,16206611
Mart,Y O I N K,158,36,31418438
SweepX,Lusos,153,20,4923578
SnileMB,Y O I N K,75,44,29453066
EatMe1,Marauder s,31,75,12748667
Armageddon1245,KillJoys,54,27,15570761
MangoLer,Azured,6,36,13027330
Jest,B A N G,32,21,25699153
XapKiB,Ridniy Kray,72,32,12708626
S11T,LDK-ORDINAS,99,51,6381314
nDHeliium,ANY FIGHT,82,41,9983190
ConradTheGreat,V I P,63,19,5387594
TonyeSousou,Panico,143,51,29205502
NOVA3456,EQMS,188,35,8523604
SultanZahel,Vendetta,24,31,6100533
Batazgul,Y O I N K,19,20,23697019
GnudaBolotna,Ridniy Kray,112,30,14095955
ZBUK73,ANNEXIA,53,22,6165321
FrasanaEU,EQMS,0,20,8306220
PositiveMindset,Papaoutai,167,30,21971639
Ocash,S I X,11,34,16737844
Kaparo4,Panico,11,35,17452133
DerApfel,Treasure Hunt,14,19,4141177
DeepLyric,Wet Beavers,102,9,8034958
leav,Heralds of Valhalla,287,38,33394204
OnePunchMan,Papaoutai,108,23,20894701
Zouzetta,EightFours,21,21,18375878
TenLis3Q,Fuego,16,43,14524940
Veldra,Critical,69,45,16918519
ELCHY,A SKILL ISSUE,51,25,13397130
xTheRealOwlx,Clean Kill,24,61,15491947
Limorrrrre,Panico,101,40,24721153
4in4,Ebanfall,175,60,46040894
MissWoodie,Noobs With Attitude,2,15,4656236
Yunuz,Stoic,106,35,20061618
Shaclista,Panico,66,46,20964216
Gotitka,Fuego,52,25,20167481
Caalax,Panico,45,33,26399405
Abed78,S W A M P,80,15,7696771
Akbertobanana,Inquisitors,94,34,36995816
cire,Skoggangr,20,41,17643720
Capybara23,E H O T,38,26,2703605
ChiaraOW,Panico,4,23,18905241
DBreadman,Clean Kill,21,43,10042757
muzyn,Polska Gildia,72,43,17724615
Nargilematik,Anatolian Rebels,50,14,4369337
bonrudis,Contingent,37,46,36708272
EthiopianRuler,EightFours,11,21,16742970
5o5al,Woof Woof,43,45,20233060
L1syonok,Utopia,11,44,7491798
Sunofureku,JOURNEY TOGETHER,14,28,16424338
Pandemia02082024,Ridniy Kray,1,12,13457084
Drochila777,Papaoutai,122,36,21984646
RazerCx,Ascension,103,33,7017457
Radiiance,B A N G,30,15,22271622
Groot,Contingent,27,26,34080302
HURTLOKER,Skoggangr,3,33,17006189
NestorPL,Polska Gildia,36,41,13101822
Schnico,JOURNEY TOGETHER,21,34,17376712
LetoaGOD,E L I T E,80,41,7428617
LuckyPanda,JOURNEY TOGETHER,8,31,20184468
Fenixx,Papaoutai,178,32,26194343
Yazdaa,WhySpierdalasz,51,34,15670077
DairyMilk,Squirtle Squad,60,42,30555896
lality,Ascension,115,57,6520075
NoOVy,Fuego,160,33,18762417
Equilibrium,Skoggangr,13,61,12478089
Sarias324,Inglorious Bastrds,38,25,6909699
InTheShadows,EightFours,75,19,18469356
Pyrotess,DO NUT,101,45,6251918
Gigastre,Mighty Goat,33,20,8483058
JadeOrLeSmegma,Y O I N K,126,43,23733216
Sinaayy,Critical,53,25,26935513
NoireSoeur,ANY FIGHT,47,42,16104467
youngstr,WarTag UA,90,39,15396702
BasedFren,R I V A L,99,24,5263063
Lonetherion,Rhaegal,3,12,3777115
metemoti,Skoggangr,113,56,34264972
SHOWMEURMONEY,BOMBERMAN,54,43,13161818
MaeKikas,Skoggangr,142,42,18812307
Maleficentx3,JOURNEY TOGETHER,7,25,20787677
Clix,Clean Kill,99,59,19330909
Xascyyy,ELYSSIUM X,80,20,8259916
PorgeGrofonde,Critical,76,37,16659807
ChestersFool,WarTag UA,28,34,10363335
