Player,Guild,Kills,Deaths,Fame
zzzmango,-,0,2,0
zzz222,iMoYu,0,4,0
zztexand,cocorrico,3,1,152408
zzqq,Remember Me,0,4,0
zzqq,-,2,2,79807
zzjchen,Top Squad,0,3,189889
zzhh,Vongola-Family,28,12,5557563
zzeldi,-,0,1,0
zzaaii,FBl,0,1,1315
zzHiriazz,Rappelz,0,1,0
zyyyz,IKUN,1,2,617148
zyroko,Revenant Requiem,0,6,376439
zymdin,Fluffy Panda,1,2,202060
zxxCeRBeRzzx,-,0,1,0
zxxCeRBeRzzx,Enjoy every moment,0,2,15703
zxshadowfiend666,Newbee,1,2,181912
zxshadowfiend666,Lunar Wolf,0,2,0
zxcvbn05,Burzyny,0,1,0
zxcvbn05,Gatherers Tears,1,0,76965
zxcswagboy,-,0,0,3111
zxcshanghai,XXX,14,9,15353662
zxcsgr,Press The Buttons,35,12,5689086
zxcmuted,GANG RODRIGUEZA,0,2,0
zxcmuted,-,0,2,77593
zxcmonster2006,Cult of Hydra,0,1,26144
zxcksyusha228,Heralds of Kebab,2,2,2259831
zxcksyusha228,Heralds of Valhalla,16,23,13294754
zxckakunya,Papaoutai,36,15,7888150
zxciblan,Elevat1on,3,5,1760918
zxcex,-,0,1,0
zxcdemonswat,Superabo ex invictus,2,4,298561
zxcdbzxc,BDU,2,4,1329159
zxcd3,Press The Buttons,97,36,14288834
zxcbotiskaf,-,6,7,801490
zxcbabushka,GRUZ 200,13,1,5036678
zxcYarik2009,ThePhantomTroupe,2,1,757427
zxcYarik2009,S I X,30,14,5445817
zxcRak,The Immortal Angel,0,3,661
zxcKAPRAL4,SPERMA_228_1488,0,1,0
zxcFikus287,-,0,1,17891
zxcFikus287,S I X,2,0,335791
zxcAra,URPAQ,0,1,0
zxCuriamaa,-,1,2,13288
zuziaaa,Win Order,5,15,5980796
zuxcis,Thetford Social Club,1,2,197255
zuubee,Get Free,0,0,820910
zuubee,Skellige,0,2,0
zuoyou,Vongola-Family,3,29,7698859
zuoyou,Top Squad,9,1,811112
zuoanshiguang,Gaiety,0,2,0
zuishenwuq,Vongola-Family,3,14,1474137
zubuf,Zobar,0,0,30915
zu0ne,E H O T,0,33,6270081
zsop,Critical,0,1,122634
zsndxia,Purity,2,2,70947
zscas,ACOLASIA,0,0,18000
zsbo,DeliTurk,0,3,9431
zryati,Entity,6,3,410827
zrxg1334,SHIV,9,26,6169053
zrsni,Comedy,0,0,2697
zqtec,Full Push,7,3,1913548
zqqhs,The Jackals,2,7,1227796
zozikk,You Succ,0,1,0
zoza666,AzGuards,0,10,25807
zovMAKSzov,Z VAGNER Z,0,0,7430
zots666,The FreeAlbion,0,2,0
zots666,-,0,1,0
zorig777,DARKSlDE,0,2,0
zopre,Squirtle Squad,0,0,33048
zoor01,Morganas Knives,0,2,0
zoomertag,-,2,1,128770
zonzz,Les copains de zonzz,0,1,0
zononri,puddle,0,2,30267
zondrian,Argent Dawn,0,0,129581
zondrian,S Y N D I C A T E,1,7,1248555
zombiumut,Palegrin,2,8,499139
zombie22,Obsidians,1,3,343499
zolotoygar,-,0,1,0
zoldgun,Solary,2,4,549397
zol124,-,0,1,0
zoklile,-,0,1,110850
zoiinn,Take No Prisoners,0,1,0
zoex,BIRTENGRII,20,20,2532493
zoesever,Straw Hat Pirates,3,2,1098385
zodddd,-,0,1,20812
znll,-,0,0,9815
znll,7 R B,0,4,8279
znll,AR_Danger,0,0,146892
znex,Arab Lions,0,4,43895
zmot1x,Krugliki,0,3,8030
zmladd,Top Squad,22,12,2527103
zmcd,BeBeBus,1,1,2304
zmcd,NINE PERCENT,0,0,58439
zloyueBAN,-,1,10,128936
zloydyada,Ma-MaraderZ,1,3,18178
zloyBarsikYT,-,0,2,25962
zlomekcj1547,Mroczna Armia,7,1,102952
zloifermer,-,0,1,0
zloibyl,Berkut,0,1,0
zloiBambr,-,0,1,0
zlodea,one4all,3,0,94292
zleyter,Al andalus,0,1,0
zkrc,Cwaniacy,25,13,4104115
zkottokz,CHR KING,0,3,21325
zkottokz,-,0,2,89330
zkersone,HORROCRUX,0,1,0
zkSSDD,Frozen Bones,1,6,34584
