Guild,win,loss,Total,Winrate (%)
-,1432,3202,4634,30.9
0 - 0,0,1,1,0.0
0-Downs,41,46,87,47.1
0-L-Y-M-P-U-S,7,6,13,53.8
00ZMA KAPPA,0,7,7,0.0
0UTNUMB3R,68,44,112,60.7
0VERGEARED,1,0,1,100.0
0______________________0,1,0,1,100.0
0peraciones especiales,1,8,9,11.1
0rizon,0,2,2,0.0
0s Assassinos,1,0,1,100.0
0s Guardioes,12,89,101,11.9
0s Guardioes 2,2,32,34,5.9
1 N V E R N A L I A,0,1,1,0.0
1 assassin of the shadows 1,1,0,1,100.0
1 tap,21,2,23,91.3
1-Culto De La Luna Eclipsada-1,17,17,34,50.0
100 CARINHO,0,1,1,0.0
100 FOO0D,0,3,3,0.0
100 FOOD,1,0,1,100.0
100 kg,0,1,1,0.0
10ZAO O PINO,0,2,2,0.0
12CO,1,2,3,33.3
1AVANGARD,5,8,13,38.5
1AZEROTH1,24,64,88,27.3
1Big boss55,4,1,5,80.0
1Bounty_Hunters1,0,1,1,0.0
1NFIN1TY,0,1,1,0.0
1millionperday,0,1,1,0.0
20Pegar,1,29,30,3.3
21 FPS,3,2,5,60.0
211,1,0,1,100.0
24 - 7,54,86,140,38.6
2AinsOoalGowN,0,1,1,0.0
3 THE_LIONS,2,13,15,13.3
300m,60,68,128,46.9
3NDLESS,2,2,4,50.0
3vX,3,4,7,42.9
4 N X 1 3 T Y,7,1,8,87.5
444 o,0,5,5,0.0
47GVNG,1,0,1,100.0
4K TEAM ELITE,2,8,10,20.0
4K TEAM ELITE II,1,0,1,100.0
4KINGS,0,1,1,0.0
4LF4,0,1,1,0.0
4RRU4CEIR0S,0,1,1,0.0
4Simps,1,0,1,100.0
4YouBack,5,0,5,100.0
4egis,0,1,1,0.0
4nbu,5,3,8,62.5
4punto3,15,14,29,51.7
4th Mountain Infantry,0,1,1,0.0
504,1,3,4,25.0
5ymphony Of The Night,0,4,4,0.0
6-TRINIBAD-6,6,7,13,46.2
6320,0,8,8,0.0
6forjadores del destino9,0,4,4,0.0
7 Dayz,7,28,35,20.0
7 Segundos,0,3,3,0.0
760IP,0,1,1,0.0
777MONSTER,0,9,9,0.0
90ms,0,2,2,0.0
99F00D,112,89,201,55.7
99Guelfa,0,1,1,0.0
9Testigos-de-Jehova9,0,1,1,0.0
A - HYDRA,0,1,1,0.0
A CASA DOS BRASILEIRINHOS,0,1,1,0.0
A E I O U,1,0,1,100.0
A G O G E,0,2,2,0.0
A G U I LA S,0,1,1,0.0
A Gangue Trololo,4,12,16,25.0
A IRMANDADE AVALONIANA,1,0,1,100.0
A Jubruxa ta solta,0,1,1,0.0
A L C A T E I 4,31,63,94,33.0
A L K A R A P A I K A S,0,2,2,0.0
A L L S P A R K,5,1,6,83.3
A L O P E C I A,37,63,100,37.0
A LOS PETES SE LOS CORRE,0,1,1,0.0
A M B I C I O S O S,0,1,1,0.0
A N A R C O S,0,1,1,0.0
A N I K E T O S,3,34,37,8.1
A N T A R E S,176,155,331,53.2
A N T O X I C,4,23,27,14.8
A N X X I E T Y,104,113,217,47.9
A ORIGEM,5,26,31,16.1
A P E I R O N,126,93,219,57.5
A R 1 S E,17,29,46,37.0
A R I S E N,2,5,7,28.6
A R K H A M,0,1,1,0.0
A R R O G A N T,4,6,10,40.0
A S T R A L I U M,14,33,47,29.8
A T O R M E N T A D O S,1,11,12,8.3
A U R 0 R 4,3,5,8,37.5
A Vagrant Story,1,1,2,50.0
A Vida Nao E Um Morango,2,4,6,33.3
A-Casa-Das-Prima,0,6,6,0.0
A-N-D-R-O-M-E-D-A,0,1,1,0.0
A-N-G-R-A,0,1,1,0.0
AAPAE,0,1,1,0.0
ABRE A PORTA,0,1,1,0.0
ABU-DHABI,130,106,236,55.1
ABYSSLEGION,0,5,5,0.0
ABYSSUS X,6,10,16,37.5
ACADEMY OF WAR,0,2,2,0.0
ACM1PTQlona,0,3,3,0.0
ACM1PTX2,15,4,19,78.9
ACTITUD,3,24,27,11.1
ADASTRO,6,6,12,50.0
ADEPTOS DE LA PAJA,34,64,98,34.7
ADO FANCLUB,0,5,5,0.0
AE251,0,1,1,0.0
AETT Blar,0,1,1,0.0
AFK Check,0,3,3,0.0
AFTERSH0CK,14,9,23,60.9
AGIOTAH,0,1,1,0.0
AIea iacta est,13,14,27,48.1
AKAI TAIYO,1,2,3,33.3
AKASUKIII,0,1,1,0.0
AKATZZUKII,2,2,4,50.0
ALAMEDAS-NO-MERCY,0,2,2,0.0
ALAS_BLANCAS,2,0,2,100.0
ALBION FINESTS,0,3,3,0.0
ALBION ONLINE EH UM,0,1,1,0.0
ALBION_LIGH,0,2,2,0.0
ALCATEIA 420,2,5,7,28.6
ALFA CENTAURY,0,2,2,0.0
ALIANS OF POWER,0,1,1,0.0
ALIANZA THETFORD,0,1,1,0.0
ALINHAMENTO MILENAR,7,3,10,70.0
ALL REDS,0,1,1,0.0
ALL-BLACKS,0,1,1,0.0
ALLUMINATI,0,1,1,0.0
ALMA DE LEON,4,2,6,66.7
ALPACAS EN TU BACK,2,2,4,50.0
ALPHAS WOLVES,0,1,1,0.0
ALQUIMISTASyt,81,171,252,32.1
ALVARADA ETERNA,0,2,2,0.0
AMANECER-MITICO,0,1,1,0.0
AMAZONAZ WORD,0,4,4,0.0
AMB3V,1,1,2,50.0
ANDOKS,0,3,3,0.0
ANGELES GUARDIANES,0,6,6,0.0
ANNlHILATION,67,66,133,50.4
ANTES DE LOS 20,7,9,16,43.8
ANYTIME ANYWHERE,0,1,1,0.0
AO University,95,117,212,44.8
APIRUXBOTOX,0,1,1,0.0
AQP_cayma,0,1,1,0.0
AR toros negros,1,4,5,20.0
AREA MILLYKOUST,1,3,4,25.0
ARENALANDIA,0,1,1,0.0
ARKADIA WORLD,40,55,95,42.1
ARM kazak,0,1,1,0.0
ARMONYYY,8,41,49,16.3
ARMY ATTACK,0,1,1,0.0
ARMY EMPIRE,6,15,21,28.6
ARQUITAS,5,21,26,19.2
ARRIMATE,0,6,6,0.0
ARTIST KILLERS,8,11,19,42.1
AS Homura,2,4,6,33.3
ASH GUILD,0,2,2,0.0
ASMODIUM,0,1,1,0.0
ASP3RA,1,10,11,9.1
ASSASINS UWU,0,5,5,0.0
ASSASSINS OF THE ABYSS X,0,6,6,0.0
ATALIA,7,12,19,36.8
ATAQUE LOLI,13,23,36,36.1
ATRASA LAD0,0,5,5,0.0
ATTRICTIONN,0,1,1,0.0
AURORION,0,2,2,0.0
AURUM NOCTIS,0,1,1,0.0
AVALON WAR,0,2,2,0.0
AVALON-ROADS,1,0,1,100.0
AVALON1AN0S,21,71,92,22.8
AVALONIAN-CATS,0,8,8,0.0
AVALON_DEATH,1,9,10,10.0
AVALORIANOS,0,9,9,0.0
AVENGERS_ASSEMBLE,16,53,69,23.2
AWAKENEDWARRIORS,3,11,14,21.4
AX Clan,4,2,6,66.7
AXI0M,0,9,9,0.0
AXTRALYS,1,0,1,100.0
AYAYA ARCHIVE,4,1,5,80.0
AZTECAS_REALES,0,1,1,0.0
AZULES VIP,1,0,1,100.0
Abannedicus,1,2,3,33.3
Abbad0n,0,2,2,0.0
Abenteurergilde,0,2,2,0.0
Abestado Corporation,0,2,2,0.0
AbsolutZero,0,1,1,0.0
Absolute Boundary,1,3,4,25.0
Abyssal Hunt,14,17,31,45.2
Abyssal Vanguard,0,1,1,0.0
Account not found,4,1,5,80.0
Achkur,3,9,12,25.0
Adeptus Astra,1,0,1,100.0
Adeptus-Custodes,8,10,18,44.4
Adictos Al Silver,0,4,4,0.0
Adventurerss,0,4,4,0.0
Advise D5,0,1,1,0.0
Aenima,11,3,14,78.6
Aesirs,16,40,56,28.6
Aeternam Requiem,1,0,1,100.0
Aggressive Rat,1,1,2,50.0
Agro Sanctum,0,2,2,0.0
Aguapanela Encantada,13,23,36,36.1
Aincrad Dominion,0,1,1,0.0
Ainground,0,3,3,0.0
AinsGhoal0wn,6,17,23,26.1
Air Fryer,7,6,13,53.8
Aitrra House,1,0,1,100.0
Akitsoka,0,2,2,0.0
Al Chile,0,1,1,0.0
Al-Haqq,4,7,11,36.4
AlMomineen,1,1,2,50.0
Alabasta Black ROSE,0,2,2,0.0
Alas De Acero Negro,1,3,4,25.0
Albi0n-0nline,6,12,18,33.3
Albino OffIine,1,8,9,11.1
Albiolines Crew,15,30,45,33.3
Albion Blue Army,1,0,1,100.0
Albion Depths,6,2,8,75.0
Albion Lone Wolf,2,0,2,100.0
Albion Mobile Guild,13,32,45,28.9
Albion Nexus,9,22,31,29.0
Albion Online IronMan,2,3,5,40.0
Albion War,3,1,4,75.0
Albion y las ardillas,0,1,1,0.0
AlbionChan,0,1,1,0.0
AlcoHolicoS-Avalon1anos,14,13,27,51.9
Aldea De La Hoja,0,1,1,0.0
Aldea Mokoya,0,2,2,0.0
Aldeia da Folha de LYMHURST,0,2,2,0.0
Ale limon,0,7,7,0.0
Alergicos al Profit,2,1,3,66.7
Alfach_CS1,0,2,2,0.0
AlfxOnTop,0,2,2,0.0
AlhpaBravo,0,10,10,0.0
Alianza Draconica,0,1,1,0.0
Alianzx Shinobi,4,18,22,18.2
All Bomb,1,7,8,12.5
All For Conquest,0,1,1,0.0
All we need is Weed,1,2,3,33.3
AllMax,9,1,10,90.0
All_The_Sons _A-T-S,0,1,1,0.0
Allerianm,0,4,4,0.0
Almas de Avalon,15,48,63,23.8
AlpaKnights,3,13,16,18.8
Alpha Rats,71,64,135,52.6
AlphaBM,3,1,4,75.0
Alphas Rats,1,5,6,16.7
Alquimistas De Silver,0,1,1,0.0
Alt Fn4,0,2,2,0.0
AlterFirsted,34,26,60,56.7
AltoRango,2,8,10,20.0
Always Noob,12,0,12,100.0
AmFm,0,1,1,0.0
Amantes Amentes,0,2,2,0.0
Amaterasu Okami,0,1,1,0.0
Amaterazu,0,1,1,0.0
Amazon Legends,1,5,6,16.7
Amazonia Gang,1,11,12,8.3
American Craftsman,0,1,1,0.0
American Infidels,0,1,1,0.0
American Mini Pig Association,1,0,1,100.0
American OG,0,1,1,0.0
Amigos do Blackjack,18,24,42,42.9
An OK Guild,0,1,1,0.0
Ancalagos_and_caraxes,0,6,6,0.0
Ancestralz,1,1,2,50.0
Anger Issues,0,1,1,0.0
Angry Apes,19,35,54,35.2
Angry Clowns,0,1,1,0.0
Anjo Das Trevas,1,0,1,100.0
AnomalyaBR,0,1,1,0.0
Anonymhous,0,2,2,0.0
Anonymous Portal Fight Club,4,2,6,66.7
Antalatar,0,2,2,0.0
Antartida,21,35,56,37.5
Antgnoose,0,1,1,0.0
Anti Boyceta,5,1,6,83.3
Anti Evil,53,87,140,37.9
Anti Gankers Club,1,0,1,100.0
Anti Hype Rus,1,14,15,6.7
Anti Sex Gang,4,18,22,18.2
Anti Sociais,16,45,61,26.2
Anti-Tesis,1,3,4,25.0
Anticus Ordo Hashshashin,0,4,4,0.0
Antigankerss,0,1,1,0.0
Antiguos Guerreros Aztekas,2,12,14,14.3
Aoba-Josai,5,11,16,31.2
Apagonia,0,1,1,0.0
Apocalipse13yy16,10,44,54,18.5
Apokalypsis Aeternae,0,1,1,0.0
Aponia,26,47,73,35.6
Apostolos de Avalon,8,9,17,47.1
AppleG,0,1,1,0.0
AquiAcabou,1,0,1,100.0
ArGentiNidad,52,53,105,49.5
ArLand,52,70,122,42.6
Araluen-Rangers,0,1,1,0.0
Arcanum Aquila,0,6,6,0.0
Arcosanti,112,113,225,49.8
Ardidos,3,1,4,75.0
ArepaPowerr,0,1,1,0.0
ArepitaConQueso,1,4,5,20.0
Ares Dark Souls,0,1,1,0.0
Argentina_Tucuman,0,1,1,0.0
Arising War,1,7,8,12.5
Arkies Victema,4,5,9,44.4
Arroz Clan,21,34,55,38.2
Artix,0,1,1,0.0
ArvizG-Company,18,23,41,43.9
As mulas,0,1,1,0.0
As3sin0s,1,2,3,33.3
AsMeninasSuperPoderosas,18,39,57,31.6
Asechadores_del_Mar,1,7,8,12.5
Asesinos De Sombras,0,1,1,0.0
Asesinos-del-Desierto,0,1,1,0.0
Asgard team,37,100,137,27.0
Ashen_One,0,1,1,0.0
AsianTF,0,1,1,0.0
Aslet,0,1,1,0.0
Asoc de Pescadores,0,4,4,0.0
Asociacion de comerciantes,0,1,1,0.0
Ass Breakers,1,10,11,9.1
Assassins Creeed,2,1,3,66.7
Assassins Of The Kings,1,1,2,50.0
Assassins night,1,2,3,33.3
Assassins of Valhalla,8,10,18,44.4
AssassinsGreed,4,5,9,44.4
Astra Gauchos,0,1,1,0.0
AstroZenith,1,11,12,8.3
Astroputologas,1,6,7,14.3
Asur789,0,3,3,0.0
Asura Strike,3,1,4,75.0
At Arayan Kelebekler,9,14,23,39.1
At Dawn,0,1,1,0.0
Ataraxis,0,1,1,0.0
Athame Coven,0,1,1,0.0
Atomosk,1,0,1,100.0
Atrasa Lado,1,8,9,11.1
Aura Farmin,4,11,15,26.7
Aura-Chill,1,11,12,8.3
Aurora Nocturna,3,18,21,14.3
Aurum Collective,0,3,3,0.0
Autopsie 2,1,0,1,100.0
Autumn Wolves,1,4,5,20.0
Ava NNoiseZ,5,11,16,31.2
Ava Owl,0,1,1,0.0
Ava Syndicate Core,1,3,4,25.0
Ava Test,0,1,1,0.0
AvaCore,23,40,63,36.5
AvaTalk,0,5,5,0.0
Avalon CORP,23,23,46,50.0
Avalon Laboratories,0,3,3,0.0
Avalon Nighwalkers,1,3,4,25.0
Avalon Runners,0,11,11,0.0
Avalon Vault,0,2,2,0.0
Avalon_Fury,0,12,12,0.0
Avengars,0,1,1,0.0
AwEx,0,5,5,0.0
Awful Company,3,8,11,27.3
Axxis_Shadow,0,3,3,0.0
Ayore gang,1,0,1,100.0
Azeroth Rogues,0,2,2,0.0
B E A R P A W S,38,39,77,49.4
B E L I V E R S,3,2,5,60.0
B E L L U M S,2,16,18,11.1
B E R S E R K 117,6,69,75,8.0
B I L L O N A I R E - C I T Y,0,1,1,0.0
B L 4 C K L I S T,1,1,2,50.0
B L A C K - A R M Y,13,14,27,48.1
B L A C K C R O W N,0,1,1,0.0
B L A C K M I R R O R S,0,5,5,0.0
B L E S S E D,5,9,14,35.7
B L I N K,76,111,187,40.6
B L V C K B U L L S,0,1,1,0.0
B R A V A R Y,1,0,1,100.0
B U R N I N,148,168,316,46.8
B-0-P-E,0,1,1,0.0
B00ST3D,0,4,4,0.0
B3RS3RK3R,0,4,4,0.0
B4ll Br34k3r,4,2,6,66.7
BAGUALADA MEDONHA,0,1,1,0.0
BANKR0LL,3,19,22,13.6
BARDAG,0,2,2,0.0
BARRACUDA2,0,2,2,0.0
BDU,0,1,1,0.0
BELCEBUTH,0,2,2,0.0
BELEGHOST,62,94,156,39.7
BEN_10,0,1,1,0.0
BERSERKERS_CA,0,11,11,0.0
BESOS NEGROS,8,24,32,25.0
BIG CLOCKS,0,6,6,0.0
BIRD SPARROW,0,2,2,0.0
BISMUTO,0,1,1,0.0
BL3ACH,3,4,7,42.9
BL4CK SUN,0,1,1,0.0
BL4CK_BULLS 99,0,2,2,0.0
BLACK AND WHITE ARMY,9,8,17,52.9
BLACK BOMB,0,5,5,0.0
BLACK DOGS UTC,0,1,1,0.0
BLACK KGNITHS,17,9,26,65.4
BLACK MAFI00,1,2,3,33.3
BLACK NIGH,0,2,2,0.0
BLACK TAPE,67,66,133,50.4
BLACK----MONEY,1,7,8,12.5
BLACKARG,0,1,1,0.0
BLACKS-CLOVERS,12,23,35,34.3
BLACKZONE OUTLAWS,0,4,4,0.0
BLACK_LISTH,0,1,1,0.0
BLAKDRAGON,0,1,1,0.0
BLAM,2,9,11,18.2
BLEEEEH,4,6,10,40.0
BLOOD HOLLOW KNIGHT,18,23,41,43.9
BLOOD OF HELEA,0,6,6,0.0
BLOOD-WRATH,0,2,2,0.0
BLOODMOON001,0,3,3,0.0
BLOODMOON004,1,7,8,12.5
BLOODMOON005,2,2,4,50.0
BLOODMOON006,2,5,7,28.6
BLOODY-WARRIORS,36,34,70,51.4
BLUEDEER,0,6,6,0.0
BOLA E GATO,0,1,1,0.0
BOM SQUAD ELITE,0,3,3,0.0
BOMB SQUAAAAD,0,1,1,0.0
BONDE DO MAGRELO,3,11,14,21.4
BORBOLETAS AFRICANAS,0,1,1,0.0
BOW GAMING,1,0,1,100.0
BR Coroneis,0,2,2,0.0
BR Free Fire,1,9,10,10.0
BR Justiceiros,0,2,2,0.0
BR4ZZ3RS,1,2,3,33.3
BRAVIKINGS,0,9,9,0.0
BRAZIL MOST WANTED,0,3,3,0.0
BRAZZUKA,2,19,21,9.5
BROASTER CALL,155,63,218,71.1
BROTHER AND FRIENDS,0,1,1,0.0
BROTHERS OF DESTINY,3,5,8,37.5
BROTHERS THILL DEATH,2,2,4,50.0
BRUXXAS,1,0,1,100.0
BRZK,11,19,30,36.7
BUGG,8,23,31,25.8
BULWARK POLICE,2,18,20,10.0
BURSTz,11,9,20,55.0
BUSCA CAMARAS,0,3,3,0.0
BUSCADORES DE RELIQUIAS,0,1,1,0.0
BUT WE TRIED,2,1,3,66.7
BYMIDAZ,0,2,2,0.0
B_L_A_C_K,12,3,15,80.0
Bad blacks,1,10,11,9.1
Bagrions,1,5,6,16.7
Bakulpentol,0,4,4,0.0
Ballesteros247,0,3,3,0.0
Ban Wave Survivors,0,1,1,0.0
Banda de Bandidos,2,9,11,18.2
Bandana Brothers,2,9,11,18.2
Banddle City,62,74,136,45.6
Bandit Kill,17,3,20,85.0
Bandit Lords,1,10,11,9.1
Bando do Avental,0,1,1,0.0
Bando do Sol,0,1,1,0.0
Bane of Darkness,0,1,1,0.0
Banguardia De Moria,1,0,1,100.0
Banished Brigade,0,1,1,0.0
Bank of Republic,12,1,13,92.3
Baofengyu,93,105,198,47.0
BarDoTioMax,2,4,6,33.3
Baraz-gund,1,3,4,25.0
Barclass,0,9,9,0.0
Barhenz,0,1,1,0.0
BaronSamedi,1,10,11,9.1
Barracas South,1,3,4,25.0
Based,0,1,1,0.0
BasiliscBroken,0,1,1,0.0
Bastardos del Titan,2,7,9,22.2
Bastardos_Sin_Gloria,9,11,20,45.0
BastioNDeLosEterNos,2,5,7,28.6
BastionWar,1,14,15,6.7
Battle Rush,3,3,6,50.0
BattleToadz,0,1,1,0.0
Battlewise,1,2,3,33.3
Batutinhas,0,4,4,0.0
Be Careful,99,92,191,51.8
Be Silenced,8,6,14,57.1
BeachEnjoyers,4,7,11,36.4
BearLiddle,7,6,13,53.8
Bears and Maces,5,2,7,71.4
Beary Tales,0,2,2,0.0
Beast Blood,2,0,2,100.0
Beef Stewar,6,14,20,30.0
Beer Barrel,1,0,1,100.0
BeerSquad,2,4,6,33.3
Belfast,2,1,3,66.7
Bellatores-Occasus,1,0,1,100.0
Belligerent Bastions,1,0,1,100.0
Below the trees,1,0,1,100.0
BenchWarmers,4,13,17,23.5
Bencheados,2,1,3,66.7
Benevolent Kool Aid,35,26,61,57.4
Berretta,1,2,3,33.3
BestFriends,1,1,2,50.0
Beware of Killers,1,0,1,100.0
Biassanot,0,1,1,0.0
Big Brawl Clap,0,6,6,0.0
BigBangx,1,0,1,100.0
BigBossBrazil,0,1,1,0.0
Bilionarios de Martlock,0,2,2,0.0
Billionarios,0,1,1,0.0
Birds and Feathers,3,5,8,37.5
Birutagem,0,1,1,0.0
Bizarre adventures,1,0,1,100.0
Bl4ck End,2,4,6,33.3
Black - Dragons,0,2,2,0.0
Black - Lotus,0,1,1,0.0
Black Aura,3,29,32,9.4
Black Bullhs,4,15,19,21.1
Black Clov3r,1,13,14,7.1
Black Dragon Aeon,92,178,270,34.1
Black Dragon Ashes,0,2,2,0.0
Black Feathers,0,3,3,0.0
Black MAMBAAA,0,2,2,0.0
Black Martlock 1,12,22,34,35.3
Black Orden BR,0,4,4,0.0
Black Pearl Pvp,0,3,3,0.0
Black Ribbon,0,1,1,0.0
Black River,0,1,1,0.0
Black Rose Creed,29,63,92,31.5
Black Rose Queen,1,0,1,100.0
Black St0nes,3,18,21,14.3
Black Ursa,45,35,80,56.2
Black Veil Order,0,4,4,0.0
Black spring,4,3,7,57.1
Black- Wolves,0,1,1,0.0
Black-Oath,0,4,4,0.0
BlackSm0ke,93,97,190,48.9
BlackSunZenith,0,4,4,0.0
BlackW0rld,7,7,14,50.0
BlackWolf1,1,17,18,5.6
Blacklist -AO,1,3,4,25.0
Blackstaff,0,1,1,0.0
Blades of Avalon,18,41,59,30.5
Bleeding Apes,7,5,12,58.3
Blend S,0,1,1,0.0
Blizzard Butchers,3,7,10,30.0
Bloco,0,1,1,0.0
Blodfang,22,71,93,23.7
Blood Brotherhod,0,2,2,0.0
Blood Crown Revenants,1,1,2,50.0
Blood Roar,1,0,1,100.0
Blood Ronins,0,1,1,0.0
Blood Wolf Team,21,17,38,55.3
Blood and Ashes,0,3,3,0.0
Blood of the Abyss Walkers,2,2,4,50.0
Blood-_-Ravens,14,7,21,66.7
BloodBasket,1,0,1,100.0
BloodDynasty,1,3,4,25.0
BloodHands,4,14,18,22.2
BloodTraiI,4,8,12,33.3
BloodVanguard,0,2,2,0.0
Bloody Bear,0,2,2,0.0
Bloody Kong,0,1,1,0.0
Bloody Mittens Society,0,3,3,0.0
Blue LabeI,73,96,169,43.2
Blue Light Guardians,0,2,2,0.0
Blue chest,14,3,17,82.4
Blueberry Poachers,1,2,3,33.3
Boarera,0,1,1,0.0
Boca Scan,3,7,10,30.0
Boi Feliz,0,1,1,0.0
BoiCetha,0,2,2,0.0
Boinas Vermelhas,2,1,3,66.7
Bold Intent,1,5,6,16.7
Boletas Wolf,1,0,1,100.0
Bomb Down,20,35,55,36.4
Bomb and Brawl,48,62,110,43.6
BombSS,11,20,31,35.5
Bombarden peru,1,0,1,100.0
Bonde_d0s_Coletores,1,5,6,16.7
Bonde_dos_Coletores,3,2,5,60.0
Booty Boppers,8,28,36,22.2
Boranes,0,1,1,0.0
Boreal Quebec,0,3,3,0.0
Born OfThe Dragon,0,1,1,0.0
Born To D1e,25,74,99,25.3
Bosque oculto,0,2,2,0.0
Bozominions,1,0,1,100.0
Bractwo Mroku 2021,0,1,1,0.0
Brain not Found,9,35,44,20.5
Branlo17,0,1,1,0.0
Brasil Wars,4,3,7,57.1
Brasil imperio,4,9,13,30.8
Bratjas,0,1,1,0.0
Brazilian Top Team,0,1,1,0.0
Bread Addicts,3,7,10,30.0
Breaking Rules,2,0,2,100.0
Breathin,4,5,9,44.4
Breve,1,5,6,16.7
Bridge To HeLL,1,5,6,16.7
Bridgewatch 137,1,4,5,20.0
Bridgewatch United NA,1,0,1,100.0
Brigada Fantazma,2,5,7,28.6
BrigadaFantasma,1,5,6,16.7
Broke Boys Network,0,1,1,0.0
Broke Hellgaters,1,2,3,33.3
Broke Yakuza,0,4,4,0.0
Brood of the Obsidian Flame,0,1,1,0.0
Broodskoe666,4,7,11,36.4
Brotherhood Fallen Order,0,7,7,0.0
Brotherhood of Eternity,3,3,6,50.0
Brothers of Shadows,0,2,2,0.0
Brownies Catolicos,0,10,10,0.0
Brutallity,0,1,1,0.0
Bruxentopia,0,1,1,0.0
Bryllanos,47,67,114,41.2
Buckeye Brawlers,0,1,1,0.0
Buckfutter Strip Mining Co,1,2,3,33.3
Bufonia,0,6,6,0.0
Bullet Knife,1,4,5,20.0
Bullskull,0,9,9,0.0
Butecinha,3,3,6,50.0
ButtChuggerz,1,1,2,50.0
Buxa Clube,5,14,19,26.3
ByRage,0,1,1,0.0
C 4,4,7,11,36.4
C A L L E J E R O S,26,20,46,56.5
C A M B A D A,13,28,41,31.7
C A R E B E A R,1,2,3,33.3
C A R I B E S,0,2,2,0.0
C A R N I F I C I N A,0,2,2,0.0
C A S T L E V A N I A,0,8,8,0.0
C A T A C L I S M,0,2,2,0.0
C A V A L I E R s,1,14,15,6.7
C E R B 3 R U S,2,0,2,100.0
C H E C K,0,2,2,0.0
C H E R O S,5,9,14,35.7
C I R C U S,116,59,175,66.3
C O N F L I C T I V O S,4,10,14,28.6
C O O L D O W N,0,1,1,0.0
C R 0 W S,3,7,10,30.0
C R I M E N,16,42,58,27.6
C R I M I N A L,2,2,4,50.0
C T,2,1,3,66.7
C o n g o,2,6,8,25.0
C-esT La MorT,12,36,48,25.0
C0BRA KA1,1,4,5,20.0
C0RRUPTED ARMY,0,4,4,0.0
C0ringas,0,1,1,0.0
C22 WOJTEK,0,1,1,0.0
C4 Gang For Life,12,14,26,46.2
