Guild,win,loss,Total,Winrate (%)
-,1200,3060,4260,28.2
0 - 0,0,2,2,0.0
0 B E L I S K,0,8,8,0.0
0-0 reltih 0-0,0,1,1,0.0
0-L-Y-M-P-U-S,11,18,29,37.9
08:00,2,6,8,25.0
0Byakko0,0,4,4,0.0
0Toros Negros0,0,1,1,0.0
0UTNUMB3R,54,31,85,63.5
0_DRAGONS_0,0,2,2,0.0
0peraciones especiales,0,5,5,0.0
0s Guardioes,10,73,83,12.0
1 tap,1,0,1,100.0
1-800-homeless,9,5,14,64.3
1-Culto De La Luna Eclipsada-1,0,4,4,0.0
103CHORIZOS,2,4,6,33.3
12345678901234567890,0,1,1,0.0
12CO,1,0,1,100.0
1314,1,0,1,100.0
1500,2,9,11,18.2
16:00,27,33,60,45.0
17K,3,5,8,37.5
18 Kings,1,0,1,100.0
189,0,1,1,0.0
1AVANGARD,9,23,32,28.1
1AZEROTH1,9,16,25,36.0
1El Continental,1,1,2,50.0
1KRONOS1,0,1,1,0.0
1MARAUDERS1,2,1,3,66.7
1NFIN1TY,113,69,182,62.1
1Pondo,2,1,3,66.7
1R0N,1,10,11,9.1
1SiNNers,0,1,1,0.0
1st Trade Company,0,1,1,0.0
2 CONTRA TODOS,3,1,4,75.0
20Pegar,2,17,19,10.5
21 FPS,0,21,21,0.0
21st Sinn,0,2,2,0.0
24 - 7,56,105,161,34.8
2AinsOoalGowN,0,1,1,0.0
2v2Hellgates,0,1,1,0.0
300_HISPANOS,0,1,1,0.0
300m,38,51,89,42.7
3YGR,1,2,3,33.3
4 E 20,0,3,3,0.0
4 FIRM4,9,50,59,15.3
4 de noviembre,1,1,2,50.0
40 Acres and a mule,0,3,3,0.0
462T,0,2,2,0.0
47 Ronyn,0,2,2,0.0
4FUN IN BLACK,1,1,2,50.0
4K TEAM ELITE,11,35,46,23.9
4LF4,4,4,8,50.0
50 CALIBER,3,2,5,60.0
504,0,1,1,0.0
5ymphony Of The Night,1,1,2,50.0
6-TRINIBAD-6,2,13,15,13.3
666 AK 47,0,1,1,0.0
6forjadores del destino9,0,1,1,0.0
6semideuses9,0,1,1,0.0
6sozinho,1,8,9,11.1
7 Segundos,6,16,22,27.3
777 BIG POOL 777,0,1,1,0.0
777sakimi888,0,2,2,0.0
8 0 8,0,2,2,0.0
808 HI LIfe,1,0,1,100.0
86-Eighty six,12,1,13,92.3
8I Mv Familly I8,0,1,1,0.0
8th,0,2,2,0.0
9LEGlON,0,1,1,0.0
A B I,1,0,1,100.0
A Dinastia da marola,0,1,1,0.0
A Gangue Trololo,8,26,34,23.5
A IRMANDADE DO MACHADO,0,1,1,0.0
A L O P E C I A,56,65,121,46.3
A LITTLE DEATH,1,0,1,100.0
A Legiao Sombria,0,3,3,0.0
A N E X X O,0,1,1,0.0
A N I K E T O S,1,0,1,100.0
A N T A R E S,106,107,213,49.8
A N T O X I C,10,15,25,40.0
A N X X I E T Y,89,86,175,50.9
A ORIGEM,3,22,25,12.0
A P E I R O N,56,86,142,39.4
A S G A R D R,1,3,4,25.0
A S T R A L I U M,47,63,110,42.7
A T O M 1 C,15,18,33,45.5
A Turma do Garimpo,0,1,1,0.0
A U R 0 R 4,12,41,53,22.6
A U R E O,4,7,11,36.4
A U T I S M O,2,1,3,66.7
A Vida Nao E Um Morango,1,1,2,50.0
A ordem dos assassinos,5,9,14,35.7
AAAAAAAAAAAAAAAAAAAAAAAAAAAhAh,1,1,2,50.0
AALCATEIA,0,1,1,0.0
AAPAE,1,3,4,25.0
ABSOLUTE TERROR,0,1,1,0.0
ABYSSLEGION,1,2,3,33.3
ABYSSUS X,5,8,13,38.5
ACADEMIA DE ASESINOS LOLpvp,1,3,4,25.0
ACADEMY OF WAR,5,13,18,27.8
ACJP-Blacks,0,1,1,0.0
ACM1PTQlona,1,0,1,100.0
ACM1PTX2,27,17,44,61.4
ADASTRO,3,2,5,60.0
ADEPTOS DE LA PAJA,8,10,18,44.4
ADN-ALBION,0,1,1,0.0
AESTHETIIC,0,1,1,0.0
AETT Blar,5,7,12,41.7
AEZIR Kingdom,1,1,2,50.0
AFK 444,18,57,75,24.0
AFKTEEMSINMANOS,0,1,1,0.0
AFKnaticos,0,1,1,0.0
AGG eSports Deluxe,0,1,1,0.0
AGRESIVOS,0,2,2,0.0
AGUIAS REAIS,0,1,1,0.0
AGUILAS TEAM,0,1,1,0.0
AII In,1,0,1,100.0
AII Red,1,0,1,100.0
AIea iacta est,10,17,27,37.0
AIter Ego,85,77,162,52.5
AJAXXX,0,4,4,0.0
AKATSUK1i,0,2,2,0.0
AKATSUKI_BR,0,1,1,0.0
AKUMA_AGA,0,1,1,0.0
AL41,7,9,16,43.8
ALAS_BLANCAS,1,5,6,16.7
ALAYINA GIDER,0,1,1,0.0
ALBION-ONLINE-BRAZIL,0,1,1,0.0
ALBION_LIGH,1,0,1,100.0
ALC4TEIA,34,22,56,60.7
ALCALINE,0,2,2,0.0
ALCATRAS_ASSADAS,0,4,4,0.0
ALEUZENEV,0,10,10,0.0
ALFA CENTAURY,0,2,2,0.0
ALL BANDITS,1,0,1,100.0
ALL REDS,32,13,45,71.1
ALLUMINATI,6,23,29,20.7
ALMA PERD1DA,1,2,3,33.3
ALTUX,0,1,1,0.0
AMARILLO LOS PLATANOSS,0,6,6,0.0
AMAZONAZ WORD,0,3,3,0.0
AMBUU,2,6,8,25.0
AMO LOS PERROS,0,1,1,0.0
AMOR 3456789,0,1,1,0.0
AMPERIO 51,4,12,16,25.0
ANASHEIX,10,8,18,55.6
ANGELES GUARDIANES,0,5,5,0.0
ANGELES SANGUINARIOS,2,0,2,100.0
ANNIHILATION-PIDORESHION,0,1,1,0.0
ANNlHILATION,28,54,82,34.1
ANONYMOUSCOMMUNITY,0,2,2,0.0
ANTAR3S,0,1,1,0.0
ANTHOX,0,1,1,0.0
ANTI - MAGE,2,2,4,50.0
ANTIGANKERS DRAGONS,0,1,1,0.0
ANTl-BUCHAS,0,3,3,0.0
ANYTIME ANYWHERE,0,1,1,0.0
AO HELL_CASTLE,0,3,3,0.0
AO University,136,173,309,44.0
APAGAX,0,4,4,0.0
AQP_cayma,0,1,1,0.0
AQp GAMiNG,0,1,1,0.0
ARANDANOS,0,1,1,0.0
ARCANGELES DEL APOCALIPSIS,0,1,1,0.0
ARCTIC GUARDIANS,7,13,20,35.0
ARE HEADING,0,1,1,0.0
AREA MILLYKOUST,1,0,1,100.0
ARKADIA GHOST,0,5,5,0.0
ARKADIA WORLD,98,115,213,46.0
ARKANWOLF,0,3,3,0.0
ARMONYYY,40,94,134,29.9
ARMY EMPIRE,2,20,22,9.1
ARS-GOETIA,14,13,27,51.9
ARTHUR KING,0,3,3,0.0
ARTIST KILLERS,1,2,3,33.3
ASD-2018-2018,6,6,12,50.0
ASGARDEN,1,5,6,16.7
ASIMETRIA,1,7,8,12.5
ASMODIUM,0,1,1,0.0
ASP3RA,66,18,84,78.6
ASSASSIN INFERNAL 646,0,1,1,0.0
ASSASSINOS Z,0,1,1,0.0
ASTARTES del Valhalla,0,1,1,0.0
ASTECAS,0,4,4,0.0
ASTROPIA,1,1,2,50.0
ASTRYDEZ,0,2,2,0.0
ATALIA,4,5,9,44.4
AURA PLAYERSS,7,5,12,58.3
AURUM NEXUS,0,2,2,0.0
AVA--INFINITI--OPE,0,1,1,0.0
AVALON1AN0S,7,28,35,20.0
AVALONIAN-CATS,8,34,42,19.0
AVALON_DEATH,1,12,13,7.7
AVESAOS DEL CRIMEN,0,1,1,0.0
AWAKENEDWARRIORS,4,15,19,21.1
AYAYA ARCHIVE,3,1,4,75.0
AZTEC Soldados,0,1,1,0.0
A_REV0LTA,0,3,3,0.0
Aase,0,1,1,0.0
Abbad0n,0,1,1,0.0
Absolute Boundary,13,16,29,44.8
Abyss-Watchers,0,1,1,0.0
Abyssal Hunt,6,12,18,33.3
Abyssal Vanguard,6,14,20,30.0
Academia de asesinos,0,1,1,0.0
Achkur,0,1,1,0.0
Acolitos Sombrios,2,2,4,50.0
Acta Fabula Est,1,0,1,100.0
Ad Delectandum,1,4,5,20.0
AdaN,3,14,17,17.6
AddictedSociety,0,1,1,0.0
Adeptus-Custodes,3,8,11,27.3
Adominschile,0,1,1,0.0
Adventurerss,1,9,10,10.0
Aenima,3,0,3,100.0
Aesir de Asgard,0,5,5,0.0
Aesirs,111,93,204,54.4
Afins LTDA,3,4,7,42.9
Agpaw,0,2,2,0.0
Agro Pesca Jacare,0,1,1,0.0
Agro Sanctum,0,6,6,0.0
Aguapanela Encantada,49,56,105,46.7
AinK,1,1,2,50.0
AinsGhoal0wn,2,26,28,7.1
Air Fryer,43,40,83,51.8
Aislados,0,1,1,0.0
Akatsuki-Night,1,1,2,50.0
AlArkx,0,1,1,0.0
AlMAS en PENAS,0,3,3,0.0
AlToro,0,2,2,0.0
Alas De Acero Negro,0,1,1,0.0
Alba company,1,8,9,11.1
Albi0n-0nline,1,7,8,12.5
Albiolines Crew,1,2,3,33.3
Albion Bet,2,0,2,100.0
Albion Caliphate,0,2,2,0.0
Albion Depths,0,2,2,0.0
Albion Es Droga,0,2,2,0.0
Albion Lone Wolf,0,1,1,0.0
Albion Mobile Guild,8,9,17,47.1
Albion Spartans,0,3,3,0.0
Albion bandits,6,21,27,22.2
Albion-con-queso,0,1,1,0.0
AlcatreiA,0,1,1,0.0
Alcoholicos anonimos OH,0,1,1,0.0
Aldeia da Folha de LYMHURST,0,4,4,0.0
Ale limon,0,3,3,0.0
Algodones del oeste,3,4,7,42.9
AliasHero,2,2,4,50.0
Aliciella,1,2,3,33.3
Alined,1,0,1,100.0
All RIse,0,2,2,0.0
Alley Beating,0,1,1,0.0
Alma de Fenix,0,1,1,0.0
AloneTogether,0,1,1,0.0
Alonein The Dark,3,2,5,60.0
Alpha 7,0,1,1,0.0
Alpha Rats,71,103,174,40.8
Alpha Rats School,1,1,2,50.0
Alpha Shadows,2,13,15,13.3
Alquimistas De Silver,0,1,1,0.0
AlterFirsted,1,3,4,25.0
AltoRango,1,4,5,20.0
Alunos da UERJ,0,7,7,0.0
Amazonia Gang,0,6,6,0.0
Amdrela,1,0,1,100.0
Amedontradores,0,1,1,0.0
AmegakureNoSat0,0,1,1,0.0
Amigos Do LULA,4,10,14,28.6
Amigos do Blackjack,2,9,11,18.2
Amigos do Liro,1,5,6,16.7
Amishalom,2,8,10,20.0
Amo De Las Concedemuertes,0,1,1,0.0
Amperia,0,2,2,0.0
Ancient Dominion,0,1,1,0.0
Ancient Dragon Lords,0,4,4,0.0
Angel Demons,0,1,1,0.0
Angeles 0scuros,5,2,7,71.4
Angeles sin cabeza,0,3,3,0.0
Angels of Darkness DK,0,2,2,0.0
Angels of Valhalla,0,2,2,0.0
Anger Issues,0,1,1,0.0
AngruMaiya,4,4,8,50.0
Angry Apes,24,35,59,40.7
Anima Vitae,0,2,2,0.0
Anne Frankly,0,1,1,0.0
Anonymhous,1,2,3,33.3
AnonymousDads,0,3,3,0.0
Antartida,42,55,97,43.3
Anti Evil,6,46,52,11.5
Anti Gankers Club,7,6,13,53.8
Anti Hype Rus,4,33,37,10.8
Anti Sociais,25,98,123,20.3
Anti niankers,0,1,1,0.0
Antiguos Guerreros Aztekas,44,50,94,46.8
Aoba-Josai,2,23,25,8.0
Apocalipse13yy16,23,68,91,25.3
ApoloNew,1,2,3,33.3
Aponia,42,106,148,28.4
AppleG,0,1,1,0.0
AquiAcabou,7,6,13,53.8
ArGentiNidad,21,21,42,50.0
ArLand,27,37,64,42.2
Arcana Mortis,3,7,10,30.0
Arcaness,0,1,1,0.0
Arcosanti,81,128,209,38.8
Arena del Desierto,1,0,1,100.0
Argentina_Tucuman,0,2,2,0.0
Argentum Online,1,3,4,25.0
Arka Jezusa,4,1,5,80.0
Armed Ballistic Forces,4,6,10,40.0
Army Bears,0,3,3,0.0
Army of Farmer,2,1,3,66.7
Arroz Clan,31,85,116,26.7
ArtFarm,1,1,2,50.0
AsMeninasSuperPoderosas,38,112,150,25.3
Ascendo,6,7,13,46.2
Ascensa0 Bad0nica,1,0,1,100.0
Ascensio Serpentis,1,1,2,50.0
Asechadores_del_Mar,9,22,31,29.0
Asesinos sin Rostro,19,28,47,40.4
Asgard team,29,93,122,23.8
Aslet,1,13,14,7.1
Aspects de la Recolte,3,3,6,50.0
Ass Breakers,12,36,48,25.0
Assassin -Dragons,0,1,1,0.0
Assassin American,0,2,2,0.0
AssassinOfTheDarkness,2,9,11,18.2
Assassins Creeed,0,6,6,0.0
Assassins Of The Kings,1,0,1,100.0
Assassins of Valhalla,23,25,48,47.9
AssassinsGreed,72,55,127,56.7
Astroputologas,3,7,10,30.0
Asunak,0,2,2,0.0
Asura Strike,0,3,3,0.0
At Arayan Kelebekler,5,17,22,22.7
At4udRisu3no,0,1,1,0.0
Atalas,4,5,9,44.4
Atan,1,0,1,100.0
Ataud Rojo,0,2,2,0.0
Atlantik O,1,0,1,100.0
Atrasa Lado,11,31,42,26.2
AtunReal,9,3,12,75.0
Aullidos,0,2,2,0.0
Aura-Chill,5,14,19,26.3
Autumn Wolves,1,8,9,11.1
Ava NNoiseZ,7,7,14,50.0
Ava Owl,5,8,13,38.5
Ava Test,1,0,1,100.0
Avalon_Fury,0,1,1,0.0
Avalons Shadows,0,2,2,0.0
Avanlon,0,5,5,0.0
AvenTvreroS,0,2,2,0.0
Avenging Light of Lymhurst,0,1,1,0.0
Aventureros Capitalistas,0,1,1,0.0
Aventuss,1,5,6,16.7
Awful Company,0,2,2,0.0
Axx Brakers,1,0,1,100.0
Axxis_Shadow,5,16,21,23.8
Azeroth Rogues,0,1,1,0.0
Azote de Gentle,0,4,4,0.0
B A G R E,1,1,2,50.0
B A N K _S,0,1,1,0.0
B A Z U C O,0,2,2,0.0
B Company,6,5,11,54.5
B E A N E R S,9,22,31,29.0
B E A R P A W S,28,30,58,48.3
B E A S T Y,2,2,4,50.0
B E L L U M S,3,4,7,42.9
B E R S E R K BR,0,2,2,0.0
B E R U,2,0,2,100.0
B L 0 0 D R A G E,4,0,4,100.0
B L 0 S S 0 M,0,1,1,0.0
B L 4 C K L I S T,0,1,1,0.0
B L A C K - A R M Y,1,19,20,5.0
B L A C K M I R R O R S,2,3,5,40.0
B L E S S E D,38,19,57,66.7
B L I N K,14,22,36,38.9
B L U T M O N D,0,2,2,0.0
B L V C K B U L L S,9,11,20,45.0
B T T F,0,13,13,0.0
B U R N I N,134,106,240,55.8
B e e r s e r k,0,1,1,0.0
B o n e H e a d z,1,6,7,14.3
B-0-P-E,0,2,2,0.0
B-O-N-T-E-N,1,1,2,50.0
B1ack Bulls,2,3,5,40.0
B1oodlust,8,37,45,17.8
B3CK,0,2,2,0.0
B4ll Br34k3r,0,3,3,0.0
BABA YAGA1,11,20,31,35.5
BACKYARDIGANK,0,1,1,0.0
BANANAS EN PIJAM4S,1,3,4,25.0
BANCO MASTER,8,12,20,40.0
BANKR0LL,7,5,12,58.3
BAR DA ROSA GORDA 2,1,0,1,100.0
BARDAG,0,1,1,0.0
BARRACUDA2,1,9,10,10.0
BAYKAL,0,1,1,0.0
BBC Coins,0,1,1,0.0
BEHELLA,4,2,6,66.7
BELCEBUTH,0,5,5,0.0
BELEGHOST,51,94,145,35.2
BERSERKERS_CA,1,5,6,16.7
BERSERKIR VIGMEN,0,2,2,0.0
BESOS NEGROS,0,3,3,0.0
BIG BANG BUM,0,1,1,0.0
BIRD SPARROW,0,3,3,0.0
BISMUTO,2,1,3,66.7
BL3ACH,0,1,1,0.0
BL4CK SUN,1,1,2,50.0
BL4CK_BULLS 99,0,1,1,0.0
BLACK DOGS UTC,3,6,9,33.3
BLACK HAMM3R,5,8,13,38.5
BLACK KAIZEN,0,4,4,0.0
BLACK KGNITHS,11,8,19,57.9
BLACK MAFI00,0,1,1,0.0
BLACK MOONS,4,6,10,40.0
BLACK NIGH,5,22,27,18.5
BLACK TAPE,20,46,66,30.3
BLACK----MONEY,2,11,13,15.4
BLACKS-CLOVERS,40,58,98,40.8
BLACK_ BULLS,0,1,1,0.0
BLACK_TAURUS,0,1,1,0.0
BLAK DEMONS,0,1,1,0.0
BLAM,4,3,7,57.1
BLAZON,0,1,1,0.0
BLITZKRIEG_EVIL,40,12,52,76.9
BLOCO SE7E,2,0,2,100.0
BLOOD HOLLOW KNIGHT,36,24,60,60.0
BLOOD MERAKI,0,6,6,0.0
BLOOD OF HELEA,13,35,48,27.1
BLOODMOON001,2,4,6,33.3
BLOODY-WARRIORS,3,14,17,17.6
BLOOMS,18,2,20,90.0
BLUE MARFIM,0,1,1,0.0
BLUEDEER,0,3,3,0.0
BLoons TD,0,1,1,0.0
BOCA DO CENORA,0,4,4,0.0
BOLA E GATO,0,1,1,0.0
BOMB SQUAD BR,5,11,16,31.2
BONDE DO KONG,3,20,23,13.0
BOOMSQUAD,1,9,10,10.0
BORN IN ROADS,2,1,3,66.7
BOSS Academy,0,1,1,0.0
BOT_ADD,1,0,1,100.0
BOUGAINVILLEA,0,1,1,0.0
BR Coletores,0,1,1,0.0
BR Coroneis,15,25,40,37.5
BR Free Fire,4,18,22,18.2
BRAIN D4MAGE,3,7,10,30.0
BRASIL AVANTE,0,1,1,0.0
BRASS MONKEYS,1,2,3,33.3
BRIGADA BALROG,0,3,3,0.0
BRISAS,0,1,1,0.0
BRONENOSEC,0,1,1,0.0
BRONZIO VIII,0,1,1,0.0
BROTHERS OF DESTINY,0,7,7,0.0
BROTHERS THILL DEATH,7,26,33,21.2
BRZK,17,47,64,26.6
BUSCA CAMARAS,7,14,21,33.3
BUSHlDDO,1,4,5,20.0
B_L_A_C_K,43,26,69,62.3
Baby Family,1,0,1,100.0
Bad Boys Gang,1,0,1,100.0
Bad Donkeys,0,1,1,0.0
BagoHoly,0,6,6,0.0
Balaque,0,5,5,0.0
Ball Fondlers,5,5,10,50.0
Baltha es algo,1,1,2,50.0
Ban4nas De Pijamas,1,27,28,3.6
Banana Republicc,33,24,57,57.9
Bananal,0,5,5,0.0
Banco Furry,0,1,1,0.0
Banco Real,11,1,12,91.7
Band of Free Men,1,1,2,50.0
Banda de Bandidos,1,7,8,12.5
Bandana Brothers,26,11,37,70.3
Banddle City,34,59,93,36.6
Bandidos de caerleon,2,11,13,15.4
Bandit Kill,37,4,41,90.2
Bandit Lords,89,103,192,46.4
Bandy2,3,11,14,21.4
Banguardia De Moria,5,14,19,26.3
Baofengyu,2,0,2,100.0
Baraz-gund,1,1,2,50.0
Barbaros Da Neve,0,3,3,0.0
Bastardos del Titan,0,4,4,0.0
Bastardos_Sin_Gloria,1,2,3,33.3
Bastion Reborn,4,1,5,80.0
BastionWar,3,25,28,10.7
Bataciubiti,0,1,1,0.0
Bathing Apes,0,2,2,0.0
Battle Rush,58,54,112,51.8
BattleToadz,26,19,45,57.8
Battlewise,11,17,28,39.3
Batutinhas,1,7,8,12.5
Be Careful,2,0,2,100.0
Be Silenced,21,39,60,35.0
BearKnight,0,1,1,0.0
BearLiddle,11,15,26,42.3
Bears and Maces,2,7,9,22.2
Beautiful_Day,0,1,1,0.0
BebeRebornFG,0,1,1,0.0
Beer Barrel,3,3,6,50.0
BeerSquad,1,1,2,50.0
Belekada,0,2,2,0.0
Belfast,1,3,4,25.0
Bellatores Noctis,1,1,2,50.0
Belligerent Bastions,0,1,1,0.0
BenchWarmers,1,20,21,4.8
Bencheados,2,1,3,66.7
Benevolent Gatitos,0,1,1,0.0
Benevolent Kool Aid,71,70,141,50.4
