Guild,win,loss,Total,Winrate (%)
-,1472,3322,4794,30.7
0 PVE,11,13,24,45.8
0-DarKraI-0,0,1,1,0.0
0-Downs,50,39,89,56.2
0-L-Y-M-P-U-S,0,1,1,0.0
0-Warcraft-0,0,2,2,0.0
00ZMA KAPPA,0,1,1,0.0
0PG,0,1,1,0.0
0UTNUMB3R,50,31,81,61.7
0VERGEARED,0,1,1,0.0
0______________________0,3,1,4,75.0
0rder 66,1,6,7,14.3
0rigem,3,3,6,50.0
0s Guardioes,12,64,76,15.8
0s Guardioes 2,1,7,8,12.5
0sS3mfutur0BR,0,1,1,0.0
0sosM4dur0s,0,2,2,0.0
0verweight,67,37,104,64.4
1 A f t e r L i f e 1,0,3,3,0.0
1 Batalho de Comandos,0,4,4,0.0
1 N V E R N A L I A,1,0,1,100.0
1 Take Care 1,1,6,7,14.3
1 assassin of the shadows 1,1,1,2,50.0
1 tap,9,8,17,52.9
1-Culto De La Luna Eclipsada-1,3,12,15,20.0
1-HP,0,1,1,0.0
10ZAO O PINO,0,1,1,0.0
120 ARCO DE GUERRA,0,2,2,0.0
13 FPS,0,4,4,0.0
159kk,2,0,2,100.0
16:00,91,85,176,51.7
19 ESCOLHIDOS,2,2,4,50.0
1AZEROTH1,52,123,175,29.7
1Big boss55,0,1,1,0.0
1GILGAMESH1,2,10,12,16.7
1KOKE11,0,2,2,0.0
1Lannisters1,0,2,2,0.0
1MARAUDERS1,1,1,2,50.0
1POCOYO1,0,4,4,0.0
1SSA1,1,0,1,100.0
1SiNNers,0,1,1,0.0
2026-07-06,3,0,3,100.0
20Pegar,26,26,52,50.0
20temata70corre,0,1,1,0.0
21 FPS,1,1,2,50.0
24 - 7,60,97,157,38.2
24pm,0,1,1,0.0
2Beck2Fly,0,2,2,0.0
2CARIOCADEMOTO,1,0,1,100.0
2SPQR2,0,1,1,0.0
3 THE_LIONS,2,5,7,28.6
3 Wolf Moon T-Shirt,0,2,2,0.0
3CM OF PLEASURE,12,35,47,25.5
3NDLESS,14,31,45,31.1
3vX,1,3,4,25.0
4 N X 1 3 T Y,4,0,4,100.0
40-1,0,1,1,0.0
444 o,0,2,2,0.0
4FUN IN BLACK,0,1,1,0.0
4K TEAM ELITE,4,7,11,36.4
4K TEAM ELITE IV,0,1,1,0.0
4LMA PERDIDA,0,1,1,0.0
4YouBack,3,1,4,75.0
4punto3,0,1,1,0.0
4vs20,0,1,1,0.0
50 tons de Bagres,4,4,8,50.0
504,0,1,1,0.0
5489,1,0,1,100.0
593,0,1,1,0.0
6-TRINIBAD-6,6,7,13,46.2
6320,2,4,6,33.3
666CREW,0,2,2,0.0
6IX S7VEN,2,4,6,33.3
7 BELO,0,1,1,0.0
7 Dayz,13,18,31,41.9
7 Segundos,5,13,18,27.8
7 pecados capitais solo,0,2,2,0.0
7Death Knights7,1,0,1,100.0
7Falling,0,1,1,0.0
7th Company,0,1,1,0.0
86-Eighty six,3,1,4,75.0
8UP,0,2,2,0.0
99F00D,9,19,28,32.1
99Guelfa,0,1,1,0.0
99HP,2,5,7,28.6
9LEGlON,0,1,1,0.0
9Testigos-de-Jehova9,1,5,6,16.7
A G O G E,4,18,22,18.2
A G U I LA S,0,1,1,0.0
A Gangue Trololo,8,31,39,20.5
A Irmandade do Pvp,0,1,1,0.0
A L C A T E I 4,38,31,69,55.1
A L F H E I M,0,8,8,0.0
A L K A R A P A I K A S,0,1,1,0.0
A L O P E C I A,24,26,50,48.0
A La Mala,0,1,1,0.0
A Mais Perfeita,2,0,2,100.0
A N A R C O S,0,2,2,0.0
A N C A P S,1,0,1,100.0
A N E S T H E S I A,1,0,1,100.0
A N I K E T O S,3,7,10,30.0
A N T A R E S,33,29,62,53.2
A N T O X I C,0,6,6,0.0
A N X X I E T Y,76,89,165,46.1
A ORDEM GUILD,0,1,1,0.0
A ORIGEM,9,35,44,20.5
A Ordem Da Coruja,0,1,1,0.0
A P E I R O N,114,119,233,48.9
A PANELA PVE,8,5,13,61.5
A R 1 S E,27,83,110,24.5
A R I S T O P U T A S,0,2,2,0.0
A R K H A M,1,4,5,20.0
A R X,1,2,3,33.3
A S C E N D E N T,11,16,27,40.7
A S T R A L I U M,61,125,186,32.8
A T O M 1 C,0,1,1,0.0
A T O R M E N T A D O S,0,5,5,0.0
A Vida Nao E Um Morango,0,1,1,0.0
A m b u s h,1,3,4,25.0
A-Casa-Das-Prima,4,3,7,57.1
A-S-G,5,10,15,33.3
ABAS,0,2,2,0.0
ABCDEFGHIJKLMNOPQRSTUWU,1,0,1,100.0
ABCQc,0,1,1,0.0
ABU-DHABI,62,65,127,48.8
ABYSSAAL,0,1,1,0.0
ACA,1,0,1,100.0
ACM1PTX2,17,9,26,65.4
ADASTRO,3,2,5,60.0
ADEPTOS DE LA PAJA,21,62,83,25.3
ADEPTOS DEL CAFE,0,2,2,0.0
ADF_CITY,4,13,17,23.5
ADO FANCLUB,11,19,30,36.7
AESTHETIIC,1,1,2,50.0
AETT Blar,0,1,1,0.0
AEZIR Kingdom,0,5,5,0.0
