Guild,win,loss,Total,Winrate (%)
-,922,2053,2975,31.0
0-Infinity,7,30,37,18.9
0001Zugoy,1,2,3,33.3
001gongreng,1,0,1,100.0
00nemo002,2,14,16,12.5
0ne_Love,1,1,2,50.0
10 My friend are coming Run,11,55,66,16.7
100Percent,1,0,1,100.0
10101,1,0,1,100.0
11,0,5,5,0.0
111000111,0,1,1,0.0
11b,1,0,1,100.0
12 Apostles,1,3,4,25.0
123qaz,4,8,12,33.3
18jack-CREW,1,2,3,33.3
1994,4,16,20,20.0
1B PROFIT,0,2,2,0.0
1DAY,0,1,1,0.0
1GU 1GU,0,7,7,0.0
1Mmortal,146,89,235,62.1
1V1,1,3,4,25.0
1gaywoligiaogiao,3,4,7,42.9
2001-01-09,0,1,1,0.0
2077,27,55,82,32.9
215215,0,1,1,0.0
21Gangsta,0,5,5,0.0
21_Rising_Warrior_22,1,1,2,50.0
21st century albion,11,3,14,78.6
222222,0,1,1,0.0
233,0,1,1,0.0
24 hours in1 dzil,0,2,2,0.0
25k,1,1,2,50.0
2v2v2v22vv22v2v2,0,3,3,0.0
3 Thang Ngu,0,2,2,0.0
300 Sparta,0,1,1,0.0
321 Demass,28,59,87,32.2
3G Albion Club,0,1,1,0.0
4tRune,0,1,1,0.0
567jqk,1,1,2,50.0
5784,0,9,9,0.0
66123,2,4,6,33.3
666GG,31,21,52,59.6
66_66,1,3,4,25.0
69luv,2,7,9,22.2
6TH SYMPHONY,0,2,2,0.0
7 DOSA BESAR,12,13,25,48.0
707,1,0,1,100.0
70bbe,0,1,1,0.0
7FALL,12,13,25,48.0
7SinsX,2,1,3,66.7
80S Guild,0,9,9,0.0
8469,0,1,1,0.0
8Sp1Ders,55,71,126,43.7
9 blessed boyz,11,11,22,50.0
9191,10,7,17,58.8
999999,20,15,35,57.1
9999999hunter,1,0,1,100.0
9INE,189,134,323,58.5
9o6,3,13,16,18.8
A Brave Man,67,54,121,55.4
A GGbond,2,2,4,50.0
A L B O R G I O N,0,1,1,0.0
A N I T O,1,0,1,100.0
A Voice A,0,1,1,0.0
A WA LONG,1,0,1,100.0
A X E,37,90,127,29.1
A p os t l e s,41,71,112,36.6
A real man,0,1,1,0.0
A you ok,2,8,10,20.0
A-W KING,0,2,2,0.0
A1A2A3A4,0,1,1,0.0
AAAAA,48,142,190,25.3
ABOVE HEAVEN,10,21,31,32.3
ABOVE TH3 LAW,0,3,3,0.0
AC Milan,0,1,1,0.0
ACM,101,96,197,51.3
ACT4,0,1,1,0.0
ADAPTADOS,0,1,1,0.0
AEBACONCHO,4,6,10,40.0
AFTERMATH,52,96,148,35.1
AGM,5,4,9,55.6
AISVARYA,1,3,4,25.0
AK-47,100,162,262,38.2
AK-74,57,116,173,32.9
AKA-KING,0,1,1,0.0
AKATSUK1,1,1,2,50.0
ALA ALBA,2,9,11,18.2
ALAS KWATRO,2,4,6,33.3
ALASTERS,0,1,1,0.0
ALBION AFTER S3X,134,115,249,53.8
ALDUB,1,0,1,100.0
ALGERIA,1,1,2,50.0
ALIVE,5,21,26,19.2
ALL FRIENDZONE,0,10,10,0.0
ALL MY LIFE,6,7,13,46.2
ALL VICTORY,22,35,57,38.6
ALPH1,0,1,1,0.0
ALTAIR,2,7,9,22.2
AMJ - Aceh Medan Jakarta,0,8,8,0.0
ANGKAWAN,0,2,2,0.0
ANJINGPERET,0,1,1,0.0
ANJIR GANG,0,5,5,0.0
ANNIKKIA,0,1,1,0.0
ANTEIIKU,0,1,1,0.0
ANTEK ASING,2,2,4,50.0
APEE,1,0,1,100.0
APS,6,4,10,60.0
ARCADIANS,0,1,1,0.0
ARCH KNIGHTS,1,14,15,6.7
ARCHANE,0,1,1,0.0
ARCHOPOLIS,0,1,1,0.0
ARMA,1,8,9,11.1
ARTIKULO UNO,10,10,20,50.0
ARTON,0,1,1,0.0
ARUNACHAL PRADESH,1,9,10,10.0
ASAM LAMBUNK,0,2,2,0.0
ASCENDANT SUN,1,4,5,20.0
ASHFORD,0,4,4,0.0
ASIA OFFLINE,2,4,6,33.3
ASS,4,2,6,66.7
AVA,5,6,11,45.5
AVA Tactical Squad,2,3,5,40.0
AVA world,7,21,28,25.0
AZAZEL,0,2,2,0.0
AZKALZ,14,49,63,22.2
Absolute Dragon,22,44,66,33.3
AbsoluteSaweet,1,8,9,11.1
Absorb,1,0,1,100.0
Abstract elderly home,0,6,6,0.0
Abyss Legion,15,14,29,51.7
Abyssal Depth,0,11,11,0.0
Abyssal Hunters,1,2,3,33.3
Abyssal Order,5,25,30,16.7
Abyssal Princess,2,0,2,100.0
Abyssal Raven,0,1,1,0.0
Abyssal Seraphs,0,2,2,0.0
Achaemenid,2,6,8,25.0
AdigungAdiguna,0,1,1,0.0
Adventurerz Guild,1,3,4,25.0
Aegis of Fuji,1,15,16,6.2
Aetherion Order,10,41,51,19.6
Aetherium,11,17,28,39.3
After Cleric,37,32,69,53.6
After LIKE,0,1,1,0.0
After The Fall,1,1,2,50.0
AfterL1fe,0,1,1,0.0
AiKanFuTa,0,6,6,0.0
Akagami,0,2,2,0.0
AkatSukatMalang,0,1,1,0.0
Akhri Pasta,0,8,8,0.0
Aksma Korps,1,1,2,50.0
Ala,5,35,40,12.5
Ala Hua Gua,1,0,1,100.0
Albion Asia,0,1,1,0.0
Albion Bulls,1,4,5,20.0
Albion E3,2,11,13,15.4
Albion Indonesia Raya,0,3,3,0.0
Albion Nation,0,3,3,0.0
Albion Newbie Central,0,1,1,0.0
Albion Newbie Home,0,3,3,0.0
Albion Newbie Shelter,5,13,18,27.8
Albion Newbie Union,1,12,13,7.7
Albion Royal Mercenaries,1,0,1,100.0
Albion newbie Guild,0,5,5,0.0
Albions Ark,15,28,43,34.9
Albumin,2,4,6,33.3
Alchemi5T,0,1,1,0.0
Aldmeri Dominion,0,2,2,0.0
Aliansi Santai,0,1,1,0.0
Alive Evil,5,6,11,45.5
All Blacks,0,6,6,0.0
All God Class,4,12,16,25.0
