Guild,win,loss,Total,Winrate (%)
-,735,1563,2298,32.0
0,0,1,1,0.0
00keaiookeai00,1,2,3,33.3
00nemo002,0,3,3,0.0
0ne_Love,2,2,4,50.0
10 My friend are coming Run,7,31,38,18.4
101,1,2,3,33.3
120 carving,0,7,7,0.0
123qaz,1,2,3,33.3
1973,4,6,10,40.0
1994,2,3,5,40.0
19jutalapangankerja,10,2,12,83.3
1CTA,21,45,66,31.8
1FARMER,0,1,1,0.0
1GU 1GU,0,9,9,0.0
1V1,17,24,41,41.5
1_WOLFRIDER,0,2,2,0.0
1gaywoligiaogiao,3,2,5,60.0
2-3RB,0,3,3,0.0
2008-02-02,2,2,4,50.0
2009-09-09,0,1,1,0.0
2077,50,80,130,38.5
23 FJ,0,1,1,0.0
2556,0,2,2,0.0
25k,0,3,3,0.0
3 Thang Ngu,2,2,4,50.0
321 Demass,27,61,88,30.7
3LOGY,0,1,1,0.0
3RATs,14,8,22,63.6
3YYY,4,3,7,57.1
4396,2,0,2,100.0
4vX,1,4,5,20.0
54188,0,1,1,0.0
6,0,1,1,0.0
666GG,18,7,25,72.0
66_66,16,4,20,80.0
69UTC,1,0,1,100.0
70bbe,0,2,2,0.0
7AKE AWAY,1,5,6,16.7
7FALL,34,56,90,37.8
7K7K,1,2,3,33.3
7SinsX,58,66,124,46.8
80S Guild,3,10,13,23.1
888ty,3,1,4,75.0
8Sp1Ders,21,20,41,51.2
9600Kkm2,0,1,1,0.0
9INE,47,30,77,61.0
9o6,0,8,8,0.0
A Brave Man,20,59,79,25.3
A E T H E R,0,1,1,0.0
A X E,8,16,24,33.3
A p os t l e s,10,44,54,18.5
A-W KING,0,2,2,0.0
A1A2A3A4,0,2,2,0.0
AAA,0,1,1,0.0
AAAAA,18,38,56,32.1
ABOVE HEAVEN,0,4,4,0.0
ABSURDVOH,91,45,136,66.9
ABU,0,1,1,0.0
ABYSS LINK AGENCY,0,1,1,0.0
ACAB 1312,1,0,1,100.0
ACM,108,63,171,63.2
ACT1ON,0,1,1,0.0
ACT4,1,1,2,50.0
AE Bu Liem,3,1,4,75.0
AFTERMATH,220,292,512,43.0
AGGRESSORS,1,2,3,33.3
AGM,2,0,2,100.0
AISVARYA,0,8,8,0.0
AK-47,61,124,185,33.0
AK-74,7,29,36,19.4
AKA-KING,0,3,3,0.0
AKATSUKI ORPHANS,0,1,1,0.0
ALA ALBA,0,8,8,0.0
ALAS KWATRO,21,75,96,21.9
ALASTERS,0,1,1,0.0
ALBION AFTER S3X,142,157,299,47.5
ALCHEM1STS,0,3,3,0.0
ALGERIA,0,1,1,0.0
ALIVE,5,11,16,31.2
ALL FRIENDZONE,0,1,1,0.0
