Guild,win,loss,Total,Winrate (%)
-,1227,3235,4462,27.5
0 R T H 0 D 0 X,3,5,8,37.5
000 XXX 000,10,11,21,47.6
0N A FAIM,139,92,231,60.2
0utlaws,0,1,1,0.0
1 8 8 1,0,1,1,0.0
1-st,19,40,59,32.2
100PARIK,0,1,1,0.0
111111222222333333,0,1,1,0.0
1144,0,15,15,0.0
122,4,2,6,66.7
1337 elite,0,2,2,0.0
13Lights,0,2,2,0.0
141st Division,1,4,5,20.0
1488REDAN52FEMBOY67ZXC1000-7,1,4,5,20.0
16HP,1,1,2,50.0
1881 1938,1,8,9,11.1
1Astartes1,0,4,4,0.0
1DEUS_VULT1,7,19,26,26.9
1ManArmy,1,1,2,50.0
1Zavet1,1,1,2,50.0
1_1,0,1,1,0.0
1ere legion Orionite,1,0,1,100.0
2 THE GREATS 2,0,1,1,0.0
2 v 2,1,0,1,100.0
2007-08-01,5,11,16,31.2
200squad,0,1,1,0.0
2026-07-06,0,1,1,0.0
250 - PING,3,8,11,27.3
2CRABS,0,1,1,0.0
2Hearts,1,3,4,25.0
2v2,0,1,1,0.0
2xDanger,0,1,1,0.0
3 Badons and a Healer,0,3,3,0.0
3 CYTRYNY,0,2,2,0.0
3 IQ,8,17,25,32.0
3 days of farm,19,13,32,59.4
300 - Cardinal Sins,0,1,1,0.0
30V90,0,1,1,0.0
31 CHECK,1,1,2,50.0
322CORPORATION,0,2,2,0.0
33meow,3,1,4,75.0
34356,1,0,1,100.0
385347N 770133W 1865,3,2,5,60.0
39 Kaliningrad,0,1,1,0.0
3AO POMAIIIKA,0,1,1,0.0
3DangGang and Deena,1,32,33,3.0
3M-JACKPOT,0,1,1,0.0
3a6y3a 4TO c E6aJlOM,1,0,1,100.0
3blan,2,1,3,66.7
3mamk,0,1,1,0.0
3rb,1,2,3,33.3
3rd Assault Brigade,0,1,1,0.0
4 Traps,1,2,3,33.3
40-1,14,21,35,40.0
420 MIND,1,6,7,14.3
420enjoyer,0,1,1,0.0
4444,5,2,7,71.4
4CB,3,3,6,50.0
4EREMIIIA,0,1,1,0.0
4ORT,0,1,1,0.0
4SAN,22,21,43,51.2
4ULL I DOWN,0,2,2,0.0
4len,0,1,1,0.0
4vX,0,1,1,0.0
500 Logiki,0,2,2,0.0
66_66,5,4,9,55.6
6AHK,0,1,1,0.0
6Class,0,1,1,0.0
7 R B,3,5,8,37.5
7 RONIN,0,4,4,0.0
7 THRONES,1,0,1,100.0
76 Legion,0,1,1,0.0
7D3,6,7,13,46.2
7nshl,4,2,6,66.7
8 point 3 Kokosmilch 1v1,0,1,1,0.0
8991,0,1,1,0.0
9Abila,10,12,22,45.5
9t and atr,0,1,1,0.0
9v1,0,1,1,0.0
A K U M A,84,58,142,59.2
A L B A T R O S,1,1,2,50.0
A S G A R D,2,26,28,7.1
A S T R A L,2,3,5,40.0
A T L A N T I S,7,5,12,58.3
A U R,25,21,46,54.3
A V E N G E R S,5,7,12,41.7
A X I O M,0,1,1,0.0
A m i t y,25,34,59,42.4
A x i s,1,2,3,33.3
A-N-G,1,4,5,20.0
A-T-L-A-S,99,90,189,52.4
A-tripleS,2,13,15,13.3
A3OB,37,67,104,35.6
A7-REAPERS,0,3,3,0.0
A7squad,40,43,83,48.2
AAA1,0,4,4,0.0
AAAAAAAAAAAAA,1,1,2,50.0
ABOB,1,1,2,50.0
ABYSS TO HELL,8,10,18,44.4
ACAB,10,62,72,13.9
ACHERONS,1,5,6,16.7
ACOLASIA,0,4,4,0.0
ACTORS,0,1,1,0.0
ADALET,1,2,3,33.3
ADICTOS AL FARMING,6,14,20,30.0
ADICTOS AL VERDE,0,3,3,0.0
AEGIS MYTHIQUE,0,1,1,0.0
AFK Grandpa,1,0,1,100.0
AFK No Mercy,0,1,1,0.0
AFKfarmers,0,1,1,0.0
AFTERLIFE,4,6,10,40.0
AFTERMATH,3,0,3,100.0
AGARTHA IS REAL,4,3,7,57.1
AGARTHA Z,0,10,10,0.0
AGONIJA,4,1,5,80.0
AHAPXLI9I,0,1,1,0.0
AHIRAT,1,1,2,50.0
AKATSUKIGANG,2,10,12,16.7
AKM Almighty Killer Monster,0,10,10,0.0
ALBIONN,0,4,4,0.0
ALEXSANDRI,1,1,2,50.0
ALICUECANO,1,3,4,25.0
ALKARFEN,0,7,7,0.0
ALL IN GAMBIT,8,18,26,30.8
ALLAH VE ALBION,1,0,1,100.0
ALPARSLANN,19,28,47,40.4
ALPHA FEDERATION,1,0,1,100.0
ALPHA Prime,0,2,2,0.0
ALTARIUS,14,5,19,73.7
ALegion,0,1,1,0.0
AMBULANCE,0,1,1,0.0
AME,0,2,2,0.0
AMINOGLUGAMING,1,4,5,20.0
AN3L,2,0,2,100.0
ANATOLIAN WRATH,19,55,74,25.7
AND FRlENDS,0,2,2,0.0
ANGEL HEART,0,4,4,0.0
ANKAM,1,2,3,33.3
ANKLAW,38,18,56,67.9
ANNEXIA,12,28,40,30.0
ANTI MURDER,1,3,4,25.0
ANTI Z0V,2,0,2,100.0
ANTI-GANKERS,3,13,16,18.8
ANTIGER,0,1,1,0.0
ANWAR,4,10,14,28.6
ANY FIGHT,219,183,402,54.5
AO MMM,35,115,150,23.3
AOL,0,1,1,0.0
APAO,9,22,31,29.0
APES TOGETHER STRONG,1,2,3,33.3
APEX_LEGION,0,1,1,0.0
APOTEKA,8,22,30,26.7
APOWOWERS,0,1,1,0.0
AQUAMARINE,17,46,63,27.0
ARAB LAND,0,1,1,0.0
ARBYZI FUUZYTRONA,1,1,2,50.0
ARC TERYX,1,0,1,100.0
ARCANGEL,5,28,33,15.2
ARCH0NS,21,16,37,56.8
ARCHITEUTHIS,2,18,20,10.0
ARG,3,2,5,60.0
ARK-Grinders,0,1,1,0.0
ARMAGEDDON,0,11,11,0.0
ARMOR CLUB,0,1,1,0.0
ARMY_FARMED,0,3,3,0.0
ARMatyra,1,2,3,33.3
ARSLANLAR,1,1,2,50.0
AR_Danger,0,17,17,0.0
AS ABOVE SO BELOW,0,1,1,0.0
ASPARTAN,1,3,4,25.0
ASTRAL RIFT,0,3,3,0.0
ATABARI,0,1,1,0.0
ATAHUALLPA,1,0,1,100.0
ATBFeshoin,23,15,38,60.5
ATHANOR,0,1,1,0.0
ATLAS Corporation,0,2,2,0.0
ATSIZ,0,1,1,0.0
AUTRAGH,7,5,12,58.3
AVA RAID,1,0,1,100.0
AVALANCHE 2 SPERME,0,1,1,0.0
AVALON STRIPPERZ,0,1,1,0.0
AVALON-KNIGHTS,0,5,5,0.0
AVALONCbI,1,1,2,50.0
AVUTHRONE,1,0,1,100.0
AWAFOXES,0,3,3,0.0
AWHAM,1,9,10,10.0
AXES,2,5,7,28.6
AZEROTT,0,4,4,0.0
Aaa01Guild,0,6,6,0.0
Abakan,0,1,1,0.0
Abandon Hope,0,1,1,0.0
Abduskan,0,1,1,0.0
Absolute Anarchy,3,5,8,37.5
Abyss watcherss,0,1,1,0.0
Achieve Hunters,11,4,15,73.3
Acolits,0,1,1,0.0
Acolyte tripped me,1,8,9,11.1
Adeptus Astardes,2,1,3,66.7
Adja,2,3,5,40.0
Adolf Was Right,2,0,2,100.0
Adrenaline rush,1,1,2,50.0
Advance,2,13,15,13.3
AdventureTM,2,7,9,22.2
Aenima,1,2,3,33.3
AffenMitWaffen2025,0,1,1,0.0
Against All Authority,0,2,2,0.0
Aggressively Average,2,1,3,66.7
Aggrocalypse,1,0,1,100.0
Agoge,1,12,13,7.7
Aguilas Rojas,0,6,6,0.0
Ahoj,22,43,65,33.8
AiBolit,0,5,5,0.0
Aimo,1,0,1,100.0
Aiys,0,4,4,0.0
AkBa_PuyM,0,1,1,0.0
Akana,8,20,28,28.6
Akari,19,56,75,25.3
Akermans,0,3,3,0.0
Akumaa,1,0,1,100.0
Al Qaeda,3,1,4,75.0
Al andalus,4,18,22,18.2
Al-Qaeda,0,1,1,0.0
Al-andaluz oris,3,11,14,21.4
AlPivon Online,1,0,1,100.0
Alabuga Poleteh,1,0,1,100.0
Alas Negras,0,4,4,0.0
Albi0n Cringe,1,0,1,100.0
AlbinaSexovaFans,5,4,9,55.6
Albion Devils,0,6,6,0.0
Albion Dlya Slabix,0,1,1,0.0
Albion Global Trading Company,0,1,1,0.0
Albion Police,6,3,9,66.7
Albion Stock Exchange,7,17,24,29.2
Albion game trip,0,1,1,0.0
Albion-Offline,17,13,30,56.7
AlbionHub,2,1,3,66.7
Albionists,0,1,1,0.0
Albions Finest,0,3,3,0.0
Albivony,0,1,1,0.0
AlfaHope,2,4,6,33.3
Alkraar,0,9,9,0.0
All 0N Black,35,15,50,70.0
All LEE BAL,2,8,10,20.0
All My Friends Are Fake,1,1,2,50.0
All Saints,0,5,5,0.0
All-1n,0,1,1,0.0
AllBeOn Trash,0,1,1,0.0
AllYouCanEat,0,3,3,0.0
Alleanza,0,8,8,0.0
Alleanza delle Nebbie,1,1,2,50.0
Alliance59,0,3,3,0.0
AllianceOfScurletRoseAndCross,0,2,2,0.0
Almas Agrias,62,101,163,38.0
Alone in the dark,0,1,1,0.0
Alpagut TR,152,134,286,53.1
Alpha Cometrex,0,1,1,0.0
AltMetall,8,16,24,33.3
Alta lacra,3,20,23,13.0
AltersGuild,6,5,11,54.5
Althing,8,16,24,33.3
Alzheimer enthusiasts,1,1,2,50.0
Amanojaku Clan,0,5,5,0.0
AmantiDellaPatata,0,2,2,0.0
Amarti,0,1,1,0.0
Amaterasu-Kami,3,5,8,37.5
Amateur CumPany,0,1,1,0.0
AmbiValent,0,1,1,0.0
Ambition,1,1,2,50.0
Ambitious,4,13,17,23.5
Amdusias,0,1,1,0.0
AmmA intikamclar,0,4,4,0.0
An Earnest Endeavour,1,1,2,50.0
AnArtistsOfUs,4,7,11,36.4
Anaconda,17,24,41,41.5
Anadolu Turk,0,6,6,0.0
Analni Rozpruwacze,0,1,1,0.0
Anarchyz,6,1,7,85.7
Anatolian Rebels,122,228,350,34.9
Anatolian Tigers,0,3,3,0.0
Anchored,18,43,61,29.5
Ancient Roots,0,1,1,0.0
Andromede,7,3,10,70.0
Angel Cartel,1,0,1,100.0
Angels,0,1,1,0.0
AngelsOfDeaTh,0,1,1,0.0
Angry Ducks,2,2,4,50.0
Angry Nerds,0,3,3,0.0
Angry fuzzies,0,2,2,0.0
Anima Bellum,48,79,127,37.8
AnschAffen,0,1,1,0.0
Antarctica,1,12,13,7.7
Antcolony,2,7,9,22.2
AnteikaPivoPub,0,4,4,0.0
AntiCommunistAction,1,5,6,16.7
Antipositive,75,70,145,51.7
Antler,0,4,4,0.0
Anunnaki,0,2,2,0.0
Anvil Alliance,1,6,7,14.3
Anvilanche,0,1,1,0.0
AnyMe,1,3,4,25.0
Apes Together Str0ng,1,2,3,33.3
Aplogize to the knight,0,1,1,0.0
Apocalytica,0,1,1,0.0
Apostol,0,4,4,0.0
ArLand,0,1,1,0.0
Arab Falcons,0,9,9,0.0
Arab Lions,20,96,116,17.2
AracnoPochos,0,4,4,0.0
Aram,0,3,3,0.0
Arbiters,0,11,11,0.0
Arcadis,1,2,3,33.3
Arch-imps,1,5,6,16.7
Archange1,0,1,1,0.0
Archer Vice,0,1,1,0.0
ArcherFrancais,4,19,23,17.4
Archons,50,61,111,45.0
Arctic_Monkeys,4,5,9,44.4
Arda,0,8,8,0.0
Arek z emerytury,4,1,5,80.0
Arise of Turks,1,10,11,9.1
Armour,2,3,5,40.0
Army Of the Two,1,0,1,100.0
Army of One,0,3,3,0.0
Arrows of Time,3,23,26,11.5
Ars Vincere,0,1,1,0.0
Art of greed,0,1,1,0.0
Artisans Of War,0,1,1,0.0
Aryze,1,3,4,25.0
Arz3,12,6,18,66.7
As We Wish,0,2,2,0.0
Ascensio Ex Ruina,10,3,13,76.9
Ascension,213,232,445,47.9
Asena,1,1,2,50.0
AsganaFlow,0,1,1,0.0
Ashbound,89,65,154,57.8
Ashen Fall,1,10,11,9.1
Ashen Sovereign,6,1,7,85.7
Ashes of the Empire,1,1,2,50.0
Ashes-of-Creation,1,1,2,50.0
AshmaRK,1,1,2,50.0
AshuraKai,0,1,1,0.0
Asianumber1,1,0,1,100.0
AsortikBabys,1,5,6,16.7
Assassin Company,0,2,2,0.0
Asteriya,1,16,17,5.9
Astra Ignis,26,74,100,26.0
Astraea,4,6,10,40.0
Astral Team,0,1,1,0.0
AsturGalaicos,16,30,46,34.8
AsyIum,0,1,1,0.0
At sunset,0,1,1,0.0
Atomic Cats,0,1,1,0.0
Atracadores armados,0,3,3,0.0
Atreya,2,1,3,66.7
Auf Crack,0,1,1,0.0
Aurum Ignis,0,3,3,0.0
Ava Abyssals,7,3,10,70.0
Ava Gold,0,2,2,0.0
AvaBirds,0,4,4,0.0
AvaGei,4,5,9,44.4
AvaZY,0,1,1,0.0
Avadang,3,5,8,37.5
Avalon Coalition,1,2,3,33.3
Avalon Marauders,2,1,3,66.7
Avalon Power,4,1,5,80.0
Avalon Terrorists,2,1,3,66.7
Avaloncev,0,5,5,0.0
Avalonian Architects,0,3,3,0.0
Avangarda,0,1,1,0.0
Avarush,5,4,9,55.6
Avasurf Club,2,3,5,40.0
Average SwoleBenji Enjoyer,0,2,2,0.0
