Guild,win,loss,Total,Winrate (%)
-,1185,3390,4575,25.9
0000 Gero,0,3,3,0.0
00_Money_00,0,2,2,0.0
05kd,0,1,1,0.0
0N A FAIM,108,64,172,62.8
0nizukeh,16,3,19,84.2
0rda,0,1,1,0.0
1 3 3 7,5,13,18,27.8
1 8 8 1,9,1,10,90.0
1-st,34,60,94,36.2
10004ertey,0,1,1,0.0
105-4636,0,3,3,0.0
11211,0,2,2,0.0
1144,0,1,1,0.0
12Volt,1,0,1,100.0
141st Division,1,15,16,6.2
1488REDAN52FEMBOY67ZXC1000-7,0,6,6,0.0
1500,0,1,1,0.0
187Strassenbande,2,0,2,100.0
1881 1938,0,4,4,0.0
1DEUS_VULT1,16,51,67,23.9
1MBA,1,0,1,100.0
1black hammer,0,7,7,0.0
1ere legion Orionite,1,3,4,25.0
2 THE GREATS 2,0,7,7,0.0
2007-08-01,1,2,3,33.3
200squad,0,4,4,0.0
25plus,0,1,1,0.0
2CRABS,0,1,1,0.0
2Hearts,0,3,3,0.0
2cats1cup,0,2,2,0.0
2much,0,1,1,0.0
300 - Cardinal Sins,0,4,4,0.0
322_FISTING_322,4,9,13,30.8
333,1,1,2,50.0
33meow,0,5,5,0.0
375,0,1,1,0.0
385347N 770133W 1865,7,12,19,36.8
3AO POMAIIIKA,1,3,4,25.0
3DangGang and Deena,2,45,47,4.3
3M-JACKPOT,0,1,1,0.0
3Y3,0,5,5,0.0
3a6y3a Xyecoc,1,0,1,100.0
3blan,0,1,1,0.0
3rb,22,24,46,47.8
40-1,16,29,45,35.6
420 MIND,8,7,15,53.3
420 VICIO,1,4,5,20.0
439 RELOADED,0,2,2,0.0
499p,0,1,1,0.0
4Ai,1,0,1,100.0
4EVER,0,2,2,0.0
4NAL ROYAL,0,1,1,0.0
4SAN,57,54,111,51.4
4if_Kif,1,1,2,50.0
4oKeR,0,1,1,0.0
500 Logiki,0,2,2,0.0
52GORILLAZ,0,2,2,0.0
553 domuzcuk,0,1,1,0.0
6173,0,3,3,0.0
665,1,5,6,16.7
66_66,15,1,16,93.8
7 DAYS CHALLENGE,0,1,1,0.0
7 RONIN,0,4,4,0.0
707,1,1,2,50.0
7nshl,5,16,21,23.8
8 point 3 Kokosmilch 1v1,0,1,1,0.0
A K U M A,13,17,30,43.3
A L T E R - E G O,1,4,5,20.0
A LA CARTE,3,9,12,25.0
A N T I C A,1,2,3,33.3
A Perfect Square,2,5,7,28.6
A R E T E,0,1,1,0.0
A S G A R D,2,12,14,14.3
A S T R A,0,2,2,0.0
A S T R A L,3,16,19,15.8
A SKILL ISSUE,98,44,142,69.0
A Story Of Caerleon,0,2,2,0.0
A U R,15,26,41,36.6
A V E N G E R S,5,4,9,55.6
A X I O M,0,1,1,0.0
A m i t y,6,4,10,60.0
A x i s,14,10,24,58.3
A-N-G,2,5,7,28.6
A-T-L-A-S,4,4,8,50.0
A-tripleS,0,14,14,0.0
A11one,0,1,1,0.0
A3OB,5,19,24,20.8
A7AA NEKKK,0,1,1,0.0
A7squad,10,28,38,26.3
ABOB,1,0,1,100.0
ABSOLUTE PUSH,0,2,2,0.0
ABYSS TO HELL,1,11,12,8.3
ACAB,44,122,166,26.5
ACADEMI,1,13,14,7.1
ACES,0,4,4,0.0
ACOLASIA,1,1,2,50.0
ACTIVNIE GOMESI,1,3,4,25.0
ADAMASTOR,9,10,19,47.4
ADASDASDASD,0,1,1,0.0
ADICTOS AL FARMING,8,42,50,16.0
AFKS,6,0,6,100.0
AFTERLIFE,7,12,19,36.8
AGARTHA IS REAL,6,2,8,75.0
AGARTHA Z,0,3,3,0.0
AGG,1,2,3,33.3
AGONIJA,2,4,6,33.3
AIFAM,1,0,1,100.0
AKATSUKIGANG,1,31,32,3.1
AKAYNT,0,1,1,0.0
AKM Almighty Killer Monster,9,82,91,9.9
AL-IN,5,7,12,41.7
ALCATRAS,1,2,3,33.3
ALC_GAMER,0,4,4,0.0
ALKARFEN,0,19,19,0.0
ALL IN GAMBIT,6,11,17,35.3
