Player,Guild,Wins,Losses,Total,Winrate_%
Skumb,DARKM1GHT,195,34,229,85.15
Leviqwq,DARKM1GHT,188,42,230,81.74
Jaadezz,BlackSm0ke,172,99,271,63.47
ErenProPlayer,DARKM1GHT,158,33,191,82.72
FACKIT,DARKM1GHT,157,35,192,81.77
FerBoxS,DARKM1GHT,154,28,182,84.62
Pululin,DARKM1GHT,154,52,206,74.76
ELBAZURITA69,DARKM1GHT,148,40,188,78.72
Wuelerin,BlackSm0ke,147,83,230,63.91
NoFlamePain,BlackSm0ke,142,82,224,63.39
XzagreosX,DARKM1GHT,140,34,174,80.46
DappereStier,BlackSm0ke,140,57,197,71.07
TheAnya,DARKM1GHT,139,27,166,83.73
AsunaKirito98,DARKM1GHT,136,42,178,76.4
Zactir,DARKM1GHT,132,32,164,80.49
amvjeremy,Curriculum Vitae,130,60,190,68.42
lunakk,DARKM1GHT,128,34,162,79.01
capobro7,DARKM1GHT,123,44,167,73.65
TheGrandFinale,DARKM1GHT,121,30,151,80.13
Raay11,BlackSm0ke,119,55,174,68.39
xxkkatarinaxx,DARKM1GHT,116,45,161,72.05
Xezonefeth,DARKM1GHT,111,25,136,81.62
juanignaciodelav,Curriculum Vitae,110,45,155,70.97
Tobalo8484,DARKM1GHT,108,24,132,81.82
Abyecto,DARKM1GHT,108,28,136,79.41
T1zXable,DARKM1GHT,105,22,127,82.68
Tomoon,DARKM1GHT,103,19,122,84.43
YOrocha,Ministry Of Bandits,103,95,198,52.02
Maximus99,DARKM1GHT,100,21,121,82.64
ImSoKeL,DARKM1GHT,100,30,130,76.92
consquitardor,DARKM1GHT,99,20,119,83.19
MuddyBL,Curriculum Vitae,99,27,126,78.57
M4L3K1TH,DARKM1GHT,98,12,110,89.09
LysumS2G,BlackSm0ke,98,51,149,65.77
CeSaRPL,BlackSm0ke,97,39,136,71.32
16432578900,Who is Lobitos,96,62,158,60.76
YellowIV,Curriculum Vitae,96,70,166,57.83
Velkanah,Curriculum Vitae,94,41,135,69.63
lucasborlan,DARKM1GHT,93,24,117,79.49
Attila211,Curriculum Vitae,93,45,138,67.39
PuntaeFlecha,DARKM1GHT,91,23,114,79.82
OsitoPeruUwU,BlackSm0ke,91,38,129,70.54
TzamKTM,DARKM1GHT,90,30,120,75.0
Freedomwp,Curriculum Vitae,90,40,130,69.23
KimHariZ,DARKM1GHT,89,24,113,78.76
RenunciaBachelet,Who is Lobitos,89,54,143,62.24
Kikiexd,DARKM1GHT,88,23,111,79.28
Chuerkito,PlVAS,86,46,132,65.15
racnatoR,DARKM1GHT,85,24,109,77.98
Geovanny222,Curriculum Vitae,85,60,145,58.62
MenorBEAST,PlVAS,84,36,120,70.0
Apppolo,Who is Lobitos,84,53,137,61.31
Rodrigo98,DARKM1GHT,83,26,109,76.15
SkateD,DARKM1GHT,82,16,98,83.67
JuamPa423,DARKM1GHT,82,19,101,81.19
Khelron,AO University,82,70,152,53.95
iLester10,DARKM1GHT,81,17,98,82.65
Africanow,PlVAS,81,25,106,76.42
HazardB,PlVAS,81,25,106,76.42
7LESTAD7,PlVAS,81,32,113,71.68
Sourceres,R E Q U 1 E M,81,92,173,46.82
Rehabilitated,PlVAS,80,24,104,76.92
AKMansory,The Rugrats,80,49,129,62.02
Loquisho,DARKM1GHT,79,22,101,78.22
Lagean,R E Q U 1 E M,79,76,155,50.97
Daaarkness,Cheer,78,82,160,48.75
Sabandija77,Ministry Of Bandits,78,126,204,38.24
Danilskinem,desavence,78,128,206,37.86
xestik,Curriculum Vitae,77,45,122,63.11
GloopEater,AO University,77,64,141,54.61
Saranbanbiche,DARKM1GHT,76,21,97,78.35
ImLeonardo,DARKM1GHT,76,31,107,71.03
LTDzeus,GELO E TECO,76,42,118,64.41
MecuteiMei,Who is Lobitos,76,54,130,58.46
N3n3c0123,PlVAS,75,21,96,78.12
