Player,Guild,Wins,Losses,Total,Winrate_%
Africanblackstic,Artery,128,82,210,60.95
heybaragi,Meerkat Assemble,125,92,217,57.6
Momoring,Speed Check,123,67,190,64.74
MrDog91,Artery,120,71,191,62.83
JunShiZhang,Artery,117,73,190,61.58
Erwan,Speed Check,115,49,164,70.12
2018344137,Artery,114,67,181,62.98
Bamboohorse,Artery,109,63,172,63.37
Typpe,Speed Check,108,46,154,70.13
NCOUNT,Artery,108,75,183,59.02
jxxb,All Rise,106,50,156,67.95
BellaJJ,Meerkat Assemble,103,61,164,62.8
9527Ikun,Artery,102,59,161,63.35
CrispyHotdog,MAX VERSTAPPEN,102,143,245,41.63
MKP9527,Artery,101,60,161,62.73
F0lded,Speed Check,100,29,129,77.52
laxibaidai,Artery,100,52,152,65.79
Sangnom,Meerkat Assemble,99,71,170,58.24
Jimmyso,All Rise,97,45,142,68.31
Archaim,Speed Check,97,46,143,67.83
vennyJ,Speed Check,96,47,143,67.13
Allicrum,MAX VERSTAPPEN,96,159,255,37.65
baisimeimei,All Rise,95,54,149,63.76
SayurBasi,Speed Check,94,49,143,65.73
Miyaiku,Topspire,94,82,176,53.41
Glenledas,All Rise,92,37,129,71.32
SoeYe,Speed Check,92,37,129,71.32
DevilSkin,Meerkat Assemble,91,70,161,56.52
oreeeeeeo,Chikipi,90,48,138,65.22
kelembot,Topspire,90,86,176,51.14
6oo,HeIIo Kitty,89,78,167,53.29
1024Medic,Speed Check,87,40,127,68.5
Sylarwoz,Speed Check,86,35,121,71.07
DavidLaidJr,MAX VERSTAPPEN,86,126,212,40.57
OjSimpson,Artery,85,44,129,65.89
Sunyoo,Chikipi,85,52,137,62.04
ZLL,HeIIo Kitty,85,67,152,55.92
suirenka,All Rise,84,32,116,72.41
waterdrip,All Rise,84,34,118,71.19
Negarino,Topspire,84,78,162,51.85
Tatakai,All Rise,82,30,112,73.21
xiaolll,All Rise,82,37,119,68.91
aLakabOom,BeasTDaK,82,38,120,68.33
LBJ778,Chikipi,81,55,136,59.56
Grindas,Topspire,81,65,146,55.48
Gafx,MAX VERSTAPPEN,80,137,217,36.87
lokee1337,Chikipi,79,41,120,65.83
nano1337,Chikipi,79,44,123,64.23
SHREDDEDFRED,Speed Check,78,31,109,71.56
wootak,Meerkat Assemble,78,53,131,59.54
Dangherenmin,All Rise,77,41,118,65.25
pillowcake,Rescue Station,77,64,141,54.61
OnikaKing,Speed Check,76,34,110,69.09
Layna,All Rise,76,39,115,66.09
LOTTO31,Meerkat Assemble,76,50,126,60.32
Bigsize,Meerkat Assemble,76,57,133,57.14
JustTryIt,Chikipi,75,35,110,68.18
Mrcyyy,Initial Engage,75,64,139,53.96
GoGoBeBe,All Rise,74,26,100,74.0
ScarlettNat,HeIIo Kitty,74,59,133,55.64
0rangeee,HeIIo Kitty,74,61,135,54.81
LaNagumo,Rescue Station,74,62,136,54.41
IamJH,Speed Check,73,25,98,74.49
lingluo,Artery,73,37,110,66.36
Fat2Cat,Meerkat Assemble,73,47,120,60.83
TTkol,Initial Engage,73,52,125,58.4
Yishajie,Artery,72,50,122,59.02
zonan,Initial Engage,72,54,126,57.14
DuyEnd,Rescue Station,72,73,145,49.66
L0ngdan,All Rise,71,29,100,71.0
ALPHA1,Meerkat Assemble,71,57,128,55.47
CONCUTOCHABA,MAX VERSTAPPEN,71,91,162,43.83
Sheeon,Initial Engage,70,40,110,63.64
duguqubai,All The Villains,70,48,118,59.32
ScriptZe,Western Paradise,70,74,144,48.61
Jisoo,All Rise,69,37,106,65.09
znlskcak,Meerkat Assemble,69,46,115,60.0
jannn26,Rescue Station,69,61,130,53.08
babydino,xCUTIESx,69,94,163,42.33
Emeng,All Rise,68,32,100,68.0
iDntCar3,Meerkat Assemble,68,46,114,59.65
zos1,Meerkat Assemble,68,47,115,59.13
Wackyyy,HeIIo Kitty,68,55,123,55.28
MyBabyTootz,Topspire,68,63,131,51.91
shz9573,All Rise,67,22,89,75.28
Greennnnn,Chikipi,67,29,96,69.79
EmiliaRose,Topspire,67,48,115,58.26
Morbide,AFTERMATH,67,54,121,55.37
UNTaker2,Initial Engage,67,57,124,54.03
Ppuppu,xCUTIESx,67,86,153,43.79
summercatOvO,All Rise,66,19,85,77.65
