Player,Guild,Wins,Losses,Total,Winrate_%
Africanblackstic,9INE,179,138,317,56.47
NCOUNT,9INE,140,114,254,55.12
JunShiZhang,9INE,130,99,229,56.77
2018344137,9INE,122,104,226,53.98
Bamboohorse,9INE,112,105,217,51.61
Zhecall,MO GU,109,93,202,53.96
Uneyy,Summers,105,46,151,69.54
Yishajie,9INE,103,74,177,58.19
lzyy,Chikipi,100,42,142,70.42
Jimmyso,All Rise,100,83,183,54.64
LBJ778,Chikipi,98,48,146,67.12
NaiNaiYi,Chikipi,95,31,126,75.4
Sunyoo,Chikipi,95,37,132,71.97
YNshijian,9INE,93,87,180,51.67
Fronesis,Summers,92,44,136,67.65
heybaragi,Meerkat Assemble,92,98,190,48.42
MKP9527,9INE,91,57,148,61.49
Maverick,I The Flying Dutchman I,90,28,118,76.27
Morbide,AFTERMATH,89,60,149,59.73
Alibaba1688,9INE,89,78,167,53.29
SchnellXD,Summers,88,29,117,75.21
miaomiaozhaoli,PLAC,88,31,119,73.95
jxxb,All Rise,88,59,147,59.86
OjSimpson,9INE,88,81,169,52.07
Momoring,Speed Check,88,84,172,51.16
Angeliiia,9INE,87,81,168,51.79
BigGrandpa,PLAC,84,35,119,70.59
Satuhu,Summers,84,44,128,65.62
suirenka,All Rise,83,58,141,58.87
Scrizz,I The Flying Dutchman I,83,168,251,33.07
lokee1337,Chikipi,82,28,110,74.55
ZinJetsu,Summers,82,39,121,67.77
a5a5aa555o,Chikipi,82,43,125,65.6
yllemon,Earn money,82,58,140,58.57
REALSEXYGUY,I The Flying Dutchman I,81,39,120,67.5
pillowcake,Rescue Station,81,108,189,42.86
Carlun,I The Flying Dutchman I,80,25,105,76.19
DodlDodl,Summers,80,32,112,71.43
9527Ikun,9INE,80,70,150,53.33
Fat2Cat,Meerkat Assemble,80,93,173,46.24
FuckCall,PLAC,79,25,104,75.96
GodlikeWu,Chikipi,79,25,104,75.96
SimMe,Chikipi,79,29,108,73.15
noobdragon,Chikipi,79,31,110,71.82
RA7,I The Flying Dutchman I,79,41,120,65.83
BigbroAha,9INE,79,60,139,56.83
GoGoBeBe,All Rise,79,61,140,56.43
nano1337,Chikipi,78,33,111,70.27
rbubububu,Chikipi,78,45,123,63.41
XlspX,9INE,78,69,147,53.06
dilapidated,MO GU,78,73,151,51.66
7ly,PLAC,77,27,104,74.04
Badoot,I The Flying Dutchman I,77,33,110,70.0
Helenaaa,AFTERMATH,77,45,122,63.11
baisimeimei,All Rise,77,55,132,58.33
laxibaidai,9INE,77,72,149,51.68
wa1fu0505,Chikipi,76,24,100,76.0
cuixisi,All The Villains,76,28,104,73.08
ibarrazxc,Summers,76,29,105,72.38
amgo,I The Flying Dutchman I,76,30,106,71.7
jie1973,All The Villains,76,34,110,69.09
FrancexXx,MO GU,76,66,142,53.52
xXBaGeXx,MO GU,76,74,150,50.67
xiamixiami,PLAC,75,19,94,79.79
chennnnnnn,Chikipi,75,34,109,68.81
JokerJn,I The Flying Dutchman I,75,35,110,68.18
BeaRatChaser,Chikipi,75,40,115,65.22
xSmuggCafex,AFTERMATH,75,64,139,53.96
chabor,All Rise,75,66,141,53.19
Nyankooo,Summers,74,19,93,79.57
YamaTan,I The Flying Dutchman I,74,27,101,73.27
NingSan,All The Villains,74,35,109,67.89
0721KING,All The Villains,74,36,110,67.27
byeonsatto,I The Flying Dutchman I,74,38,112,66.07
WOWER,9INE,74,48,122,60.66
MWS852,Earn money,74,50,124,59.68
ZiTai007,MO GU,74,69,143,51.75
OnlyForPvP,Chikipi,73,33,106,68.87
duguqubai,All The Villains,73,34,107,68.22
SevenxX,9INE,73,56,129,56.59
FSheng,9INE,73,64,137,53.28
Sangnom,Meerkat Assemble,73,74,147,49.66
halelooya,Chikipi,72,22,94,76.6
BORS,P U R G E,72,25,97,74.23
JustTryIt,Chikipi,72,34,106,67.92
Gamanei,Chikipi,72,35,107,67.29
MrDog91,9INE,72,39,111,64.86
Dejalos,I The Flying Dutchman I,72,41,113,63.72
dipOB,All Rise,72,55,127,56.69
LaNagumo,Rescue Station,72,87,159,45.28
6oo,HeIIo Kitty,72,107,179,40.22
agawihaM,I The Flying Dutchman I,71,38,109,65.14
Qtanshuangkouxia,All Rise,71,48,119,59.66
Erwan,Speed Check,71,58,129,55.04
Glenledas,All Rise,71,59,130,54.62
B1BOO,Western Paradise,71,101,172,41.28
Shower,Chikipi,70,26,96,72.92
insomncy,I The Flying Dutchman I,70,43,113,61.95
Aronsy,9INE,70,78,148,47.3
RoMaViN,MO GU,70,82,152,46.05
jannn26,Rescue Station,70,89,159,44.03
tonghuaxiang,Solo-King,70,110,180,38.89
jordannnnn,Summers,69,36,105,65.71
Jeongyeoni,I The Flying Dutchman I,69,43,112,61.61
Emeng,All Rise,69,56,125,55.2
Prisoner627,AFTERMATH,69,62,131,52.67
ScriptZe,Western Paradise,69,78,147,46.94
WeiMei1,MO GU,69,78,147,46.94
ScarlettNat,HeIIo Kitty,69,100,169,40.83
LaoDi666,PLAC,68,21,89,76.4
Bumblebee,I The Flying Dutchman I,68,23,91,74.73
oreeeeeeo,Chikipi,68,28,96,70.83
idc337,All Rise,68,46,114,59.65
m3m3m3,All Rise,68,58,126,53.97
RimuruCiel,MINlONS,68,59,127,53.54
PiPibeng,Western Paradise,68,84,152,44.74
DuyEnd,Rescue Station,68,106,174,39.08
DavidLaidJr,MAX VERSTAPPEN,68,187,255,26.67
uufufuy,Summers,67,21,88,76.14
Shaggyyy,Summers,67,23,90,74.44
sujiuKG,PLAC,67,24,91,73.63
MBLI,All Rise,67,50,117,57.26
xiaolll,All Rise,67,54,121,55.37
SlLVER925,PLAC,66,17,83,79.52
PhilipC,Chikipi,66,23,89,74.16
PussyDuck,I The Flying Dutchman I,66,23,89,74.16
Fcheyes,Chikipi,66,30,96,68.75
iwanzi,All The Villains,66,35,101,65.35
Escalio,MINlONS,66,57,123,53.66
Coffee,Meerkat Assemble,66,77,143,46.15
Binladen,Solo-King,66,117,183,36.07
Deknoi,Summers,65,18,83,78.31
Blue88,Summers,65,21,86,75.58
ayataka2,I The Flying Dutchman I,65,22,87,74.71
TealHoney,I The Flying Dutchman I,65,47,112,58.04
MnnnnOwO,QuQnnTATnnOvO,65,59,124,52.42
BellaJJ,Meerkat Assemble,65,71,136,47.79
Wackyyy,HeIIo Kitty,65,96,161,40.37
yuki7777,HeIIo Kitty,65,98,163,39.88
Nesw,PLAC,64,23,87,73.56
JJsolokill,PLAC,64,25,89,71.91
LuckySungSmallJJ,Chikipi,64,30,94,68.09
TheLastOpion,I The Flying Dutchman I,64,42,106,60.38
CYPHERLIST,Future Party,64,43,107,59.81
Dangherenmin,All Rise,64,48,112,57.14
RennNoCounter,AFTERMATH,64,48,112,57.14
chaofan,HeIIo Kitty,64,87,151,42.38
ZMFsb,PLAC,63,17,80,78.75
Putaotang,PLAC,63,21,84,75.0
wugui,Chikipi,63,33,96,65.62
iceeeeeowo,Chikipi,63,36,99,63.64
PPGOD,9INE,63,40,103,61.17
Kurse,F A M I L Y,63,43,106,59.43
czbzb,Future Party,63,44,107,58.88
Myx,All Rise,63,45,108,58.33
QYXY,Future Party,63,46,109,57.8
Zhudy,All Rise,63,50,113,55.75
NiuZhua,9INE,63,75,138,45.65
Chimuinf,MO GU,63,81,144,43.75
513Tea,HeIIo Kitty,63,86,149,42.28
roger8877,Western Paradise,63,90,153,41.18
typomai,Rescue Station,63,102,165,38.18
BLackBird71,Solo-King,63,115,178,35.39
Resai,PLAC,62,13,75,82.67
Melonkiki,Summers,62,20,82,75.61
MaximumTorque,I The Flying Dutchman I,62,25,87,71.26
ChongZi,Chikipi,62,31,93,66.67
Knightdell,I The Flying Dutchman I,62,33,95,65.26
baihuz1,PLAC,62,34,96,64.58
kumanji,AFTERMATH,62,42,104,59.62
PlayerImport,Speed Check,62,43,105,59.05
Leigg,Earn money,62,45,107,57.94
Wyjrlove,9INE,62,45,107,57.94
Tzzti1,9INE,62,51,113,54.87
WingGrin,QuQnnTATnnOvO,62,52,114,54.39
33D,PLAC,61,12,73,83.56
xiaoshen,PLAC,61,13,74,82.43
AV520,Earn money,61,40,101,60.4
Shidoni,Speed Check,61,48,109,55.96
SHAD0W,MO GU,61,50,111,54.95
mhhiok,9INE,61,50,111,54.95
OldYanci,Future Party,61,52,113,53.98
FLE,MINlONS,61,53,114,53.51
TuongVy0106,Meerkat Assemble,61,72,133,45.86
kelembot,Topspire,61,75,136,44.85
DevilSkin,Meerkat Assemble,61,82,143,42.66
Vme50ciKFC,PLAC,60,11,71,84.51
Wulululu,PLAC,60,18,78,76.92
cakecom,I The Flying Dutchman I,60,20,80,75.0
Sleaper,Summers,60,34,94,63.83
666Boys,AFTERMATH,60,35,95,63.16
Mooncrit,P U R G E,60,35,95,63.16
chengugu,Future Party,60,44,104,57.69
Jisoo,All Rise,60,47,107,56.07
Cinzo,MO GU,60,56,116,51.72
OhHiYo,Meerkat Assemble,60,60,120,50.0
Yihyeon,Kingdom,60,61,121,49.59
QuentonNelson,Speed Check,60,70,130,46.15
Heisenbergg,V A G A B O N D,60,94,154,38.96
CrispyHotdog,MAX VERSTAPPEN,60,197,257,23.35
IsTongTongYa,PLAC,59,16,75,78.67
AICHIBABAOZHOU,Chikipi,59,26,85,69.41
