Player,Guild,Wins,Losses,Total,Winrate_%
Versik,Papaoutai,99,49,148,66.89
Bettroot,ANY FIGHT,96,150,246,39.02
PastelDream,Y O I N K,94,43,137,68.61
NoireSoeur,ANY FIGHT,94,112,206,45.63
suzuya,Papaoutai,93,53,146,63.7
pepega3,Contingent,92,57,149,61.74
Darrp13,Contingent,92,66,158,58.23
CSFOX,Contingent,92,78,170,54.12
Darkisitor,Contingent,91,59,150,60.67
Hooley,Papaoutai,90,58,148,60.81
bonrudis,Contingent,88,73,161,54.66
SonnyBee,Contingent,87,53,140,62.14
BRUTTACOMELAFAME,Skoggangr,86,73,159,54.09
Herosfunky,Contingent,85,55,140,60.71
Hinerman,Skoggangr,85,86,171,49.71
Toboe,Contingent,85,87,172,49.42
Kikua,0N A FAIM,83,68,151,54.97
Marikuss,Ridniy Kray,82,62,144,56.94
6Mamadisimo9,Contingent,81,61,142,57.04
Tavici,Skoggangr,81,76,157,51.59
FuryBill,Pipootam,81,95,176,46.02
PolarisN,Contingent,80,45,125,64.0
Riotot,Critical,80,46,126,63.49
Zoldrux,Skoggangr,80,266,346,23.12
Herm1one,Y O I N K,78,36,114,68.42
PabloTEscobar,Skoggangr,78,273,351,22.22
KingOkar,Papaoutai,77,35,112,68.75
Dem1onix,Contingent,77,43,120,64.17
Lefa,Contingent,76,56,132,57.58
AltF4taliTY,KillJoys,76,77,153,49.67
Averon,Contingent,75,51,126,59.52
FreeGutoozky,Unbound,75,54,129,58.14
Paleplatine,Cow field,75,75,150,50.0
Areas,Heralds of Valhalla,74,29,103,71.84
Vikonovich,0N A FAIM,74,47,121,61.16
Carde123,Skoggangr,74,83,157,47.13
Raoulafrite,Pipootam,74,94,168,44.05
P1x,Papaoutai,73,36,109,66.97
Drags,Utopia,73,49,122,59.84
Sisko,0N A FAIM,73,51,124,58.87
Repols,S I X,73,55,128,57.03
Miitsu,ANY FIGHT,73,74,147,49.66
capaToBeLL,KillJoys,73,95,168,43.45
Drochila777,Papaoutai,72,21,93,77.42
v1mex,Papaoutai,72,24,96,75.0
squalinette,Contingent,72,40,112,64.29
SashaPRO,Ridniy Kray,72,49,121,59.5
hmzv,Skoggangr,72,55,127,56.69
RichKiwi,Contingent,72,59,131,54.96
canapka,Papaoutai,71,48,119,59.66
Frifri,Skoggangr,71,53,124,57.26
ZyebsQ,Contingent,71,63,134,52.99
Yix,Skoggangr,71,223,294,24.15
ArreY,Papaoutai,70,32,102,68.63
AxlBlaze,Contingent,70,47,117,59.83
NeufDeux,0N A FAIM,70,50,120,58.33
Althalya,Cow field,70,54,124,56.45
Alothar,S I X,70,58,128,54.69
Vilcro,Skoggangr,70,70,140,50.0
LordGrimm0,Woof Woof,70,72,142,49.3
TimeLord,Savants,70,72,142,49.3
Yuuuki,Skoggangr,70,72,142,49.3
KingTrixel,Woof Woof,70,74,144,48.61
Luciole,Skoggangr,70,74,144,48.61
Kuqri,Pipootam,70,79,149,46.98
ogeha,Papaoutai,69,33,102,67.65
Aloyse,Critical,69,37,106,65.09
Sentus,Y O I N K,69,37,106,65.09
0TBEPTKA,Papaoutai,69,44,113,61.06
Imba3,Contingent,69,46,115,60.0
Duy,Contingent,69,53,122,56.56
Kwacoubeh,0N A FAIM,69,56,125,55.2
i3z,Skoggangr,69,62,131,52.67
Tetraim,Skoggangr,69,67,136,50.74
Opti,Skoggangr,69,78,147,46.94
WeedUA,Ridniy Kray,69,106,175,39.43
LUDOMAN,Papaoutai,68,34,102,66.67
